focal_method,test_prefix,docstring
"  public static <V> com.google.common.util.concurrent.ListenableFuture<V> asGuavaFuture(final ListenableFuture<V> future) {

    return new com.google.common.util.concurrent.ListenableFuture<V>() {

      public boolean cancel(boolean mayInterruptIfRunning) {
        return future.cancel(mayInterruptIfRunning);
      }

      public V get() throws InterruptedException, ExecutionException {
        return future.get();
      }

      public V get(long timeout, TimeUnit unit) throws InterruptedException, ExecutionException, TimeoutException {
        return future.get(timeout, unit);
      }

      public boolean isCancelled() {
        return future.isCancelled();
      }

      public boolean isDone() {
        return future.isDone();
      }

      public void addListener(final Runnable runnable, final Executor executor) {
        future.addListener(runnable, executor);
      }
    };
  }","  public void test0()  throws Throwable  {
      ListenableFutureAdapter listenableFutureAdapter0 = new ListenableFutureAdapter();
      ListenableFuture<Integer> listenableFuture0 = ListenableFutureAdapter.asGuavaFuture((org.asynchttpclient.ListenableFuture<Integer>) null);
      assertNotNull(listenableFuture0);
}","/**
   * @param future an AHC ListenableFuture
   * @param <V>    the Future's value type
   * @return a Guava ListenableFuture
   */"
"  public <T> FilterContext<T> filter(FilterContext<T> ctx) throws FilterException {
    try {
      if (logger.isDebugEnabled()) {
        logger.debug(""Current Throttling Status {}"", available.availablePermits());
      }

      long startOfWait = System.currentTimeMillis();
      attemptConcurrencyPermitAcquisition(ctx);

      attemptRateLimitedPermitAcquisition(ctx, startOfWait);
    } catch (InterruptedException e) {
      throw new FilterException(String.format(""Interrupted Request %s with AsyncHandler %s"", ctx.getRequest(), ctx.getAsyncHandler()));
    }

    return new FilterContext.FilterContextBuilder<>(ctx)
            .asyncHandler(ReleasePermitOnComplete.wrap(ctx.getAsyncHandler(), available))
            .build();
  }","  public void test0()  throws Throwable  {
      RateLimitedThrottleRequestFilter rateLimitedThrottleRequestFilter0 = new RateLimitedThrottleRequestFilter(Integer.MAX_VALUE, Integer.MAX_VALUE, (-1));
      FilterContext<String> filterContext0 = (FilterContext<String>) mock(FilterContext.class, new ViolatedAssumptionAnswer());
      doReturn((AsyncHandler) null, (AsyncHandler) null).when(filterContext0).getAsyncHandler();
      doReturn((IOException) null).when(filterContext0).getIOException();
      doReturn((Request) null).when(filterContext0).getRequest();
      doReturn((HttpResponseStatus) null).when(filterContext0).getResponseStatus();
      doReturn(false).when(filterContext0).replayRequest();
      // Undeclared exception!
      try { 
        rateLimitedThrottleRequestFilter0.filter((FilterContext<String>) filterContext0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.asynchttpclient.filter.ReleasePermitOnComplete"", e);
      }
  }","/**
   * {@inheritDoc}
   */"
"  public RateLimitedThrottleRequestFilter(int maxConnections, double rateLimitPerSecond) {
    this(maxConnections, rateLimitPerSecond, Integer.MAX_VALUE);
  }","  public void test1()  throws Throwable  {
      RateLimitedThrottleRequestFilter rateLimitedThrottleRequestFilter0 = null;
      try {
        rateLimitedThrottleRequestFilter0 = new RateLimitedThrottleRequestFilter(0, 0, (-1737));
        fail(""Expecting exception: IllegalArgumentException"");
      } catch(IllegalArgumentException e) {
         //
         // rate must be positive
         //
         verifyException(""com.google.common.base.Preconditions"", e);
      }
  }",
"  public <T> FilterContext<T> filter(FilterContext<T> ctx) throws FilterException {
    try {
      if (logger.isDebugEnabled()) {
        logger.debug(""Current Throttling Status {}"", available.availablePermits());
      }

      long startOfWait = System.currentTimeMillis();
      attemptConcurrencyPermitAcquisition(ctx);

      attemptRateLimitedPermitAcquisition(ctx, startOfWait);
    } catch (InterruptedException e) {
      throw new FilterException(String.format(""Interrupted Request %s with AsyncHandler %s"", ctx.getRequest(), ctx.getAsyncHandler()));
    }

    return new FilterContext.FilterContextBuilder<>(ctx)
            .asyncHandler(ReleasePermitOnComplete.wrap(ctx.getAsyncHandler(), available))
            .build();
  }","  public void test2()  throws Throwable  {
      RateLimitedThrottleRequestFilter rateLimitedThrottleRequestFilter0 = new RateLimitedThrottleRequestFilter((-1418), 1715.6282, (-302));
      FilterContext<RateLimitedThrottleRequestFilter> filterContext0 = (FilterContext<RateLimitedThrottleRequestFilter>) mock(FilterContext.class, new ViolatedAssumptionAnswer());
      doReturn((AsyncHandler) null).when(filterContext0).getAsyncHandler();
      doReturn((Request) null).when(filterContext0).getRequest();
      try { 
        rateLimitedThrottleRequestFilter0.filter((FilterContext<RateLimitedThrottleRequestFilter>) filterContext0);
        fail(""Expecting exception: Exception"");
      } catch(Exception e) {
         //
         // No slot available for processing Request null with AsyncHandler null
         //
         verifyException(""org.asynchttpclient.extras.guava.RateLimitedThrottleRequestFilter"", e);
      }
  }","/**
   * {@inheritDoc}
   */"
"  public <T> FilterContext<T> filter(FilterContext<T> ctx) throws FilterException {
    try {
      if (logger.isDebugEnabled()) {
        logger.debug(""Current Throttling Status {}"", available.availablePermits());
      }

      long startOfWait = System.currentTimeMillis();
      attemptConcurrencyPermitAcquisition(ctx);

      attemptRateLimitedPermitAcquisition(ctx, startOfWait);
    } catch (InterruptedException e) {
      throw new FilterException(String.format(""Interrupted Request %s with AsyncHandler %s"", ctx.getRequest(), ctx.getAsyncHandler()));
    }

    return new FilterContext.FilterContextBuilder<>(ctx)
            .asyncHandler(ReleasePermitOnComplete.wrap(ctx.getAsyncHandler(), available))
            .build();
  }","  public void test3()  throws Throwable  {
      RateLimitedThrottleRequestFilter rateLimitedThrottleRequestFilter0 = new RateLimitedThrottleRequestFilter(1305, 1.0);
      FilterContext<Integer> filterContext0 = (FilterContext<Integer>) mock(FilterContext.class, new ViolatedAssumptionAnswer());
      doReturn((AsyncHandler) null, (AsyncHandler) null).when(filterContext0).getAsyncHandler();
      doReturn((IOException) null).when(filterContext0).getIOException();
      doReturn((Request) null).when(filterContext0).getRequest();
      doReturn((HttpResponseStatus) null).when(filterContext0).getResponseStatus();
      doReturn(false).when(filterContext0).replayRequest();
      // Undeclared exception!
      try { 
        rateLimitedThrottleRequestFilter0.filter(filterContext0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.asynchttpclient.filter.ReleasePermitOnComplete"", e);
      }
  }","/**
   * {@inheritDoc}
   */"
"  public RateLimitedThrottleRequestFilter(int maxConnections, double rateLimitPerSecond) {
    this(maxConnections, rateLimitPerSecond, Integer.MAX_VALUE);
  }","  public void test4()  throws Throwable  {
      RateLimitedThrottleRequestFilter rateLimitedThrottleRequestFilter0 = null;
      try {
        rateLimitedThrottleRequestFilter0 = new RateLimitedThrottleRequestFilter((-1), 0.0);
        fail(""Expecting exception: IllegalArgumentException"");
      } catch(IllegalArgumentException e) {
         //
         // rate must be positive
         //
         verifyException(""com.google.common.base.Preconditions"", e);
      }
  }",
"  public static Promise<Response, Throwable, HttpProgress> promise(final BoundRequestBuilder builder) {
    return new AsyncHttpDeferredObject(builder).promise();
  }","  public void test0()  throws Throwable  {
      // Undeclared exception!
      try { 
        AsyncHttpDeferredObject.promise((BoundRequestBuilder) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.asynchttpclient.extras.jdeferred.AsyncHttpDeferredObject"", e);
      }
  }",
"  public AsyncHttpDeferredObject(BoundRequestBuilder builder) {
    builder.execute(new AsyncCompletionHandler<Void>() {
      @Override
      public Void onCompleted(Response response) {
        AsyncHttpDeferredObject.this.resolve(response);
        return null;
      }

      @Override
      public void onThrowable(Throwable t) {
        AsyncHttpDeferredObject.this.reject(t);
      }

      @Override
      public AsyncHandler.State onContentWriteProgress(long amount, long current, long total) {
        AsyncHttpDeferredObject.this.notify(new ContentWriteProgress(amount, current, total));
        return super.onContentWriteProgress(amount, current, total);
      }

      @Override
      public AsyncHandler.State onBodyPartReceived(HttpResponseBodyPart content) throws Exception {
        AsyncHttpDeferredObject.this.notify(new HttpResponseBodyPartProgress(content));
        return super.onBodyPartReceived(content);
      }
    });
  }","  public void test1()  throws Throwable  {
      AsyncHttpDeferredObject asyncHttpDeferredObject0 = null;
      try {
        asyncHttpDeferredObject0 = new AsyncHttpDeferredObject((BoundRequestBuilder) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.asynchttpclient.extras.jdeferred.AsyncHttpDeferredObject"", e);
      }
  }",
"  public HttpResponseBodyPart getPart() {
    return part;
  }","  public void test0()  throws Throwable  {
      LazyResponseBodyPart lazyResponseBodyPart0 = new LazyResponseBodyPart((ByteBuf) null, false);
      HttpResponseBodyPartProgress httpResponseBodyPartProgress0 = new HttpResponseBodyPartProgress(lazyResponseBodyPart0);
      HttpResponseBodyPart httpResponseBodyPart0 = httpResponseBodyPartProgress0.getPart();
      assertFalse(httpResponseBodyPart0.isLast());
}",
"  public String toString() {
    return ""HttpResponseBodyPartProgress [part="" + part + ""]"";
  }","  public void test1()  throws Throwable  {
      HttpResponseBodyPartProgress httpResponseBodyPartProgress0 = new HttpResponseBodyPartProgress((HttpResponseBodyPart) null);
      String string0 = httpResponseBodyPartProgress0.toString();
      assertEquals(""HttpResponseBodyPartProgress [part=null]"", string0);
}",
