id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
conf_3_1,commons-configuration2,TestAbstractConfigurationBasicFeatures,testAppendNull_1_oe,src/test/java/org/apache/commons/configuration2/TestAbstractConfigurationBasicFeatures.java,,,,assert,unknown,custom,assertConfigurationEquals
conf_7_1,commons-configuration2,TestAbstractConfigurationBasicFeatures,testCopyNull_1_oe,src/test/java/org/apache/commons/configuration2/TestAbstractConfigurationBasicFeatures.java,,,,assert,unknown,custom,assertConfigurationEquals
conf_251_1,commons-configuration2,TestPropertiesConfiguration,testSaveWithDefaultListDelimiterHandler_1_oe,src/test/java/org/apache/commons/configuration2/TestPropertiesConfiguration.java,,,,assert,unknown,custom,assertConfigurationEquals
conf_252_1,commons-configuration2,TestPropertiesConfiguration,testSaveWithDelimiterParsingDisabled_1_oe,src/test/java/org/apache/commons/configuration2/TestPropertiesConfiguration.java,,,,assert,unknown,custom,assertConfigurationEquals
conf_928_1,commons-configuration2,TestClasspathLocationStrategy,testLocateSuccess_1_oe,src/test/java/org/apache/commons/configuration2/io/TestClasspathLocationStrategy.java,,,,assert,unknown,custom,assertConfigurationEquals
conf_1044_1,commons-configuration2,TestEventListenerList,testListenerRegistrationWithListenerData_1_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,custom,assertEvent
conf_1045_1,commons-configuration2,TestEventListenerList,testMultipleListenerRegistration_1_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,custom,assertEvent
conf_1046_1,commons-configuration2,TestEventListenerList,testReceiveEventDifferentType_1_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,custom,assertEvent
conf_1046_2,commons-configuration2,TestEventListenerList,testReceiveEventDifferentType_2_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,custom,assertNoEvent
conf_1047_1,commons-configuration2,TestEventListenerList,testReceiveEventMultipleListeners_1_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,custom,assertEvent
conf_1047_2,commons-configuration2,TestEventListenerList,testReceiveEventMultipleListeners_2_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,custom,assertEvent
conf_1048_1,commons-configuration2,TestEventListenerList,testReceiveEventOfExactType_1_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,custom,assertEvent
conf_1049_1,commons-configuration2,TestEventListenerList,testReceiveEventSubType_1_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,custom,assertEvent
conf_1050_2,commons-configuration2,TestEventListenerList,testRemoveEventListenerExisting_2_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,custom,assertNoEvent
conf_1056_1,commons-configuration2,TestEventListenerList,testSuppressEventOfSuperType_1_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,custom,assertNoEvent
conf_1166_1,commons-configuration2,TestReloadingFileBasedConfigurationBuilder,testReloadingControllerEvents_1_oe,src/test/java/org/apache/commons/configuration2/builder/TestReloadingFileBasedConfigurationBuilder.java,,,,assert,unknown,custom,assertNoMoreEvents
conf_1170_2,commons-configuration2,TestReloadingBuilderSupportListener,testResetBuilderOnReloadingEvent_2_oe,src/test/java/org/apache/commons/configuration2/builder/TestReloadingBuilderSupportListener.java,,,,assert,unknown,custom,assertNoMoreEvents
conf_1217_3,commons-configuration2,TestBasicConfigurationBuilderEvents,testBuilderResetEvent_3_oe,src/test/java/org/apache/commons/configuration2/builder/TestBasicConfigurationBuilderEvents.java,,,,assert,unknown,custom,assertNoMoreEvents
conf_1219_2,commons-configuration2,TestBasicConfigurationBuilderEvents,testConfigurationRequestEvent_2_oe,src/test/java/org/apache/commons/configuration2/builder/TestBasicConfigurationBuilderEvents.java,,,,assert,unknown,custom,assertNoMoreEvents
conf_1221_2,commons-configuration2,TestBasicConfigurationBuilderEvents,testRemoveEventListener_2_oe,src/test/java/org/apache/commons/configuration2/builder/TestBasicConfigurationBuilderEvents.java,,,,assert,unknown,custom,assertNoMoreEvents
conf_1223_2,commons-configuration2,TestBasicConfigurationBuilderEvents,testResetOnConfigurationRequestEvent_2_oe,src/test/java/org/apache/commons/configuration2/builder/TestBasicConfigurationBuilderEvents.java,,,,assert,unknown,custom,assertNoMoreEvents
conf_1321_5,commons-configuration2,TestCombinedConfigurationBuilder,testMultiTenentConfigurationReloading_5_oe,src/test/java/org/apache/commons/configuration2/builder/combined/TestCombinedConfigurationBuilder.java,,,,assert,unknown,custom,assertNoMoreEvents
conf_1321_6,commons-configuration2,TestCombinedConfigurationBuilder,testMultiTenentConfigurationReloading_6_oe,src/test/java/org/apache/commons/configuration2/builder/combined/TestCombinedConfigurationBuilder.java,,,,assert,unknown,custom,assertNoMoreEvents
conf_1355_3,commons-configuration2,TestMultiFileConfigurationBuilder,testBuilderListenerOtherTypes_3_oe,src/test/java/org/apache/commons/configuration2/builder/combined/TestMultiFileConfigurationBuilder.java,,,,assert,unknown,custom,assertNoMoreEvents
conf_1366_1,commons-configuration2,TestMultiFileConfigurationBuilder,testRemoveBuilderListenerOnReset_1_oe,src/test/java/org/apache/commons/configuration2/builder/combined/TestMultiFileConfigurationBuilder.java,,,,assert,unknown,custom,assertNoMoreEvents
conf_1687_1,commons-configuration2,TestPropertyListConfiguration,testData_1_oe,src/test/java/org/apache/commons/configuration2/plist/TestPropertyListConfiguration.java,,,,assert,unknown,custom,assertInstanceOf
conf_1690_2,commons-configuration2,TestPropertyListConfiguration,testDictionaryArray_2_oe,src/test/java/org/apache/commons/configuration2/plist/TestPropertyListConfiguration.java,,,,assert,unknown,custom,assertInstanceOf
conf_1690_5,commons-configuration2,TestPropertyListConfiguration,testDictionaryArray_5_oe,src/test/java/org/apache/commons/configuration2/plist/TestPropertyListConfiguration.java,,,,assert,unknown,custom,assertInstanceOf
conf_1690_8,commons-configuration2,TestPropertyListConfiguration,testDictionaryArray_8_oe,src/test/java/org/apache/commons/configuration2/plist/TestPropertyListConfiguration.java,,,,assert,unknown,custom,assertInstanceOf
conf_1696_2,commons-configuration2,TestPropertyListConfiguration,testNestedArrays_2_oe,src/test/java/org/apache/commons/configuration2/plist/TestPropertyListConfiguration.java,,,,assert,unknown,custom,assertInstanceOf
conf_1696_5,commons-configuration2,TestPropertyListConfiguration,testNestedArrays_5_oe,src/test/java/org/apache/commons/configuration2/plist/TestPropertyListConfiguration.java,,,,assert,unknown,custom,assertInstanceOf
conf_1696_10,commons-configuration2,TestPropertyListConfiguration,testNestedArrays_10_oe,src/test/java/org/apache/commons/configuration2/plist/TestPropertyListConfiguration.java,,,,assert,unknown,custom,assertInstanceOf
conf_1709_2,commons-configuration2,TestXMLPropertyListConfiguration,testArray_2_oe,src/test/java/org/apache/commons/configuration2/plist/TestXMLPropertyListConfiguration.java,,,,assert,unknown,custom,assertInstanceOf
conf_1713_2,commons-configuration2,TestXMLPropertyListConfiguration,testDictionaryArray_2_oe,src/test/java/org/apache/commons/configuration2/plist/TestXMLPropertyListConfiguration.java,,,,assert,unknown,custom,assertInstanceOf
conf_1713_5,commons-configuration2,TestXMLPropertyListConfiguration,testDictionaryArray_5_oe,src/test/java/org/apache/commons/configuration2/plist/TestXMLPropertyListConfiguration.java,,,,assert,unknown,custom,assertInstanceOf
conf_1713_8,commons-configuration2,TestXMLPropertyListConfiguration,testDictionaryArray_8_oe,src/test/java/org/apache/commons/configuration2/plist/TestXMLPropertyListConfiguration.java,,,,assert,unknown,custom,assertInstanceOf
conf_1719_2,commons-configuration2,TestXMLPropertyListConfiguration,testNestedArray_2_oe,src/test/java/org/apache/commons/configuration2/plist/TestXMLPropertyListConfiguration.java,,,,assert,unknown,custom,assertInstanceOf
conf_1719_5,commons-configuration2,TestXMLPropertyListConfiguration,testNestedArray_5_oe,src/test/java/org/apache/commons/configuration2/plist/TestXMLPropertyListConfiguration.java,,,,assert,unknown,custom,assertInstanceOf
conf_1719_10,commons-configuration2,TestXMLPropertyListConfiguration,testNestedArray_10_oe,src/test/java/org/apache/commons/configuration2/plist/TestXMLPropertyListConfiguration.java,,,,assert,unknown,custom,assertInstanceOf
conf_1775_2,commons-configuration2,TestConfigurationDynaBean,testGetIndexedValues_2_oe,src/test/java/org/apache/commons/configuration2/beanutils/TestConfigurationDynaBean.java,,,,assert,unknown,custom,assertInstanceOf
conf_1775_5,commons-configuration2,TestConfigurationDynaBean,testGetIndexedValues_5_oe,src/test/java/org/apache/commons/configuration2/beanutils/TestConfigurationDynaBean.java,,,,assert,unknown,custom,assertInstanceOf
conf_1775_8,commons-configuration2,TestConfigurationDynaBean,testGetIndexedValues_8_oe,src/test/java/org/apache/commons/configuration2/beanutils/TestConfigurationDynaBean.java,,,,assert,unknown,custom,assertInstanceOf
conf_1775_12,commons-configuration2,TestConfigurationDynaBean,testGetIndexedValues_12_oe,src/test/java/org/apache/commons/configuration2/beanutils/TestConfigurationDynaBean.java,,,,assert,unknown,custom,assertInstanceOf
conf_1775_15,commons-configuration2,TestConfigurationDynaBean,testGetIndexedValues_15_oe,src/test/java/org/apache/commons/configuration2/beanutils/TestConfigurationDynaBean.java,,,,assert,unknown,custom,assertInstanceOf
conf_1778_2,commons-configuration2,TestConfigurationDynaBean,testGetSimpleBoolean_2_oe,src/test/java/org/apache/commons/configuration2/beanutils/TestConfigurationDynaBean.java,,,,assert,unknown,custom,assertInstanceOf
conf_1779_2,commons-configuration2,TestConfigurationDynaBean,testGetSimpleDouble_2_oe,src/test/java/org/apache/commons/configuration2/beanutils/TestConfigurationDynaBean.java,,,,assert,unknown,custom,assertInstanceOf
conf_1780_2,commons-configuration2,TestConfigurationDynaBean,testGetSimpleFloat_2_oe,src/test/java/org/apache/commons/configuration2/beanutils/TestConfigurationDynaBean.java,,,,assert,unknown,custom,assertInstanceOf
conf_1781_2,commons-configuration2,TestConfigurationDynaBean,testGetSimpleInt_2_oe,src/test/java/org/apache/commons/configuration2/beanutils/TestConfigurationDynaBean.java,,,,assert,unknown,custom,assertInstanceOf
conf_1782_2,commons-configuration2,TestConfigurationDynaBean,testGetSimpleLong_2_oe,src/test/java/org/apache/commons/configuration2/beanutils/TestConfigurationDynaBean.java,,,,assert,unknown,custom,assertInstanceOf
conf_1783_2,commons-configuration2,TestConfigurationDynaBean,testGetSimpleShort_2_oe,src/test/java/org/apache/commons/configuration2/beanutils/TestConfigurationDynaBean.java,,,,assert,unknown,custom,assertInstanceOf
conf_1784_2,commons-configuration2,TestConfigurationDynaBean,testGetSimpleString_2_oe,src/test/java/org/apache/commons/configuration2/beanutils/TestConfigurationDynaBean.java,,,,assert,unknown,custom,assertInstanceOf
conf_1788_2,commons-configuration2,TestConfigurationDynaBean,testSetArrayValue_2_oe,src/test/java/org/apache/commons/configuration2/beanutils/TestConfigurationDynaBean.java,,,,assert,unknown,custom,assertInstanceOf
conf_1789_2,commons-configuration2,TestConfigurationDynaBean,testSetIndexedValues_2_oe,src/test/java/org/apache/commons/configuration2/beanutils/TestConfigurationDynaBean.java,,,,assert,unknown,custom,assertInstanceOf
conf_1789_5,commons-configuration2,TestConfigurationDynaBean,testSetIndexedValues_5_oe,src/test/java/org/apache/commons/configuration2/beanutils/TestConfigurationDynaBean.java,,,,assert,unknown,custom,assertInstanceOf
conf_1789_8,commons-configuration2,TestConfigurationDynaBean,testSetIndexedValues_8_oe,src/test/java/org/apache/commons/configuration2/beanutils/TestConfigurationDynaBean.java,,,,assert,unknown,custom,assertInstanceOf
conf_1789_11,commons-configuration2,TestConfigurationDynaBean,testSetIndexedValues_11_oe,src/test/java/org/apache/commons/configuration2/beanutils/TestConfigurationDynaBean.java,,,,assert,unknown,custom,assertInstanceOf
conf_1789_14,commons-configuration2,TestConfigurationDynaBean,testSetIndexedValues_14_oe,src/test/java/org/apache/commons/configuration2/beanutils/TestConfigurationDynaBean.java,,,,assert,unknown,custom,assertInstanceOf
