id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,dataset_type
commons-collections4_3,commons-collections4,ComparatorUtilsTest,max_oe,src/test/java/org/apache/commons/collections4/ComparatorUtilsTest.java,,,,mixed
commons-collections4_4,commons-collections4,ComparatorUtilsTest,min_oe,src/test/java/org/apache/commons/collections4/ComparatorUtilsTest.java,,,,mixed
commons-collections4_7,commons-collections4,SetUtilsTest,difference_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,mixed
commons-collections4_8,commons-collections4,SetUtilsTest,disjunction_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,mixed
commons-collections4_9,commons-collections4,SetUtilsTest,intersection_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,mixed
commons-collections4_15,commons-collections4,SetUtilsTest,testpredicatedSet_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,mixed
commons-collections4_18,commons-collections4,SetUtilsTest,union_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,mixed
commons-collections4_25,commons-collections4,ListUtilsTest,testPredicatedList_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,mixed
commons-collections4_32,commons-collections4,ListUtilsTest,testRetainAll_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,mixed
commons-collections4_33,commons-collections4,ListUtilsTest,testRemoveAll_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,mixed
commons-collections4_34,commons-collections4,ListUtilsTest,testSubtract_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,mixed
commons-collections4_38,commons-collections4,ListUtilsTest,testLongestCommonSubsequenceWithString_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,mixed
commons-collections4_99,commons-collections4,ArrayStackTest,testNewStack_oe,src/test/java/org/apache/commons/collections4/ArrayStackTest.java,,,,mixed
commons-collections4_104,commons-collections4,EnumerationUtilsTest,getFromEnumeration_oe,src/test/java/org/apache/commons/collections4/EnumerationUtilsTest.java,,,,mixed
commons-collections4_105,commons-collections4,TransformerUtilsTest,testExceptionTransformer_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,mixed
commons-collections4_109,commons-collections4,TransformerUtilsTest,testCloneTransformer_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,mixed
commons-collections4_111,commons-collections4,TransformerUtilsTest,testExecutorTransformer_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,mixed
commons-collections4_112,commons-collections4,TransformerUtilsTest,testPredicateTransformer_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,mixed
commons-collections4_113,commons-collections4,TransformerUtilsTest,testFactoryTransformer_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,mixed
commons-collections4_115,commons-collections4,TransformerUtilsTest,testIfTransformer_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,mixed
commons-collections4_117,commons-collections4,TransformerUtilsTest,testSwitchMapTransformer_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,mixed
commons-collections4_118,commons-collections4,TransformerUtilsTest,testInvokerTransformer_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,mixed
commons-collections4_119,commons-collections4,TransformerUtilsTest,testInvokerTransformer2_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,mixed
commons-collections4_121,commons-collections4,TransformerUtilsTest,testInstantiateTransformerNull_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,mixed
commons-collections4_126,commons-collections4,MultiMapUtilsTest,testTypeSafeEmptyMultiValuedMap_oe,src/test/java/org/apache/commons/collections4/MultiMapUtilsTest.java,,,,mixed
commons-collections4_135,commons-collections4,FluentIterableTest,factoryMethodOf_oe,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,,,,mixed
commons-collections4_138,commons-collections4,FluentIterableTest,collate_oe,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,,,,mixed
commons-collections4_140,commons-collections4,FluentIterableTest,filter_oe,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,,,,mixed
commons-collections4_141,commons-collections4,FluentIterableTest,forEach_oe,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,,,,mixed
commons-collections4_142,commons-collections4,FluentIterableTest,limit_oe,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,,,,mixed
commons-collections4_144,commons-collections4,FluentIterableTest,skip_oe,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,,,,mixed
commons-collections4_145,commons-collections4,FluentIterableTest,transform_oe,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,,,,mixed
commons-collections4_147,commons-collections4,FluentIterableTest,unmodifiable_oe,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,,,,mixed
commons-collections4_150,commons-collections4,FluentIterableTest,allMatch_oe,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,,,,mixed
commons-collections4_151,commons-collections4,FluentIterableTest,anyMatch_oe,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,,,,mixed
commons-collections4_153,commons-collections4,FluentIterableTest,size_oe,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,,,,mixed
commons-collections4_156,commons-collections4,FluentIterableTest,copyInto_oe,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,,,,mixed
commons-collections4_158,commons-collections4,FluentIterableTest,get_oe,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,,,,mixed
commons-collections4_161,commons-collections4,IterableUtilsTest,forEach_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,mixed
commons-collections4_162,commons-collections4,IterableUtilsTest,forEachButLast_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,mixed
commons-collections4_163,commons-collections4,IterableUtilsTest,containsWithEquator_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,mixed
commons-collections4_166,commons-collections4,IterableUtilsTest,find_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,mixed
commons-collections4_167,commons-collections4,IterableUtilsTest,indexOf_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,mixed
commons-collections4_168,commons-collections4,IterableUtilsTest,countMatches_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,mixed
commons-collections4_169,commons-collections4,IterableUtilsTest,matchesAny_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,mixed
commons-collections4_170,commons-collections4,IterableUtilsTest,matchesAll_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,mixed
commons-collections4_173,commons-collections4,IterableUtilsTest,testToString_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,mixed
commons-collections4_175,commons-collections4,IterableUtilsTest,testToStringWithNullArguments_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,mixed
commons-collections4_180,commons-collections4,BagUtilsTest,testSynchronizedBag_oe,src/test/java/org/apache/commons/collections4/BagUtilsTest.java,,,,mixed
commons-collections4_181,commons-collections4,BagUtilsTest,testUnmodifiableBag_oe,src/test/java/org/apache/commons/collections4/BagUtilsTest.java,,,,mixed
commons-collections4_182,commons-collections4,BagUtilsTest,testPredicatedBag_oe,src/test/java/org/apache/commons/collections4/BagUtilsTest.java,,,,mixed
