id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,dataset_type
commons-imaging_75,commons-imaging,RgbBufferedImageFactoryTest,testGetColorBufferedImageThrowsIllegalArgumentException_oe,src/test/java/org/apache/commons/imaging/common/RgbBufferedImageFactoryTest.java,,,,mixed
commons-imaging_77,commons-imaging,RationalNumberTest,testSpecialRationalNumber_oe,src/test/java/org/apache/commons/imaging/common/RationalNumberTest.java,,,,mixed
commons-imaging_90,commons-imaging,RleReaderTest,testReadWithNonNull_oe,src/test/java/org/apache/commons/imaging/formats/pcx/RleReaderTest.java,,,,mixed
commons-imaging_96,commons-imaging,PbmFileInfoTest,testGetRGBThrowsIOException_oe,src/test/java/org/apache/commons/imaging/formats/pnm/PbmFileInfoTest.java,,,,mixed
commons-imaging_116,commons-imaging,TiffFloatingPointReadTest,test_oe,src/test/java/org/apache/commons/imaging/formats/tiff/TiffFloatingPointReadTest.java,,,,mixed
commons-imaging_117,commons-imaging,TiffRoundTripInt32Test,test_oe,src/test/java/org/apache/commons/imaging/formats/tiff/TiffRoundTripInt32Test.java,,,,mixed
commons-imaging_145,commons-imaging,TiffReadAlphaTest,test_oe,src/test/java/org/apache/commons/imaging/formats/tiff/TiffReadAlphaTest.java,,,,mixed
commons-imaging_162,commons-imaging,TiffCcittTest,testAll5x2Compressions_oe,src/test/java/org/apache/commons/imaging/formats/tiff/TiffCcittTest.java,,,,mixed
commons-imaging_164,commons-imaging,TiffShortIntRoundTripTest,test_oe,src/test/java/org/apache/commons/imaging/formats/tiff/TiffShortIntRoundTripTest.java,,,,mixed
commons-imaging_170,commons-imaging,PngWritePredictorTest,testWriteWithPredictor_oe,src/test/java/org/apache/commons/imaging/formats/png/PngWritePredictorTest.java,,,,mixed
commons-imaging_174,commons-imaging,PngReadTest,test_oe,src/test/java/org/apache/commons/imaging/formats/png/PngReadTest.java,,,,mixed
commons-imaging_178,commons-imaging,PngTextTest,test_oe,src/test/java/org/apache/commons/imaging/formats/png/PngTextTest.java,,,,mixed
commons-imaging_215,commons-imaging,NegSizeSegmentTest,testCreatesNegSizeSegment_oe,src/test/java/org/apache/commons/imaging/formats/jpeg/segments/NegSizeSegmentTest.java,,,,mixed
commons-imaging_221,commons-imaging,JfifSegmentTest,testCreatesJfifSegment_oe,src/test/java/org/apache/commons/imaging/formats/jpeg/segments/JfifSegmentTest.java,,,,mixed
commons-imaging_237,commons-imaging,IptcParserTest,testSkipBlockTypes_oe,src/test/java/org/apache/commons/imaging/formats/jpeg/iptc/IptcParserTest.java,,,,mixed
commons-imaging_245,commons-imaging,JpegXmpParserTest,testCreatesJpegXmpParserAndCallsParseXmpJpegSegment_oe,src/test/java/org/apache/commons/imaging/formats/jpeg/xmp/JpegXmpParserTest.java,,,,mixed
commons-imaging_259,commons-imaging,FieldTypeTest,testGetFieldTypeWithNegative_oe,src/test/java/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeTest.java,,,,mixed
commons-imaging_260,commons-imaging,FieldTypeLongTest,testWriteDataWithNonNull_oe,src/test/java/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeLongTest.java,,,,mixed
commons-imaging_263,commons-imaging,FieldTypeShortTest,testCreatesFieldTypeShortAndCallsWriteData_oe,src/test/java/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeShortTest.java,,,,mixed
commons-imaging_305,commons-imaging,PngChunkTextTest,testCreatesPngChunkText_oe,src/test/java/org/apache/commons/imaging/formats/png/chunks/PngChunkTextTest.java,,,,mixed
commons-imaging_306,commons-imaging,TransparencyFilterIndexedColorTest,testFilterWithNegativeAndNegative_oe,src/test/java/org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterIndexedColorTest.java,,,,mixed
commons-imaging_313,commons-imaging,DataParserIndexedTest,testFailsToCreateDataParserIndexedThrowsArrayIndexOutOfBoundsException_oe,src/test/java/org/apache/commons/imaging/formats/psd/dataparsers/DataParserIndexedTest.java,,,,mixed
