id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,dataset_type
JSON-java_1,JSON-java,PropertyTest,shouldHandleNullProperties_oe,src/test/java/org/json/junit/PropertyTest.java,,,,multiple
JSON-java_2,JSON-java,PropertyTest,shouldHandleEmptyProperties_oe,src/test/java/org/json/junit/PropertyTest.java,,,,multiple
JSON-java_3,JSON-java,PropertyTest,shouldHandleProperties_oe,src/test/java/org/json/junit/PropertyTest.java,,,,multiple
JSON-java_4,JSON-java,PropertyTest,shouldHandleNullJSONProperty_oe,src/test/java/org/json/junit/PropertyTest.java,,,,multiple
JSON-java_5,JSON-java,PropertyTest,shouldHandleJSONProperty_oe,src/test/java/org/json/junit/PropertyTest.java,,,,multiple
JSON-java_7,JSON-java,CookieTest,booleanAttribute_oe,src/test/java/org/json/junit/CookieTest.java,,,,multiple
JSON-java_10,JSON-java,CookieTest,escapeString_oe,src/test/java/org/json/junit/CookieTest.java,,,,multiple
JSON-java_11,JSON-java,CookieTest,unescapeString_oe,src/test/java/org/json/junit/CookieTest.java,,,,multiple
JSON-java_12,JSON-java,JSONObjectLocaleTest,jsonObjectByLocaleBean_oe,src/test/java/org/json/junit/JSONObjectLocaleTest.java,,,,multiple
JSON-java_14,JSON-java,JSONMLTest,emptyJSONXMLException_oe,src/test/java/org/json/junit/JSONMLTest.java,,,,multiple
JSON-java_17,JSON-java,JSONMLTest,spaceInTagException_oe,src/test/java/org/json/junit/JSONMLTest.java,,,,multiple
JSON-java_22,JSON-java,JSONMLTest,noCloseEndTagException_oe,src/test/java/org/json/junit/JSONMLTest.java,,,,multiple
JSON-java_25,JSON-java,JSONMLTest,testToJSONArray_jsonOutput_oe,src/test/java/org/json/junit/JSONMLTest.java,,,,multiple
JSON-java_26,JSON-java,JSONMLTest,testToJSONArray_reversibility_oe,src/test/java/org/json/junit/JSONMLTest.java,,,,multiple
JSON-java_27,JSON-java,JSONMLTest,testToJSONArray_reversibility2_oe,src/test/java/org/json/junit/JSONMLTest.java,,,,multiple
JSON-java_28,JSON-java,JSONMLTest,testToJSONArray_reversibility3_oe,src/test/java/org/json/junit/JSONMLTest.java,,,,multiple
JSON-java_29,JSON-java,JSONMLTest,testToJSONObject_reversibility_oe,src/test/java/org/json/junit/JSONMLTest.java,,,,multiple
JSON-java_31,JSON-java,JSONPointerTest,emptyPointer_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_32,JSON-java,JSONPointerTest,objectPropertyQuery_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_33,JSON-java,JSONPointerTest,arrayIndexQuery_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_34,JSON-java,JSONPointerTest,queryByEmptyKey_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_35,JSON-java,JSONPointerTest,queryByEmptyKeySubObject_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_36,JSON-java,JSONPointerTest,queryByEmptyKeySubObjectSubOject_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_37,JSON-java,JSONPointerTest,queryByEmptyKeySubObjectValue_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_38,JSON-java,JSONPointerTest,slashEscaping_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_39,JSON-java,JSONPointerTest,tildeEscaping_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_40,JSON-java,JSONPointerTest,backslashHandling_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_41,JSON-java,JSONPointerTest,quotationHandling_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_42,JSON-java,JSONPointerTest,whitespaceKey_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_43,JSON-java,JSONPointerTest,uriFragmentNotation_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_44,JSON-java,JSONPointerTest,uriFragmentNotationRoot_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_45,JSON-java,JSONPointerTest,uriFragmentPercentHandling_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_46,JSON-java,JSONPointerTest,builderTest_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_47,JSON-java,JSONPointerTest,toStringEscaping_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_48,JSON-java,JSONPointerTest,emptyPointerToString_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_49,JSON-java,JSONPointerTest,toURIFragment_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_50,JSON-java,JSONPointerTest,tokenListIsCopiedInConstructor_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_51,JSON-java,JSONPointerTest,queryFromJSONObject_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_52,JSON-java,JSONPointerTest,queryFromJSONObjectUsingPointer_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_53,JSON-java,JSONPointerTest,optQueryFromJSONObjectUsingPointer_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_54,JSON-java,JSONPointerTest,queryFromJSONArray_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_55,JSON-java,JSONPointerTest,queryFromJSONArrayUsingPointer_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_56,JSON-java,JSONPointerTest,optQueryFromJSONArrayUsingPointer_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_57,JSON-java,JSONPointerTest,queryFromJSONObjectUsingPointer0_oe,src/test/java/org/json/junit/JSONPointerTest.java,,,,multiple
JSON-java_59,JSON-java,XMLTest,shouldHandleEmptyXML_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_60,JSON-java,XMLTest,shouldHandleNonXML_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_66,JSON-java,XMLTest,shouldHandleNullJSONXML_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_67,JSON-java,XMLTest,shouldHandleEmptyJSONXML_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_68,JSON-java,XMLTest,testJsonToXmlEscape_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_69,JSON-java,XMLTest,shouldHandleContentNoArraytoString_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_70,JSON-java,XMLTest,shouldHandleContentArraytoString_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_71,JSON-java,XMLTest,shouldHandleArraytoString_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_72,JSON-java,XMLTest,shouldHandleEmptyArray_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_73,JSON-java,XMLTest,shouldHandleEmptyMultiArray_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_74,JSON-java,XMLTest,shouldHandleNonEmptyArray_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_75,JSON-java,XMLTest,shouldHandleMultiArray_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_76,JSON-java,XMLTest,shouldHandleIllegalJSONNodeNames_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_77,JSON-java,XMLTest,shouldHandleNullNodeValue_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_78,JSON-java,XMLTest,contentOperations_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_79,JSON-java,XMLTest,testToJSONArray_reversibility_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_80,JSON-java,XMLTest,testToJsonXML_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_81,JSON-java,XMLTest,testUnescape_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_82,JSON-java,XMLTest,testToJsonWithNullWhenNilConversionEnabled_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_83,JSON-java,XMLTest,testToJsonWithNullWhenNilConversionDisabled_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_84,JSON-java,XMLTest,testIssue537CaseSensitiveHexEscapeFullFile_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_85,JSON-java,XMLTest,testIssue537CaseSensitiveHexUnEscapeDirect_oe,src/test/java/org/json/junit/XMLTest.java,,,,multiple
JSON-java_88,JSON-java,XMLConfigurationTest,shouldHandleEmptyXML_oe,src/test/java/org/json/junit/XMLConfigurationTest.java,,,,multiple
JSON-java_89,JSON-java,XMLConfigurationTest,shouldHandleNonXML_oe,src/test/java/org/json/junit/XMLConfigurationTest.java,,,,multiple
JSON-java_95,JSON-java,XMLConfigurationTest,shouldHandleNullJSONXML_oe,src/test/java/org/json/junit/XMLConfigurationTest.java,,,,multiple
JSON-java_96,JSON-java,XMLConfigurationTest,shouldHandleEmptyJSONXML_oe,src/test/java/org/json/junit/XMLConfigurationTest.java,,,,multiple
JSON-java_97,JSON-java,XMLConfigurationTest,shouldHandleContentNoArraytoString_oe,src/test/java/org/json/junit/XMLConfigurationTest.java,,,,multiple
JSON-java_98,JSON-java,XMLConfigurationTest,shouldHandleContentArraytoString_oe,src/test/java/org/json/junit/XMLConfigurationTest.java,,,,multiple
JSON-java_99,JSON-java,XMLConfigurationTest,shouldHandleArraytoString_oe,src/test/java/org/json/junit/XMLConfigurationTest.java,,,,multiple
JSON-java_100,JSON-java,XMLConfigurationTest,shouldHandleEmptyArray_oe,src/test/java/org/json/junit/XMLConfigurationTest.java,,,,multiple
JSON-java_101,JSON-java,XMLConfigurationTest,shouldHandleEmptyMultiArray_oe,src/test/java/org/json/junit/XMLConfigurationTest.java,,,,multiple
JSON-java_102,JSON-java,XMLConfigurationTest,shouldHandleNonEmptyArray_oe,src/test/java/org/json/junit/XMLConfigurationTest.java,,,,multiple
JSON-java_103,JSON-java,XMLConfigurationTest,shouldHandleMultiArray_oe,src/test/java/org/json/junit/XMLConfigurationTest.java,,,,multiple
JSON-java_104,JSON-java,XMLConfigurationTest,shouldHandleIllegalJSONNodeNames_oe,src/test/java/org/json/junit/XMLConfigurationTest.java,,,,multiple
JSON-java_105,JSON-java,XMLConfigurationTest,shouldHandleNullNodeValue_oe,src/test/java/org/json/junit/XMLConfigurationTest.java,,,,multiple
JSON-java_106,JSON-java,XMLConfigurationTest,contentOperations_oe,src/test/java/org/json/junit/XMLConfigurationTest.java,,,,multiple
