id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,dataset_type
async-http-client_1,async-http-client,Utf8ByteBufCharsetDecoderTest,testByteBuf2BytesHasBackingArray_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/Utf8ByteBufCharsetDecoderTest.java,,,,multiple
async-http-client_2,async-http-client,Utf8ByteBufCharsetDecoderTest,testByteBuf2BytesNoBackingArray_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/Utf8ByteBufCharsetDecoderTest.java,,,,multiple
async-http-client_3,async-http-client,Utf8ByteBufCharsetDecoderTest,byteBufs2StringShouldBeAbleToDealWithCharsWithVariableBytesLength_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/Utf8ByteBufCharsetDecoderTest.java,,,,multiple
async-http-client_4,async-http-client,Utf8ByteBufCharsetDecoderTest,byteBufs2StringShouldBeAbleToDealWithBrokenCharsTheSameWayAsJavaImpl_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/Utf8ByteBufCharsetDecoderTest.java,,,,multiple
async-http-client_5,async-http-client,ByteBufUtilsTests,testByteBuf2BytesEmptyByteBuf_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/ByteBufUtilsTests.java,,,,multiple
async-http-client_6,async-http-client,ByteBufUtilsTests,testByteBuf2BytesNotEmptyByteBuf_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/ByteBufUtilsTests.java,,,,multiple
async-http-client_7,async-http-client,ByteBufUtilsTests,testByteBuf2String_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/ByteBufUtilsTests.java,,,,multiple
async-http-client_8,async-http-client,ByteBufUtilsTests,testByteBuf2StringWithByteBufArray_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/ByteBufUtilsTests.java,,,,multiple
async-http-client_9,async-http-client,ByteBufUtilsTests,testByteBuf2Chars_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/ByteBufUtilsTests.java,,,,multiple
async-http-client_10,async-http-client,ByteBufUtilsTests,testByteBuf2CharsWithByteBufArray_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/ByteBufUtilsTests.java,,,,multiple
async-http-client_11,async-http-client,ByteBufUtilsTests,testByteBuf2CharsWithEmptyByteBufArray_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/ByteBufUtilsTests.java,,,,multiple
async-http-client_12,async-http-client,ClientStatsTest,testClientStatus_oe,client/src/test/java/org/asynchttpclient/ClientStatsTest.java,,,,multiple
async-http-client_13,async-http-client,ClientStatsTest,testClientStatusNoKeepalive_oe,client/src/test/java/org/asynchttpclient/ClientStatsTest.java,,,,multiple
