id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,dataset_type
commons-beanutils_1,commons-beanutils,LazyDynaClassTestCase,testAddProperty1_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,multiple
commons-beanutils_2,commons-beanutils,LazyDynaClassTestCase,testAddProperty2_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,multiple
commons-beanutils_3,commons-beanutils,LazyDynaClassTestCase,testAddProperty3_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,multiple
commons-beanutils_4,commons-beanutils,LazyDynaClassTestCase,testAddPropertyNullName1_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,multiple
commons-beanutils_5,commons-beanutils,LazyDynaClassTestCase,testAddPropertyNullName2_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,multiple
commons-beanutils_6,commons-beanutils,LazyDynaClassTestCase,testAddPropertyNullName3_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,multiple
commons-beanutils_10,commons-beanutils,LazyDynaClassTestCase,testGetPropertyDoesntExist1_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,multiple
commons-beanutils_11,commons-beanutils,LazyDynaClassTestCase,testGetPropertyDoesntExist2_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,multiple
commons-beanutils_12,commons-beanutils,LazyDynaClassTestCase,testRemoveProperty_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,multiple
commons-beanutils_13,commons-beanutils,LazyDynaClassTestCase,testRemovePropertyNullName_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,multiple
commons-beanutils_15,commons-beanutils,LazyDynaClassTestCase,testRemovePropertyDoesntExist_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,multiple
commons-beanutils_16,commons-beanutils,IndexedPropertyTestCase,testArrayIndexedPropertyDescriptor_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_17,commons-beanutils,IndexedPropertyTestCase,testListIndexedPropertyDescriptor_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_18,commons-beanutils,IndexedPropertyTestCase,testArrayListIndexedPropertyDescriptor_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_19,commons-beanutils,IndexedPropertyTestCase,testArrayReadMethod_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_20,commons-beanutils,IndexedPropertyTestCase,testArrayWriteMethod_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_21,commons-beanutils,IndexedPropertyTestCase,testArrayIndexedReadMethod_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_22,commons-beanutils,IndexedPropertyTestCase,testArrayIndexedWriteMethod_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_23,commons-beanutils,IndexedPropertyTestCase,testListReadMethod_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_24,commons-beanutils,IndexedPropertyTestCase,testListWriteMethod_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_25,commons-beanutils,IndexedPropertyTestCase,testListIndexedReadMethod_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_26,commons-beanutils,IndexedPropertyTestCase,testListIndexedWriteMethod_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_27,commons-beanutils,IndexedPropertyTestCase,testArrayListReadMethod_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_28,commons-beanutils,IndexedPropertyTestCase,testArrayListWriteMethod_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_29,commons-beanutils,IndexedPropertyTestCase,testGetArray_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_30,commons-beanutils,IndexedPropertyTestCase,testGetArrayAsString_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_31,commons-beanutils,IndexedPropertyTestCase,testGetArrayItemA_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_32,commons-beanutils,IndexedPropertyTestCase,testGetArrayItemB_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_33,commons-beanutils,IndexedPropertyTestCase,testGetList_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_34,commons-beanutils,IndexedPropertyTestCase,testGetListAsString_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_35,commons-beanutils,IndexedPropertyTestCase,testGetListItemA_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_36,commons-beanutils,IndexedPropertyTestCase,testGetListItemB_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_37,commons-beanutils,IndexedPropertyTestCase,testSetArray_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_38,commons-beanutils,IndexedPropertyTestCase,testSetArrayItemA_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_39,commons-beanutils,IndexedPropertyTestCase,testSetArrayItemB_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_40,commons-beanutils,IndexedPropertyTestCase,testSetList_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_41,commons-beanutils,IndexedPropertyTestCase,testSetListItemA_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_42,commons-beanutils,IndexedPropertyTestCase,testSetListItemB_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_43,commons-beanutils,IndexedPropertyTestCase,testGetArrayList_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_44,commons-beanutils,IndexedPropertyTestCase,testSetArrayList_oe,src/test/java/org/apache/commons/beanutils/IndexedPropertyTestCase.java,,,,multiple
commons-beanutils_45,commons-beanutils,MethodUtilsTestCase,testGetAccessibleMethod_oe,src/test/java/org/apache/commons/beanutils/MethodUtilsTestCase.java,,,,multiple
commons-beanutils_46,commons-beanutils,MethodUtilsTestCase,testGetAccessibleMethodFromInterface_oe,src/test/java/org/apache/commons/beanutils/MethodUtilsTestCase.java,,,,multiple
commons-beanutils_47,commons-beanutils,MethodUtilsTestCase,testGetAccessibleMethodIndirectInterface_oe,src/test/java/org/apache/commons/beanutils/MethodUtilsTestCase.java,,,,multiple
commons-beanutils_48,commons-beanutils,MethodUtilsTestCase,testInvokeExactMethod_oe,src/test/java/org/apache/commons/beanutils/MethodUtilsTestCase.java,,,,multiple
commons-beanutils_49,commons-beanutils,MethodUtilsTestCase,testInvokeExactMethodFromInterface_oe,src/test/java/org/apache/commons/beanutils/MethodUtilsTestCase.java,,,,multiple
commons-beanutils_50,commons-beanutils,MethodUtilsTestCase,testInvokeExactMethodIndirectInterface_oe,src/test/java/org/apache/commons/beanutils/MethodUtilsTestCase.java,,,,multiple
commons-beanutils_51,commons-beanutils,MethodUtilsTestCase,testInvokeExactMethodNullArray_oe,src/test/java/org/apache/commons/beanutils/MethodUtilsTestCase.java,,,,multiple
commons-beanutils_52,commons-beanutils,MethodUtilsTestCase,testInvokeExactMethodNullArrayNullArray_oe,src/test/java/org/apache/commons/beanutils/MethodUtilsTestCase.java,,,,multiple
commons-beanutils_53,commons-beanutils,MethodUtilsTestCase,testInvokeExactMethodNull_oe,src/test/java/org/apache/commons/beanutils/MethodUtilsTestCase.java,,,,multiple
commons-beanutils_54,commons-beanutils,MethodUtilsTestCase,testInvokeMethod_oe,src/test/java/org/apache/commons/beanutils/MethodUtilsTestCase.java,,,,multiple
commons-beanutils_55,commons-beanutils,MethodUtilsTestCase,testInvokeMethodObject_oe,src/test/java/org/apache/commons/beanutils/MethodUtilsTestCase.java,,,,multiple
