id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,dataset_type
commons-dbutils_1,commons-dbutils,QueryLoaderTest,testLoad_oe,src/test/java/org/apache/commons/dbutils/QueryLoaderTest.java,,,,multiple
commons-dbutils_3,commons-dbutils,BeanProcessorTest,testProcessWithToBean_oe,src/test/java/org/apache/commons/dbutils/BeanProcessorTest.java,,,,multiple
commons-dbutils_4,commons-dbutils,BeanProcessorTest,testProcessWithPopulateBean_oe,src/test/java/org/apache/commons/dbutils/BeanProcessorTest.java,,,,multiple
commons-dbutils_5,commons-dbutils,BeanProcessorTest,testMapColumnToProperties_oe,src/test/java/org/apache/commons/dbutils/BeanProcessorTest.java,,,,multiple
commons-dbutils_6,commons-dbutils,BeanProcessorTest,testMapColumnToPropertiesWithOverrides_oe,src/test/java/org/apache/commons/dbutils/BeanProcessorTest.java,,,,multiple
commons-dbutils_11,commons-dbutils,QueryRunnerTest,testGoodInsert_oe,src/test/java/org/apache/commons/dbutils/QueryRunnerTest.java,,,,multiple
commons-dbutils_12,commons-dbutils,QueryRunnerTest,testGoodBatchInsert_oe,src/test/java/org/apache/commons/dbutils/QueryRunnerTest.java,,,,multiple
commons-dbutils_13,commons-dbutils,QueryRunnerTest,testExecuteWithMultipleResultSets_oe,src/test/java/org/apache/commons/dbutils/QueryRunnerTest.java,,,,multiple
commons-dbutils_14,commons-dbutils,ServiceLoaderTest,testFindsLocalColumnHandler_oe,src/test/java/org/apache/commons/dbutils/ServiceLoaderTest.java,,,,multiple
commons-dbutils_15,commons-dbutils,ServiceLoaderTest,testFindsLocalPropertyHandler_oe,src/test/java/org/apache/commons/dbutils/ServiceLoaderTest.java,,,,multiple
commons-dbutils_16,commons-dbutils,ServiceLoaderTest,testFindMoreThanLocalColumns_oe,src/test/java/org/apache/commons/dbutils/ServiceLoaderTest.java,,,,multiple
commons-dbutils_17,commons-dbutils,ServiceLoaderTest,testFindMoreThanLocalProperties_oe,src/test/java/org/apache/commons/dbutils/ServiceLoaderTest.java,,,,multiple
commons-dbutils_18,commons-dbutils,DbUtilsTest,commitAndCloseWithException_oe,src/test/java/org/apache/commons/dbutils/DbUtilsTest.java,,,,multiple
commons-dbutils_19,commons-dbutils,DbUtilsTest,rollbackAndCloseWithException_oe,src/test/java/org/apache/commons/dbutils/DbUtilsTest.java,,,,multiple
commons-dbutils_20,commons-dbutils,DbUtilsTest,testLoadDriverReturnsFalse_oe,src/test/java/org/apache/commons/dbutils/DbUtilsTest.java,,,,multiple
commons-dbutils_21,commons-dbutils,OutParameterTest,testSetValue_oe,src/test/java/org/apache/commons/dbutils/OutParameterTest.java,,,,multiple
commons-dbutils_22,commons-dbutils,BaseTestCase,testCheckDataSizes_oe,src/test/java/org/apache/commons/dbutils/BaseTestCase.java,,,,multiple
commons-dbutils_23,commons-dbutils,BaseTestCase,testResultSets_oe,src/test/java/org/apache/commons/dbutils/BaseTestCase.java,,,,multiple
commons-dbutils_25,commons-dbutils,ProxyFactoryTest,testCreateConnection_oe,src/test/java/org/apache/commons/dbutils/ProxyFactoryTest.java,,,,multiple
commons-dbutils_26,commons-dbutils,ProxyFactoryTest,testCreateDriver_oe,src/test/java/org/apache/commons/dbutils/ProxyFactoryTest.java,,,,multiple
commons-dbutils_27,commons-dbutils,ProxyFactoryTest,testCreatePreparedStatement_oe,src/test/java/org/apache/commons/dbutils/ProxyFactoryTest.java,,,,multiple
commons-dbutils_28,commons-dbutils,ProxyFactoryTest,testCreateResultSet_oe,src/test/java/org/apache/commons/dbutils/ProxyFactoryTest.java,,,,multiple
commons-dbutils_29,commons-dbutils,ProxyFactoryTest,testCreateResultSetMetaData_oe,src/test/java/org/apache/commons/dbutils/ProxyFactoryTest.java,,,,multiple
commons-dbutils_30,commons-dbutils,ProxyFactoryTest,testCreateStatement_oe,src/test/java/org/apache/commons/dbutils/ProxyFactoryTest.java,,,,multiple
commons-dbutils_31,commons-dbutils,ProxyFactoryTest,testCreateCallableStatement_oe,src/test/java/org/apache/commons/dbutils/ProxyFactoryTest.java,,,,multiple
commons-dbutils_32,commons-dbutils,ResultSetIteratorTest,testNext_oe,src/test/java/org/apache/commons/dbutils/ResultSetIteratorTest.java,,,,multiple
commons-dbutils_34,commons-dbutils,BasicRowProcessorTest,testToArray_oe,src/test/java/org/apache/commons/dbutils/BasicRowProcessorTest.java,,,,multiple
commons-dbutils_35,commons-dbutils,BasicRowProcessorTest,testToBean_oe,src/test/java/org/apache/commons/dbutils/BasicRowProcessorTest.java,,,,multiple
commons-dbutils_36,commons-dbutils,BasicRowProcessorTest,testToBeanList_oe,src/test/java/org/apache/commons/dbutils/BasicRowProcessorTest.java,,,,multiple
commons-dbutils_37,commons-dbutils,BasicRowProcessorTest,testToMap_oe,src/test/java/org/apache/commons/dbutils/BasicRowProcessorTest.java,,,,multiple
commons-dbutils_38,commons-dbutils,BasicRowProcessorTest,testToMapOrdering_oe,src/test/java/org/apache/commons/dbutils/BasicRowProcessorTest.java,,,,multiple
commons-dbutils_39,commons-dbutils,StatementConfigurationTest,testEmptyBuilder_oe,src/test/java/org/apache/commons/dbutils/StatementConfigurationTest.java,,,,multiple
commons-dbutils_40,commons-dbutils,StatementConfigurationTest,testBuilder_oe,src/test/java/org/apache/commons/dbutils/StatementConfigurationTest.java,,,,multiple
