id,test_prefix,test_name,focal_method,docstring
net_2_1,"    public void testProxySettings_1_oe()
    {
        final SocketClient socketClient = new FTPClient();
        assertNull(socketClient.getProxy());
    }",SocketClientTest::testProxySettings_1_oe,"public Proxy getProxy() {
        return connProxy;
    }","/**
     * Gets the proxy for use with all the connections.
     * @return the current proxy for connections.
     */"
net_2_2,"    public void testProxySettings_2_oe()
    {
        final SocketClient socketClient = new FTPClient();
        final Proxy proxy = new Proxy(Proxy.Type.SOCKS, new InetSocketAddress(PROXY_HOST, PROXY_PORT));
        socketClient.setProxy(proxy);
        assertEquals(proxy, socketClient.getProxy());
    }",SocketClientTest::testProxySettings_2_oe,"public Proxy getProxy() {
        return connProxy;
    }","/**
     * Gets the proxy for use with all the connections.
     * @return the current proxy for connections.
     */"
net_2_3,"    public void testProxySettings_3_oe()
    {
        final SocketClient socketClient = new FTPClient();
        final Proxy proxy = new Proxy(Proxy.Type.SOCKS, new InetSocketAddress(PROXY_HOST, PROXY_PORT));
        socketClient.setProxy(proxy);
        assertFalse(socketClient.isConnected());
    }",SocketClientTest::testProxySettings_3_oe,"public boolean isConnected()
    {
        if (_socket_ == null) {
            return false;
        }

        return _socket_.isConnected();
    }","/**
     * Returns true if the client is currently connected to a server.
     * <p>
     * Delegates to {@link Socket#isConnected()}
     * @return True if the client is currently connected to a server,
     *         false otherwise.
     */"
net_3_1,"    public void testAddresses_1_oe() {
        final SubnetUtils utils = new SubnetUtils(""192.168.0.1/29"");
        final SubnetInfo info = utils.getInfo();
        assertTrue(info.isInRange(""192.168.0.1""));
    }",SubnetUtilsTest::testAddresses_1_oe,"public boolean isInRange(final String address) {
            return isInRange(toInteger(address));
        }","/**
         * Returns true if the parameter <code>address</code> is in the
         * range of usable endpoint addresses for this subnet. This excludes the
         * network and broadcast addresses. Use {@link SubnetUtils#setInclusiveHostCount(boolean)}
         * to change this.
         * @param address A dot-delimited IPv4 address, e.g. ""192.168.0.1""
         * @return True if in range, false otherwise
         */"
net_3_2,"    public void testAddresses_2_oe() {
        final SubnetUtils utils = new SubnetUtils(""192.168.0.1/29"");
        final SubnetInfo info = utils.getInfo();
        assertTrue(info.isInRange(""192.168.0.2""));
    }",SubnetUtilsTest::testAddresses_2_oe,"public boolean isInRange(final String address) {
            return isInRange(toInteger(address));
        }","/**
         * Returns true if the parameter <code>address</code> is in the
         * range of usable endpoint addresses for this subnet. This excludes the
         * network and broadcast addresses. Use {@link SubnetUtils#setInclusiveHostCount(boolean)}
         * to change this.
         * @param address A dot-delimited IPv4 address, e.g. ""192.168.0.1""
         * @return True if in range, false otherwise
         */"
net_3_3,"    public void testAddresses_3_oe() {
        final SubnetUtils utils = new SubnetUtils(""192.168.0.1/29"");
        final SubnetInfo info = utils.getInfo();
        assertTrue(info.isInRange(""192.168.0.3""));
    }",SubnetUtilsTest::testAddresses_3_oe,"public boolean isInRange(final String address) {
            return isInRange(toInteger(address));
        }","/**
         * Returns true if the parameter <code>address</code> is in the
         * range of usable endpoint addresses for this subnet. This excludes the
         * network and broadcast addresses. Use {@link SubnetUtils#setInclusiveHostCount(boolean)}
         * to change this.
         * @param address A dot-delimited IPv4 address, e.g. ""192.168.0.1""
         * @return True if in range, false otherwise
         */"
net_3_4,"    public void testAddresses_4_oe() {
        final SubnetUtils utils = new SubnetUtils(""192.168.0.1/29"");
        final SubnetInfo info = utils.getInfo();
        assertTrue(info.isInRange(""192.168.0.4""));
    }",SubnetUtilsTest::testAddresses_4_oe,"public boolean isInRange(final String address) {
            return isInRange(toInteger(address));
        }","/**
         * Returns true if the parameter <code>address</code> is in the
         * range of usable endpoint addresses for this subnet. This excludes the
         * network and broadcast addresses. Use {@link SubnetUtils#setInclusiveHostCount(boolean)}
         * to change this.
         * @param address A dot-delimited IPv4 address, e.g. ""192.168.0.1""
         * @return True if in range, false otherwise
         */"
net_3_5,"    public void testAddresses_5_oe() {
        final SubnetUtils utils = new SubnetUtils(""192.168.0.1/29"");
        final SubnetInfo info = utils.getInfo();
        assertTrue(info.isInRange(""192.168.0.5""));
    }",SubnetUtilsTest::testAddresses_5_oe,"public boolean isInRange(final String address) {
            return isInRange(toInteger(address));
        }","/**
         * Returns true if the parameter <code>address</code> is in the
         * range of usable endpoint addresses for this subnet. This excludes the
         * network and broadcast addresses. Use {@link SubnetUtils#setInclusiveHostCount(boolean)}
         * to change this.
         * @param address A dot-delimited IPv4 address, e.g. ""192.168.0.1""
         * @return True if in range, false otherwise
         */"
net_3_6,"    public void testAddresses_6_oe() {
        final SubnetUtils utils = new SubnetUtils(""192.168.0.1/29"");
        final SubnetInfo info = utils.getInfo();
        assertTrue(info.isInRange(""192.168.0.6""));
    }",SubnetUtilsTest::testAddresses_6_oe,"public boolean isInRange(final String address) {
            return isInRange(toInteger(address));
        }","/**
         * Returns true if the parameter <code>address</code> is in the
         * range of usable endpoint addresses for this subnet. This excludes the
         * network and broadcast addresses. Use {@link SubnetUtils#setInclusiveHostCount(boolean)}
         * to change this.
         * @param address A dot-delimited IPv4 address, e.g. ""192.168.0.1""
         * @return True if in range, false otherwise
         */"
net_3_7,"    public void testAddresses_7_oe() {
        final SubnetUtils utils = new SubnetUtils(""192.168.0.1/29"");
        final SubnetInfo info = utils.getInfo();
        assertFalse(info.isInRange(""192.168.0.7""));
    }",SubnetUtilsTest::testAddresses_7_oe,"public boolean isInRange(final String address) {
            return isInRange(toInteger(address));
        }","/**
         * Returns true if the parameter <code>address</code> is in the
         * range of usable endpoint addresses for this subnet. This excludes the
         * network and broadcast addresses. Use {@link SubnetUtils#setInclusiveHostCount(boolean)}
         * to change this.
         * @param address A dot-delimited IPv4 address, e.g. ""192.168.0.1""
         * @return True if in range, false otherwise
         */"
