id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type
pool_1_1,commons-pool2,TestBasePoolableObjectFactory,,src/test/java/org/apache/commons/pool2/TestBasePoolableObjectFactory.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/BasePooledObjectFactory.java,org.apache.commons.pool2.BasePooledObjectFactory,org.apache.commons.pool2,ASSERTION_ONLY
pool_2_1,commons-pool2,TestBasePoolableObjectFactory,,src/test/java/org/apache/commons/pool2/TestBasePoolableObjectFactory.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PooledObjectFactory.java,org.apache.commons.pool2.PooledObjectFactory,org.apache.commons.pool2,ASSERTION_ONLY
pool_2_2,commons-pool2,TestBasePoolableObjectFactory,,src/test/java/org/apache/commons/pool2/TestBasePoolableObjectFactory.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PooledObjectFactory.java,org.apache.commons.pool2.PooledObjectFactory,org.apache.commons.pool2,ASSERTION_ONLY
pool_4_1,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,ASSERTION_ONLY
pool_4_2,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,ASSERTION_ONLY
pool_4_3,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,ASSERTION_ONLY
pool_4_4,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,ASSERTION_ONLY
pool_4_5,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,ASSERTION_ONLY
pool_4_6,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,,,,ASSERTION_ONLY
pool_5_1,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils.ErodingKeyedObjectPool,org.apache.commons.pool2,ASSERTION_ONLY
pool_5_2,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils.ErodingKeyedObjectPool,org.apache.commons.pool2,ASSERTION_ONLY
pool_5_3,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils.ErodingKeyedObjectPool,org.apache.commons.pool2,ASSERTION_ONLY
pool_5_4,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils.ErodingKeyedObjectPool,org.apache.commons.pool2,ASSERTION_ONLY
pool_5_5,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils.ErodingKeyedObjectPool,org.apache.commons.pool2,ASSERTION_ONLY
pool_5_6,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils.ErodingKeyedObjectPool,org.apache.commons.pool2,ASSERTION_ONLY
pool_5_7,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils.ErodingKeyedObjectPool,org.apache.commons.pool2,ASSERTION_ONLY
pool_5_8,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils.ErodingKeyedObjectPool,org.apache.commons.pool2,ASSERTION_ONLY
pool_5_9,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils.ErodingKeyedObjectPool,org.apache.commons.pool2,ASSERTION_ONLY
pool_6_1,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils.ErodingKeyedObjectPool,org.apache.commons.pool2,ASSERTION_ONLY
pool_6_2,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils.ErodingKeyedObjectPool,org.apache.commons.pool2,ASSERTION_ONLY
pool_6_3,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils.ErodingKeyedObjectPool,org.apache.commons.pool2,ASSERTION_ONLY
pool_6_4,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils.ErodingKeyedObjectPool,org.apache.commons.pool2,ASSERTION_ONLY
pool_6_5,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils.ErodingKeyedObjectPool,org.apache.commons.pool2,ASSERTION_ONLY
pool_6_6,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils.ErodingKeyedObjectPool,org.apache.commons.pool2,ASSERTION_ONLY
pool_6_7,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils.ErodingKeyedObjectPool,org.apache.commons.pool2,ASSERTION_ONLY
pool_6_8,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils.ErodingKeyedObjectPool,org.apache.commons.pool2,ASSERTION_ONLY
pool_6_9,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils.ErodingKeyedObjectPool,org.apache.commons.pool2,ASSERTION_ONLY
pool_7_1,commons-pool2,TestKeyedObjectPool,,src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-pool2/src/main/java/org/apache/commons/pool2/PoolUtils.java,org.apache.commons.pool2.PoolUtils.ErodingKeyedObjectPool,org.apache.commons.pool2,ASSERTION_ONLY
