id,test_prefix,test_name,focal_method,docstring
spark_1_1,"    @Test
    public void testConstructor_1_oe(){
        route = new RouteImpl(PATH_TEST) {
            @Override
            public Object handle(Request request, Response response) throws Exception {
                return null;
            }
        };
        assertEquals(""Should return path specified"", PATH_TEST, route.getPath());
    }",RouteImplTest::testConstructor_1_oe,"public String getPath() {
        return this.path;
    }","/**
     * @return the path
     */"
spark_2_1,"    @Test
    public void testGets_thenReturnGetPathAndGetAcceptTypeSuccessfully_1_oe() throws Exception {
        route = RouteImpl.create(PATH_TEST, ACCEPT_TYPE_TEST, null);
        assertEquals(""Should return path specified"", PATH_TEST, route.getPath());
    }",RouteImplTest::testGets_thenReturnGetPathAndGetAcceptTypeSuccessfully_1_oe,"public String getPath() {
        return this.path;
    }","/**
     * @return the path
     */"
spark_2_2,"    @Test
    public void testGets_thenReturnGetPathAndGetAcceptTypeSuccessfully_2_oe() throws Exception {
        route = RouteImpl.create(PATH_TEST, ACCEPT_TYPE_TEST, null);
        assertEquals(""Should return accept type specified"", ACCEPT_TYPE_TEST, route.getAcceptType());
    }",RouteImplTest::testGets_thenReturnGetPathAndGetAcceptTypeSuccessfully_2_oe,"public String getAcceptType() {
        return acceptType;
    }","/**
     * @return the accept type
     */"
spark_3_1,"    @Test
    public void testCreate_whenOutAssignAcceptTypeInTheParameters_thenReturnPathAndAcceptTypeSuccessfully_1_oe(){
        route = RouteImpl.create(PATH_TEST, null);
        assertEquals(""Should return path specified"", PATH_TEST, route.getPath());
    }",RouteImplTest::testCreate_whenOutAssignAcceptTypeInTheParameters_thenReturnPathAndAcceptTypeSuccessfully_1_oe,"public String getPath() {
        return this.path;
    }","/**
     * @return the path
     */"
spark_3_2,"    @Test
    public void testCreate_whenOutAssignAcceptTypeInTheParameters_thenReturnPathAndAcceptTypeSuccessfully_2_oe(){
        route = RouteImpl.create(PATH_TEST, null);
        assertEquals(""Should return the default accept type"", RouteImpl.DEFAULT_ACCEPT_TYPE, route.getAcceptType());
    }",RouteImplTest::testCreate_whenOutAssignAcceptTypeInTheParameters_thenReturnPathAndAcceptTypeSuccessfully_2_oe,"public String getAcceptType() {
        return acceptType;
    }","/**
     * @return the accept type
     */"
spark_4_1,"    @Test
    public void testCreate_whenAcceptTypeNullValueInTheParameters_thenReturnPathAndAcceptTypeSuccessfully_1_oe(){
        route = RouteImpl.create(PATH_TEST, null, null);
        assertEquals(""Should return path specified"", PATH_TEST, route.getPath());
    }",RouteImplTest::testCreate_whenAcceptTypeNullValueInTheParameters_thenReturnPathAndAcceptTypeSuccessfully_1_oe,"public String getPath() {
        return this.path;
    }","/**
     * @return the path
     */"
spark_4_2,"    @Test
    public void testCreate_whenAcceptTypeNullValueInTheParameters_thenReturnPathAndAcceptTypeSuccessfully_2_oe(){
        route = RouteImpl.create(PATH_TEST, null, null);
        assertEquals(""Should return the default accept type"", RouteImpl.DEFAULT_ACCEPT_TYPE, route.getAcceptType());
    }",RouteImplTest::testCreate_whenAcceptTypeNullValueInTheParameters_thenReturnPathAndAcceptTypeSuccessfully_2_oe,"public String getAcceptType() {
        return acceptType;
    }","/**
     * @return the accept type
     */"
spark_5_1,"    @Test
    public void testRender_whenElementParameterValid_thenReturnValidObject_1_oe() throws Exception {
        String finalObjValue = ""object_value"";
        route = RouteImpl.create(PATH_TEST, null);
        Object value = route.render(finalObjValue);
        assertNotNull(""Should return an Object because we configured it to have one"", value);
    }",RouteImplTest::testRender_whenElementParameterValid_thenReturnValidObject_1_oe,"public Object render(Object element) throws Exception {
        return element;
    }","/**
     * This method should render the given element into something that can be send through Response element.
     * By default this method returns the result of calling toString method in given element, but can be overridden.
     *
     * @param element to be rendered.
     * @return body content.
     * @throws java.lang.Exception when render fails
     */"
spark_5_2,"    @Test
    public void testRender_whenElementParameterValid_thenReturnValidObject_2_oe() throws Exception {
        String finalObjValue = ""object_value"";
        route = RouteImpl.create(PATH_TEST, null);
        Object value = route.render(finalObjValue);
        assertEquals(""Should return a string object specified"", finalObjValue, value.toString());
    }",RouteImplTest::testRender_whenElementParameterValid_thenReturnValidObject_2_oe,"public Object render(Object element) throws Exception {
        return element;
    }","/**
     * This method should render the given element into something that can be send through Response element.
     * By default this method returns the result of calling toString method in given element, but can be overridden.
     *
     * @param element to be rendered.
     * @return body content.
     * @throws java.lang.Exception when render fails
     */"
spark_6_1,"    @Test
    public void testRender_whenElementParameterIsNull_thenReturnNull_1_oe() throws Exception {
        route = RouteImpl.create(PATH_TEST, null);
        Object value = route.render(null);
        assertNull(""Should return null because the element from render is null"", value);
    }",RouteImplTest::testRender_whenElementParameterIsNull_thenReturnNull_1_oe,"public Object render(Object element) throws Exception {
        return element;
    }","/**
     * This method should render the given element into something that can be send through Response element.
     * By default this method returns the result of calling toString method in given element, but can be overridden.
     *
     * @param element to be rendered.
     * @return body content.
     * @throws java.lang.Exception when render fails
     */"
spark_7_1,"    @Test
    public void testPatch_1_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""PATCH"", ""/patcher"", ""Fo shizzy"");
        LOGGER.info(response.body);
        Assert.assertEquals(200, response.status);
    }",GenericIntegrationTest::testPatch_1_oe,,
spark_7_2,"    @Test
    public void testPatch_2_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""PATCH"", ""/patcher"", ""Fo shizzy"");
        LOGGER.info(response.body);
        Assert.assertTrue(response.body.contains(""Fo shizzy""));
    }",GenericIntegrationTest::testPatch_2_oe,,
spark_8_1,"    @Test
    public void testSessionReset_1_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/session_reset"", null);
        Assert.assertEquals(200, response.status);
    }",GenericIntegrationTest::testSessionReset_1_oe,,
spark_8_2,"    @Test
    public void testSessionReset_2_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/session_reset"", null);
        Assert.assertEquals(""22222"", response.body);
    }",GenericIntegrationTest::testSessionReset_2_oe,,
spark_9_1,"    @Test
    public void testStaticFile_1_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/css/style.css"", null);
        Assert.assertEquals(200, response.status);
    }",GenericIntegrationTest::testStaticFile_1_oe,,
spark_9_2,"    @Test
    public void testStaticFile_2_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/css/style.css"", null);
        Assert.assertEquals(""Content of css file"", response.body);
    }",GenericIntegrationTest::testStaticFile_2_oe,,
spark_10_1,"    @Test
    public void testExternalStaticFile_1_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/externalFile.html"", null);
        Assert.assertEquals(200, response.status);
    }",GenericIntegrationTest::testExternalStaticFile_1_oe,,
spark_10_2,"    @Test
    public void testExternalStaticFile_2_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/externalFile.html"", null);
        Assert.assertEquals(""Content of external file"", response.body);
    }",GenericIntegrationTest::testExternalStaticFile_2_oe,,
spark_11_1,"    @Test
    public void testExceptionMapper_1_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/throwexception"", null);
        Assert.assertEquals(""Exception handled"", response.body);
    }",GenericIntegrationTest::testExceptionMapper_1_oe,,
spark_12_1,"    @Test
    public void testInheritanceExceptionMapper_1_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/throwsubclassofbaseexception"", null);
        Assert.assertEquals(""Exception handled"", response.body);
    }",GenericIntegrationTest::testInheritanceExceptionMapper_1_oe,,
spark_13_1,"    @Test
    public void testNotFoundExceptionMapper_1_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/thrownotfound"", null);
        Assert.assertEquals(NOT_FOUND_BRO, response.body);
    }",GenericIntegrationTest::testNotFoundExceptionMapper_1_oe,,
spark_13_2,"    @Test
    public void testNotFoundExceptionMapper_2_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/thrownotfound"", null);
        Assert.assertEquals(404, response.status);
    }",GenericIntegrationTest::testNotFoundExceptionMapper_2_oe,,
spark_14_1,"    @Test
    public void testTypedExceptionMapper_1_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/throwmeyling"", null);
        Assert.assertEquals(new JWGmeligMeylingException().trustButVerify(), response.body);
    }",GenericIntegrationTest::testTypedExceptionMapper_1_oe,,
spark_15_1,"    @Test
    public void testWebSocketConversation_1_oe() throws Exception {
        String uri = ""ws://localhost:4567/ws"";
        WebSocketClient client = new WebSocketClient();
        WebSocketTestClient ws = new WebSocketTestClient();

        try {
            client.start();
            client.connect(ws, URI.create(uri), new ClientUpgradeRequest());
            ws.awaitClose(30, TimeUnit.SECONDS);
        } finally {
            client.stop();
        }

        List<String> events = WebSocketTestHandler.events;
        Assert.assertEquals(3, events.size(), 3);
    }",GenericIntegrationTest::testWebSocketConversation_1_oe,"public synchronized void stop() {
    	if (!initialized) {
    		return;
    	}
        initiateStop();
    }","/**
     * Stops the Spark server and clears all routes.
     */"
spark_15_2,"    @Test
    public void testWebSocketConversation_2_oe() throws Exception {
        String uri = ""ws://localhost:4567/ws"";
        WebSocketClient client = new WebSocketClient();
        WebSocketTestClient ws = new WebSocketTestClient();

        try {
            client.start();
            client.connect(ws, URI.create(uri), new ClientUpgradeRequest());
            ws.awaitClose(30, TimeUnit.SECONDS);
        } finally {
            client.stop();
        }

        List<String> events = WebSocketTestHandler.events;
        Assert.assertEquals(""onConnect"", events.get(0));
    }",GenericIntegrationTest::testWebSocketConversation_2_oe,"public static void get(final String path, final Route route) {
        getInstance().get(path, route);
    }","/**
     * Map the route for HTTP GET requests
     *
     * @param path  the path
     * @param route The route
     */"
spark_15_3,"    @Test
    public void testWebSocketConversation_3_oe() throws Exception {
        String uri = ""ws://localhost:4567/ws"";
        WebSocketClient client = new WebSocketClient();
        WebSocketTestClient ws = new WebSocketTestClient();

        try {
            client.start();
            client.connect(ws, URI.create(uri), new ClientUpgradeRequest());
            ws.awaitClose(30, TimeUnit.SECONDS);
        } finally {
            client.stop();
        }

        List<String> events = WebSocketTestHandler.events;
        Assert.assertEquals(""onMessage: Hi Spark!"", events.get(1));
    }",GenericIntegrationTest::testWebSocketConversation_3_oe,"public static void get(final String path, final Route route) {
        getInstance().get(path, route);
    }","/**
     * Map the route for HTTP GET requests
     *
     * @param path  the path
     * @param route The route
     */"
spark_15_4,"    @Test
    public void testWebSocketConversation_4_oe() throws Exception {
        String uri = ""ws://localhost:4567/ws"";
        WebSocketClient client = new WebSocketClient();
        WebSocketTestClient ws = new WebSocketTestClient();

        try {
            client.start();
            client.connect(ws, URI.create(uri), new ClientUpgradeRequest());
            ws.awaitClose(30, TimeUnit.SECONDS);
        } finally {
            client.stop();
        }

        List<String> events = WebSocketTestHandler.events;
        Assert.assertEquals(""onClose: 1000 Bye!"", events.get(2));
    }",GenericIntegrationTest::testWebSocketConversation_4_oe,"public static void get(final String path, final Route route) {
        getInstance().get(path, route);
    }","/**
     * Map the route for HTTP GET requests
     *
     * @param path  the path
     * @param route The route
     */"
spark_16_1,"    @Test
    public void path_should_prefix_routes_1_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/firstPath/test"", null, ""application/json"");
        Assert.assertTrue(response.status == 200);
    }",GenericIntegrationTest::path_should_prefix_routes_1_oe,,
spark_16_2,"    @Test
    public void path_should_prefix_routes_2_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/firstPath/test"", null, ""application/json"");
        Assert.assertEquals(""Single path-prefix works"", response.body);
    }",GenericIntegrationTest::path_should_prefix_routes_2_oe,,
spark_16_3,"    @Test
    public void path_should_prefix_routes_3_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/firstPath/test"", null, ""application/json"");
        Assert.assertEquals(""true"", response.headers.get(""before-filter-ran""));
    }",GenericIntegrationTest::path_should_prefix_routes_3_oe,"public static void get(final String path, final Route route) {
        getInstance().get(path, route);
    }","/**
     * Map the route for HTTP GET requests
     *
     * @param path  the path
     * @param route The route
     */"
spark_17_1,"    @Test
    public void paths_should_be_nestable_1_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/firstPath/secondPath/test"", null, ""application/json"");
        Assert.assertTrue(response.status == 200);
    }",GenericIntegrationTest::paths_should_be_nestable_1_oe,,
spark_17_2,"    @Test
    public void paths_should_be_nestable_2_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/firstPath/secondPath/test"", null, ""application/json"");
        Assert.assertEquals(""Nested path-prefix works"", response.body);
    }",GenericIntegrationTest::paths_should_be_nestable_2_oe,,
spark_17_3,"    @Test
    public void paths_should_be_nestable_3_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/firstPath/secondPath/test"", null, ""application/json"");
        Assert.assertEquals(""true"", response.headers.get(""before-filter-ran""));
    }",GenericIntegrationTest::paths_should_be_nestable_3_oe,"public static void get(final String path, final Route route) {
        getInstance().get(path, route);
    }","/**
     * Map the route for HTTP GET requests
     *
     * @param path  the path
     * @param route The route
     */"
spark_18_1,"    @Test
    public void paths_should_be_very_nestable_1_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/firstPath/secondPath/thirdPath/test"", null, ""application/json"");
        Assert.assertTrue(response.status == 200);
    }",GenericIntegrationTest::paths_should_be_very_nestable_1_oe,,
spark_18_2,"    @Test
    public void paths_should_be_very_nestable_2_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/firstPath/secondPath/thirdPath/test"", null, ""application/json"");
        Assert.assertEquals(""Very nested path-prefix works"", response.body);
    }",GenericIntegrationTest::paths_should_be_very_nestable_2_oe,,
spark_18_3,"    @Test
    public void paths_should_be_very_nestable_3_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/firstPath/secondPath/thirdPath/test"", null, ""application/json"");
        Assert.assertEquals(""true"", response.headers.get(""before-filter-ran""));
    }",GenericIntegrationTest::paths_should_be_very_nestable_3_oe,"public static void get(final String path, final Route route) {
        getInstance().get(path, route);
    }","/**
     * Map the route for HTTP GET requests
     *
     * @param path  the path
     * @param route The route
     */"
spark_19_1,"    @Test
    public void testRuntimeExceptionForDone_1_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/exception"", null);
        Assert.assertEquals(""done executed for exception"", response.body);
    }",GenericIntegrationTest::testRuntimeExceptionForDone_1_oe,,
spark_19_2,"    @Test
    public void testRuntimeExceptionForDone_2_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/exception"", null);
        Assert.assertEquals(500, response.status);
    }",GenericIntegrationTest::testRuntimeExceptionForDone_2_oe,,
spark_20_1,"    @Test
    public void testRuntimeExceptionForAllRoutesFinally_1_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/hi"", null);
        Assert.assertEquals(""foobar"", response.headers.get(""after""));
    }",GenericIntegrationTest::testRuntimeExceptionForAllRoutesFinally_1_oe,"public static void get(final String path, final Route route) {
        getInstance().get(path, route);
    }","/**
     * Map the route for HTTP GET requests
     *
     * @param path  the path
     * @param route The route
     */"
spark_20_2,"    @Test
    public void testRuntimeExceptionForAllRoutesFinally_2_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/hi"", null);
        Assert.assertEquals(""nice done response after all"", response.headers.get(""post-process-all""));
    }",GenericIntegrationTest::testRuntimeExceptionForAllRoutesFinally_2_oe,"public static void get(final String path, final Route route) {
        getInstance().get(path, route);
    }","/**
     * Map the route for HTTP GET requests
     *
     * @param path  the path
     * @param route The route
     */"
spark_20_3,"    @Test
    public void testRuntimeExceptionForAllRoutesFinally_3_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""GET"", ""/hi"", null);
        Assert.assertEquals(200, response.status);
    }",GenericIntegrationTest::testRuntimeExceptionForAllRoutesFinally_3_oe,,
spark_21_1,"    @Test
    public void testPostProcessBodyForFinally_1_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""POST"", ""/nice"", """");
        Assert.assertEquals(""nice response"", response.body);
    }",GenericIntegrationTest::testPostProcessBodyForFinally_1_oe,,
spark_21_2,"    @Test
    public void testPostProcessBodyForFinally_2_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""POST"", ""/nice"", """");
        Assert.assertEquals(""nice done response"", response.headers.get(""post-process""));
    }",GenericIntegrationTest::testPostProcessBodyForFinally_2_oe,"public static void get(final String path, final Route route) {
        getInstance().get(path, route);
    }","/**
     * Map the route for HTTP GET requests
     *
     * @param path  the path
     * @param route The route
     */"
spark_21_3,"    @Test
    public void testPostProcessBodyForFinally_3_oe() throws Exception {
        UrlResponse response = testUtil.doMethod(""POST"", ""/nice"", """");
        Assert.assertEquals(200, response.status);
    }",GenericIntegrationTest::testPostProcessBodyForFinally_3_oe,,
