id,test_prefix,test_name
json_6_1,"    @Test
    public void malFormedNameValueException_1_oe() {
        String cookieStr = ""thisCookieHasNoEqualsChar"";
        try {
            Cookie.toJSONObject(cookieStr);
            fail(""Expecting an exception"");
    }
    }
",CookieTest::malFormedNameValueException_1_oe
json_8_1,"    @Test
    public void emptyStringCookieException_1_oe() {
        String cookieStr = """";
        try {
            Cookie.toJSONObject(cookieStr);
            fail(""Expecting an exception"");
    }
    }
",CookieTest::emptyStringCookieException_1_oe
json_9_1,"    @Test
    public void emptyNameCookieException_1_oe() {
        String cookieStr = "" = value "";
        try {
            Cookie.toJSONObject(cookieStr);
            fail(""Expecting an exception"");
    }
    }
",CookieTest::emptyNameCookieException_1_oe
json_13_1,"    @Test
    public void emptyXMLException_1_oe() {
        String xmlStr = """";
        try {
            JSONML.toJSONArray(xmlStr);
            fail(""Expecting an exception"");
    }
    }
",JSONMLTest::emptyXMLException_1_oe
json_14_1,"    @Test
    public void emptyJSONXMLException_1_oe() {
        /**
         * Tries to convert an empty JSONArray to XML.
         */
        JSONArray jsonArray = new JSONArray();
        try {
            JSONML.toString(jsonArray);
            assertTrue(""Expecting an exception"", false);
    }
    }
",JSONMLTest::emptyJSONXMLException_1_oe
json_15_1,"    @Test
    public void nonXMLException_1_oe() {
        /**
         * Attempts to transform a nonXML string to JSON
         */
        String xmlStr = ""{ \""this is\"": \""not xml\""}"";
        try {
            JSONML.toJSONArray(xmlStr);
            fail(""Expecting an exception"");
    }
    }
",JSONMLTest::nonXMLException_1_oe
json_16_1,"    @Test
    public void emptyTagException_1_oe() {
        /**
         * jsonArrayStr is used to build a JSONArray which is then
         * turned into XML. For this transformation, all arrays represent
         * elements and the first array entry is the name of the element.
         * In this case, one of the arrays does not have a name
         */
        String jsonArrayStr =
            ""[\""addresses\"",""+
                ""{\""xsi:noNamespaceSchemaLocation\"":\""test.xsd\"",""+
                    ""\""xmlns:xsi\"":\""http://www.w3.org/2001/XMLSchema-instance\""},""+
                // this array has no name 
                ""[""+
                    ""[\""name\""],""+
                    ""[\""nocontent\""],""+
                    ""\"">\""""+
                ""]""+
            ""]"";
        JSONArray jsonArray = new JSONArray(jsonArrayStr);
        try {
            JSONML.toString(jsonArray);
            assertTrue(""Expecting an exception"", false);
    }
    }
",JSONMLTest::emptyTagException_1_oe
json_17_1,"    @Test
    public void spaceInTagException_1_oe() {
        /**
         * jsonArrayStr is used to build a JSONArray which is then
         * turned into XML. For this transformation, all arrays represent
         * elements and the first array entry is the name of the element.
         * In this case, one of the element names has an embedded space,
         * which is not allowed.
         */
        String jsonArrayStr =
            ""[\""addresses\"",""+
                ""{\""xsi:noNamespaceSchemaLocation\"":\""test.xsd\"",""+
                    ""\""xmlns:xsi\"":\""http://www.w3.org/2001/XMLSchema-instance\""},""+
                // this array has an invalid name
                ""[\""addr esses\"",""+
                    ""[\""name\""],""+
                    ""[\""nocontent\""],""+
                    ""\"">\""""+
                ""]""+
            ""]"";
        JSONArray jsonArray = new JSONArray(jsonArrayStr);
        try {
            JSONML.toString(jsonArray);
            assertTrue(""Expecting an exception"", false);
    }
    }
",JSONMLTest::spaceInTagException_1_oe
json_18_1,"    @Test
    public void invalidSlashInTagException_1_oe() {
        /**
         * xmlStr contains XML text which is transformed into a JSONArray.
         * In this case, the XML is invalid because the 'name' element
         * contains an invalid frontslash.
         */
        String xmlStr = 
            ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?>\n""+
            ""<addresses xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\""""+
            ""   xsi:noNamespaceSchemaLocation='test.xsd'>\n""+
            ""    <address>\n""+
            ""       <name/x>\n""+
            ""       <street>abc street</street>\n""+
            ""    </address>\n""+
            ""</addresses>"";
        try {
            JSONML.toJSONArray(xmlStr);
            fail(""Expecting an exception"");
    }
    }
",JSONMLTest::invalidSlashInTagException_1_oe
json_19_1,"    @Test
    public void invalidBangInTagException_1_oe() {
        String xmlStr = 
            ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?>\n""+
            ""<addresses xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\""""+
            ""   xsi:noNamespaceSchemaLocation='test.xsd'>\n""+
            ""    <address>\n""+
            ""       <name/>\n""+
            ""       <!>\n""+
            ""    </address>\n""+
            ""</addresses>"";
        try {
            JSONML.toJSONArray(xmlStr);
            fail(""Expecting an exception"");
    }
    }
",JSONMLTest::invalidBangInTagException_1_oe
