id,test_prefix,test_name
async_51_1,"  @Test(expectedExceptions = AsyncHttpClientImplException.class)
  public void testRepeatedCallsToBadAsyncHttpClient_1_oe() throws IOException {
    boolean exceptionCaught = false;
    System.setProperty(AsyncImplHelper.ASYNC_HTTP_CLIENT_IMPL_SYSTEM_PROPERTY, NON_EXISTENT_CLIENT_CLASS_NAME);
    AsyncHttpClientConfigHelper.reloadProperties();
    try (AsyncHttpClient ahc = AsyncHttpClientFactory.getAsyncHttpClient()) {
      //
    } catch (AsyncHttpClientImplException e) {
      exceptionCaught = true;
    }
    Assert.assertTrue(exceptionCaught, ""Didn't catch exception the first time"");
  }
",AbstractAsyncHttpClientFactoryTest::testRepeatedCallsToBadAsyncHttpClient_1_oe
async_51_2,"  @Test(expectedExceptions = AsyncHttpClientImplException.class)
  public void testRepeatedCallsToBadAsyncHttpClient_2_oe() throws IOException {
    boolean exceptionCaught = false;
    System.setProperty(AsyncImplHelper.ASYNC_HTTP_CLIENT_IMPL_SYSTEM_PROPERTY, NON_EXISTENT_CLIENT_CLASS_NAME);
    AsyncHttpClientConfigHelper.reloadProperties();
    try (AsyncHttpClient ahc = AsyncHttpClientFactory.getAsyncHttpClient()) {
      //
    } catch (AsyncHttpClientImplException e) {
      exceptionCaught = true;
    }
    // removed other assertion
    exceptionCaught = false;
    try (AsyncHttpClient ahc = AsyncHttpClientFactory.getAsyncHttpClient()) {
      //
    } catch (AsyncHttpClientImplException e) {
      exceptionCaught = true;
    }
    Assert.assertTrue(exceptionCaught, ""Didn't catch exception the second time"");
  }
",AbstractAsyncHttpClientFactoryTest::testRepeatedCallsToBadAsyncHttpClient_2_oe
async_117_2,"  @Test
  public void testRequestTimeout_2_oe() throws IOException {
    try (AsyncHttpClient client = asyncHttpClient()) {
      Future<Response> responseFuture = client.prepareGet(getTargetUrl()).setRequestTimeout(100).execute();
      Response response = responseFuture.get(2000, TimeUnit.MILLISECONDS);
      // removed other assertion
    } catch (InterruptedException e) {
      fail(""Interrupted."", e);
  }
  }
",PerRequestTimeoutTest::testRequestTimeout_2_oe
async_117_3,"  @Test
  public void testRequestTimeout_3_oe() throws IOException {
    try (AsyncHttpClient client = asyncHttpClient()) {
      Future<Response> responseFuture = client.prepareGet(getTargetUrl()).setRequestTimeout(100).execute();
      Response response = responseFuture.get(2000, TimeUnit.MILLISECONDS);
      // removed other assertion
    } catch (InterruptedException e) {
      // removed other assertion
    } catch (ExecutionException e) {
      assertTrue(e.getCause() instanceof TimeoutException);
  }
  }
",PerRequestTimeoutTest::testRequestTimeout_3_oe
async_118_2,"  @Test
  public void testReadTimeout_2_oe() throws IOException {
    try (AsyncHttpClient client = asyncHttpClient(config().setReadTimeout(100))) {
      Future<Response> responseFuture = client.prepareGet(getTargetUrl()).execute();
      Response response = responseFuture.get(2000, TimeUnit.MILLISECONDS);
      // removed other assertion
    } catch (InterruptedException e) {
      fail(""Interrupted."", e);
  }
  }
",PerRequestTimeoutTest::testReadTimeout_2_oe
async_118_3,"  @Test
  public void testReadTimeout_3_oe() throws IOException {
    try (AsyncHttpClient client = asyncHttpClient(config().setReadTimeout(100))) {
      Future<Response> responseFuture = client.prepareGet(getTargetUrl()).execute();
      Response response = responseFuture.get(2000, TimeUnit.MILLISECONDS);
      // removed other assertion
    } catch (InterruptedException e) {
      // removed other assertion
    } catch (ExecutionException e) {
      assertTrue(e.getCause() instanceof TimeoutException);
  }
  }
",PerRequestTimeoutTest::testReadTimeout_3_oe
async_119_2,"  @Test
  public void testGlobalDefaultPerRequestInfiniteTimeout_2_oe() throws IOException {
    try (AsyncHttpClient client = asyncHttpClient(config().setRequestTimeout(100))) {
      Future<Response> responseFuture = client.prepareGet(getTargetUrl()).setRequestTimeout(-1).execute();
      Response response = responseFuture.get();
      // removed other assertion
    } catch (InterruptedException e) {
      fail(""Interrupted."", e);
  }
  }
",PerRequestTimeoutTest::testGlobalDefaultPerRequestInfiniteTimeout_2_oe
async_120_2,"  @Test
  public void testGlobalRequestTimeout_2_oe() throws IOException {
    try (AsyncHttpClient client = asyncHttpClient(config().setRequestTimeout(100))) {
      Future<Response> responseFuture = client.prepareGet(getTargetUrl()).execute();
      Response response = responseFuture.get(2000, TimeUnit.MILLISECONDS);
      // removed other assertion
    } catch (InterruptedException e) {
      fail(""Interrupted."", e);
  }
  }
",PerRequestTimeoutTest::testGlobalRequestTimeout_2_oe
async_120_3,"  @Test
  public void testGlobalRequestTimeout_3_oe() throws IOException {
    try (AsyncHttpClient client = asyncHttpClient(config().setRequestTimeout(100))) {
      Future<Response> responseFuture = client.prepareGet(getTargetUrl()).execute();
      Response response = responseFuture.get(2000, TimeUnit.MILLISECONDS);
      // removed other assertion
    } catch (InterruptedException e) {
      // removed other assertion
    } catch (ExecutionException e) {
      assertTrue(e.getCause() instanceof TimeoutException);
  }
  }
",PerRequestTimeoutTest::testGlobalRequestTimeout_3_oe
async_121_3,"  @Test
  public void testGlobalIdleTimeout_3_oe() throws IOException {
    final long times[] = new long[]{-1, -1};

    try (AsyncHttpClient client = asyncHttpClient(config().setPooledConnectionIdleTimeout(2000))) {
      Future<Response> responseFuture = client.prepareGet(getTargetUrl()).execute(new AsyncCompletionHandler<Response>() {
        @Override
        public Response onCompleted(Response response) {
          return response;
        }

        @Override
        public State onBodyPartReceived(HttpResponseBodyPart content) throws Exception {
          times[0] = unpreciseMillisTime();
          return super.onBodyPartReceived(content);
        }

        @Override
        public void onThrowable(Throwable t) {
          times[1] = unpreciseMillisTime();
          super.onThrowable(t);
        }
      });
      Response response = responseFuture.get();
      // removed other assertion
      // removed other assertion
    } catch (InterruptedException e) {
      fail(""Interrupted."", e);
  }
  }
",PerRequestTimeoutTest::testGlobalIdleTimeout_3_oe
async_141_1,"  @Test(enabled = false)
  public void redirected302InvalidTest_1_oe() throws Exception {
    isSet.getAndSet(false);

    Exception e = null;

    try (AsyncHttpClient c = asyncHttpClient(config().setFollowRedirect(true))) {
      c.prepareGet(getTargetUrl()).setHeader(""X-redirect"", String.format(""http://localhost:%d/"", port2)).execute().get();
    } catch (ExecutionException ex) {
      e = ex;
    }

    assertNotNull(e);
  }
",Relative302Test::redirected302InvalidTest_1_oe
async_141_2,"  @Test(enabled = false)
  public void redirected302InvalidTest_2_oe() throws Exception {
    isSet.getAndSet(false);

    Exception e = null;

    try (AsyncHttpClient c = asyncHttpClient(config().setFollowRedirect(true))) {
      c.prepareGet(getTargetUrl()).setHeader(""X-redirect"", String.format(""http://localhost:%d/"", port2)).execute().get();
    } catch (ExecutionException ex) {
      e = ex;
    }

    // removed other assertion
    Throwable cause = e.getCause();
    assertTrue(cause instanceof ConnectException);
  }
",Relative302Test::redirected302InvalidTest_2_oe
async_141_3,"  @Test(enabled = false)
  public void redirected302InvalidTest_3_oe() throws Exception {
    isSet.getAndSet(false);

    Exception e = null;

    try (AsyncHttpClient c = asyncHttpClient(config().setFollowRedirect(true))) {
      c.prepareGet(getTargetUrl()).setHeader(""X-redirect"", String.format(""http://localhost:%d/"", port2)).execute().get();
    } catch (ExecutionException ex) {
      e = ex;
    }

    // removed other assertion
    Throwable cause = e.getCause();
    // removed other assertion
    assertTrue(cause.getMessage().contains("":"" + port2));
  }
",Relative302Test::redirected302InvalidTest_3_oe
async_165_1,"  @Test(groups = ""online"", enabled = false)
  public void redirected302InvalidTest_1_oe() throws Exception {
    isSet.getAndSet(false);
    Exception e = null;

    try (AsyncHttpClient c = asyncHttpClient()) {
      c.preparePost(getTargetUrl()).setFollowRedirect(true).setHeader(""X-redirect"", String.format(""http://localhost:%d/"", port2)).execute().get();
    } catch (ExecutionException ex) {
      e = ex;
    }

    assertNotNull(e);
  }
",PerRequestRelative302Test::redirected302InvalidTest_1_oe
async_165_2,"  @Test(groups = ""online"", enabled = false)
  public void redirected302InvalidTest_2_oe() throws Exception {
    isSet.getAndSet(false);
    Exception e = null;

    try (AsyncHttpClient c = asyncHttpClient()) {
      c.preparePost(getTargetUrl()).setFollowRedirect(true).setHeader(""X-redirect"", String.format(""http://localhost:%d/"", port2)).execute().get();
    } catch (ExecutionException ex) {
      e = ex;
    }

    // removed other assertion
    Throwable cause = e.getCause();
    assertTrue(cause instanceof ConnectException);
  }
",PerRequestRelative302Test::redirected302InvalidTest_2_oe
async_165_3,"  @Test(groups = ""online"", enabled = false)
  public void redirected302InvalidTest_3_oe() throws Exception {
    isSet.getAndSet(false);
    Exception e = null;

    try (AsyncHttpClient c = asyncHttpClient()) {
      c.preparePost(getTargetUrl()).setFollowRedirect(true).setHeader(""X-redirect"", String.format(""http://localhost:%d/"", port2)).execute().get();
    } catch (ExecutionException ex) {
      e = ex;
    }

    // removed other assertion
    Throwable cause = e.getCause();
    // removed other assertion
    assertTrue(cause.getMessage().contains("":"" + port2));
  }
",PerRequestRelative302Test::redirected302InvalidTest_3_oe
async_327_2,"  @Test
  public void testGetCompleteServicePrincipalName_2_oe() throws Exception {
    {
      SpnegoEngine spnegoEngine = new SpnegoEngine(null,
          null,
          ""bob"",
          ""service.ws.apache.org"",
          false,
          null,
          null,
          null);
      // removed other assertion
    }
    {
      SpnegoEngine spnegoEngine = new SpnegoEngine(null,
          null,
          null,
          ""service.ws.apache.org"",
          true,
          null,
          null,
          null);
      Assert.assertNotEquals(""HTTP@localhost"", spnegoEngine.getCompleteServicePrincipalName(""localhost""));
  }
  }
",SpnegoEngineTest::testGetCompleteServicePrincipalName_2_oe
