id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name,custom_assert_name
async_12_1,async-http-client,AsyncHttpObservableTest,testToObservableNoError_1_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/AsyncHttpObservableTest.java,,,,assert,unknown,custom,assertTerminalEvent,assertTerminalEvent
async_12_2,async-http-client,AsyncHttpObservableTest,testToObservableNoError_2_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/AsyncHttpObservableTest.java,,,,assert,unknown,custom,assertNoErrors,assertNoErrors
async_12_3,async-http-client,AsyncHttpObservableTest,testToObservableNoError_3_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/AsyncHttpObservableTest.java,,,,assert,unknown,custom,assertCompleted,assertCompleted
async_13_1,async-http-client,AsyncHttpObservableTest,testToObservableError_1_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/AsyncHttpObservableTest.java,,,,assert,unknown,custom,assertTerminalEvent,assertTerminalEvent
async_13_2,async-http-client,AsyncHttpObservableTest,testToObservableError_2_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/AsyncHttpObservableTest.java,,,,assert,unknown,custom,assertNoErrors,assertNoErrors
async_13_3,async-http-client,AsyncHttpObservableTest,testToObservableError_3_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/AsyncHttpObservableTest.java,,,,assert,unknown,custom,assertCompleted,assertCompleted
async_14_1,async-http-client,AsyncHttpObservableTest,testObserveNoError_1_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/AsyncHttpObservableTest.java,,,,assert,unknown,custom,assertTerminalEvent,assertTerminalEvent
async_14_2,async-http-client,AsyncHttpObservableTest,testObserveNoError_2_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/AsyncHttpObservableTest.java,,,,assert,unknown,custom,assertNoErrors,assertNoErrors
async_14_3,async-http-client,AsyncHttpObservableTest,testObserveNoError_3_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/AsyncHttpObservableTest.java,,,,assert,unknown,custom,assertCompleted,assertCompleted
async_15_1,async-http-client,AsyncHttpObservableTest,testObserveError_1_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/AsyncHttpObservableTest.java,,,,assert,unknown,custom,assertTerminalEvent,assertTerminalEvent
async_15_2,async-http-client,AsyncHttpObservableTest,testObserveError_2_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/AsyncHttpObservableTest.java,,,,assert,unknown,custom,assertNoErrors,assertNoErrors
async_15_3,async-http-client,AsyncHttpObservableTest,testObserveError_3_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/AsyncHttpObservableTest.java,,,,assert,unknown,custom,assertCompleted,assertCompleted
async_16_1,async-http-client,AsyncHttpObservableTest,testObserveMultiple_1_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/AsyncHttpObservableTest.java,,,,assert,unknown,custom,assertTerminalEvent,assertTerminalEvent
async_16_2,async-http-client,AsyncHttpObservableTest,testObserveMultiple_2_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/AsyncHttpObservableTest.java,,,,assert,unknown,custom,assertNoErrors,assertNoErrors
async_16_3,async-http-client,AsyncHttpObservableTest,testObserveMultiple_3_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/AsyncHttpObservableTest.java,,,,assert,unknown,custom,assertCompleted,assertCompleted
async_17_2,async-http-client,AsyncHttpSingleTest,testSuccessfulCompletion_2_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/single/AsyncHttpSingleTest.java,,,,assert,unknown,custom,assertTerminalEvent,assertTerminalEvent
async_17_3,async-http-client,AsyncHttpSingleTest,testSuccessfulCompletion_3_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/single/AsyncHttpSingleTest.java,,,,assert,unknown,custom,assertNoErrors,assertNoErrors
async_17_4,async-http-client,AsyncHttpSingleTest,testSuccessfulCompletion_4_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/single/AsyncHttpSingleTest.java,,,,assert,unknown,custom,assertCompleted,assertCompleted
async_17_5,async-http-client,AsyncHttpSingleTest,testSuccessfulCompletion_5_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/single/AsyncHttpSingleTest.java,,,,assert,unknown,custom,assertValue,assertValue
async_18_2,async-http-client,AsyncHttpSingleTest,testSuccessfulCompletionWithProgress_2_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/single/AsyncHttpSingleTest.java,,,,assert,unknown,custom,assertTerminalEvent,assertTerminalEvent
async_18_3,async-http-client,AsyncHttpSingleTest,testSuccessfulCompletionWithProgress_3_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/single/AsyncHttpSingleTest.java,,,,assert,unknown,custom,assertNoErrors,assertNoErrors
async_18_4,async-http-client,AsyncHttpSingleTest,testSuccessfulCompletionWithProgress_4_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/single/AsyncHttpSingleTest.java,,,,assert,unknown,custom,assertCompleted,assertCompleted
async_18_5,async-http-client,AsyncHttpSingleTest,testSuccessfulCompletionWithProgress_5_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/single/AsyncHttpSingleTest.java,,,,assert,unknown,custom,assertValue,assertValue
async_19_1,async-http-client,AsyncHttpSingleTest,testErrorPropagation_1_oe,extras/rxjava/src/test/java/org/asynchttpclient/extras/rxjava/single/AsyncHttpSingleTest.java,,,,assert,unknown,custom,assertTerminalEvent,assertTerminalEvent
