id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
async_41_2_1,async-http-client,AbstractAsyncHttpClientFactoryTest,testGetAsyncHttpClient_2_oe_1_oe,extras/registry/src/test/java/org/asynchttpclient/extras/registry/AbstractAsyncHttpClientFactoryTest.java,,,,assert,unknown,standard,assertEquals
async_42_2_1,async-http-client,AbstractAsyncHttpClientFactoryTest,testGetAsyncHttpClientConfig_2_oe_1_oe,extras/registry/src/test/java/org/asynchttpclient/extras/registry/AbstractAsyncHttpClientFactoryTest.java,,,,assert,unknown,standard,assertEquals
async_43_2_1,async-http-client,AbstractAsyncHttpClientFactoryTest,testGetAsyncHttpClientProvider_2_oe_1_oe,extras/registry/src/test/java/org/asynchttpclient/extras/registry/AbstractAsyncHttpClientFactoryTest.java,,,,assert,unknown,standard,assertEquals
async_48_1_1,async-http-client,AbstractAsyncHttpClientFactoryTest,testGetAsyncHttpClientConfigWithBadAsyncHttpClient_1_oe_1_oe,extras/registry/src/test/java/org/asynchttpclient/extras/registry/AbstractAsyncHttpClientFactoryTest.java,,,,assert,unknown,standard,assertTrue
async_49_1_1,async-http-client,AbstractAsyncHttpClientFactoryTest,testGetAsyncHttpClientProviderWithBadAsyncHttpClient_1_oe_1_oe,extras/registry/src/test/java/org/asynchttpclient/extras/registry/AbstractAsyncHttpClientFactoryTest.java,,,,assert,unknown,standard,assertTrue
async_52_1_1,async-http-client,AsyncHttpRetrofitIntegrationTest,testSynchronousService_OK_1_oe_1_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertNotNull
async_52_1_2,async-http-client,AsyncHttpRetrofitIntegrationTest,testSynchronousService_OK_1_oe_2_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertTrue
async_52_1_3,async-http-client,AsyncHttpRetrofitIntegrationTest,testSynchronousService_OK_1_oe_3_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertEquals
async_53_1_1,async-http-client,AsyncHttpRetrofitIntegrationTest,testSynchronousService_OK_WithBadEncoding_1_oe_1_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertNotNull
async_53_1_2,async-http-client,AsyncHttpRetrofitIntegrationTest,testSynchronousService_OK_WithBadEncoding_1_oe_2_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertTrue
async_53_1_3,async-http-client,AsyncHttpRetrofitIntegrationTest,testSynchronousService_OK_WithBadEncoding_1_oe_3_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertNotEquals
async_53_1_4,async-http-client,AsyncHttpRetrofitIntegrationTest,testSynchronousService_OK_WithBadEncoding_1_oe_4_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertEquals
async_53_1_5,async-http-client,AsyncHttpRetrofitIntegrationTest,testSynchronousService_OK_WithBadEncoding_1_oe_5_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertNotEquals
async_53_1_6,async-http-client,AsyncHttpRetrofitIntegrationTest,testSynchronousService_OK_WithBadEncoding_1_oe_6_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertEquals
async_53_1_7,async-http-client,AsyncHttpRetrofitIntegrationTest,testSynchronousService_OK_WithBadEncoding_1_oe_7_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertEquals
async_56_1_1,async-http-client,AsyncHttpRetrofitIntegrationTest,testRxJava1Service_OK_1_oe_1_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertNotNull
async_56_1_2,async-http-client,AsyncHttpRetrofitIntegrationTest,testRxJava1Service_OK_1_oe_2_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertTrue
async_56_1_3,async-http-client,AsyncHttpRetrofitIntegrationTest,testRxJava1Service_OK_1_oe_3_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertEquals
async_57_1_1,async-http-client,AsyncHttpRetrofitIntegrationTest,testRxJava1Service_OK_WithBadEncoding_1_oe_1_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertNotNull
async_57_1_2,async-http-client,AsyncHttpRetrofitIntegrationTest,testRxJava1Service_OK_WithBadEncoding_1_oe_2_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertTrue
async_57_1_3,async-http-client,AsyncHttpRetrofitIntegrationTest,testRxJava1Service_OK_WithBadEncoding_1_oe_3_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertNotEquals
async_57_1_4,async-http-client,AsyncHttpRetrofitIntegrationTest,testRxJava1Service_OK_WithBadEncoding_1_oe_4_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertEquals
async_57_1_5,async-http-client,AsyncHttpRetrofitIntegrationTest,testRxJava1Service_OK_WithBadEncoding_1_oe_5_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertNotEquals
async_57_1_6,async-http-client,AsyncHttpRetrofitIntegrationTest,testRxJava1Service_OK_WithBadEncoding_1_oe_6_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertEquals
async_57_1_7,async-http-client,AsyncHttpRetrofitIntegrationTest,testRxJava1Service_OK_WithBadEncoding_1_oe_7_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertEquals
async_58_1_1,async-http-client,AsyncHttpRetrofitIntegrationTest,testRxJava2Service_OK_1_oe_1_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertNotNull
async_58_1_2,async-http-client,AsyncHttpRetrofitIntegrationTest,testRxJava2Service_OK_1_oe_2_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertTrue
async_58_1_3,async-http-client,AsyncHttpRetrofitIntegrationTest,testRxJava2Service_OK_1_oe_3_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertEquals
async_59_1_1,async-http-client,AsyncHttpRetrofitIntegrationTest,testRxJava2Service_OK_WithBadEncoding_1_oe_1_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertNotNull
async_59_1_2,async-http-client,AsyncHttpRetrofitIntegrationTest,testRxJava2Service_OK_WithBadEncoding_1_oe_2_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertTrue
async_59_1_3,async-http-client,AsyncHttpRetrofitIntegrationTest,testRxJava2Service_OK_WithBadEncoding_1_oe_3_oe,extras/retrofit2/src/test/java/org/asynchttpclient/extras/retrofit/AsyncHttpRetrofitIntegrationTest.java,,,,assert,unknown,standard,assertNotEquals
