id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
async_51_1,async-http-client,AbstractAsyncHttpClientFactoryTest,testRepeatedCallsToBadAsyncHttpClient_1_oe,extras/registry/src/test/java/org/asynchttpclient/extras/registry/AbstractAsyncHttpClientFactoryTest.java,,,,assert,unknown,standard,assertTrue
async_51_2,async-http-client,AbstractAsyncHttpClientFactoryTest,testRepeatedCallsToBadAsyncHttpClient_2_oe,extras/registry/src/test/java/org/asynchttpclient/extras/registry/AbstractAsyncHttpClientFactoryTest.java,,,,assert,unknown,standard,assertTrue
async_117_2,async-http-client,PerRequestTimeoutTest,testRequestTimeout_2_oe,client/src/test/java/org/asynchttpclient/PerRequestTimeoutTest.java,,,,assert,unknown,standard,fail
async_117_3,async-http-client,PerRequestTimeoutTest,testRequestTimeout_3_oe,client/src/test/java/org/asynchttpclient/PerRequestTimeoutTest.java,,,,assert,unknown,standard,assertTrue
async_118_2,async-http-client,PerRequestTimeoutTest,testReadTimeout_2_oe,client/src/test/java/org/asynchttpclient/PerRequestTimeoutTest.java,,,,assert,unknown,standard,fail
async_118_3,async-http-client,PerRequestTimeoutTest,testReadTimeout_3_oe,client/src/test/java/org/asynchttpclient/PerRequestTimeoutTest.java,,,,assert,unknown,standard,assertTrue
async_119_2,async-http-client,PerRequestTimeoutTest,testGlobalDefaultPerRequestInfiniteTimeout_2_oe,client/src/test/java/org/asynchttpclient/PerRequestTimeoutTest.java,,,,assert,unknown,standard,fail
async_120_2,async-http-client,PerRequestTimeoutTest,testGlobalRequestTimeout_2_oe,client/src/test/java/org/asynchttpclient/PerRequestTimeoutTest.java,,,,assert,unknown,standard,fail
async_120_3,async-http-client,PerRequestTimeoutTest,testGlobalRequestTimeout_3_oe,client/src/test/java/org/asynchttpclient/PerRequestTimeoutTest.java,,,,assert,unknown,standard,assertTrue
async_121_3,async-http-client,PerRequestTimeoutTest,testGlobalIdleTimeout_3_oe,client/src/test/java/org/asynchttpclient/PerRequestTimeoutTest.java,,,,assert,unknown,standard,fail
async_141_1,async-http-client,Relative302Test,redirected302InvalidTest_1_oe,client/src/test/java/org/asynchttpclient/Relative302Test.java,,,,assert,unknown,standard,assertNotNull
async_141_2,async-http-client,Relative302Test,redirected302InvalidTest_2_oe,client/src/test/java/org/asynchttpclient/Relative302Test.java,,,,assert,unknown,standard,assertTrue
async_141_3,async-http-client,Relative302Test,redirected302InvalidTest_3_oe,client/src/test/java/org/asynchttpclient/Relative302Test.java,,,,assert,unknown,standard,assertTrue
async_165_1,async-http-client,PerRequestRelative302Test,redirected302InvalidTest_1_oe,client/src/test/java/org/asynchttpclient/PerRequestRelative302Test.java,,,,assert,unknown,standard,assertNotNull
async_165_2,async-http-client,PerRequestRelative302Test,redirected302InvalidTest_2_oe,client/src/test/java/org/asynchttpclient/PerRequestRelative302Test.java,,,,assert,unknown,standard,assertTrue
async_165_3,async-http-client,PerRequestRelative302Test,redirected302InvalidTest_3_oe,client/src/test/java/org/asynchttpclient/PerRequestRelative302Test.java,,,,assert,unknown,standard,assertTrue
async_327_2,async-http-client,SpnegoEngineTest,testGetCompleteServicePrincipalName_2_oe,client/src/test/java/org/asynchttpclient/spnego/SpnegoEngineTest.java,,,,assert,unknown,standard,assertNotEquals
async_336_2,async-http-client,OAuthSignatureCalculatorTest,testPostCalculateSignature_2_oe,client/src/test/java/org/asynchttpclient/oauth/OAuthSignatureCalculatorTest.java,,,,assert,unknown,standard,assertEquals
async_337_3,async-http-client,OAuthSignatureCalculatorTest,testGetWithRequestBuilder_3_oe,client/src/test/java/org/asynchttpclient/oauth/OAuthSignatureCalculatorTest.java,,,,assert,unknown,standard,assertEquals
async_337_4,async-http-client,OAuthSignatureCalculatorTest,testGetWithRequestBuilder_4_oe,client/src/test/java/org/asynchttpclient/oauth/OAuthSignatureCalculatorTest.java,,,,assert,unknown,standard,assertEquals
async_338_3,async-http-client,OAuthSignatureCalculatorTest,testGetWithRequestBuilderAndQuery_3_oe,client/src/test/java/org/asynchttpclient/oauth/OAuthSignatureCalculatorTest.java,,,,assert,unknown,standard,assertEquals
async_338_4,async-http-client,OAuthSignatureCalculatorTest,testGetWithRequestBuilderAndQuery_4_oe,client/src/test/java/org/asynchttpclient/oauth/OAuthSignatureCalculatorTest.java,,,,assert,unknown,standard,assertEquals
async_338_5,async-http-client,OAuthSignatureCalculatorTest,testGetWithRequestBuilderAndQuery_5_oe,client/src/test/java/org/asynchttpclient/oauth/OAuthSignatureCalculatorTest.java,,,,assert,unknown,standard,assertEquals
async_350_1,async-http-client,TextMessageTest,onFailureTest_1_oe,client/src/test/java/org/asynchttpclient/ws/TextMessageTest.java,,,,assert,unknown,standard,assertTrue
async_48_1_1,async-http-client,AbstractAsyncHttpClientFactoryTest,testGetAsyncHttpClientConfigWithBadAsyncHttpClient_1_oe_1_oe,extras/registry/src/test/java/org/asynchttpclient/extras/registry/AbstractAsyncHttpClientFactoryTest.java,,,,assert,unknown,standard,assertTrue
async_49_1_1,async-http-client,AbstractAsyncHttpClientFactoryTest,testGetAsyncHttpClientProviderWithBadAsyncHttpClient_1_oe_1_oe,extras/registry/src/test/java/org/asynchttpclient/extras/registry/AbstractAsyncHttpClientFactoryTest.java,,,,assert,unknown,standard,assertTrue
