id,test_prefix,test_name,mut_class,method_under_test,mut_docstring,mut_method_definition,focal_method,docstring
async_167_1,"  public void testDefaultMaxTotalConnections_1_oe() {
    Assert.assertEquals(AsyncHttpClientConfigDefaults.defaultMaxConnections(), -1);
  }
",AsyncHttpClientDefaultsTest::testDefaultMaxTotalConnections_1_oe,org.asynchttpclient.config.AsyncHttpClientConfigDefaults,defaultMaxConnections(),,"public static int defaultMaxConnections() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getInt(ASYNC_CLIENT_CONFIG_ROOT + MAX_CONNECTIONS_CONFIG);
  }","public static int defaultMaxConnections() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getInt(ASYNC_CLIENT_CONFIG_ROOT + MAX_CONNECTIONS_CONFIG);
  }",
async_168_1,"  public void testDefaultMaxConnectionPerHost_1_oe() {
    Assert.assertEquals(AsyncHttpClientConfigDefaults.defaultMaxConnectionsPerHost(), -1);
  }
",AsyncHttpClientDefaultsTest::testDefaultMaxConnectionPerHost_1_oe,org.asynchttpclient.config.AsyncHttpClientConfigDefaults,defaultMaxConnectionsPerHost(),,"public static int defaultMaxConnectionsPerHost() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getInt(ASYNC_CLIENT_CONFIG_ROOT + MAX_CONNECTIONS_PER_HOST_CONFIG);
  }","public static int defaultMaxConnectionsPerHost() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getInt(ASYNC_CLIENT_CONFIG_ROOT + MAX_CONNECTIONS_PER_HOST_CONFIG);
  }",
async_169_1,"  public void testDefaultConnectTimeOut_1_oe() {
    Assert.assertEquals(AsyncHttpClientConfigDefaults.defaultConnectTimeout(), 5 * 1000);
  }
",AsyncHttpClientDefaultsTest::testDefaultConnectTimeOut_1_oe,org.asynchttpclient.config.AsyncHttpClientConfigDefaults,defaultConnectTimeout(),,"public static int defaultConnectTimeout() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getInt(ASYNC_CLIENT_CONFIG_ROOT + CONNECTION_TIMEOUT_CONFIG);
  }","public static int defaultConnectTimeout() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getInt(ASYNC_CLIENT_CONFIG_ROOT + CONNECTION_TIMEOUT_CONFIG);
  }",
async_170_1,"  public void testDefaultPooledConnectionIdleTimeout_1_oe() {
    Assert.assertEquals(AsyncHttpClientConfigDefaults.defaultPooledConnectionIdleTimeout(), 60 * 1000);
  }
",AsyncHttpClientDefaultsTest::testDefaultPooledConnectionIdleTimeout_1_oe,org.asynchttpclient.config.AsyncHttpClientConfigDefaults,defaultPooledConnectionIdleTimeout(),,"public static int defaultPooledConnectionIdleTimeout() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getInt(ASYNC_CLIENT_CONFIG_ROOT + POOLED_CONNECTION_IDLE_TIMEOUT_CONFIG);
  }","public static int defaultPooledConnectionIdleTimeout() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getInt(ASYNC_CLIENT_CONFIG_ROOT + POOLED_CONNECTION_IDLE_TIMEOUT_CONFIG);
  }",
async_171_1,"  public void testDefaultReadTimeout_1_oe() {
    Assert.assertEquals(AsyncHttpClientConfigDefaults.defaultReadTimeout(), 60 * 1000);
  }
",AsyncHttpClientDefaultsTest::testDefaultReadTimeout_1_oe,org.asynchttpclient.config.AsyncHttpClientConfigDefaults,defaultReadTimeout(),,"public static int defaultReadTimeout() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getInt(ASYNC_CLIENT_CONFIG_ROOT + READ_TIMEOUT_CONFIG);
  }","public static int defaultReadTimeout() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getInt(ASYNC_CLIENT_CONFIG_ROOT + READ_TIMEOUT_CONFIG);
  }",
async_172_1,"  public void testDefaultRequestTimeout_1_oe() {
    Assert.assertEquals(AsyncHttpClientConfigDefaults.defaultRequestTimeout(), 60 * 1000);
  }
",AsyncHttpClientDefaultsTest::testDefaultRequestTimeout_1_oe,org.asynchttpclient.config.AsyncHttpClientConfigDefaults,defaultRequestTimeout(),,"public static int defaultRequestTimeout() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getInt(ASYNC_CLIENT_CONFIG_ROOT + REQUEST_TIMEOUT_CONFIG);
  }","public static int defaultRequestTimeout() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getInt(ASYNC_CLIENT_CONFIG_ROOT + REQUEST_TIMEOUT_CONFIG);
  }",
async_173_1,"  public void testDefaultConnectionTtl_1_oe() {
    Assert.assertEquals(AsyncHttpClientConfigDefaults.defaultConnectionTtl(), -1);
  }
",AsyncHttpClientDefaultsTest::testDefaultConnectionTtl_1_oe,org.asynchttpclient.config.AsyncHttpClientConfigDefaults,defaultConnectionTtl(),,"public static int defaultConnectionTtl() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getInt(ASYNC_CLIENT_CONFIG_ROOT + CONNECTION_TTL_CONFIG);
  }","public static int defaultConnectionTtl() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getInt(ASYNC_CLIENT_CONFIG_ROOT + CONNECTION_TTL_CONFIG);
  }",
async_174_1,"  public void testDefaultFollowRedirect_1_oe() {
    Assert.assertFalse(AsyncHttpClientConfigDefaults.defaultFollowRedirect());
  }
",AsyncHttpClientDefaultsTest::testDefaultFollowRedirect_1_oe,org.asynchttpclient.config.AsyncHttpClientConfigDefaults,defaultFollowRedirect(),,"public static boolean defaultFollowRedirect() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getBoolean(ASYNC_CLIENT_CONFIG_ROOT + FOLLOW_REDIRECT_CONFIG);
  }","public static boolean defaultFollowRedirect() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getBoolean(ASYNC_CLIENT_CONFIG_ROOT + FOLLOW_REDIRECT_CONFIG);
  }",
async_175_1,"  public void testDefaultMaxRedirects_1_oe() {
    Assert.assertEquals(AsyncHttpClientConfigDefaults.defaultMaxRedirects(), 5);
  }
",AsyncHttpClientDefaultsTest::testDefaultMaxRedirects_1_oe,org.asynchttpclient.config.AsyncHttpClientConfigDefaults,defaultMaxRedirects(),,"public static int defaultMaxRedirects() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getInt(ASYNC_CLIENT_CONFIG_ROOT + MAX_REDIRECTS_CONFIG);
  }","public static int defaultMaxRedirects() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getInt(ASYNC_CLIENT_CONFIG_ROOT + MAX_REDIRECTS_CONFIG);
  }",
async_176_1,"  public void testDefaultCompressionEnforced_1_oe() {
    Assert.assertFalse(AsyncHttpClientConfigDefaults.defaultCompressionEnforced());
  }
",AsyncHttpClientDefaultsTest::testDefaultCompressionEnforced_1_oe,org.asynchttpclient.config.AsyncHttpClientConfigDefaults,defaultCompressionEnforced(),,"public static boolean defaultCompressionEnforced() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getBoolean(ASYNC_CLIENT_CONFIG_ROOT + COMPRESSION_ENFORCED_CONFIG);
  }","public static boolean defaultCompressionEnforced() {
    return AsyncHttpClientConfigHelper.getAsyncHttpClientConfig().getBoolean(ASYNC_CLIENT_CONFIG_ROOT + COMPRESSION_ENFORCED_CONFIG);
  }",
