id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
async_left_1_1,async-http-client,Utf8ByteBufCharsetDecoderTest,testByteBuf2BytesHasBackingArray_1_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/Utf8ByteBufCharsetDecoderTest.java,,,,assert,unknown,standard,assertEquals
async_left_2_1,async-http-client,Utf8ByteBufCharsetDecoderTest,testByteBuf2BytesNoBackingArray_1_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/Utf8ByteBufCharsetDecoderTest.java,,,,assert,unknown,standard,assertEquals
async_left_3_1,async-http-client,Utf8ByteBufCharsetDecoderTest,byteBufs2StringShouldBeAbleToDealWithCharsWithVariableBytesLength_1_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/Utf8ByteBufCharsetDecoderTest.java,,,,assert,unknown,standard,assertEquals
async_left_4_1,async-http-client,Utf8ByteBufCharsetDecoderTest,byteBufs2StringShouldBeAbleToDealWithBrokenCharsTheSameWayAsJavaImpl_1_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/Utf8ByteBufCharsetDecoderTest.java,,,,assert,unknown,standard,assertNotEquals
async_left_4_2,async-http-client,Utf8ByteBufCharsetDecoderTest,byteBufs2StringShouldBeAbleToDealWithBrokenCharsTheSameWayAsJavaImpl_2_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/Utf8ByteBufCharsetDecoderTest.java,,,,assert,unknown,standard,assertEquals
async_left_5_1,async-http-client,ByteBufUtilsTests,testByteBuf2BytesEmptyByteBuf_1_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/ByteBufUtilsTests.java,,,,assert,unknown,standard,assertArrayEquals
async_left_6_1,async-http-client,ByteBufUtilsTests,testByteBuf2BytesNotEmptyByteBuf_1_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/ByteBufUtilsTests.java,,,,assert,unknown,standard,assertArrayEquals
async_left_7_1,async-http-client,ByteBufUtilsTests,testByteBuf2String_1_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/ByteBufUtilsTests.java,,,,assert,unknown,standard,assertEquals
async_left_8_1,async-http-client,ByteBufUtilsTests,testByteBuf2StringWithByteBufArray_1_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/ByteBufUtilsTests.java,,,,assert,unknown,standard,assertEquals
async_left_9_1,async-http-client,ByteBufUtilsTests,testByteBuf2Chars_1_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/ByteBufUtilsTests.java,,,,assert,unknown,standard,assertArrayEquals
async_left_9_2,async-http-client,ByteBufUtilsTests,testByteBuf2Chars_2_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/ByteBufUtilsTests.java,,,,assert,unknown,standard,assertArrayEquals
async_left_9_3,async-http-client,ByteBufUtilsTests,testByteBuf2Chars_3_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/ByteBufUtilsTests.java,,,,assert,unknown,standard,assertArrayEquals
async_left_10_1,async-http-client,ByteBufUtilsTests,testByteBuf2CharsWithByteBufArray_1_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/ByteBufUtilsTests.java,,,,assert,unknown,standard,assertArrayEquals
async_left_10_2,async-http-client,ByteBufUtilsTests,testByteBuf2CharsWithByteBufArray_2_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/ByteBufUtilsTests.java,,,,assert,unknown,standard,assertArrayEquals
async_left_11_1,async-http-client,ByteBufUtilsTests,testByteBuf2CharsWithEmptyByteBufArray_1_oe,netty-utils/src/test/java/org/asynchttpclient/netty/util/ByteBufUtilsTests.java,,,,assert,unknown,standard,assertArrayEquals
async_left_12_1,async-http-client,ClientStatsTest,testClientStatus_1_oe,client/src/test/java/org/asynchttpclient/ClientStatsTest.java,,,,assert,unknown,standard,assertEquals
async_left_12_2,async-http-client,ClientStatsTest,testClientStatus_2_oe,client/src/test/java/org/asynchttpclient/ClientStatsTest.java,,,,assert,unknown,standard,assertEquals
async_left_12_3,async-http-client,ClientStatsTest,testClientStatus_3_oe,client/src/test/java/org/asynchttpclient/ClientStatsTest.java,,,,assert,unknown,standard,assertEquals
async_left_12_4,async-http-client,ClientStatsTest,testClientStatus_4_oe,client/src/test/java/org/asynchttpclient/ClientStatsTest.java,,,,assert,unknown,standard,assertEquals
