classname,method,docstring,annotations,method_definition
org.asynchttpclient.netty.util.Utf8ByteBufCharsetDecoderTest,void testByteBuf2BytesHasBackingArray(),,,"@Test
  public void testByteBuf2BytesHasBackingArray() {
    byte[] inputBytes = ""testdata"".getBytes(US_ASCII);
    ByteBuf buf = Unpooled.wrappedBuffer(inputBytes);
    try {
      byte[] output = ByteBufUtils.byteBuf2Bytes(buf);
      assertEquals(output, inputBytes);
    } finally {
      buf.release();
    }
  }"
org.asynchttpclient.netty.util.Utf8ByteBufCharsetDecoderTest,void testByteBuf2BytesNoBackingArray(),,,"@Test
  public void testByteBuf2BytesNoBackingArray() {
    byte[] inputBytes = ""testdata"".getBytes(US_ASCII);
    ByteBuf buf = Unpooled.directBuffer();
    try {
      buf.writeBytes(inputBytes);
      byte[] output = ByteBufUtils.byteBuf2Bytes(buf);
      assertEquals(output, inputBytes);
    } finally {
      buf.release();
    }
  }"
org.asynchttpclient.netty.util.Utf8ByteBufCharsetDecoderTest,void byteBufs2StringShouldBeAbleToDealWithCharsWithVariableBytesLength(),,,"@Test
  public void byteBufs2StringShouldBeAbleToDealWithCharsWithVariableBytesLength() throws Exception {
    String inputString = ""°ä–"";
    byte[] inputBytes = inputString.getBytes(UTF_8);

    for (int i = 1; i < inputBytes.length - 1; i++) {
      ByteBuf buf1 = Unpooled.wrappedBuffer(inputBytes, 0, i);
      ByteBuf buf2 = Unpooled.wrappedBuffer(inputBytes, i, inputBytes.length - i);
      try {
        String s = ByteBufUtils.byteBuf2String(UTF_8, buf1, buf2);
        assertEquals(s, inputString);
      } finally {
        buf1.release();
        buf2.release();
      }
    }
  }"
org.asynchttpclient.netty.util.Utf8ByteBufCharsetDecoderTest,void byteBufs2StringShouldBeAbleToDealWithBrokenCharsTheSameWayAsJavaImpl(),,,"@Test
  public void byteBufs2StringShouldBeAbleToDealWithBrokenCharsTheSameWayAsJavaImpl() throws Exception {
    String inputString = ""foo 加特林岩石 bar"";
    byte[] inputBytes = inputString.getBytes(UTF_8);

    int droppedBytes = 1;

    for (int i = 1; i < inputBytes.length - 1 - droppedBytes; i++) {
      byte[] part1 = Arrays.copyOfRange(inputBytes, 0, i);
      byte[] part2 = Arrays.copyOfRange(inputBytes, i + droppedBytes, inputBytes.length);
      byte[] merged = new byte[part1.length + part2.length];
      System.arraycopy(part1, 0, merged, 0, part1.length);
      System.arraycopy(part2, 0, merged, part1.length, part2.length);

      ByteBuf buf1 = Unpooled.wrappedBuffer(part1);
      ByteBuf buf2 = Unpooled.wrappedBuffer(part2);
      try {
        String s = ByteBufUtils.byteBuf2String(UTF_8, buf1, buf2);
        String javaString = new String(merged, UTF_8);
        assertNotEquals(s, inputString);
        assertEquals(s, javaString);
      } finally {
        buf1.release();
        buf2.release();
      }
    }
  }"
org.asynchttpclient.netty.util.ByteBufUtilsTests,void testByteBuf2BytesEmptyByteBuf(),,,"@Test
    public void testByteBuf2BytesEmptyByteBuf() {
        ByteBuf buf = Unpooled.buffer();

        try {
            ArrayAsserts.assertArrayEquals(new byte[]{},
                    ByteBufUtils.byteBuf2Bytes(buf));
        } finally {
            buf.release();
        }
    }"
org.asynchttpclient.netty.util.ByteBufUtilsTests,void testByteBuf2BytesNotEmptyByteBuf(),,,"@Test
    public void testByteBuf2BytesNotEmptyByteBuf() {
        ByteBuf byteBuf = Unpooled.wrappedBuffer(new byte[]{'f', 'o', 'o'});

        try {
            ArrayAsserts.assertArrayEquals(new byte[]{'f', 'o', 'o'},
                    ByteBufUtils.byteBuf2Bytes(byteBuf));
        } finally {
            byteBuf.release();
        }
    }"
org.asynchttpclient.netty.util.ByteBufUtilsTests,void testByteBuf2String(),,,"@Test
    public void testByteBuf2String() {
        ByteBuf byteBuf = Unpooled.wrappedBuffer(new byte[]{'f', 'o', 'o'});
        Charset charset = Charset.forName(""US-ASCII"");

        try {
            Assert.assertEquals(ByteBufUtils.byteBuf2String(charset,byteBuf),""foo"");
        } finally {
            byteBuf.release();
        }
    }"
org.asynchttpclient.netty.util.ByteBufUtilsTests,void testByteBuf2StringWithByteBufArray(),,,"@Test
    public void testByteBuf2StringWithByteBufArray() {
        ByteBuf byteBuf1 = Unpooled.wrappedBuffer(new byte[]{'f'});
        ByteBuf byteBuf2 = Unpooled.wrappedBuffer(new byte[]{'o', 'o'});

        try {
            Assert.assertEquals(ByteBufUtils.byteBuf2String(Charset.forName(""ISO-8859-1""),byteBuf1,byteBuf2),""foo"");
        } finally {
            byteBuf1.release();
            byteBuf2.release();
        }
    }"
org.asynchttpclient.netty.util.ByteBufUtilsTests,void testByteBuf2Chars(),,,"@Test
    public void testByteBuf2Chars() {
        ByteBuf byteBuf1 = Unpooled.wrappedBuffer(new byte[]{});
        ByteBuf byteBuf2 = Unpooled.wrappedBuffer(new byte[]{'o'});

        try {
            ArrayAsserts.assertArrayEquals(new char[]{}, ByteBufUtils
                    .byteBuf2Chars(Charset.forName(""US-ASCII""), byteBuf1));
            ArrayAsserts.assertArrayEquals(new char[]{}, ByteBufUtils
                    .byteBuf2Chars(Charset.forName(""ISO-8859-1""), byteBuf1));
            ArrayAsserts.assertArrayEquals(new char[]{'o'}, ByteBufUtils
                    .byteBuf2Chars(Charset.forName(""ISO-8859-1""), byteBuf2));
        } finally {
            byteBuf1.release();
            byteBuf2.release();
        }
    }"
org.asynchttpclient.netty.util.ByteBufUtilsTests,void testByteBuf2CharsWithByteBufArray(),,,"@Test
    public void testByteBuf2CharsWithByteBufArray() {
        ByteBuf byteBuf1 = Unpooled.wrappedBuffer(new byte[]{'f', 'o'});
        ByteBuf byteBuf2 = Unpooled.wrappedBuffer(new byte[]{'%', '*'});

        try {
            ArrayAsserts.assertArrayEquals(new char[]{'f', 'o', '%', '*'},
                    ByteBufUtils.byteBuf2Chars(Charset.forName(""US-ASCII""),
                            byteBuf1, byteBuf2));
            ArrayAsserts.assertArrayEquals(new char[]{'f', 'o', '%', '*'},
                    ByteBufUtils.byteBuf2Chars(Charset.forName(""ISO-8859-1""),
                            byteBuf1, byteBuf2));
        } finally {
            byteBuf1.release();
            byteBuf2.release();
        }
    }"
org.asynchttpclient.netty.util.ByteBufUtilsTests,void testByteBuf2CharsWithEmptyByteBufArray(),,,"@Test
    public void testByteBuf2CharsWithEmptyByteBufArray() {
        ByteBuf byteBuf1 = Unpooled.wrappedBuffer(new byte[]{});
        ByteBuf byteBuf2 = Unpooled.wrappedBuffer(new byte[]{'o'});

        try {
            ArrayAsserts.assertArrayEquals(new char[]{'o'}, ByteBufUtils
                    .byteBuf2Chars(Charset.forName(""ISO-8859-1""),
                            byteBuf1, byteBuf2));
        } finally {
            byteBuf1.release();
            byteBuf2.release();
        }
    }"
org.asynchttpclient.ClientStatsTest,void testClientStatus(),,,"@Test
  public void testClientStatus() throws Throwable {
    try (final AsyncHttpClient client = asyncHttpClient(config().setKeepAlive(true).setPooledConnectionIdleTimeout(5000))) {
      final String url = getTargetUrl();

      final ClientStats emptyStats = client.getClientStats();

      assertEquals(emptyStats.toString(), ""There are 0 total connections, 0 are active and 0 are idle."");
      assertEquals(emptyStats.getTotalActiveConnectionCount(), 0);
      assertEquals(emptyStats.getTotalIdleConnectionCount(), 0);
      assertEquals(emptyStats.getTotalConnectionCount(), 0);
      assertNull(emptyStats.getStatsPerHost().get(hostname));

      final List<ListenableFuture<Response>> futures =
              Stream.generate(() -> client.prepareGet(url).setHeader(""LockThread"", ""6"").execute())
                      .limit(5)
                      .collect(Collectors.toList());

      Thread.sleep(2000);

      final ClientStats activeStats = client.getClientStats();

      assertEquals(activeStats.toString(), ""There are 5 total connections, 5 are active and 0 are idle."");
      assertEquals(activeStats.getTotalActiveConnectionCount(), 5);
      assertEquals(activeStats.getTotalIdleConnectionCount(), 0);
      assertEquals(activeStats.getTotalConnectionCount(), 5);
      assertEquals(activeStats.getStatsPerHost().get(hostname).getHostConnectionCount(), 5);

      futures.forEach(future -> future.toCompletableFuture().join());

      Thread.sleep(1000);

      final ClientStats idleStats = client.getClientStats();

      assertEquals(idleStats.toString(), ""There are 5 total connections, 0 are active and 5 are idle."");
      assertEquals(idleStats.getTotalActiveConnectionCount(), 0);
      assertEquals(idleStats.getTotalIdleConnectionCount(), 5);
      assertEquals(idleStats.getTotalConnectionCount(), 5);
      assertEquals(idleStats.getStatsPerHost().get(hostname).getHostConnectionCount(), 5);

      // Let's make sure the active count is correct when reusing cached connections.

      final List<ListenableFuture<Response>> repeatedFutures =
              Stream.generate(() -> client.prepareGet(url).setHeader(""LockThread"", ""6"").execute())
                      .limit(3)
                      .collect(Collectors.toList());

      Thread.sleep(2000);

      final ClientStats activeCachedStats = client.getClientStats();

      assertEquals(activeCachedStats.toString(), ""There are 5 total connections, 3 are active and 2 are idle."");
      assertEquals(activeCachedStats.getTotalActiveConnectionCount(), 3);
      assertEquals(activeCachedStats.getTotalIdleConnectionCount(), 2);
      assertEquals(activeCachedStats.getTotalConnectionCount(), 5);
      assertEquals(activeCachedStats.getStatsPerHost().get(hostname).getHostConnectionCount(), 5);

      repeatedFutures.forEach(future -> future.toCompletableFuture().join());

      Thread.sleep(1000);

      final ClientStats idleCachedStats = client.getClientStats();

      assertEquals(idleCachedStats.toString(), ""There are 3 total connections, 0 are active and 3 are idle."");
      assertEquals(idleCachedStats.getTotalActiveConnectionCount(), 0);
      assertEquals(idleCachedStats.getTotalIdleConnectionCount(), 3);
      assertEquals(idleCachedStats.getTotalConnectionCount(), 3);
      assertEquals(idleCachedStats.getStatsPerHost().get(hostname).getHostConnectionCount(), 3);

      Thread.sleep(5000);

      final ClientStats timeoutStats = client.getClientStats();

      assertEquals(timeoutStats.toString(), ""There are 0 total connections, 0 are active and 0 are idle."");
      assertEquals(timeoutStats.getTotalActiveConnectionCount(), 0);
      assertEquals(timeoutStats.getTotalIdleConnectionCount(), 0);
      assertEquals(timeoutStats.getTotalConnectionCount(), 0);
      assertNull(timeoutStats.getStatsPerHost().get(hostname));
    }
  }"
org.asynchttpclient.ClientStatsTest,void testClientStatusNoKeepalive(),,,"@Test
  public void testClientStatusNoKeepalive() throws Throwable {
    try (final AsyncHttpClient client = asyncHttpClient(config().setKeepAlive(false))) {
      final String url = getTargetUrl();

      final ClientStats emptyStats = client.getClientStats();

      assertEquals(emptyStats.toString(), ""There are 0 total connections, 0 are active and 0 are idle."");
      assertEquals(emptyStats.getTotalActiveConnectionCount(), 0);
      assertEquals(emptyStats.getTotalIdleConnectionCount(), 0);
      assertEquals(emptyStats.getTotalConnectionCount(), 0);
      assertNull(emptyStats.getStatsPerHost().get(hostname));

      final List<ListenableFuture<Response>> futures =
              Stream.generate(() -> client.prepareGet(url).setHeader(""LockThread"", ""6"").execute())
                      .limit(5)
                      .collect(Collectors.toList());

      Thread.sleep(2000);

      final ClientStats activeStats = client.getClientStats();

      assertEquals(activeStats.toString(), ""There are 5 total connections, 5 are active and 0 are idle."");
      assertEquals(activeStats.getTotalActiveConnectionCount(), 5);
      assertEquals(activeStats.getTotalIdleConnectionCount(), 0);
      assertEquals(activeStats.getTotalConnectionCount(), 5);
      assertEquals(activeStats.getStatsPerHost().get(hostname).getHostConnectionCount(), 5);

      futures.forEach(future -> future.toCompletableFuture().join());

      Thread.sleep(1000);

      final ClientStats idleStats = client.getClientStats();

      assertEquals(idleStats.toString(), ""There are 0 total connections, 0 are active and 0 are idle."");
      assertEquals(idleStats.getTotalActiveConnectionCount(), 0);
      assertEquals(idleStats.getTotalIdleConnectionCount(), 0);
      assertEquals(idleStats.getTotalConnectionCount(), 0);
      assertNull(idleStats.getStatsPerHost().get(hostname));

      // Let's make sure the active count is correct when reusing cached connections.

      final List<ListenableFuture<Response>> repeatedFutures =
              Stream.generate(() -> client.prepareGet(url).setHeader(""LockThread"", ""6"").execute())
                      .limit(3)
                      .collect(Collectors.toList());

      Thread.sleep(2000);

      final ClientStats activeCachedStats = client.getClientStats();

      assertEquals(activeCachedStats.toString(), ""There are 3 total connections, 3 are active and 0 are idle."");
      assertEquals(activeCachedStats.getTotalActiveConnectionCount(), 3);
      assertEquals(activeCachedStats.getTotalIdleConnectionCount(), 0);
      assertEquals(activeCachedStats.getTotalConnectionCount(), 3);
      assertEquals(activeCachedStats.getStatsPerHost().get(hostname).getHostConnectionCount(), 3);

      repeatedFutures.forEach(future -> future.toCompletableFuture().join());

      Thread.sleep(1000);

      final ClientStats idleCachedStats = client.getClientStats();

      assertEquals(idleCachedStats.toString(), ""There are 0 total connections, 0 are active and 0 are idle."");
      assertEquals(idleCachedStats.getTotalActiveConnectionCount(), 0);
      assertEquals(idleCachedStats.getTotalIdleConnectionCount(), 0);
      assertEquals(idleCachedStats.getTotalConnectionCount(), 0);
      assertNull(idleCachedStats.getStatsPerHost().get(hostname));
    }
  }"
org.asynchttpclient.AsyncStreamLifecycleTest,void tearDownGlobal(),,,"@AfterClass
  @Override
  public void tearDownGlobal() throws Exception {
    super.tearDownGlobal();
    executorService.shutdownNow();
  }"
org.asynchttpclient.AsyncStreamLifecycleTest,configureHandler(),,,"@Override
  public AbstractHandler configureHandler() throws Exception {
    return new AbstractHandler() {
      public void handle(String s, Request request, HttpServletRequest req, final HttpServletResponse resp) throws IOException {
        resp.setContentType(""text/plain;charset=utf-8"");
        resp.setStatus(200);
        final AsyncContext asyncContext = request.startAsync();
        final PrintWriter writer = resp.getWriter();
        executorService.submit(() -> {
            try {
              Thread.sleep(100);
            } catch (InterruptedException e) {
              logger.error(""Failed to sleep for 100 ms."", e);
            }
            logger.info(""Delivering part1."");
            writer.write(""part1"");
            writer.flush();
        });
        executorService.submit(() -> {
            try {
              Thread.sleep(200);
            } catch (InterruptedException e) {
              logger.error(""Failed to sleep for 200 ms."", e);
            }
            logger.info(""Delivering part2."");
            writer.write(""part2"");
            writer.flush();
            asyncContext.complete();
        });
        request.setHandled(true);
      }
    };
  }"
org.asynchttpclient.AsyncStreamLifecycleTest,"void handle(String s, Request request, HttpServletRequest req, final HttpServletResponse resp)",,,"public void handle(String s, Request request, HttpServletRequest req, final HttpServletResponse resp) throws IOException {
        resp.setContentType(""text/plain;charset=utf-8"");
        resp.setStatus(200);
        final AsyncContext asyncContext = request.startAsync();
        final PrintWriter writer = resp.getWriter();
        executorService.submit(() -> {
            try {
              Thread.sleep(100);
            } catch (InterruptedException e) {
              logger.error(""Failed to sleep for 100 ms."", e);
            }
            logger.info(""Delivering part1."");
            writer.write(""part1"");
            writer.flush();
        });
        executorService.submit(() -> {
            try {
              Thread.sleep(200);
            } catch (InterruptedException e) {
              logger.error(""Failed to sleep for 200 ms."", e);
            }
            logger.info(""Delivering part2."");
            writer.write(""part2"");
            writer.flush();
            asyncContext.complete();
        });
        request.setHandled(true);
      }"
org.asynchttpclient.AsyncStreamLifecycleTest,void testStream(),,,"@Test
  public void testStream() throws Exception {
    try (AsyncHttpClient ahc = asyncHttpClient()) {
      final AtomicBoolean err = new AtomicBoolean(false);
      final LinkedBlockingQueue<String> queue = new LinkedBlockingQueue<>();
      final AtomicBoolean status = new AtomicBoolean(false);
      final AtomicInteger headers = new AtomicInteger(0);
      final CountDownLatch latch = new CountDownLatch(1);
      ahc.executeRequest(ahc.prepareGet(getTargetUrl()).build(), new AsyncHandler<Object>() {
        public void onThrowable(Throwable t) {
          fail(""Got throwable."", t);
          err.set(true);
        }

        public State onBodyPartReceived(HttpResponseBodyPart e) throws Exception {
          if (e.length() != 0) {
            String s = new String(e.getBodyPartBytes());
            logger.info(""got part: {}"", s);
            queue.put(s);
          }
          return State.CONTINUE;
        }

        public State onStatusReceived(HttpResponseStatus e) {
          status.set(true);
          return State.CONTINUE;
        }

        public State onHeadersReceived(HttpHeaders e) throws Exception {
          if (headers.incrementAndGet() == 2) {
            throw new Exception(""Analyze this."");
          }
          return State.CONTINUE;
        }

        public Object onCompleted() {
          latch.countDown();
          return null;
        }
      });
      assertTrue(latch.await(1, TimeUnit.SECONDS), ""Latch failed."");
      assertFalse(err.get());
      assertEquals(queue.size(), 2);
      assertTrue(queue.contains(""part1""));
      assertTrue(queue.contains(""part2""));
      assertTrue(status.get());
      assertEquals(headers.get(), 1);
    }
  }"
org.asynchttpclient.AsyncStreamLifecycleTest,void onThrowable(Throwable t),,,"public void onThrowable(Throwable t) {
          fail(""Got throwable."", t);
          err.set(true);
        }"
org.asynchttpclient.AsyncStreamLifecycleTest,onBodyPartReceived(HttpResponseBodyPart e),,,"public State onBodyPartReceived(HttpResponseBodyPart e) throws Exception {
          if (e.length() != 0) {
            String s = new String(e.getBodyPartBytes());
            logger.info(""got part: {}"", s);
            queue.put(s);
          }
          return State.CONTINUE;
        }"
org.asynchttpclient.AsyncStreamLifecycleTest,onStatusReceived(HttpResponseStatus e),,,"public State onStatusReceived(HttpResponseStatus e) {
          status.set(true);
          return State.CONTINUE;
        }"
org.asynchttpclient.AsyncStreamLifecycleTest,onHeadersReceived(HttpHeaders e),,,"public State onHeadersReceived(HttpHeaders e) throws Exception {
          if (headers.incrementAndGet() == 2) {
            throw new Exception(""Analyze this."");
          }
          return State.CONTINUE;
        }"
org.asynchttpclient.AsyncStreamLifecycleTest,onCompleted(),,,"public Object onCompleted() {
          latch.countDown();
          return null;
        }"
org.asynchttpclient.PostRedirectGetTest,configureHandler(),,,"@Override
  public AbstractHandler configureHandler() throws Exception {
    return new PostRedirectGetHandler();
  }"
org.asynchttpclient.PostRedirectGetTest,void postRedirectGet302Test(),,,"@Test
  public void postRedirectGet302Test() throws Exception {
    doTestPositive(302);
  }"
org.asynchttpclient.PostRedirectGetTest,void postRedirectGet302StrictTest(),,,"@Test
  public void postRedirectGet302StrictTest() throws Exception {
    doTestNegative(302, true);
  }"
org.asynchttpclient.PostRedirectGetTest,void postRedirectGet303Test(),,,"@Test
  public void postRedirectGet303Test() throws Exception {
    doTestPositive(303);
  }"
org.asynchttpclient.PostRedirectGetTest,void postRedirectGet301Test(),,,"@Test
  public void postRedirectGet301Test() throws Exception {
    doTestPositive(301);
  }"
org.asynchttpclient.PostRedirectGetTest,void postRedirectGet307Test(),,,"@Test
  public void postRedirectGet307Test() throws Exception {
    doTestNegative(307, false);
  }"
org.asynchttpclient.PostRedirectGetTest,"void doTestNegative(final int status, boolean strict)",,,"private void doTestNegative(final int status, boolean strict) throws Exception {

    ResponseFilter responseFilter = new ResponseFilter() {
      @Override
      public <T> FilterContext<T> filter(FilterContext<T> ctx) {
        // pass on the x-expect-get and remove the x-redirect
        // headers if found in the response
        ctx.getResponseHeaders().get(""x-expect-post"");
        ctx.getRequest().getHeaders().add(""x-expect-post"", ""true"");
        ctx.getRequest().getHeaders().remove(""x-redirect"");
        return ctx;
      }
    };

    try (AsyncHttpClient p = asyncHttpClient(config().setFollowRedirect(true).setStrict302Handling(strict).addResponseFilter(responseFilter))) {
      Request request = post(getTargetUrl()).addFormParam(""q"", ""a b"").addHeader(""x-redirect"", +status + ""@"" + ""http://localhost:"" + port1 + ""/foo/bar/baz"").addHeader(""x-negative"", ""true"").build();
      Future<Integer> responseFuture = p.executeRequest(request, new AsyncCompletionHandler<Integer>() {

        @Override
        public Integer onCompleted(Response response) {
          return response.getStatusCode();
        }

        @Override
        public void onThrowable(Throwable t) {
          t.printStackTrace();
          fail(""Unexpected exception: "" + t.getMessage(), t);
        }

      });
      int statusCode = responseFuture.get();
      assertEquals(statusCode, 200);
    }
  }"
