id,test_prefix,test_name,mut_class,method_under_test,mut_docstring,mut_method_definition
bcel_24_1,"    public void testAnnotationsCount_1_oe()
    {
        int a = 2;
        assertEquals(""annotationCount"", a, getVisitor().annotationCount);
    }",CounterVisitorTestCase::testAnnotationsCount_1_oe,,,,
bcel_25_1,"    public void testAnnotationDefaultCount_1_oe()
    {
        int a = 0;
        assertEquals(""annotationDefaultCount"", a, getVisitor().annotationDefaultCount);
    }",CounterVisitorTestCase::testAnnotationDefaultCount_1_oe,,,,
bcel_26_1,"    public void testAnnotationEntryCount_1_oe()
    {
        int a = 2;
        assertEquals(""annotationEntryCount"", a, getVisitor().annotationEntryCount);
    }",CounterVisitorTestCase::testAnnotationEntryCount_1_oe,,,,
bcel_27_1,"    public void testCodeCount_1_oe()
    {
        int a = 1;
        assertEquals(""codeCount"", a, getVisitor().codeCount);
    }",CounterVisitorTestCase::testCodeCount_1_oe,,,,
bcel_28_1,"    public void testCodeExceptionCount_1_oe()
    {
        int a = 0;
        assertEquals(""codeExceptionCount"", a, getVisitor().codeExceptionCount);
    }",CounterVisitorTestCase::testCodeExceptionCount_1_oe,,,,
bcel_29_1,"    public void testConstantClassCount_1_oe()
    {
        int a = 2;
        assertEquals(""constantClassCount"", a, getVisitor().constantClassCount);
    }",CounterVisitorTestCase::testConstantClassCount_1_oe,,,,
bcel_30_1,"    public void testConstantDoubleCount_1_oe()
    {
        int a = 0;
        assertEquals(""constantDoubleCount"", a, getVisitor().constantDoubleCount);
    }",CounterVisitorTestCase::testConstantDoubleCount_1_oe,,,,
bcel_31_1,"    public void testConstantFieldrefCount_1_oe()
    {
        int a = 0;
        assertEquals(""constantFieldrefCount"", a, getVisitor().constantFieldrefCount);
    }",CounterVisitorTestCase::testConstantFieldrefCount_1_oe,,,,
bcel_32_1,"    public void testConstantFloatCount_1_oe()
    {
        int a = 0;
        assertEquals(""constantFloatCount"", a, getVisitor().constantFloatCount);
    }",CounterVisitorTestCase::testConstantFloatCount_1_oe,,,,
bcel_33_1,"    public void testConstantIntegerCount_1_oe()
    {
        int a = 0;
        assertEquals(""constantIntegerCount"", a, getVisitor().constantIntegerCount);
    }",CounterVisitorTestCase::testConstantIntegerCount_1_oe,,,,
bcel_34_1,"    public void testConstantInterfaceMethodrefCount_1_oe()
    {
        int a = 0;
        assertEquals(""constantInterfaceMethodrefCount"", a, getVisitor().constantInterfaceMethodrefCount);
    }",CounterVisitorTestCase::testConstantInterfaceMethodrefCount_1_oe,,,,
bcel_35_1,"    public void testConstantLongCount_1_oe()
    {
        int a = 0;
        assertEquals(""constantLongCount"", a, getVisitor().constantLongCount);
    }",CounterVisitorTestCase::testConstantLongCount_1_oe,,,,
bcel_36_1,"    public void testConstantMethodrefCount_1_oe()
    {
        int a = 1;
        assertEquals(""constantMethodrefCount"", a, getVisitor().constantMethodrefCount);
    }",CounterVisitorTestCase::testConstantMethodrefCount_1_oe,,,,
bcel_37_1,"    public void testConstantNameAndTypeCount_1_oe()
    {
        int a = 1;
        assertEquals(""constantNameAndTypeCount"", a, getVisitor().constantNameAndTypeCount);
    }",CounterVisitorTestCase::testConstantNameAndTypeCount_1_oe,,,,
bcel_38_1,"    public void testConstantPoolCount_1_oe()
    {
        int a = 1;
        assertEquals(""constantPoolCount"", a, getVisitor().constantPoolCount);
    }",CounterVisitorTestCase::testConstantPoolCount_1_oe,,,,
bcel_39_1,"    public void testConstantStringCount_1_oe()
    {
        int a = 0;
        assertEquals(""constantStringCount"", a, getVisitor().constantStringCount);
    }",CounterVisitorTestCase::testConstantStringCount_1_oe,,,,
bcel_40_1,"    public void testConstantValueCount_1_oe()
    {
        int a = 0;
        assertEquals(""constantValueCount"", a, getVisitor().constantValueCount);
    }",CounterVisitorTestCase::testConstantValueCount_1_oe,,,,
bcel_41_1,"    public void testDeprecatedCount_1_oe()
    {
        int a = 0;
        assertEquals(""deprecatedCount"", a, getVisitor().deprecatedCount);
    }",CounterVisitorTestCase::testDeprecatedCount_1_oe,,,,
bcel_42_1,"    public void testEnclosingMethodCount_1_oe()
    {
        int a = 0;
        assertEquals(""enclosingMethodCount"", a, getVisitor().enclosingMethodCount);
    }",CounterVisitorTestCase::testEnclosingMethodCount_1_oe,,,,
bcel_43_1,"    public void testExceptionTableCount_1_oe()
    {
        int a = 0;
        assertEquals(""exceptionTableCount"", a, getVisitor().exceptionTableCount);
    }",CounterVisitorTestCase::testExceptionTableCount_1_oe,,,,
bcel_44_1,"    public void testFieldCount_1_oe()
    {
        int a = 0;
        assertEquals(""fieldCount"", a, getVisitor().fieldCount);
    }",CounterVisitorTestCase::testFieldCount_1_oe,,,,
bcel_45_1,"    public void testInnerClassCount_1_oe()
    {
        int a = 0;
        assertEquals(""innerClassCount"", a, getVisitor().innerClassCount);
    }",CounterVisitorTestCase::testInnerClassCount_1_oe,,,,
bcel_46_1,"    public void testInnerClassesCount_1_oe()
    {
        int a = 0;
        assertEquals(""innerClassesCount"", a, getVisitor().innerClassesCount);
    }",CounterVisitorTestCase::testInnerClassesCount_1_oe,,,,
bcel_47_1,"    public void testJavaClassCount_1_oe()
    {
        int a = 1;
        assertEquals(""javaClassCount"", a, getVisitor().javaClassCount);
    }",CounterVisitorTestCase::testJavaClassCount_1_oe,,,,
bcel_48_1,"    public void testLineNumberCount_1_oe()
    {
        int a = 1;
        assertEquals(""lineNumberCount"", a, getVisitor().lineNumberCount);
    }",CounterVisitorTestCase::testLineNumberCount_1_oe,,,,
bcel_49_1,"    public void testLineNumberTableCount_1_oe()
    {
        int a = 1;
        assertEquals(""lineNumberTableCount"", a, getVisitor().lineNumberTableCount);
    }",CounterVisitorTestCase::testLineNumberTableCount_1_oe,,,,
bcel_50_1,"    public void testLocalVariableCount_1_oe()
    {
        int a = 1;
        assertEquals(""localVariableCount"", a, getVisitor().localVariableCount);
    }",CounterVisitorTestCase::testLocalVariableCount_1_oe,,,,
bcel_51_1,"    public void testLocalVariableTableCount_1_oe()
    {
        int a = 1;
        assertEquals(""localVariableTableCount"", a, getVisitor().localVariableTableCount);
    }",CounterVisitorTestCase::testLocalVariableTableCount_1_oe,,,,
bcel_52_1,"    public void testLocalVariableTypeTableCount_1_oe()
    {
        int a = 0;
        assertEquals(""localVariableTypeTableCount"", a, getVisitor().localVariableTypeTableCount);
    }",CounterVisitorTestCase::testLocalVariableTypeTableCount_1_oe,,,,
