id,test_prefix,test_name
bcel_95_1,"    public void testGetResourceAsStream_1_oe() throws IOException {
        try (final InputStream inputStream = ClassPath.SYSTEM_CLASS_PATH
                .getResourceAsStream(""java/lang/String.class"")) {
            Assert.assertNotNull(inputStream);
    }
    }
",ClassPathTestCase::testGetResourceAsStream_1_oe
bcel_100_1,"    @Test
    public void testCacheEviction_1_oe() throws ClassNotFoundException, IOException {
        try (final ClassPath classPath = new ClassPath("""")) {
            final LruCacheClassPathRepository repository = new LruCacheClassPathRepository(classPath, 2);
            final JavaClass class1 = repository.loadClass(""java.lang.String"");
            Assert.assertNotNull(class1);
    }
    }
",LruCacheClassPathRepositoryTestCase::testCacheEviction_1_oe
bcel_100_2,"    @Test
    public void testCacheEviction_2_oe() throws ClassNotFoundException, IOException {
        try (final ClassPath classPath = new ClassPath("""")) {
            final LruCacheClassPathRepository repository = new LruCacheClassPathRepository(classPath, 2);
            final JavaClass class1 = repository.loadClass(""java.lang.String"");
            // removed other assertion
            final JavaClass class2 = repository.loadClass(""java.lang.Long"");
            Assert.assertNotNull(class2);
    }
    }
",LruCacheClassPathRepositoryTestCase::testCacheEviction_2_oe
bcel_100_3,"    @Test
    public void testCacheEviction_3_oe() throws ClassNotFoundException, IOException {
        try (final ClassPath classPath = new ClassPath("""")) {
            final LruCacheClassPathRepository repository = new LruCacheClassPathRepository(classPath, 2);
            final JavaClass class1 = repository.loadClass(""java.lang.String"");
            // removed other assertion
            final JavaClass class2 = repository.loadClass(""java.lang.Long"");
            // removed other assertion
            final JavaClass class3 = repository.loadClass(""java.lang.Integer""); // Evicts class1
            Assert.assertNotNull(class3);
    }
    }
",LruCacheClassPathRepositoryTestCase::testCacheEviction_3_oe
bcel_100_4,"    @Test
    public void testCacheEviction_4_oe() throws ClassNotFoundException, IOException {
        try (final ClassPath classPath = new ClassPath("""")) {
            final LruCacheClassPathRepository repository = new LruCacheClassPathRepository(classPath, 2);
            final JavaClass class1 = repository.loadClass(""java.lang.String"");
            // removed other assertion
            final JavaClass class2 = repository.loadClass(""java.lang.Long"");
            // removed other assertion
            final JavaClass class3 = repository.loadClass(""java.lang.Integer""); // Evicts class1
            // removed other assertion

            assertNull(repository.findClass(""java.lang.String""));
    }
    }
",LruCacheClassPathRepositoryTestCase::testCacheEviction_4_oe
bcel_100_5,"    @Test
    public void testCacheEviction_5_oe() throws ClassNotFoundException, IOException {
        try (final ClassPath classPath = new ClassPath("""")) {
            final LruCacheClassPathRepository repository = new LruCacheClassPathRepository(classPath, 2);
            final JavaClass class1 = repository.loadClass(""java.lang.String"");
            // removed other assertion
            final JavaClass class2 = repository.loadClass(""java.lang.Long"");
            // removed other assertion
            final JavaClass class3 = repository.loadClass(""java.lang.Integer""); // Evicts class1
            // removed other assertion

            // removed other assertion
            final JavaClass cachedClass2 = repository.findClass(""java.lang.Long"");
            assertEquals(class2, cachedClass2);
    }
    }
",LruCacheClassPathRepositoryTestCase::testCacheEviction_5_oe
bcel_101_1,"    @Test
    public void testLeastRecentlyUsedEviction_1_oe() throws ClassNotFoundException, IOException {
        try (final ClassPath classPath = new ClassPath("""")) {
            final LruCacheClassPathRepository repository = new LruCacheClassPathRepository(classPath, 2);
            final JavaClass class1 = repository.loadClass(""java.lang.String"");
            Assert.assertNotNull(class1);
    }
    }
",LruCacheClassPathRepositoryTestCase::testLeastRecentlyUsedEviction_1_oe
bcel_101_2,"    @Test
    public void testLeastRecentlyUsedEviction_2_oe() throws ClassNotFoundException, IOException {
        try (final ClassPath classPath = new ClassPath("""")) {
            final LruCacheClassPathRepository repository = new LruCacheClassPathRepository(classPath, 2);
            final JavaClass class1 = repository.loadClass(""java.lang.String"");
            // removed other assertion
            final JavaClass class2 = repository.loadClass(""java.lang.Long"");
            Assert.assertNotNull(class2);
    }
    }
",LruCacheClassPathRepositoryTestCase::testLeastRecentlyUsedEviction_2_oe
bcel_101_3,"    @Test
    public void testLeastRecentlyUsedEviction_3_oe() throws ClassNotFoundException, IOException {
        try (final ClassPath classPath = new ClassPath("""")) {
            final LruCacheClassPathRepository repository = new LruCacheClassPathRepository(classPath, 2);
            final JavaClass class1 = repository.loadClass(""java.lang.String"");
            // removed other assertion
            final JavaClass class2 = repository.loadClass(""java.lang.Long"");
            // removed other assertion
            repository.findClass(""java.lang.String""); // Uses class1
            final JavaClass class3 = repository.loadClass(""java.lang.Integer""); // Evicts class2
            Assert.assertNotNull(class3);
    }
    }
",LruCacheClassPathRepositoryTestCase::testLeastRecentlyUsedEviction_3_oe
bcel_101_4,"    @Test
    public void testLeastRecentlyUsedEviction_4_oe() throws ClassNotFoundException, IOException {
        try (final ClassPath classPath = new ClassPath("""")) {
            final LruCacheClassPathRepository repository = new LruCacheClassPathRepository(classPath, 2);
            final JavaClass class1 = repository.loadClass(""java.lang.String"");
            // removed other assertion
            final JavaClass class2 = repository.loadClass(""java.lang.Long"");
            // removed other assertion
            repository.findClass(""java.lang.String""); // Uses class1
            final JavaClass class3 = repository.loadClass(""java.lang.Integer""); // Evicts class2
            // removed other assertion

            assertNull(repository.findClass(""java.lang.Long""));
    }
    }
",LruCacheClassPathRepositoryTestCase::testLeastRecentlyUsedEviction_4_oe
bcel_101_5,"    @Test
    public void testLeastRecentlyUsedEviction_5_oe() throws ClassNotFoundException, IOException {
        try (final ClassPath classPath = new ClassPath("""")) {
            final LruCacheClassPathRepository repository = new LruCacheClassPathRepository(classPath, 2);
            final JavaClass class1 = repository.loadClass(""java.lang.String"");
            // removed other assertion
            final JavaClass class2 = repository.loadClass(""java.lang.Long"");
            // removed other assertion
            repository.findClass(""java.lang.String""); // Uses class1
            final JavaClass class3 = repository.loadClass(""java.lang.Integer""); // Evicts class2
            // removed other assertion

            // removed other assertion
            final JavaClass cachedClass1 = repository.findClass(""java.lang.String"");
            assertEquals(class1, cachedClass1);
    }
    }
",LruCacheClassPathRepositoryTestCase::testLeastRecentlyUsedEviction_5_oe
bcel_102_1,"    @Test
    public void testClassPath_1_oe() throws IOException {
        try (final ClassPath classPath = new ClassPath("""")) {
            final ClassPathRepository repository = new ClassPathRepository(classPath);
            Assert.assertEquals(classPath, repository.getClassPath());
    }
    }
",ClassPathRepositoryTestCase::testClassPath_1_oe
