id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name,custom_assert_name
bcel_73_8,bcel,GeneratingAnnotatedClassesTestCase,testTransformClassToClassGen_ArrayAndAnnotationTypes_8_oe,src/test/java/org/apache/bcel/generic/GeneratingAnnotatedClassesTestCase.java,,,,assert,unknown,custom,assertMethodAnnotations,assertMethodAnnotations
bcel_73_9,bcel,GeneratingAnnotatedClassesTestCase,testTransformClassToClassGen_ArrayAndAnnotationTypes_9_oe,src/test/java/org/apache/bcel/generic/GeneratingAnnotatedClassesTestCase.java,,,,assert,unknown,custom,assertParameterAnnotations,assertParameterAnnotations
bcel_73_10,bcel,GeneratingAnnotatedClassesTestCase,testTransformClassToClassGen_ArrayAndAnnotationTypes_10_oe,src/test/java/org/apache/bcel/generic/GeneratingAnnotatedClassesTestCase.java,,,,assert,unknown,custom,assertMethodAnnotations,assertMethodAnnotations
bcel_73_11,bcel,GeneratingAnnotatedClassesTestCase,testTransformClassToClassGen_ArrayAndAnnotationTypes_11_oe,src/test/java/org/apache/bcel/generic/GeneratingAnnotatedClassesTestCase.java,,,,assert,unknown,custom,assertMethodAnnotations,assertMethodAnnotations
bcel_104_1,bcel,VerifierReturnTestCase,testInvalidReturn_1_oe,src/test/java/org/apache/bcel/verifier/VerifierReturnTestCase.java,,,,assert,unknown,custom,assertVerifyRejected,assertVerifyRejected
bcel_104_2,bcel,VerifierReturnTestCase,testInvalidReturn_2_oe,src/test/java/org/apache/bcel/verifier/VerifierReturnTestCase.java,,,,assert,unknown,custom,assertVerifyRejected,assertVerifyRejected
bcel_105_1,bcel,VerifierReturnTestCase,testValidReturn_1_oe,src/test/java/org/apache/bcel/verifier/VerifierReturnTestCase.java,,,,assert,unknown,custom,assertVerifyOK,assertVerifyOK
bcel_105_2,bcel,VerifierReturnTestCase,testValidReturn_2_oe,src/test/java/org/apache/bcel/verifier/VerifierReturnTestCase.java,,,,assert,unknown,custom,assertVerifyOK,assertVerifyOK
bcel_107_1,bcel,VerifierInvokeTestCase,testLegalInvokeVirtual_1_oe,src/test/java/org/apache/bcel/verifier/VerifierInvokeTestCase.java,,,,assert,unknown,custom,assertVerifyOK,assertVerifyOK
bcel_107_2,bcel,VerifierInvokeTestCase,testLegalInvokeVirtual_2_oe,src/test/java/org/apache/bcel/verifier/VerifierInvokeTestCase.java,,,,assert,unknown,custom,assertVerifyOK,assertVerifyOK
bcel_108_1,bcel,VerifierInvokeTestCase,testLegalInvokeStatic_1_oe,src/test/java/org/apache/bcel/verifier/VerifierInvokeTestCase.java,,,,assert,unknown,custom,assertVerifyOK,assertVerifyOK
bcel_109_1,bcel,VerifierInvokeTestCase,testLegalInvokeInterface_1_oe,src/test/java/org/apache/bcel/verifier/VerifierInvokeTestCase.java,,,,assert,unknown,custom,assertVerifyOK,assertVerifyOK
bcel_110_1,bcel,VerifierInvokeTestCase,testLegalInvokeSpecial_1_oe,src/test/java/org/apache/bcel/verifier/VerifierInvokeTestCase.java,,,,assert,unknown,custom,assertVerifyOK,assertVerifyOK
bcel_110_2,bcel,VerifierInvokeTestCase,testLegalInvokeSpecial_2_oe,src/test/java/org/apache/bcel/verifier/VerifierInvokeTestCase.java,,,,assert,unknown,custom,assertVerifyOK,assertVerifyOK
bcel_111_1,bcel,VerifierArrayAccessTestCase,testInvalidArrayAccess_1_oe,src/test/java/org/apache/bcel/verifier/VerifierArrayAccessTestCase.java,,,,assert,unknown,custom,assertVerifyRejected,assertVerifyRejected
bcel_111_2,bcel,VerifierArrayAccessTestCase,testInvalidArrayAccess_2_oe,src/test/java/org/apache/bcel/verifier/VerifierArrayAccessTestCase.java,,,,assert,unknown,custom,assertVerifyRejected,assertVerifyRejected
bcel_112_1,bcel,VerifierArrayAccessTestCase,testValidArrayAccess_1_oe,src/test/java/org/apache/bcel/verifier/VerifierArrayAccessTestCase.java,,,,assert,unknown,custom,assertVerifyOK,assertVerifyOK
bcel_112_2,bcel,VerifierArrayAccessTestCase,testValidArrayAccess_2_oe,src/test/java/org/apache/bcel/verifier/VerifierArrayAccessTestCase.java,,,,assert,unknown,custom,assertVerifyOK,assertVerifyOK
