classname,method,docstring,method_definition
org.apache.bcel.Const,getAccessName(final int index),"/**
   * @param index
   * @return the ACCESS_NAMES entry at the given index
   * @since 6.0
   */","public static String getAccessName(final int index) {
      return ACCESS_NAMES[index];
  }"
org.apache.bcel.Const,getConstantName(final int index),"/**
   *
   * @param index
   * @return the CONSTANT_NAMES entry at the given index
   * @since 6.0
   */","public static String getConstantName(final int index) {
      return CONSTANT_NAMES[index];
  }"
org.apache.bcel.Const,getInterfacesImplementedByArrays(),"/**
   * @since 6.0
   */","public static Iterable<String> getInterfacesImplementedByArrays() {
      return Collections.unmodifiableList(Arrays.asList(INTERFACES_IMPLEMENTED_BY_ARRAYS));
  }"
org.apache.bcel.Const,getTypeName(final int index),"/**
   * The primitive type names corresponding to the T_XX constants,
   * e.g., TYPE_NAMES[T_INT] = ""int""
   * @param index
   * @return the type name
   * @since 6.0
   */","public static String getTypeName(final int index) {
      return TYPE_NAMES[index];
  }"
org.apache.bcel.Const,getClassTypeName(final int index),"/**
   * The primitive class names corresponding to the T_XX constants,
   * e.g., CLASS_TYPE_NAMES[T_INT] = ""java.lang.Integer""
   * @param index
   * @return the class name
   * @since 6.0
   */","public static String getClassTypeName(final int index) {
      return CLASS_TYPE_NAMES[index];
  }"
org.apache.bcel.Const,getShortTypeName(final int index),"/**
   *
   * @param index
   * @return the short type name
   * @since 6.0
   */","public static String getShortTypeName(final int index) {
      return SHORT_TYPE_NAMES[index];
  }"
org.apache.bcel.Const,getNoOfOperands(final int index),"/**
   *
   * @param index
   * @return Number of byte code operands
   * @since 6.0
   */","public static short getNoOfOperands(final int index) {
      return NO_OF_OPERANDS[index];
  }"
org.apache.bcel.Const,"getOperandType(final int opcode, final int index)","/**
   * @since 6.0
   */","public static short getOperandType(final int opcode, final int index) {
      return TYPE_OF_OPERANDS[opcode][index];
  }"
org.apache.bcel.Const,getOperandTypeCount(final int opcode),"/**
   * @since 6.0
   */","public static long getOperandTypeCount(final int opcode) {
      return TYPE_OF_OPERANDS[opcode].length;
  }"
org.apache.bcel.Const,getOpcodeName(final int index),"/**
   * @since 6.0
   */","public static String getOpcodeName(final int index) {
      return OPCODE_NAMES[index];
  }"
org.apache.bcel.Const,getConsumeStack(final int index),"/**
   *
   * @param index
   * @return Number of words consumed on operand stack
   * @since 6.0
   */","public static int getConsumeStack(final int index) {
      return CONSUME_STACK[index];
  }"
org.apache.bcel.Const,getProduceStack(final int index),"/**
   *
   * @param index
   * @return Number of words produced onto operand stack
   * @since 6.0
   */","public static int getProduceStack(final int index) {
      return PRODUCE_STACK[index];
  }"
org.apache.bcel.Const,getAttributeName(final int index),"/**
   *
   * @param index
   * @return the attribute name
   * @since 6.0
   */","public static String getAttributeName(final int index) {
      return ATTRIBUTE_NAMES[index];
  }"
