classname,method,docstring,annotations,method_definition
org.apache.bcel.AnonymousClassTestCase,void testRegularClassIsNotAnonymous(),,,"public void testRegularClassIsNotAnonymous() throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.AnonymousClassTest"");
        assertFalse(""regular outer classes are not anonymous"", clazz
                .isAnonymous());
        assertFalse(""regular outer classes are not nested"", clazz.isNested());
    }"
org.apache.bcel.AnonymousClassTestCase,void testNamedInnerClassIsNotAnonymous(),,,"public void testNamedInnerClassIsNotAnonymous()
            throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.AnonymousClassTest$X"");
        assertFalse(""regular inner classes are not anonymous"", clazz
                .isAnonymous());
        assertTrue(""regular inner classes are nested"", clazz.isNested());
    }"
org.apache.bcel.AnonymousClassTestCase,void testStaticInnerClassIsNotAnonymous(),,,"public void testStaticInnerClassIsNotAnonymous()
            throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.AnonymousClassTest$Y"");
        assertFalse(""regular static inner classes are not anonymous"", clazz
                .isAnonymous());
        assertTrue(""regular static inner classes are nested"", clazz.isNested());
    }"
org.apache.bcel.AnonymousClassTestCase,void testAnonymousInnerClassIsAnonymous(),,,"public void testAnonymousInnerClassIsAnonymous()
            throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.AnonymousClassTest$1"");
        assertTrue(""anonymous inner classes are anonymous"", clazz.isAnonymous());
        assertTrue(""anonymous inner classes are anonymous"", clazz.isNested());
    }"
org.apache.bcel.PLSETestCase,void testB208(),"/**
     * BCEL-208: A couple of methods in MethodGen.java need to test for
     * an empty instruction list.
     */",,"public void testB208() throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.PLSETestClass"");
        final ClassGen gen = new ClassGen(clazz);
        final ConstantPoolGen pool = gen.getConstantPool();
        final Method m = gen.getMethodAt(1);
        final MethodGen mg = new MethodGen(m, gen.getClassName(), pool);
        mg.setInstructionList(null);
        mg.addLocalVariable(""local2"", Type.INT, null, null);
        // currently, this will cause null pointer exception
        mg.getLocalVariableTable(pool);
    }"
org.apache.bcel.PLSETestCase,void testB79(),"/**
     * BCEL-79:
     */",,"public void testB79() throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.PLSETestClass"");
        final ClassGen gen = new ClassGen(clazz);
        final ConstantPoolGen pool = gen.getConstantPool();
        final Method m = gen.getMethodAt(2);
        final LocalVariableTable lvt = m.getLocalVariableTable();
        //System.out.println(lvt);
        //System.out.println(lvt.getTableLength());
        final MethodGen mg = new MethodGen(m, gen.getClassName(), pool);
        final LocalVariableTable new_lvt = mg.getLocalVariableTable(mg.getConstantPool());
        //System.out.println(new_lvt);
        assertEquals(""number of locals"", lvt.getTableLength(), new_lvt.getTableLength());
    }"
org.apache.bcel.PLSETestCase,void testB262(),"/**
     * BCEL-262:
     */",,"public void testB262() throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.PLSETestEnum"");
        final ClassGen gen = new ClassGen(clazz);
        final ConstantPoolGen pool = gen.getConstantPool();
        // get the values() method
        final Method m = gen.getMethodAt(0);
        final MethodGen mg = new MethodGen(m, gen.getClassName(), pool);
        final InstructionList il = mg.getInstructionList();
        // get the invokevirtual instruction
        final InstructionHandle ih = il.findHandle(3);
        final InvokeInstruction ii = (InvokeInstruction)(ih.getInstruction());
        // without fix, the getClassName() will throw:
        //   java.lang.IllegalArgumentException: Cannot be used on an array type
        final String cn = ii.getClassName(pool);
        assertEquals(""[Lorg.apache.bcel.data.PLSETestEnum;"", cn);
    }"
org.apache.bcel.PLSETestCase,void testB295(),"/**
     * BCEL-295:
     */",,"public void testB295() throws Exception
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.PLSETestClass2"");
        final ClassGen cg = new ClassGen(clazz);
        final ConstantPoolGen pool = cg.getConstantPool();
        final Method m = cg.getMethodAt(1);  // 'main'
        final LocalVariableTable lvt = m.getLocalVariableTable();
        final LocalVariable lv = lvt.getLocalVariable(2, 4);  // 'i'
        //System.out.println(lv);
        final MethodGen mg = new MethodGen(m, cg.getClassName(), pool);
        final LocalVariableTable new_lvt = mg.getLocalVariableTable(mg.getConstantPool());
        final LocalVariable new_lv = new_lvt.getLocalVariable(2, 4);  // 'i'
        //System.out.println(new_lv);
        assertEquals(""live range length"", lv.getLength(), new_lv.getLength());
    }"
org.apache.bcel.LocalVariableTypeTableTestCase.TestClassLoader,"findClass(final String name, final byte[] bytes)",,,"public Class<?> findClass(final String name, final byte[] bytes) {
            return defineClass(name, bytes, 0, bytes.length);
        }"
org.apache.bcel.LocalVariableTypeTableTestCase,void testWithGenericArguement(),,,"@Test
    public void testWithGenericArguement() throws ClassNotFoundException, NoSuchMethodException, InvocationTargetException, IllegalAccessException {
        final String targetClass = PACKAGE_BASE_NAME + "".data.SimpleClassHasMethodIncludeGenericArgument"";
        final TestClassLoader loader = new TestClassLoader(getClass().getClassLoader());
        final Class<?> cls = loader.findClass(targetClass, getBytesFromClass(targetClass));

        java.lang.reflect.Method method = cls.getDeclaredMethod(""a"", String.class, List.class);
        method.invoke(null, ""a1"", new LinkedList<String>());
        method = cls.getDeclaredMethod(""b"", String.class, List.class);
        method.invoke(null, ""b1"", new LinkedList<String>());
        method = cls.getDeclaredMethod(""c"", String.class, String.class);
        method.invoke(null, ""c1"", ""c2"");
        method = cls.getDeclaredMethod(""d"", List.class, String.class);
        method.invoke(null, new LinkedList<String>(), ""d2"");
    }"
org.apache.bcel.LocalVariableTypeTableTestCase,getBytesFromClass(final String className),,,"private byte[] getBytesFromClass(final String className) throws ClassNotFoundException {
        final JavaClass clazz = getTestClass(className);
        final ConstantPoolGen cp = new ConstantPoolGen(clazz.getConstantPool());

        final Method[] methods = clazz.getMethods();

        for (int i = 0; i < methods.length; i++) {
            final Method method = methods[i];
            if (!method.isNative() && !method.isAbstract()) {
                methods[i] = injection(clazz, method, cp, findFirstStringLocalVariableOffset(method));
            }
        }

        clazz.setConstantPool(cp.getFinalConstantPool());

        return clazz.getBytes();
    }"
org.apache.bcel.LocalVariableTypeTableTestCase,"injection(final JavaClass clazz, Method method, final ConstantPoolGen cp, final int firstStringOffset)",,,"public Method injection(final JavaClass clazz, Method method, final ConstantPoolGen cp, final int firstStringOffset) {
        final MethodGen methodGen = new MethodGen(method, clazz.getClassName(), cp);

        final InstructionList instructionList = methodGen.getInstructionList();
        instructionList.insert(instructionList.getStart(), makeWillBeAddedInstructionList(methodGen, firstStringOffset));

        methodGen.setMaxStack();
        methodGen.setMaxLocals();

        method = methodGen.getMethod();
        instructionList.dispose();

        return method;
    }"
org.apache.bcel.LocalVariableTypeTableTestCase,"makeWillBeAddedInstructionList(final MethodGen methodGen, final int firstStringOffset)",,,"public InstructionList makeWillBeAddedInstructionList(final MethodGen methodGen, final int firstStringOffset) {
        if (firstStringOffset == -1) {
            return new InstructionList();
        }

        final LocalVariableGen localVariableGen = methodGen.getLocalVariables()[firstStringOffset];
        Instruction instruction;

        if (localVariableGen != null) {
            instruction = new ALOAD(localVariableGen.getIndex());
        } else {
            instruction = new ACONST_NULL();
        }

        return createPrintln(methodGen.getConstantPool(), instruction);
    }"
org.apache.bcel.LocalVariableTypeTableTestCase,"createPrintln(final ConstantPoolGen cp, final Instruction instruction)",,,"public InstructionList createPrintln(final ConstantPoolGen cp, final Instruction instruction) {
        final InstructionList il = new InstructionList();

        final int out = cp.addFieldref(""java.lang.System"", ""out"", ""Ljava/io/PrintStream;"");
        final int println = cp.addMethodref(""java.io.PrintStream"", ""println"", ""(Ljava/lang/String;)V"");
        il.append(new GETSTATIC(out));
        il.append(instruction);
        il.append(new INVOKEVIRTUAL(println));

        return il;
    }"
org.apache.bcel.LocalVariableTypeTableTestCase,findFirstStringLocalVariableOffset(final Method method),,,"public int findFirstStringLocalVariableOffset(final Method method) {
        final Type[] argumentTypes = method.getArgumentTypes();
        int offset = -1;

        for (int i = 0, count = argumentTypes.length; i < count; i++) {
            if (Type.STRING.getSignature().equals(argumentTypes[i].getSignature())) {
                if (method.isStatic()) {
                    offset = i;
                } else {
                    offset = i + 1;
                }

                break;
            }
        }

        return offset;
    }"
