id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version
bean_12_2,commons-beanutils-1.9.4,BeanToPropertyValueTransformerTestCase,testTransformWithIndexedProperty_2_oe,src/test/java/org/apache/commons/beanutils/BeanToPropertyValueTransformerTestCase.java,,,,assert,unknown
bean_14_1,commons-beanutils-1.9.4,BeanToPropertyValueTransformerTestCase,testTransformWithNullInPath_1_oe,src/test/java/org/apache/commons/beanutils/BeanToPropertyValueTransformerTestCase.java,,,,assert,unknown
bean_16_1,commons-beanutils-1.9.4,FluentPropertyBeanIntrospectorTestCase,testInitNoPrefix_1_oe,src/test/java/org/apache/commons/beanutils/FluentPropertyBeanIntrospectorTestCase.java,,,,assert,unknown
bean_19_6,commons-beanutils-1.9.4,LazyDynaBeanTestCase,testSimpleProperty_6_oe,src/test/java/org/apache/commons/beanutils/LazyDynaBeanTestCase.java,,,,assert,unknown
bean_21_4,commons-beanutils-1.9.4,LazyDynaBeanTestCase,testSimplePropertyRestricted_4_oe,src/test/java/org/apache/commons/beanutils/LazyDynaBeanTestCase.java,,,,assert,unknown
bean_25_4,commons-beanutils-1.9.4,LazyDynaBeanTestCase,testMappedPropertyRestricted_4_oe,src/test/java/org/apache/commons/beanutils/LazyDynaBeanTestCase.java,,,,assert,unknown
bean_26_2,commons-beanutils-1.9.4,LazyDynaBeanTestCase,testMappedInvalidType_2_oe,src/test/java/org/apache/commons/beanutils/LazyDynaBeanTestCase.java,,,,assert,unknown
bean_33_4,commons-beanutils-1.9.4,LazyDynaBeanTestCase,testIndexedPropertyRestricted_4_oe,src/test/java/org/apache/commons/beanutils/LazyDynaBeanTestCase.java,,,,assert,unknown
bean_34_2,commons-beanutils-1.9.4,LazyDynaBeanTestCase,testIndexedInvalidType_2_oe,src/test/java/org/apache/commons/beanutils/LazyDynaBeanTestCase.java,,,,assert,unknown
bean_47_4,commons-beanutils-1.9.4,ConstructorUtilsTestCase,testInvokeExactConstructor_4_oe,src/test/java/org/apache/commons/beanutils/ConstructorUtilsTestCase.java,,,,assert,unknown
bean_49_1,commons-beanutils-1.9.4,ConstructorUtilsTestCase,testInvokeExactConstructorWithArgArray_1_oe,src/test/java/org/apache/commons/beanutils/ConstructorUtilsTestCase.java,,,,assert,unknown
bean_50_13,commons-beanutils-1.9.4,ConstructorUtilsTestCase,testInvokeExactConstructorWithTypeArray_13_oe,src/test/java/org/apache/commons/beanutils/ConstructorUtilsTestCase.java,,,,assert,unknown
bean_62_1,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetDescriptorArguments_1_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_62_3,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetDescriptorArguments_3_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_64_1,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetIndexedArguments_1_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_65_1,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetIndexedValues_1_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_65_2,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetIndexedValues_2_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_65_3,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetIndexedValues_3_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_65_5,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetIndexedValues_5_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_65_6,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetIndexedValues_6_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_65_7,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetIndexedValues_7_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_65_9,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetIndexedValues_9_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_65_10,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetIndexedValues_10_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_65_11,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetIndexedValues_11_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_65_13,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetIndexedValues_13_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_65_14,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetIndexedValues_14_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_65_15,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetIndexedValues_15_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_65_17,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetIndexedValues_17_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_65_18,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetIndexedValues_18_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_65_19,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetIndexedValues_19_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_66_1,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetMappedArguments_1_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_67_1,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetMappedValues_1_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_67_3,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetMappedValues_3_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_67_5,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetMappedValues_5_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_68_1,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleArguments_1_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_69_1,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleBoolean_1_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_69_2,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleBoolean_2_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_69_3,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleBoolean_3_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_70_1,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleDouble_1_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_70_2,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleDouble_2_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_70_3,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleDouble_3_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_71_1,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleFloat_1_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_71_2,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleFloat_2_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_71_3,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleFloat_3_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_72_1,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleInt_1_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_72_2,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleInt_2_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_72_3,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleInt_3_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_73_1,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleLong_1_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_73_2,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleLong_2_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_73_3,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleLong_3_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_74_1,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleShort_1_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_74_2,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleShort_2_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_74_3,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleShort_3_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_75_1,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleString_1_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_75_2,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleString_2_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_75_3,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testGetSimpleString_3_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_76_1,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testMappedContains_1_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
bean_76_3,commons-beanutils-1.9.4,BasicDynaBeanTestCase,testMappedContains_3_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown
