id,test_prefix,test_name
bean_176_3,"    public void testSerialization_3_oe() {

        // Serialize the test bean
        final ByteArrayOutputStream baos = new ByteArrayOutputStream();
        try {
            final ObjectOutputStream oos = new ObjectOutputStream(baos);
            oos.writeObject(bean);
            oos.flush();
            oos.close();
        } catch (final Exception e) {
            // removed other assertion
        }

        // Deserialize the test bean
        try {
            bean = null;
            final ByteArrayInputStream bais =
                new ByteArrayInputStream(baos.toByteArray());
            final ObjectInputStream ois = new ObjectInputStream(bais);
            bean = (DynaBean) ois.readObject();
            bais.close();
        } catch (final Exception e) {
            // removed other assertion
        }

        // Confirm property values
        testGetDescriptorArguments();
        testGetDescriptorBoolean();
        testGetDescriptorDouble();
        testGetDescriptorFloat();
        testGetDescriptorInt();
        testGetDescriptorLong();
        testGetDescriptorSecond();
        testGetDescriptorShort();
        testGetDescriptorString();
        testGetDescriptors();
        testGetIndexedArguments();
        testGetIndexedValues();
        testGetMappedArguments();
        testGetMappedValues();
        testGetSimpleArguments();
        testGetSimpleBoolean();
        testGetSimpleDouble();
        testGetSimpleFloat();
        testGetSimpleInt();
        testGetSimpleLong();
        testGetSimpleShort();
        testGetSimpleString();
        testMappedContains();
        testMappedRemove();

        // Ensure that we can create a new instance of the same DynaClass
        try {
            bean = bean.getDynaClass().newInstance();
        } catch (final Exception e) {
            fail(""Exception creating new instance: "" + e);
    }
    }
",BasicDynaBeanTestCase::testSerialization_3_oe
bean_770_6,"    @Test
    public void testPropertyUtilsBean_descriptorsCache_memoryLeak_6_oe() throws Exception {

        // Clear All BeanUtils caches before the test
        clearAllBeanUtilsCaches();

        final String className = ""org.apache.commons.beanutils.memoryleaktests.pojotests.SomePojo"";

        // The classLoader will go away only when these following variables are released
        ClassLoader loader = newClassLoader();
        Class<?> beanClass    = loader.loadClass(className);
        Object bean        = beanClass.newInstance();
        // -----------------------------------------------------------------------------

        final WeakReference<ClassLoader> someRef = new WeakReference<ClassLoader>(loader);

        // Sanity checks only
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        // if you comment the following line, the testcase will work, and the ClassLoader will be released.
        // That proves that nothing is wrong with the test, and PropertyUtils is holding a reference
        // removed other assertion

        // this should make the reference go away.
        loader    = null;
        beanClass = null;
        bean      = null;

        forceGarbageCollection(); /* Try to force the garbage collector to run by filling up memory */

        if (someRef.get() != null) {
            profilerLeakReport(""PropertyUtilsBean descriptorsCache"", className);
        }

        // if everything is fine, this will be null
        assertNull(""PropertyUtilsBean is holding a reference to the classLoader"", someRef.get());
    }
",MemoryLeakTestCase::testPropertyUtilsBean_descriptorsCache_memoryLeak_6_oe
bean_771_7,"    @Test
    public void testPropertyUtilsBean_mappedDescriptorsCache_memoryLeak_7_oe() throws Exception {

        // Clear All BeanUtils caches before the test
        clearAllBeanUtilsCaches();

        final String className = ""org.apache.commons.beanutils.memoryleaktests.pojotests.SomeMappedPojo"";

        // The classLoader will go away only when these following variables are released
        ClassLoader loader = newClassLoader();
        Class<?> beanClass    = loader.loadClass(className);
        Object bean        = beanClass.newInstance();
        // -----------------------------------------------------------------------------

        final WeakReference<ClassLoader> someRef = new WeakReference<ClassLoader>(loader);

        // Sanity checks only
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        // if you comment the following three lines, the testcase will work, and the ClassLoader will be released.
        // That proves that nothing is wrong with the test, and PropertyUtils is holding a reference
        // removed other assertion
        PropertyUtils.setProperty(bean, ""mappedProperty(Second Key)"", ""New Second Value"");
        // removed other assertion

        // this should make the reference go away.
        loader = null;
        beanClass = null;
        bean = null;

        // PropertyUtilsBean uses the MethodUtils's method cache for mapped properties.
        // Uncomment the following line to check this is not just a repeat of that memory leak.
        // MethodUtils.clearCache();

        forceGarbageCollection(); /* Try to force the garbage collector to run by filling up memory */

        if (someRef.get() != null) {
            profilerLeakReport(""PropertyUtilsBean mappedDescriptorsCache"", className);
        }

        // if everything is fine, this will be null
        assertNull(""PropertyUtilsBean is holding a reference to the classLoader"", someRef.get());
    }
",MemoryLeakTestCase::testPropertyUtilsBean_mappedDescriptorsCache_memoryLeak_7_oe
bean_772_10,"    @Test
    public void testMappedPropertyDescriptor_MappedMethodReference1_10_oe() throws Exception {

        // Clear All BeanUtils caches before the test
        clearAllBeanUtilsCaches();

        final String className = ""org.apache.commons.beanutils.memoryleaktests.pojotests.SomeMappedPojo"";
        final ClassLoader loader = newClassLoader();
        final Class<?> beanClass    = loader.loadClass(className);
        final Object bean        = beanClass.newInstance();
        // -----------------------------------------------------------------------------

        // Sanity checks only
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final MappedPropertyDescriptor descriptor = new MappedPropertyDescriptor(""mappedProperty"", beanClass);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        forceGarbageCollection(); /* Try to force the garbage collector to run by filling up memory */

        // The aim of this test is to check the functinality in MappedPropertyDescriptor which
        // re-creates the Method references after they have been garbage collected. However theres no
        // way of knowing the method references were garbage collected and that code was run, except by
        // un-commeting the System.out statement in MappedPropertyDescriptor's MappedMethodReference's
        // get() method.

        assertNotNull(""1-Read Method null"", descriptor.getMappedReadMethod());
    }
",MemoryLeakTestCase::testMappedPropertyDescriptor_MappedMethodReference1_10_oe
bean_772_11,"    @Test
    public void testMappedPropertyDescriptor_MappedMethodReference1_11_oe() throws Exception {

        // Clear All BeanUtils caches before the test
        clearAllBeanUtilsCaches();

        final String className = ""org.apache.commons.beanutils.memoryleaktests.pojotests.SomeMappedPojo"";
        final ClassLoader loader = newClassLoader();
        final Class<?> beanClass    = loader.loadClass(className);
        final Object bean        = beanClass.newInstance();
        // -----------------------------------------------------------------------------

        // Sanity checks only
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final MappedPropertyDescriptor descriptor = new MappedPropertyDescriptor(""mappedProperty"", beanClass);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        forceGarbageCollection(); /* Try to force the garbage collector to run by filling up memory */

        // The aim of this test is to check the functinality in MappedPropertyDescriptor which
        // re-creates the Method references after they have been garbage collected. However theres no
        // way of knowing the method references were garbage collected and that code was run, except by
        // un-commeting the System.out statement in MappedPropertyDescriptor's MappedMethodReference's
        // get() method.

        // removed other assertion
        assertNotNull(""1-Write Method null"", descriptor.getMappedWriteMethod());
    }
",MemoryLeakTestCase::testMappedPropertyDescriptor_MappedMethodReference1_11_oe
bean_772_12,"    @Test
    public void testMappedPropertyDescriptor_MappedMethodReference1_12_oe() throws Exception {

        // Clear All BeanUtils caches before the test
        clearAllBeanUtilsCaches();

        final String className = ""org.apache.commons.beanutils.memoryleaktests.pojotests.SomeMappedPojo"";
        final ClassLoader loader = newClassLoader();
        final Class<?> beanClass    = loader.loadClass(className);
        final Object bean        = beanClass.newInstance();
        // -----------------------------------------------------------------------------

        // Sanity checks only
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final MappedPropertyDescriptor descriptor = new MappedPropertyDescriptor(""mappedProperty"", beanClass);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        forceGarbageCollection(); /* Try to force the garbage collector to run by filling up memory */

        // The aim of this test is to check the functinality in MappedPropertyDescriptor which
        // re-creates the Method references after they have been garbage collected. However theres no
        // way of knowing the method references were garbage collected and that code was run, except by
        // un-commeting the System.out statement in MappedPropertyDescriptor's MappedMethodReference's
        // get() method.

        // removed other assertion
        // removed other assertion
        assertEquals(""1-Read Method name"", ""getMappedProperty"", descriptor.getMappedReadMethod().getName());
    }
",MemoryLeakTestCase::testMappedPropertyDescriptor_MappedMethodReference1_12_oe
bean_772_13,"    @Test
    public void testMappedPropertyDescriptor_MappedMethodReference1_13_oe() throws Exception {

        // Clear All BeanUtils caches before the test
        clearAllBeanUtilsCaches();

        final String className = ""org.apache.commons.beanutils.memoryleaktests.pojotests.SomeMappedPojo"";
        final ClassLoader loader = newClassLoader();
        final Class<?> beanClass    = loader.loadClass(className);
        final Object bean        = beanClass.newInstance();
        // -----------------------------------------------------------------------------

        // Sanity checks only
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final MappedPropertyDescriptor descriptor = new MappedPropertyDescriptor(""mappedProperty"", beanClass);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        forceGarbageCollection(); /* Try to force the garbage collector to run by filling up memory */

        // The aim of this test is to check the functinality in MappedPropertyDescriptor which
        // re-creates the Method references after they have been garbage collected. However theres no
        // way of knowing the method references were garbage collected and that code was run, except by
        // un-commeting the System.out statement in MappedPropertyDescriptor's MappedMethodReference's
        // get() method.

        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEquals(""1-Read Write name"", ""setMappedProperty"", descriptor.getMappedWriteMethod().getName());
    }
",MemoryLeakTestCase::testMappedPropertyDescriptor_MappedMethodReference1_13_oe
bean_773_10,"    @Test
    public void testMappedPropertyDescriptor_MappedMethodReference2_10_oe() throws Exception {

        // Clear All BeanUtils caches before the test
        clearAllBeanUtilsCaches();

        final String className = ""org.apache.commons.beanutils.memoryleaktests.pojotests.SomeMappedPojo"";
        ClassLoader loader = newClassLoader();
        Class<?> beanClass    = loader.loadClass(className);
        Object bean        = beanClass.newInstance();
        // -----------------------------------------------------------------------------

        // Sanity checks only
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final MappedPropertyDescriptor descriptor = new MappedPropertyDescriptor(""mappedProperty"", beanClass);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        // this should make the reference go away.
        loader = null;
        beanClass = null;
        bean = null;

        forceGarbageCollection(); /* Try to force the garbage collector to run by filling up memory */

        // The aim of this test is to check the functinality in MappedPropertyDescriptor which
        // re-creates the Method references after they have been garbage collected. However theres no
        // way of knowing the method references were garbage collected and that code was run, except by
        // un-commeting the System.out statement in MappedPropertyDescriptor's MappedMethodReference's
        // get() method.

        assertNotNull(""1-Read Method null"", descriptor.getMappedReadMethod());
    }
",MemoryLeakTestCase::testMappedPropertyDescriptor_MappedMethodReference2_10_oe
bean_773_11,"    @Test
    public void testMappedPropertyDescriptor_MappedMethodReference2_11_oe() throws Exception {

        // Clear All BeanUtils caches before the test
        clearAllBeanUtilsCaches();

        final String className = ""org.apache.commons.beanutils.memoryleaktests.pojotests.SomeMappedPojo"";
        ClassLoader loader = newClassLoader();
        Class<?> beanClass    = loader.loadClass(className);
        Object bean        = beanClass.newInstance();
        // -----------------------------------------------------------------------------

        // Sanity checks only
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final MappedPropertyDescriptor descriptor = new MappedPropertyDescriptor(""mappedProperty"", beanClass);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        // this should make the reference go away.
        loader = null;
        beanClass = null;
        bean = null;

        forceGarbageCollection(); /* Try to force the garbage collector to run by filling up memory */

        // The aim of this test is to check the functinality in MappedPropertyDescriptor which
        // re-creates the Method references after they have been garbage collected. However theres no
        // way of knowing the method references were garbage collected and that code was run, except by
        // un-commeting the System.out statement in MappedPropertyDescriptor's MappedMethodReference's
        // get() method.

        // removed other assertion
        assertNotNull(""1-Write Method null"", descriptor.getMappedWriteMethod());
    }
",MemoryLeakTestCase::testMappedPropertyDescriptor_MappedMethodReference2_11_oe
bean_773_12,"    @Test
    public void testMappedPropertyDescriptor_MappedMethodReference2_12_oe() throws Exception {

        // Clear All BeanUtils caches before the test
        clearAllBeanUtilsCaches();

        final String className = ""org.apache.commons.beanutils.memoryleaktests.pojotests.SomeMappedPojo"";
        ClassLoader loader = newClassLoader();
        Class<?> beanClass    = loader.loadClass(className);
        Object bean        = beanClass.newInstance();
        // -----------------------------------------------------------------------------

        // Sanity checks only
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final MappedPropertyDescriptor descriptor = new MappedPropertyDescriptor(""mappedProperty"", beanClass);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        // this should make the reference go away.
        loader = null;
        beanClass = null;
        bean = null;

        forceGarbageCollection(); /* Try to force the garbage collector to run by filling up memory */

        // The aim of this test is to check the functinality in MappedPropertyDescriptor which
        // re-creates the Method references after they have been garbage collected. However theres no
        // way of knowing the method references were garbage collected and that code was run, except by
        // un-commeting the System.out statement in MappedPropertyDescriptor's MappedMethodReference's
        // get() method.

        // removed other assertion
        // removed other assertion
        assertEquals(""1-Read Method name"", ""getMappedProperty"", descriptor.getMappedReadMethod().getName());
    }
",MemoryLeakTestCase::testMappedPropertyDescriptor_MappedMethodReference2_12_oe
