id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
bean_176_3,commons-beanutils,BasicDynaBeanTestCase,testSerialization_3_oe,src/test/java/org/apache/commons/beanutils/BasicDynaBeanTestCase.java,,,,assert,unknown,standard,fail
bean_770_6,commons-beanutils,MemoryLeakTestCase,testPropertyUtilsBean_descriptorsCache_memoryLeak_6_oe,src/test/java/org/apache/commons/beanutils/memoryleaktests/MemoryLeakTestCase.java,,,,assert,unknown,standard,assertNull
bean_771_7,commons-beanutils,MemoryLeakTestCase,testPropertyUtilsBean_mappedDescriptorsCache_memoryLeak_7_oe,src/test/java/org/apache/commons/beanutils/memoryleaktests/MemoryLeakTestCase.java,,,,assert,unknown,standard,assertNull
bean_772_10,commons-beanutils,MemoryLeakTestCase,testMappedPropertyDescriptor_MappedMethodReference1_10_oe,src/test/java/org/apache/commons/beanutils/memoryleaktests/MemoryLeakTestCase.java,,,,assert,unknown,standard,assertNotNull
bean_772_11,commons-beanutils,MemoryLeakTestCase,testMappedPropertyDescriptor_MappedMethodReference1_11_oe,src/test/java/org/apache/commons/beanutils/memoryleaktests/MemoryLeakTestCase.java,,,,assert,unknown,standard,assertNotNull
bean_772_12,commons-beanutils,MemoryLeakTestCase,testMappedPropertyDescriptor_MappedMethodReference1_12_oe,src/test/java/org/apache/commons/beanutils/memoryleaktests/MemoryLeakTestCase.java,,,,assert,unknown,standard,assertEquals
bean_772_13,commons-beanutils,MemoryLeakTestCase,testMappedPropertyDescriptor_MappedMethodReference1_13_oe,src/test/java/org/apache/commons/beanutils/memoryleaktests/MemoryLeakTestCase.java,,,,assert,unknown,standard,assertEquals
bean_773_10,commons-beanutils,MemoryLeakTestCase,testMappedPropertyDescriptor_MappedMethodReference2_10_oe,src/test/java/org/apache/commons/beanutils/memoryleaktests/MemoryLeakTestCase.java,,,,assert,unknown,standard,assertNotNull
bean_773_11,commons-beanutils,MemoryLeakTestCase,testMappedPropertyDescriptor_MappedMethodReference2_11_oe,src/test/java/org/apache/commons/beanutils/memoryleaktests/MemoryLeakTestCase.java,,,,assert,unknown,standard,assertNotNull
bean_773_12,commons-beanutils,MemoryLeakTestCase,testMappedPropertyDescriptor_MappedMethodReference2_12_oe,src/test/java/org/apache/commons/beanutils/memoryleaktests/MemoryLeakTestCase.java,,,,assert,unknown,standard,assertEquals
bean_773_13,commons-beanutils,MemoryLeakTestCase,testMappedPropertyDescriptor_MappedMethodReference2_13_oe,src/test/java/org/apache/commons/beanutils/memoryleaktests/MemoryLeakTestCase.java,,,,assert,unknown,standard,assertEquals
bean_774_6,commons-beanutils,MemoryLeakTestCase,testMethodUtils_cache_memoryLeak_6_oe,src/test/java/org/apache/commons/beanutils/memoryleaktests/MemoryLeakTestCase.java,,,,assert,unknown,standard,assertNull
bean_775_6,commons-beanutils,MemoryLeakTestCase,testWrapDynaClass_dynaClasses_memoryLeak_6_oe,src/test/java/org/apache/commons/beanutils/memoryleaktests/MemoryLeakTestCase.java,,,,assert,unknown,standard,assertNull
bean_776_6,commons-beanutils,MemoryLeakTestCase,testConvertUtilsBean_converters_memoryLeak_6_oe,src/test/java/org/apache/commons/beanutils/memoryleaktests/MemoryLeakTestCase.java,,,,assert,unknown,standard,assertNull
bean_777_6,commons-beanutils,MemoryLeakTestCase,testLocaleConvertUtilsBean_converters_memoryLeak_6_oe,src/test/java/org/apache/commons/beanutils/memoryleaktests/MemoryLeakTestCase.java,,,,assert,unknown,standard,assertNull
