id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
bean_left_1_1,commons-beanutils,LazyDynaClassTestCase,testAddProperty1_1_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,assertEquals
bean_left_1_2,commons-beanutils,LazyDynaClassTestCase,testAddProperty1_2_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,assertEquals
bean_left_2_1,commons-beanutils,LazyDynaClassTestCase,testAddProperty2_1_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,assertEquals
bean_left_2_2,commons-beanutils,LazyDynaClassTestCase,testAddProperty2_2_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,assertEquals
bean_left_3_1,commons-beanutils,LazyDynaClassTestCase,testAddProperty3_1_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,fail
bean_left_4_1,commons-beanutils,LazyDynaClassTestCase,testAddPropertyNullName1_1_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,fail
bean_left_5_1,commons-beanutils,LazyDynaClassTestCase,testAddPropertyNullName2_1_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,fail
bean_left_6_1,commons-beanutils,LazyDynaClassTestCase,testAddPropertyNullName3_1_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,fail
bean_left_7_1,commons-beanutils,LazyDynaClassTestCase,testAddPropertyRestricted1_1_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,assertTrue
bean_left_7_2,commons-beanutils,LazyDynaClassTestCase,testAddPropertyRestricted1_2_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,fail
bean_left_8_1,commons-beanutils,LazyDynaClassTestCase,testAddPropertyRestricted2_1_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,assertTrue
bean_left_8_2,commons-beanutils,LazyDynaClassTestCase,testAddPropertyRestricted2_2_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,fail
bean_left_9_1,commons-beanutils,LazyDynaClassTestCase,testAddPropertyRestricted3_1_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,assertTrue
bean_left_9_2,commons-beanutils,LazyDynaClassTestCase,testAddPropertyRestricted3_2_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,fail
bean_left_10_1,commons-beanutils,LazyDynaClassTestCase,testGetPropertyDoesntExist1_1_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,assertFalse
bean_left_10_2,commons-beanutils,LazyDynaClassTestCase,testGetPropertyDoesntExist1_2_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,assertEquals
bean_left_10_3,commons-beanutils,LazyDynaClassTestCase,testGetPropertyDoesntExist1_3_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,assertEquals
bean_left_10_4,commons-beanutils,LazyDynaClassTestCase,testGetPropertyDoesntExist1_4_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,assertFalse
bean_left_11_1,commons-beanutils,LazyDynaClassTestCase,testGetPropertyDoesntExist2_1_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,assertTrue
bean_left_11_2,commons-beanutils,LazyDynaClassTestCase,testGetPropertyDoesntExist2_2_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,assertNull
bean_left_12_1,commons-beanutils,LazyDynaClassTestCase,testRemoveProperty_1_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,assertTrue
bean_left_12_2,commons-beanutils,LazyDynaClassTestCase,testRemoveProperty_2_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,assertNotNull
bean_left_12_3,commons-beanutils,LazyDynaClassTestCase,testRemoveProperty_3_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,assertFalse
bean_left_12_4,commons-beanutils,LazyDynaClassTestCase,testRemoveProperty_4_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,assertNull
bean_left_13_1,commons-beanutils,LazyDynaClassTestCase,testRemovePropertyNullName_1_oe,src/test/java/org/apache/commons/beanutils/LazyDynaClassTestCase.java,,,,assert,unknown,standard,fail
