id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version
coll_1_2,commons-collections4-4.4-src,AbstractLinkedListTest,testLinkedListGetFirst_2_oe,src/test/java/org/apache/commons/collections4/AbstractLinkedListTest.java,,,,assert,unknown
coll_2_2,commons-collections4-4.4-src,AbstractLinkedListTest,testLinkedListGetLast_2_oe,src/test/java/org/apache/commons/collections4/AbstractLinkedListTest.java,,,,assert,unknown
coll_3_2,commons-collections4-4.4-src,AbstractLinkedListTest,testLinkedListRemoveFirst_2_oe,src/test/java/org/apache/commons/collections4/AbstractLinkedListTest.java,,,,assert,unknown
coll_4_2,commons-collections4-4.4-src,AbstractLinkedListTest,testLinkedListRemoveLast_2_oe,src/test/java/org/apache/commons/collections4/AbstractLinkedListTest.java,,,,assert,unknown
coll_5_1,commons-collections4-4.4-src,IterableUtilsTest,forEach_1_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_6_1,commons-collections4-4.4-src,IterableUtilsTest,forEachButLast_1_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_6_2,commons-collections4-4.4-src,IterableUtilsTest,forEachButLast_2_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_6_4,commons-collections4-4.4-src,IterableUtilsTest,forEachButLast_4_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_7_1,commons-collections4-4.4-src,IterableUtilsTest,containsWithEquator_1_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_7_2,commons-collections4-4.4-src,IterableUtilsTest,containsWithEquator_2_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_7_3,commons-collections4-4.4-src,IterableUtilsTest,containsWithEquator_3_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_7_4,commons-collections4-4.4-src,IterableUtilsTest,containsWithEquator_4_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_7_5,commons-collections4-4.4-src,IterableUtilsTest,containsWithEquator_5_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_8_1,commons-collections4-4.4-src,IterableUtilsTest,frequency_1_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_8_2,commons-collections4-4.4-src,IterableUtilsTest,frequency_2_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_8_3,commons-collections4-4.4-src,IterableUtilsTest,frequency_3_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_8_4,commons-collections4-4.4-src,IterableUtilsTest,frequency_4_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_8_5,commons-collections4-4.4-src,IterableUtilsTest,frequency_5_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_8_6,commons-collections4-4.4-src,IterableUtilsTest,frequency_6_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_8_7,commons-collections4-4.4-src,IterableUtilsTest,frequency_7_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_8_8,commons-collections4-4.4-src,IterableUtilsTest,frequency_8_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_8_9,commons-collections4-4.4-src,IterableUtilsTest,frequency_9_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_8_10,commons-collections4-4.4-src,IterableUtilsTest,frequency_10_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_8_11,commons-collections4-4.4-src,IterableUtilsTest,frequency_11_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_8_12,commons-collections4-4.4-src,IterableUtilsTest,frequency_12_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_8_13,commons-collections4-4.4-src,IterableUtilsTest,frequency_13_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_8_14,commons-collections4-4.4-src,IterableUtilsTest,frequency_14_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
coll_8_15,commons-collections4-4.4-src,IterableUtilsTest,frequency_15_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,assert,unknown
