id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,dataset_type
commons-collections4_1,commons-collections4,ComparatorUtilsTest,booleanComparator_oe,src/test/java/org/apache/commons/collections4/ComparatorUtilsTest.java,,,,multiple
commons-collections4_2,commons-collections4,ComparatorUtilsTest,chainedComparator_oe,src/test/java/org/apache/commons/collections4/ComparatorUtilsTest.java,,,,multiple
commons-collections4_3,commons-collections4,ComparatorUtilsTest,max_oe,src/test/java/org/apache/commons/collections4/ComparatorUtilsTest.java,,,,mixed
commons-collections4_4,commons-collections4,ComparatorUtilsTest,min_oe,src/test/java/org/apache/commons/collections4/ComparatorUtilsTest.java,,,,mixed
commons-collections4_5,commons-collections4,ComparatorUtilsTest,nullLowComparator_oe,src/test/java/org/apache/commons/collections4/ComparatorUtilsTest.java,,,,multiple
commons-collections4_6,commons-collections4,ComparatorUtilsTest,nullHighComparator_oe,src/test/java/org/apache/commons/collections4/ComparatorUtilsTest.java,,,,multiple
commons-collections4_7,commons-collections4,SetUtilsTest,difference_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,mixed
commons-collections4_8,commons-collections4,SetUtilsTest,disjunction_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,mixed
commons-collections4_9,commons-collections4,SetUtilsTest,intersection_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,mixed
commons-collections4_10,commons-collections4,SetUtilsTest,testEmptyIfNull_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple
commons-collections4_11,commons-collections4,SetUtilsTest,testEquals_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple
commons-collections4_12,commons-collections4,SetUtilsTest,testHashCode_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple
commons-collections4_13,commons-collections4,SetUtilsTest,testHashSet_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple
commons-collections4_14,commons-collections4,SetUtilsTest,testNewIdentityHashSet_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple
commons-collections4_15,commons-collections4,SetUtilsTest,testpredicatedSet_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,mixed
commons-collections4_16,commons-collections4,SetUtilsTest,testUnmodifiableSet_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple
commons-collections4_17,commons-collections4,SetUtilsTest,testUnmodifiableSetWrap_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple
commons-collections4_18,commons-collections4,SetUtilsTest,union_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,mixed
commons-collections4_19,commons-collections4,ListUtilsTest,testIntersectNonEmptyWithEmptyList_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple
commons-collections4_20,commons-collections4,ListUtilsTest,testIntersectEmptyWithEmptyList_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple
commons-collections4_21,commons-collections4,ListUtilsTest,testIntersectNonEmptySubset_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple
commons-collections4_22,commons-collections4,ListUtilsTest,testIntersectListWithNoOverlapAndDifferentTypes_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple
commons-collections4_23,commons-collections4,ListUtilsTest,testIntersectListWithSelf_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple
commons-collections4_24,commons-collections4,ListUtilsTest,testIntersectionOrderInsensitivity_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple
commons-collections4_25,commons-collections4,ListUtilsTest,testPredicatedList_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,mixed
commons-collections4_26,commons-collections4,ListUtilsTest,testLazyFactoryList_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple
commons-collections4_27,commons-collections4,ListUtilsTest,testLazyTransformerList_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple
commons-collections4_28,commons-collections4,ListUtilsTest,testEmptyIfNull_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple
commons-collections4_29,commons-collections4,ListUtilsTest,testDefaultIfNull_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple
commons-collections4_30,commons-collections4,ListUtilsTest,testEquals_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple
commons-collections4_31,commons-collections4,ListUtilsTest,testHashCode_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple
commons-collections4_32,commons-collections4,ListUtilsTest,testRetainAll_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,mixed
commons-collections4_33,commons-collections4,ListUtilsTest,testRemoveAll_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,mixed
commons-collections4_34,commons-collections4,ListUtilsTest,testSubtract_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,mixed
