id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
coll_26_2,commons-collections4,ListUtilsTest,testLazyFactoryList_2_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,assert,unknown,standard,assertEquals
coll_26_4,commons-collections4,ListUtilsTest,testLazyFactoryList_4_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,assert,unknown,standard,assertEquals
coll_27_2,commons-collections4,ListUtilsTest,testLazyTransformerList_2_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,assert,unknown,standard,assertEquals
coll_27_4,commons-collections4,ListUtilsTest,testLazyTransformerList_4_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,assert,unknown,standard,assertEquals
coll_100_9,commons-collections4,ArrayStackTest,testPushPeekPop_9_oe,src/test/java/org/apache/commons/collections4/ArrayStackTest.java,,,,assert,unknown,standard,assertEquals
coll_100_10,commons-collections4,ArrayStackTest,testPushPeekPop_10_oe,src/test/java/org/apache/commons/collections4/ArrayStackTest.java,,,,assert,unknown,standard,assertEquals
coll_100_11,commons-collections4,ArrayStackTest,testPushPeekPop_11_oe,src/test/java/org/apache/commons/collections4/ArrayStackTest.java,,,,assert,unknown,standard,assertEquals
coll_100_12,commons-collections4,ArrayStackTest,testPushPeekPop_12_oe,src/test/java/org/apache/commons/collections4/ArrayStackTest.java,,,,assert,unknown,standard,assertEquals
coll_109_5,commons-collections4,TransformerUtilsTest,testCloneTransformer_5_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,assert,unknown,standard,fail
coll_176_10,commons-collections4,SplitMapUtilsTest,testReadableMap_10_oe,src/test/java/org/apache/commons/collections4/SplitMapUtilsTest.java,,,,assert,unknown,standard,assertEquals
coll_176_11,commons-collections4,SplitMapUtilsTest,testReadableMap_11_oe,src/test/java/org/apache/commons/collections4/SplitMapUtilsTest.java,,,,assert,unknown,standard,assertTrue
coll_178_5,commons-collections4,SplitMapUtilsTest,testWritableMap_5_oe,src/test/java/org/apache/commons/collections4/SplitMapUtilsTest.java,,,,assert,unknown,standard,assertEquals
coll_243_5,commons-collections4,PredicateUtilsTest,testUniquePredicate_5_oe,src/test/java/org/apache/commons/collections4/PredicateUtilsTest.java,,,,assert,unknown,standard,assertEquals
coll_243_6,commons-collections4,PredicateUtilsTest,testUniquePredicate_6_oe,src/test/java/org/apache/commons/collections4/PredicateUtilsTest.java,,,,assert,unknown,standard,assertEquals
coll_247_1,commons-collections4,PredicateUtilsTest,testNullIsExceptionPredicate_1_oe,src/test/java/org/apache/commons/collections4/PredicateUtilsTest.java,,,,assert,unknown,standard,assertEquals
coll_280_1,commons-collections4,CollectionUtilsTest,getFromList_1_oe,src/test/java/org/apache/commons/collections4/CollectionUtilsTest.java,,,,assert,unknown,standard,assertEquals
