id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
commons-collections4_15_102,commons-collections4,SetUtilsTest,testpredicatedSet_oe_102_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_25_102,commons-collections4,ListUtilsTest,testPredicatedList_oe_102_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_34_101,commons-collections4,ListUtilsTest,testSubtract_oe_101_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_37_101,commons-collections4,ListUtilsTest,SuppressWarnings_oe_101_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_37_102,commons-collections4,ListUtilsTest,SuppressWarnings_oe_102_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_37_103,commons-collections4,ListUtilsTest,SuppressWarnings_oe_103_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_39_101,commons-collections4,ListUtilsTest,SuppressWarnings_oe_101_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_39_102,commons-collections4,ListUtilsTest,SuppressWarnings_oe_102_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_39_103,commons-collections4,ListUtilsTest,SuppressWarnings_oe_103_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_42_101,commons-collections4,MapUtilsTest,testPredicatedMap_oe_101_oe,src/test/java/org/apache/commons/collections4/MapUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_43_101,commons-collections4,MapUtilsTest,testLazyMapFactory_oe_101_oe,src/test/java/org/apache/commons/collections4/MapUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_43_102,commons-collections4,MapUtilsTest,testLazyMapFactory_oe_102_oe,src/test/java/org/apache/commons/collections4/MapUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_43_103,commons-collections4,MapUtilsTest,testLazyMapFactory_oe_103_oe,src/test/java/org/apache/commons/collections4/MapUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_43_104,commons-collections4,MapUtilsTest,testLazyMapFactory_oe_104_oe,src/test/java/org/apache/commons/collections4/MapUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_46_101,commons-collections4,MapUtilsTest,testPutAll_Map_array_oe_101_oe,src/test/java/org/apache/commons/collections4/MapUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_46_102,commons-collections4,MapUtilsTest,testPutAll_Map_array_oe_102_oe,src/test/java/org/apache/commons/collections4/MapUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_46_103,commons-collections4,MapUtilsTest,testPutAll_Map_array_oe_103_oe,src/test/java/org/apache/commons/collections4/MapUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_46_104,commons-collections4,MapUtilsTest,testPutAll_Map_array_oe_104_oe,src/test/java/org/apache/commons/collections4/MapUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_46_105,commons-collections4,MapUtilsTest,testPutAll_Map_array_oe_105_oe,src/test/java/org/apache/commons/collections4/MapUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_54_101,commons-collections4,MapUtilsTest,testVerbosePrintNullStream_oe_101_oe,src/test/java/org/apache/commons/collections4/MapUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_55_101,commons-collections4,MapUtilsTest,testDebugPrintNullStream_oe_101_oe,src/test/java/org/apache/commons/collections4/MapUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_75_101,commons-collections4,MapUtilsTest,testIterableMap_oe_101_oe,src/test/java/org/apache/commons/collections4/MapUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_76_101,commons-collections4,MapUtilsTest,testIterableSortedMap_oe_101_oe,src/test/java/org/apache/commons/collections4/MapUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_95_101,commons-collections4,AbstractLinkedListTest,testLinkedListGetFirst_oe_101_oe,src/test/java/org/apache/commons/collections4/AbstractLinkedListTest.java,,,,multiple,unknown,standard,
commons-collections4_96_101,commons-collections4,AbstractLinkedListTest,testLinkedListGetLast_oe_101_oe,src/test/java/org/apache/commons/collections4/AbstractLinkedListTest.java,,,,multiple,unknown,standard,
commons-collections4_97_101,commons-collections4,AbstractLinkedListTest,testLinkedListRemoveFirst_oe_101_oe,src/test/java/org/apache/commons/collections4/AbstractLinkedListTest.java,,,,multiple,unknown,standard,
commons-collections4_98_101,commons-collections4,AbstractLinkedListTest,testLinkedListRemoveLast_oe_101_oe,src/test/java/org/apache/commons/collections4/AbstractLinkedListTest.java,,,,multiple,unknown,standard,
commons-collections4_99_101,commons-collections4,ArrayStackTest,testNewStack_oe_101_oe,src/test/java/org/apache/commons/collections4/ArrayStackTest.java,,,,multiple,unknown,standard,
commons-collections4_99_102,commons-collections4,ArrayStackTest,testNewStack_oe_102_oe,src/test/java/org/apache/commons/collections4/ArrayStackTest.java,,,,multiple,unknown,standard,
commons-collections4_104_101,commons-collections4,EnumerationUtilsTest,getFromEnumeration_oe_101_oe,src/test/java/org/apache/commons/collections4/EnumerationUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_114_101,commons-collections4,TransformerUtilsTest,SuppressWarnings_oe_101_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_114_102,commons-collections4,TransformerUtilsTest,SuppressWarnings_oe_102_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_114_103,commons-collections4,TransformerUtilsTest,SuppressWarnings_oe_103_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_114_104,commons-collections4,TransformerUtilsTest,SuppressWarnings_oe_104_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_114_105,commons-collections4,TransformerUtilsTest,SuppressWarnings_oe_105_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_116_101,commons-collections4,TransformerUtilsTest,SuppressWarnings_oe_101_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_116_102,commons-collections4,TransformerUtilsTest,SuppressWarnings_oe_102_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_116_103,commons-collections4,TransformerUtilsTest,SuppressWarnings_oe_103_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_116_104,commons-collections4,TransformerUtilsTest,SuppressWarnings_oe_104_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_116_105,commons-collections4,TransformerUtilsTest,SuppressWarnings_oe_105_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_121_103,commons-collections4,TransformerUtilsTest,testInstantiateTransformerNull_oe_103_oe,src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_123_101,commons-collections4,AbstractArrayListTest,testNewArrayList_oe_101_oe,src/test/java/org/apache/commons/collections4/AbstractArrayListTest.java,,,,multiple,unknown,standard,
commons-collections4_125_101,commons-collections4,MultiMapUtilsTest,SuppressWarnings_oe_101_oe,src/test/java/org/apache/commons/collections4/MultiMapUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_126_101,commons-collections4,MultiMapUtilsTest,testTypeSafeEmptyMultiValuedMap_oe_101_oe,src/test/java/org/apache/commons/collections4/MultiMapUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_135_101,commons-collections4,FluentIterableTest,factoryMethodOf_oe_101_oe,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,,,,multiple,unknown,standard,
commons-collections4_147_101,commons-collections4,FluentIterableTest,unmodifiable_oe_101_oe,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,,,,multiple,unknown,standard,
commons-collections4_148_101,commons-collections4,FluentIterableTest,SuppressWarnings_oe_101_oe,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,,,,multiple,unknown,standard,
commons-collections4_161_101,commons-collections4,IterableUtilsTest,forEach_oe_101_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_162_101,commons-collections4,IterableUtilsTest,forEachButLast_oe_101_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_163_101,commons-collections4,IterableUtilsTest,containsWithEquator_oe_101_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_166_101,commons-collections4,IterableUtilsTest,find_oe_101_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_168_101,commons-collections4,IterableUtilsTest,countMatches_oe_101_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_168_102,commons-collections4,IterableUtilsTest,countMatches_oe_102_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_169_101,commons-collections4,IterableUtilsTest,matchesAny_oe_101_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_169_102,commons-collections4,IterableUtilsTest,matchesAny_oe_102_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_170_101,commons-collections4,IterableUtilsTest,matchesAll_oe_101_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_170_102,commons-collections4,IterableUtilsTest,matchesAll_oe_102_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_171_101,commons-collections4,IterableUtilsTest,SuppressWarnings_oe_101_oe,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_195_101,commons-collections4,QueueUtilsTest,testEmptyQueue_oe_101_oe,src/test/java/org/apache/commons/collections4/QueueUtilsTest.java,,,,multiple,unknown,standard,
