id,test_prefix,test_name
coll_122_1,"    @Test
    public void testSingletonPatternInSerialization_1_oe() {
        final Object[] singletones = new Object[] {
                ExceptionTransformer.INSTANCE,
                NOPTransformer.INSTANCE,
                StringValueTransformer.stringValueTransformer(),
        };

        for (final Object original : singletones) {
            TestUtils.assertSameAfterSerialization(""Singleton pattern broken for "" + original.getClass(), original);
    }
    }",TransformerUtilsTest::testSingletonPatternInSerialization_1_oe
coll_207_1,"    @Test
    public void testSingletonPatternInSerialization_1_oe() {
        final Object[] singletones = new Object[] {
                ExceptionClosure.INSTANCE,
                NOPClosure.INSTANCE,
        };

        for (final Object original : singletones) {
            TestUtils.assertSameAfterSerialization( ""Singletone patern broken for "" + original.getClass(), original );
    }
    }",ClosureUtilsTest::testSingletonPatternInSerialization_1_oe
coll_220_1,"    @Test
    public void testSingletonPatternInSerialization_1_oe() {
        final Object[] singletones = new Object[] {
                ExceptionFactory.INSTANCE,
        };

        for (final Object original : singletones) {
            TestUtils.assertSameAfterSerialization( ""Singletone patern broken for "" + original.getClass(), original );
    }
    }",FactoryUtilsTest::testSingletonPatternInSerialization_1_oe
coll_251_1,"    @Test
    public void testSingletonPatternInSerialization_1_oe() {
        final Object[] singletones = new Object[] {
                ExceptionPredicate.INSTANCE,
                FalsePredicate.INSTANCE,
                NotNullPredicate.INSTANCE,
                NullPredicate.INSTANCE,
                TruePredicate.INSTANCE
        };

        for (final Object original : singletones) {
            TestUtils.assertSameAfterSerialization( ""Singletone patern broken for "" + original.getClass(), original );
    }
    }",PredicateUtilsTest::testSingletonPatternInSerialization_1_oe
coll_315_2,"    @Test
    public void collect_2_oe() {
        final Transformer<Number, Long> transformer = TransformerUtils.constantTransformer(2L);
        Collection<Number> collection = CollectionUtils.<Integer, Number>collect(iterableA, transformer);
        assertCollectResult(collection);
    }",CollectionUtilsTest::collect_2_oe
coll_315_4,"    @Test
    public void collect_4_oe() {
        final Transformer<Number, Long> transformer = TransformerUtils.constantTransformer(2L);
        Collection<Number> collection = CollectionUtils.<Integer, Number>collect(iterableA, transformer);

        ArrayList<Number> list;
        list = CollectionUtils.collect(collectionA, transformer, new ArrayList<Number>());
        assertCollectResult(list);
    }",CollectionUtilsTest::collect_4_oe
coll_315_6,"    @Test
    public void collect_6_oe() {
        final Transformer<Number, Long> transformer = TransformerUtils.constantTransformer(2L);
        Collection<Number> collection = CollectionUtils.<Integer, Number>collect(iterableA, transformer);

        ArrayList<Number> list;
        list = CollectionUtils.collect(collectionA, transformer, new ArrayList<Number>());

        Iterator<Integer> iterator = null;
        list = CollectionUtils.collect(iterator, transformer, new ArrayList<Number>());

        iterator = iterableA.iterator();
        list = CollectionUtils.collect(iterator, transformer, list);
        assertCollectResult(collection);
    }",CollectionUtilsTest::collect_6_oe
coll_766_1,"    @Test
    public void testLoadClassLoaderResource_1_oe() throws Exception {
        assertContents(factory.load(ClassLoader.getSystemClassLoader(), ""properties/test.properties""));
    }",AbstractPropertiesFactoryTest::testLoadClassLoaderResource_1_oe
coll_767_1,"    @Test
    public void testLoadFile_1_oe() throws Exception {
        assertContents(factory.load(Paths.get(PATH_STRING).toFile()));
    }",AbstractPropertiesFactoryTest::testLoadFile_1_oe
coll_768_1,"    @Test
    public void testLoadFileName_1_oe() throws Exception {
        assertContents(factory.load(PATH_STRING));
    }",AbstractPropertiesFactoryTest::testLoadFileName_1_oe
