id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
commons-collections4_1,commons-collections4,ComparatorUtilsTest,booleanComparator_oe,src/test/java/org/apache/commons/collections4/ComparatorUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_2,commons-collections4,ComparatorUtilsTest,chainedComparator_oe,src/test/java/org/apache/commons/collections4/ComparatorUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_3,commons-collections4,ComparatorUtilsTest,max_oe,src/test/java/org/apache/commons/collections4/ComparatorUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_4,commons-collections4,ComparatorUtilsTest,min_oe,src/test/java/org/apache/commons/collections4/ComparatorUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_5,commons-collections4,ComparatorUtilsTest,nullLowComparator_oe,src/test/java/org/apache/commons/collections4/ComparatorUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_6,commons-collections4,ComparatorUtilsTest,nullHighComparator_oe,src/test/java/org/apache/commons/collections4/ComparatorUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_7,commons-collections4,SetUtilsTest,difference_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_8,commons-collections4,SetUtilsTest,disjunction_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_9,commons-collections4,SetUtilsTest,intersection_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_10,commons-collections4,SetUtilsTest,testEmptyIfNull_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_11,commons-collections4,SetUtilsTest,testEquals_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_12,commons-collections4,SetUtilsTest,testHashCode_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_13,commons-collections4,SetUtilsTest,testHashSet_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_14,commons-collections4,SetUtilsTest,testNewIdentityHashSet_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_15,commons-collections4,SetUtilsTest,testpredicatedSet_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_16,commons-collections4,SetUtilsTest,testUnmodifiableSet_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_17,commons-collections4,SetUtilsTest,testUnmodifiableSetWrap_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_18,commons-collections4,SetUtilsTest,union_oe,src/test/java/org/apache/commons/collections4/SetUtilsTest.java,,,,multiple,unknown,standard,
commons-collections4_19,commons-collections4,ListUtilsTest,testIntersectNonEmptyWithEmptyList_oe,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,,,,multiple,unknown,standard,
