id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version
conf_6_1,commons-configuration2-2.8.0-src,TestXMLDocumentHelper,testCreateDocumentBuilderFromFactoryException_1_oe,src/test/java/org/apache/commons/configuration2/TestXMLDocumentHelper.java,,,,assert,unknown
conf_8_1,commons-configuration2-2.8.0-src,TestXMLDocumentHelper,testCreateTransformerFactoryException_1_oe,src/test/java/org/apache/commons/configuration2/TestXMLDocumentHelper.java,,,,assert,unknown
conf_13_1,commons-configuration2-2.8.0-src,TestXMLDocumentHelper,testTransformException_1_oe,src/test/java/org/apache/commons/configuration2/TestXMLDocumentHelper.java,,,,assert,unknown
conf_161_1,commons-configuration2-2.8.0-src,TestXMLConfiguration,testReadCalledDirectly_1_oe,src/test/java/org/apache/commons/configuration2/TestXMLConfiguration.java,,,,assert,unknown
conf_169_1,commons-configuration2-2.8.0-src,TestXMLConfiguration,testSaveWithInvalidTransformerFactory_1_oe,src/test/java/org/apache/commons/configuration2/TestXMLConfiguration.java,,,,assert,unknown
conf_174_1,commons-configuration2-2.8.0-src,TestXMLConfiguration,testSaveWithValidationFailure_1_oe,src/test/java/org/apache/commons/configuration2/TestXMLConfiguration.java,,,,assert,unknown
conf_315_4,commons-configuration2-2.8.0-src,TestBaseConfiguration,testGetEnum_4_oe,src/test/java/org/apache/commons/configuration2/TestBaseConfiguration.java,,,,assert,unknown
conf_315_5,commons-configuration2-2.8.0-src,TestBaseConfiguration,testGetEnum_5_oe,src/test/java/org/apache/commons/configuration2/TestBaseConfiguration.java,,,,assert,unknown
conf_342_1,commons-configuration2-2.8.0-src,TestYAMLConfiguration,testObjectCreationFromReader_1_oe,src/test/java/org/apache/commons/configuration2/TestYAMLConfiguration.java,,,,assert,unknown
conf_343_1,commons-configuration2-2.8.0-src,TestYAMLConfiguration,testObjectCreationFromStream_1_oe,src/test/java/org/apache/commons/configuration2/TestYAMLConfiguration.java,,,,assert,unknown
