id,test_prefix,test_name,mut_class,method_under_test,mut_docstring,mut_method_definition
conf_87_2,"    @Test
    public void testObjectCreationFromReader_2_oe() {
        final File createdFile = new File(temporaryFolder.getRoot(), ""data.txt"");
        final String yaml = ""!!java.io.FileOutputStream ["" + createdFile.getAbsolutePath() + ""]"";

        try {
            yamlConfiguration.read(new StringReader(yaml));
        } catch (final ConfigurationException e) {
        }
        assertFalse(""Java object was created"", createdFile.exists());
    }",TestYAMLConfiguration::testObjectCreationFromReader_2_oe,org.apache.commons.configuration2.PatternSubtreeConfigurationWrapper,void read(final Reader reader),,"@Override
    public void read(final Reader reader) throws ConfigurationException, IOException {
        fetchFileBased().read(reader);
    }"
conf_88_2,"    @Test
    public void testObjectCreationFromStream_2_oe() {
        final File createdFile = new File(temporaryFolder.getRoot(), ""data.txt"");
        final String yaml = ""!!java.io.FileOutputStream ["" + createdFile.getAbsolutePath() + ""]"";

        try {
            yamlConfiguration.read(new ByteArrayInputStream(yaml.getBytes(StandardCharsets.UTF_8)));
        } catch (final ConfigurationException e) {
        }
        assertFalse(""Java object was created"", createdFile.exists());
    }",TestYAMLConfiguration::testObjectCreationFromStream_2_oe,org.apache.commons.configuration2.PatternSubtreeConfigurationWrapper,void read(final Reader reader),,"@Override
    public void read(final Reader reader) throws ConfigurationException, IOException {
        fetchFileBased().read(reader);
    }"
conf_94_2,"    @Test
    public void testConversionExceptionCause_2_oe() {
        try {
            conf.get(Integer.TYPE, ""uri.string"");
        } catch (final ConversionException cex) {
            assertTrue(""Wrong cause"", cex.getCause() instanceof NumberFormatException);
    }
    }",TestDataConfiguration::testConversionExceptionCause_2_oe,org.apache.commons.configuration2.event.ConfigurationErrorEvent,getCause(),"/**
     * Returns the cause of this error event. This is the {@code Throwable} object that caused this event to be fired.
     *
     * @return the cause of this error event
     */","public Throwable getCause() {
        return cause;
    }"
conf_103_4,"    @Test
    public void testGetCalendar_4_oe() throws Exception {
        final DateFormat format = new SimpleDateFormat(DATE_PATTERN);

        final Calendar defaultValue = Calendar.getInstance();
        defaultValue.setTime(new Date());

        conf.setThrowExceptionOnMissing(true);

        try {
            conf.getCalendar(""unknownkey"", DATE_PATTERN);
        } catch (final NoSuchElementException e) {
        }

        final Calendar expected = Calendar.getInstance();
        expected.setTime(format.parse(""2004-01-01""));

        assertEquals(expected, conf.getCalendar(""calendar.string""));
    }",TestDataConfiguration::testGetCalendar_4_oe,org.apache.commons.configuration2.DataConfiguration,getCalendar(final String key),"/**
     * Get a Calendar associated with the given configuration key. If the property is a String, it will be parsed with the
     * format defined by the user in the {@link #DATE_FORMAT_KEY} property, or if it's not defined with the
     * {@link #DEFAULT_DATE_FORMAT} pattern.
     *
     * @param key The configuration key.
     * @return The associated Calendar.
     *
     * @throws ConversionException is thrown if the key maps to an object that is not a Calendar.
     */","public Calendar getCalendar(final String key) {
        return get(Calendar.class, key);
    }"
conf_103_5,"    @Test
    public void testGetCalendar_5_oe() throws Exception {
        final DateFormat format = new SimpleDateFormat(DATE_PATTERN);

        final Calendar defaultValue = Calendar.getInstance();
        defaultValue.setTime(new Date());

        conf.setThrowExceptionOnMissing(true);

        try {
            conf.getCalendar(""unknownkey"", DATE_PATTERN);
        } catch (final NoSuchElementException e) {
        }

        final Calendar expected = Calendar.getInstance();
        expected.setTime(format.parse(""2004-01-01""));

        assertEquals(expected, conf.getCalendar(""calendar.string"", DATE_PATTERN));
    }",TestDataConfiguration::testGetCalendar_5_oe,org.apache.commons.configuration2.DataConfiguration,getCalendar(final String key),"/**
     * Get a Calendar associated with the given configuration key. If the property is a String, it will be parsed with the
     * format defined by the user in the {@link #DATE_FORMAT_KEY} property, or if it's not defined with the
     * {@link #DEFAULT_DATE_FORMAT} pattern.
     *
     * @param key The configuration key.
     * @return The associated Calendar.
     *
     * @throws ConversionException is thrown if the key maps to an object that is not a Calendar.
     */","public Calendar getCalendar(final String key) {
        return get(Calendar.class, key);
    }"
conf_103_6,"    @Test
    public void testGetCalendar_6_oe() throws Exception {
        final DateFormat format = new SimpleDateFormat(DATE_PATTERN);

        final Calendar defaultValue = Calendar.getInstance();
        defaultValue.setTime(new Date());

        conf.setThrowExceptionOnMissing(true);

        try {
            conf.getCalendar(""unknownkey"", DATE_PATTERN);
        } catch (final NoSuchElementException e) {
        }

        final Calendar expected = Calendar.getInstance();
        expected.setTime(format.parse(""2004-01-01""));


        assertEquals(expected, conf.getCalendar(""calendar.object""));
    }",TestDataConfiguration::testGetCalendar_6_oe,org.apache.commons.configuration2.DataConfiguration,getCalendar(final String key),"/**
     * Get a Calendar associated with the given configuration key. If the property is a String, it will be parsed with the
     * format defined by the user in the {@link #DATE_FORMAT_KEY} property, or if it's not defined with the
     * {@link #DEFAULT_DATE_FORMAT} pattern.
     *
     * @param key The configuration key.
     * @return The associated Calendar.
     *
     * @throws ConversionException is thrown if the key maps to an object that is not a Calendar.
     */","public Calendar getCalendar(final String key) {
        return get(Calendar.class, key);
    }"
conf_103_7,"    @Test
    public void testGetCalendar_7_oe() throws Exception {
        final DateFormat format = new SimpleDateFormat(DATE_PATTERN);

        final Calendar defaultValue = Calendar.getInstance();
        defaultValue.setTime(new Date());

        conf.setThrowExceptionOnMissing(true);

        try {
            conf.getCalendar(""unknownkey"", DATE_PATTERN);
        } catch (final NoSuchElementException e) {
        }

        final Calendar expected = Calendar.getInstance();
        expected.setTime(format.parse(""2004-01-01""));



        assertEquals(expected, conf.getCalendar(""date.object""));
    }",TestDataConfiguration::testGetCalendar_7_oe,org.apache.commons.configuration2.DataConfiguration,getCalendar(final String key),"/**
     * Get a Calendar associated with the given configuration key. If the property is a String, it will be parsed with the
     * format defined by the user in the {@link #DATE_FORMAT_KEY} property, or if it's not defined with the
     * {@link #DEFAULT_DATE_FORMAT} pattern.
     *
     * @param key The configuration key.
     * @return The associated Calendar.
     *
     * @throws ConversionException is thrown if the key maps to an object that is not a Calendar.
     */","public Calendar getCalendar(final String key) {
        return get(Calendar.class, key);
    }"
conf_103_8,"    @Test
    public void testGetCalendar_8_oe() throws Exception {
        final DateFormat format = new SimpleDateFormat(DATE_PATTERN);

        final Calendar defaultValue = Calendar.getInstance();
        defaultValue.setTime(new Date());

        conf.setThrowExceptionOnMissing(true);

        try {
            conf.getCalendar(""unknownkey"", DATE_PATTERN);
        } catch (final NoSuchElementException e) {
        }

        final Calendar expected = Calendar.getInstance();
        expected.setTime(format.parse(""2004-01-01""));




        assertEquals(expected, conf.getCalendar(""calendar.string.interpolated""));
    }",TestDataConfiguration::testGetCalendar_8_oe,org.apache.commons.configuration2.DataConfiguration,getCalendar(final String key),"/**
     * Get a Calendar associated with the given configuration key. If the property is a String, it will be parsed with the
     * format defined by the user in the {@link #DATE_FORMAT_KEY} property, or if it's not defined with the
     * {@link #DEFAULT_DATE_FORMAT} pattern.
     *
     * @param key The configuration key.
     * @return The associated Calendar.
     *
     * @throws ConversionException is thrown if the key maps to an object that is not a Calendar.
     */","public Calendar getCalendar(final String key) {
        return get(Calendar.class, key);
    }"
conf_111_4,"    @Test
    public void testGetDate_4_oe() throws Exception {
        final Date expected = expectedDate();

        final Date defaultValue = new Date();

        conf.setThrowExceptionOnMissing(true);

        try {
            conf.getDate(""unknownkey"", DATE_PATTERN);
        } catch (final NoSuchElementException e) {
        }

        assertEquals(expected, conf.getDate(""date.string""));
    }",TestDataConfiguration::testGetDate_4_oe,org.apache.commons.configuration2.DataConfiguration,getDate(final String key),"/**
     * Get a Date associated with the given configuration key. If the property is a String, it will be parsed with the
     * format defined by the user in the {@link #DATE_FORMAT_KEY} property, or if it's not defined with the
     * {@link #DEFAULT_DATE_FORMAT} pattern.
     *
     * @param key The configuration key.
     * @return The associated Date.
     *
     * @throws ConversionException is thrown if the key maps to an object that is not a Date.
     */","public Date getDate(final String key) {
        return get(Date.class, key);
    }"
conf_111_5,"    @Test
    public void testGetDate_5_oe() throws Exception {
        final Date expected = expectedDate();

        final Date defaultValue = new Date();

        conf.setThrowExceptionOnMissing(true);

        try {
            conf.getDate(""unknownkey"", DATE_PATTERN);
        } catch (final NoSuchElementException e) {
        }

        assertEquals(expected, conf.getDate(""date.string"", DATE_PATTERN));
    }",TestDataConfiguration::testGetDate_5_oe,org.apache.commons.configuration2.DataConfiguration,getDate(final String key),"/**
     * Get a Date associated with the given configuration key. If the property is a String, it will be parsed with the
     * format defined by the user in the {@link #DATE_FORMAT_KEY} property, or if it's not defined with the
     * {@link #DEFAULT_DATE_FORMAT} pattern.
     *
     * @param key The configuration key.
     * @return The associated Date.
     *
     * @throws ConversionException is thrown if the key maps to an object that is not a Date.
     */","public Date getDate(final String key) {
        return get(Date.class, key);
    }"
