id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
commons-configuration2_87_101,commons-configuration2,TestYAMLConfiguration,testObjectCreationFromReader_oe_101_oe,src/test/java/org/apache/commons/configuration2/TestYAMLConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_88_101,commons-configuration2,TestYAMLConfiguration,testObjectCreationFromStream_oe_101_oe,src/test/java/org/apache/commons/configuration2/TestYAMLConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_101,commons-configuration2,TestDataConfiguration,testConversionException_oe_101_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_102,commons-configuration2,TestDataConfiguration,testConversionException_oe_102_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_103,commons-configuration2,TestDataConfiguration,testConversionException_oe_103_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_104,commons-configuration2,TestDataConfiguration,testConversionException_oe_104_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_105,commons-configuration2,TestDataConfiguration,testConversionException_oe_105_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_106,commons-configuration2,TestDataConfiguration,testConversionException_oe_106_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_107,commons-configuration2,TestDataConfiguration,testConversionException_oe_107_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_108,commons-configuration2,TestDataConfiguration,testConversionException_oe_108_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_109,commons-configuration2,TestDataConfiguration,testConversionException_oe_109_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_110,commons-configuration2,TestDataConfiguration,testConversionException_oe_110_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_111,commons-configuration2,TestDataConfiguration,testConversionException_oe_111_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_112,commons-configuration2,TestDataConfiguration,testConversionException_oe_112_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_113,commons-configuration2,TestDataConfiguration,testConversionException_oe_113_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_114,commons-configuration2,TestDataConfiguration,testConversionException_oe_114_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_115,commons-configuration2,TestDataConfiguration,testConversionException_oe_115_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_116,commons-configuration2,TestDataConfiguration,testConversionException_oe_116_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_117,commons-configuration2,TestDataConfiguration,testConversionException_oe_117_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_118,commons-configuration2,TestDataConfiguration,testConversionException_oe_118_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_119,commons-configuration2,TestDataConfiguration,testConversionException_oe_119_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_120,commons-configuration2,TestDataConfiguration,testConversionException_oe_120_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_121,commons-configuration2,TestDataConfiguration,testConversionException_oe_121_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
commons-configuration2_93_122,commons-configuration2,TestDataConfiguration,testConversionException_oe_122_oe,src/test/java/org/apache/commons/configuration2/TestDataConfiguration.java,,,,multiple,unknown,standard,
