id,test_prefix,test_name,mut_class,method_under_test,mut_docstring,mut_method_definition,focal_method,docstring
dbut_20_1,"    @Test
    public void testLoadDriverReturnsFalse_1_oe() {
        
        assertFalse(DbUtils.loadDriver(""""));
    }
",DbUtilsTest::testLoadDriverReturnsFalse_1_oe,org.apache.commons.dbutils.DbUtils,loadDriver(String driverClassName),"/**
     * Loads and registers a database driver class.
     * If this succeeds, it returns true, else it returns false.
     *
     * @param driverClassName of driver to load
     * @return boolean <code>true</code> if the driver was found, otherwise <code>false</code>
     */","public static boolean loadDriver(String driverClassName) {
        return loadDriver(DbUtils.class.getClassLoader(), driverClassName);
    }","public static boolean loadDriver(String driverClassName) {
        return loadDriver(DbUtils.class.getClassLoader(), driverClassName);
    }","/**
     * Loads and registers a database driver class.
     * If this succeeds, it returns true, else it returns false.
     *
     * @param driverClassName of driver to load
     * @return boolean <code>true</code> if the driver was found, otherwise <code>false</code>
     */"
dbut_22_1,"    public void testCheckDataSizes_1_oe() {
        assertEquals(""Row 1 must contain correct number of columns"", columnNames.length, row1.length);
    }
",BaseTestCase::testCheckDataSizes_1_oe,,,,,,
dbut_22_2,"    public void testCheckDataSizes_2_oe() {
        // removed other assertion
        assertEquals(""Row 1 must contain correct number of columns"", columnNames.length, row2.length);
    }
",BaseTestCase::testCheckDataSizes_2_oe,,,,,,
dbut_23_1,"    public void testResultSets_1_oe() throws Exception {
        assertFalse(""emptyResultSet should be empty"", emptyResultSet.next());
    }
",BaseTestCase::testResultSets_1_oe,org.apache.commons.dbutils.ResultSetIterator,next(),"/**
     * Returns the next row as an <code>Object[]</code>.
     * @return An <code>Object[]</code> with the same number of elements as
     * columns in the <code>ResultSet</code>.
     * @see java.util.Iterator#next()
     * @throws RuntimeException if an SQLException occurs.
     */","@Override
    public Object[] next() {
        try {
            rs.next();
            return this.convert.toArray(rs);
        } catch (SQLException e) {
            rethrow(e);
            return null;
        }
    }","@Override
    public Object[] next() {
        try {
            rs.next();
            return this.convert.toArray(rs);
        } catch (SQLException e) {
            rethrow(e);
            return null;
        }
    }","/**
     * Returns the next row as an <code>Object[]</code>.
     * @return An <code>Object[]</code> with the same number of elements as
     * columns in the <code>ResultSet</code>.
     * @see java.util.Iterator#next()
     * @throws RuntimeException if an SQLException occurs.
     */"
dbut_25_1,"    public void testCreateConnection_1_oe() {
        assertNotNull(ProxyFactory.instance().createConnection(stub));
    }
",ProxyFactoryTest::testCreateConnection_1_oe,org.apache.commons.dbutils.ProxyFactory,createConnection(InvocationHandler handler),"/**
     * Creates a new proxy <code>Connection</code> object.
     * @param handler The handler that intercepts/overrides method calls.
     * @return proxied Connection
     */","public Connection createConnection(InvocationHandler handler) {
        return newProxyInstance(Connection.class, handler);
    }","public static ProxyFactory instance() {
        return instance;
    }","/**
     * Returns the Singleton instance of this class.
     *
     * @return singleton instance
     */"
dbut_26_1,"    public void testCreateDriver_1_oe() {
        assertNotNull(ProxyFactory.instance().createDriver(stub));
    }
",ProxyFactoryTest::testCreateDriver_1_oe,org.apache.commons.dbutils.ProxyFactory,createDriver(InvocationHandler handler),"/**
     * Creates a new proxy <code>Driver</code> object.
     * @param handler The handler that intercepts/overrides method calls.
     * @return proxied Driver
     */","public Driver createDriver(InvocationHandler handler) {
        return newProxyInstance(Driver.class, handler);
    }","public static ProxyFactory instance() {
        return instance;
    }","/**
     * Returns the Singleton instance of this class.
     *
     * @return singleton instance
     */"
dbut_27_1,"    public void testCreatePreparedStatement_1_oe() {
        assertNotNull(ProxyFactory.instance().createPreparedStatement(stub));
    }
",ProxyFactoryTest::testCreatePreparedStatement_1_oe,org.apache.commons.dbutils.ProxyFactory,createPreparedStatement(InvocationHandler handler),"/**
     * Creates a new proxy <code>PreparedStatement</code> object.
     * @param handler The handler that intercepts/overrides method calls.
     * @return proxied PreparedStatement
     */","public PreparedStatement createPreparedStatement(InvocationHandler handler) {
        return newProxyInstance(PreparedStatement.class, handler);
    }","public static ProxyFactory instance() {
        return instance;
    }","/**
     * Returns the Singleton instance of this class.
     *
     * @return singleton instance
     */"
dbut_28_1,"    public void testCreateResultSet_1_oe() {
        assertNotNull(ProxyFactory.instance().createResultSet(stub));
    }
",ProxyFactoryTest::testCreateResultSet_1_oe,org.apache.commons.dbutils.ProxyFactory,createResultSet(InvocationHandler handler),"/**
     * Creates a new proxy <code>ResultSet</code> object.
     * @param handler The handler that intercepts/overrides method calls.
     * @return proxied ResultSet
     */","public ResultSet createResultSet(InvocationHandler handler) {
        return newProxyInstance(ResultSet.class, handler);
    }","public static ProxyFactory instance() {
        return instance;
    }","/**
     * Returns the Singleton instance of this class.
     *
     * @return singleton instance
     */"
dbut_29_1,"    public void testCreateResultSetMetaData_1_oe() {
        assertNotNull(ProxyFactory.instance().createResultSetMetaData(stub));
    }
",ProxyFactoryTest::testCreateResultSetMetaData_1_oe,org.apache.commons.dbutils.ProxyFactory,createResultSetMetaData(InvocationHandler handler),"/**
     * Creates a new proxy <code>ResultSetMetaData</code> object.
     * @param handler The handler that intercepts/overrides method calls.
     * @return proxied ResultSetMetaData
     */","public ResultSetMetaData createResultSetMetaData(InvocationHandler handler) {
        return newProxyInstance(ResultSetMetaData.class, handler);
    }","public static ProxyFactory instance() {
        return instance;
    }","/**
     * Returns the Singleton instance of this class.
     *
     * @return singleton instance
     */"
dbut_30_1,"    public void testCreateStatement_1_oe() {
        assertNotNull(ProxyFactory.instance().createStatement(stub));
    }
",ProxyFactoryTest::testCreateStatement_1_oe,org.apache.commons.dbutils.ProxyFactory,createStatement(InvocationHandler handler),"/**
     * Creates a new proxy <code>Statement</code> object.
     * @param handler The handler that intercepts/overrides method calls.
     * @return proxied Statement
     */","public Statement createStatement(InvocationHandler handler) {
        return newProxyInstance(Statement.class, handler);
    }","public static ProxyFactory instance() {
        return instance;
    }","/**
     * Returns the Singleton instance of this class.
     *
     * @return singleton instance
     */"
