id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version
geom_282_2,commons-geometry-1.0-src,SimpleTupleFormatTest,testConstructor_2_oe,commons-geometry-core/src/test/java/org/apache/commons/geometry/core/internal/SimpleTupleFormatTest.java,,,,assert,unknown
geom_283_2,commons-geometry-1.0-src,SimpleTupleFormatTest,testConstructor_defaultSeparator_2_oe,commons-geometry-core/src/test/java/org/apache/commons/geometry/core/internal/SimpleTupleFormatTest.java,,,,assert,unknown
geom_474_1,commons-geometry-1.0-src,AbstractBSPTreeTest,testNodesIterable_iteratorThrowsNoSuchElementExceptionAtEnd_1_oe,commons-geometry-core/src/test/java/org/apache/commons/geometry/core/partitioning/bsp/AbstractBSPTreeTest.java,,,,assert,unknown
geom_585_1,commons-geometry-1.0-src,BoundarySourceBoundsBuilder2DTest,testGetBounds_multipleFiniteBoundaries_1_oe,commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/BoundarySourceBoundsBuilder2DTest.java,,,,assert,unknown
geom_585_2,commons-geometry-1.0-src,BoundarySourceBoundsBuilder2DTest,testGetBounds_multipleFiniteBoundaries_2_oe,commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/BoundarySourceBoundsBuilder2DTest.java,,,,assert,unknown
geom_673_1,commons-geometry-1.0-src,AffineTransformMatrix2DTest,testApplyXY_1_oe,commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/AffineTransformMatrix2DTest.java,,,,assert,unknown
geom_673_2,commons-geometry-1.0-src,AffineTransformMatrix2DTest,testApplyXY_2_oe,commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/AffineTransformMatrix2DTest.java,,,,assert,unknown
geom_674_1,commons-geometry-1.0-src,AffineTransformMatrix2DTest,testApplyVectorXY_1_oe,commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/AffineTransformMatrix2DTest.java,,,,assert,unknown
geom_674_2,commons-geometry-1.0-src,AffineTransformMatrix2DTest,testApplyVectorXY_2_oe,commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/AffineTransformMatrix2DTest.java,,,,assert,unknown
geom_696_1,commons-geometry-1.0-src,RayTest,testReverse_1_oe,commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/RayTest.java,,,,assert,unknown
geom_731_1,commons-geometry-1.0-src,LineTest,testProject_1_oe,commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/LineTest.java,,,,assert,unknown
geom_731_2,commons-geometry-1.0-src,LineTest,testProject_2_oe,commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/LineTest.java,,,,assert,unknown
geom_731_3,commons-geometry-1.0-src,LineTest,testProject_3_oe,commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/LineTest.java,,,,assert,unknown
geom_746_1,commons-geometry-1.0-src,LineTest,testOffset_point_permute_1_oe,commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/LineTest.java,,,,assert,unknown
geom_759_1,commons-geometry-1.0-src,LineTest,testDistance_point_permute_1_oe,commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/LineTest.java,,,,assert,unknown
geom_778_1,commons-geometry-1.0-src,ReverseRayTest,testReverse_1_oe,commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/ReverseRayTest.java,,,,assert,unknown
geom_846_1,commons-geometry-1.0-src,SegmentTest,testReverse_1_oe,commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/SegmentTest.java,,,,assert,unknown
geom_846_2,commons-geometry-1.0-src,SegmentTest,testReverse_2_oe,commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/SegmentTest.java,,,,assert,unknown
geom_861_1,commons-geometry-1.0-src,CircleTest,testProject_1_oe,commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/shape/CircleTest.java,,,,assert,unknown
geom_881_1,commons-geometry-1.0-src,InteriorAngleLinePathConnectorTest,testConnectAll_noSegments_1_oe,commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/path/InteriorAngleLinePathConnectorTest.java,,,,assert,unknown
geom_882_1,commons-geometry-1.0-src,InteriorAngleLinePathConnectorTest,testConnectAll_singleFiniteSegment_1_oe,commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/path/InteriorAngleLinePathConnectorTest.java,,,,assert,unknown
geom_883_1,commons-geometry-1.0-src,InteriorAngleLinePathConnectorTest,testConnectAll_dualConnectedSegments_1_oe,commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/path/InteriorAngleLinePathConnectorTest.java,,,,assert,unknown
