id,test_prefix,test_name
geom_2_1,"    @Test
    void testIO3DExample_1_oe() throws Exception {

        final Path inputPath = Paths.get(EuclideanIOTestUtils.resource(""/models/cube.obj"").toURI());
        final Path outputPath = tempDir.resolve(""scaled.csv"");

        final Precision.DoubleEquivalence precision = Precision.doubleEquivalenceOfEpsilon(1e-6);

        final GeometryInput input = new FileGeometryInput(inputPath);
        final GeometryOutput scaledOutput = new FileGeometryOutput(outputPath);
        final AffineTransformMatrix3D transform = AffineTransformMatrix3D.createScale(2);

        // Use the input triangle stream in a try-with-resources statement to ensure
        // all resources are properly released.
        try (Stream<Triangle3D> stream = IO3D.triangles(input, null, precision)) {
            IO3D.write(stream.map(t -> t.transform(transform)), scaledOutput, null);
        }

        // -------------
        final RegionBSPTree3D result = IO3D.read(outputPath, precision).toTree();

        Assertions.assertEquals(8.0, result.getSize(), TEST_EPS);
    }
",DocumentationExamplesTest::testIO3DExample_1_oe
geom_8_1,"    @Test
    void testStreamExample_1_oe() {
        final Path origFile = tempDir.resolve(""orig.obj"");
        final Path scaledFile = tempDir.resolve(""scaled.csv"");

        final Precision.DoubleEquivalence precision = Precision.doubleEquivalenceOfEpsilon(1e-10);
        final BoundarySource3D src = Parallelepiped.unitCube(precision);

        IO3D.write(src, origFile);

        final AffineTransformMatrix3D transform = AffineTransformMatrix3D.createScale(2);

        try (Stream<Triangle3D> stream = IO3D.triangles(origFile, precision)) {
            IO3D.write(stream.map(t -> t.transform(transform)), scaledFile);
        }

        final RegionBSPTree3D result = IO3D.read(scaledFile, precision).toTree();

        // assert
        Assertions.assertEquals(8, result.getSize(), TEST_EPS);
    }
",IO3DTest::testStreamExample_1_oe
geom_11_1,"    @Test
    void testBoundaries_1_oe() {
        // arrange
        final List<FacetDefinition> facets = Arrays.asList(FACET_1, FACET_2);
        final TestReadHandler3D handler = new TestReadHandler3D(facets);

        final CloseCountInputStream inputStream = new CloseCountInputStream(new ByteArrayInputStream(new byte[0]));
        final GeometryInput in = new StreamGeometryInput(inputStream);

        // act
        final List<PlaneConvexSubset> list;
        try (Stream<PlaneConvexSubset> stream = handler.boundaries(in, TEST_PRECISION)) {
            list = stream.collect(Collectors.toList());

            Assertions.assertEquals(0, inputStream.getCloseCount());
    }
    }
",AbstractBoundaryReadHandler3DTest::testBoundaries_1_oe
geom_11_2,"    @Test
    void testBoundaries_2_oe() {
        // arrange
        final List<FacetDefinition> facets = Arrays.asList(FACET_1, FACET_2);
        final TestReadHandler3D handler = new TestReadHandler3D(facets);

        final CloseCountInputStream inputStream = new CloseCountInputStream(new ByteArrayInputStream(new byte[0]));
        final GeometryInput in = new StreamGeometryInput(inputStream);

        // act
        final List<PlaneConvexSubset> list;
        try (Stream<PlaneConvexSubset> stream = handler.boundaries(in, TEST_PRECISION)) {
            list = stream.collect(Collectors.toList());

            // removed other assertion
        }

        // assert
        Assertions.assertSame(in, handler.inArg);
    }
",AbstractBoundaryReadHandler3DTest::testBoundaries_2_oe
geom_11_3,"    @Test
    void testBoundaries_3_oe() {
        // arrange
        final List<FacetDefinition> facets = Arrays.asList(FACET_1, FACET_2);
        final TestReadHandler3D handler = new TestReadHandler3D(facets);

        final CloseCountInputStream inputStream = new CloseCountInputStream(new ByteArrayInputStream(new byte[0]));
        final GeometryInput in = new StreamGeometryInput(inputStream);

        // act
        final List<PlaneConvexSubset> list;
        try (Stream<PlaneConvexSubset> stream = handler.boundaries(in, TEST_PRECISION)) {
            list = stream.collect(Collectors.toList());

            // removed other assertion
        }

        // assert
        // removed other assertion

        Assertions.assertEquals(2, list.size());
    }
",AbstractBoundaryReadHandler3DTest::testBoundaries_3_oe
geom_11_4,"    @Test
    void testBoundaries_4_oe() {
        // arrange
        final List<FacetDefinition> facets = Arrays.asList(FACET_1, FACET_2);
        final TestReadHandler3D handler = new TestReadHandler3D(facets);

        final CloseCountInputStream inputStream = new CloseCountInputStream(new ByteArrayInputStream(new byte[0]));
        final GeometryInput in = new StreamGeometryInput(inputStream);

        // act
        final List<PlaneConvexSubset> list;
        try (Stream<PlaneConvexSubset> stream = handler.boundaries(in, TEST_PRECISION)) {
            list = stream.collect(Collectors.toList());

            // removed other assertion
        }

        // assert
        // removed other assertion

        // removed other assertion
        Assertions.assertEquals(1, inputStream.getCloseCount());
    }
",AbstractBoundaryReadHandler3DTest::testBoundaries_4_oe
geom_12_1,"    @Test
    void testFacets_1_oe() {
        // arrange
        final List<FacetDefinition> facets = Arrays.asList(FACET_1, FACET_2);
        final TestReadHandler3D handler = new TestReadHandler3D(facets);

        final CloseCountInputStream inputStream = new CloseCountInputStream(new ByteArrayInputStream(new byte[0]));
        final GeometryInput in = new StreamGeometryInput(inputStream);

        // act
        final List<FacetDefinition> list;
        try (Stream<FacetDefinition> stream = handler.facets(in)) {
            list = stream.collect(Collectors.toList());

            Assertions.assertEquals(0, inputStream.getCloseCount());
    }
    }
",AbstractBoundaryReadHandler3DTest::testFacets_1_oe
geom_12_2,"    @Test
    void testFacets_2_oe() {
        // arrange
        final List<FacetDefinition> facets = Arrays.asList(FACET_1, FACET_2);
        final TestReadHandler3D handler = new TestReadHandler3D(facets);

        final CloseCountInputStream inputStream = new CloseCountInputStream(new ByteArrayInputStream(new byte[0]));
        final GeometryInput in = new StreamGeometryInput(inputStream);

        // act
        final List<FacetDefinition> list;
        try (Stream<FacetDefinition> stream = handler.facets(in)) {
            list = stream.collect(Collectors.toList());

            // removed other assertion
        }

        // assert
        Assertions.assertSame(in, handler.inArg);
    }
",AbstractBoundaryReadHandler3DTest::testFacets_2_oe
geom_12_3,"    @Test
    void testFacets_3_oe() {
        // arrange
        final List<FacetDefinition> facets = Arrays.asList(FACET_1, FACET_2);
        final TestReadHandler3D handler = new TestReadHandler3D(facets);

        final CloseCountInputStream inputStream = new CloseCountInputStream(new ByteArrayInputStream(new byte[0]));
        final GeometryInput in = new StreamGeometryInput(inputStream);

        // act
        final List<FacetDefinition> list;
        try (Stream<FacetDefinition> stream = handler.facets(in)) {
            list = stream.collect(Collectors.toList());

            // removed other assertion
        }

        // assert
        // removed other assertion

        Assertions.assertEquals(2, list.size());
    }
",AbstractBoundaryReadHandler3DTest::testFacets_3_oe
geom_12_4,"    @Test
    void testFacets_4_oe() {
        // arrange
        final List<FacetDefinition> facets = Arrays.asList(FACET_1, FACET_2);
        final TestReadHandler3D handler = new TestReadHandler3D(facets);

        final CloseCountInputStream inputStream = new CloseCountInputStream(new ByteArrayInputStream(new byte[0]));
        final GeometryInput in = new StreamGeometryInput(inputStream);

        // act
        final List<FacetDefinition> list;
        try (Stream<FacetDefinition> stream = handler.facets(in)) {
            list = stream.collect(Collectors.toList());

            // removed other assertion
        }

        // assert
        // removed other assertion

        // removed other assertion
        Assertions.assertEquals(1, inputStream.getCloseCount());
    }
",AbstractBoundaryReadHandler3DTest::testFacets_4_oe
