id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version
geom_1_1,commons-geometry,DocumentationExamplesTest,testIndexPageExample_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/DocumentationExamplesTest.java,,,,assert,unknown
geom_2_1,commons-geometry,DocumentationExamplesTest,testIO3DExample_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/DocumentationExamplesTest.java,,,,assert,unknown
geom_3_1,commons-geometry,FacetDefinitionsTest,testToPolygon_noNormal_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/FacetDefinitionsTest.java,,,,assert,unknown
geom_3_2,commons-geometry,FacetDefinitionsTest,testToPolygon_noNormal_2_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/FacetDefinitionsTest.java,,,,assert,unknown
geom_3_3,commons-geometry,FacetDefinitionsTest,testToPolygon_noNormal_3_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/FacetDefinitionsTest.java,,,,assert,unknown
geom_4_1,commons-geometry,FacetDefinitionsTest,testToPolygon_withNormal_similarDirection_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/FacetDefinitionsTest.java,,,,assert,unknown
geom_4_2,commons-geometry,FacetDefinitionsTest,testToPolygon_withNormal_similarDirection_2_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/FacetDefinitionsTest.java,,,,assert,unknown
geom_4_3,commons-geometry,FacetDefinitionsTest,testToPolygon_withNormal_similarDirection_3_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/FacetDefinitionsTest.java,,,,assert,unknown
geom_5_1,commons-geometry,FacetDefinitionsTest,testToPolygon_withNormal_differentDirection_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/FacetDefinitionsTest.java,,,,assert,unknown
geom_5_2,commons-geometry,FacetDefinitionsTest,testToPolygon_withNormal_differentDirection_2_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/FacetDefinitionsTest.java,,,,assert,unknown
geom_5_3,commons-geometry,FacetDefinitionsTest,testToPolygon_withNormal_differentDirection_3_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/FacetDefinitionsTest.java,,,,assert,unknown
geom_6_1,commons-geometry,FacetDefinitionsTest,testToPolygon_failure_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/FacetDefinitionsTest.java,,,,assert,unknown
geom_7_1,commons-geometry,IO3DTest,testStreamExample_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/IO3DTest.java,,,,assert,unknown
geom_8_1,commons-geometry,AbstractBoundaryReadHandler3DTest,testRead_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/AbstractBoundaryReadHandler3DTest.java,,,,assert,unknown
geom_8_2,commons-geometry,AbstractBoundaryReadHandler3DTest,testRead_2_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/AbstractBoundaryReadHandler3DTest.java,,,,assert,unknown
geom_8_3,commons-geometry,AbstractBoundaryReadHandler3DTest,testRead_3_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/AbstractBoundaryReadHandler3DTest.java,,,,assert,unknown
