id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
geom_6_1,commons-geometry,FacetDefinitionsTest,testToPolygon_failure_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/FacetDefinitionsTest.java,,,,assert,unknown,standard,assertThrows
geom_15_3,commons-geometry,SimpleFacetDefinitionTest,testProperties_verticesOnly_3_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/SimpleFacetDefinitionTest.java,,,,assert,unknown,standard,assertThrows
geom_16_3,commons-geometry,SimpleFacetDefinitionTest,testProperties_verticesAndNormal_3_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/SimpleFacetDefinitionTest.java,,,,assert,unknown,standard,assertThrows
geom_48_1,commons-geometry,StlBoundaryReadHandler3DTest,testRead_notEnoughBytes_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/StlBoundaryReadHandler3DTest.java,,,,assert,unknown,standard,assertThrows
geom_49_1,commons-geometry,StlBoundaryReadHandler3DTest,testRead_closesInputOnReaderCreationFailure_1_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/threed/stl/StlBoundaryReadHandler3DTest.java,,,,assert,unknown,standard,assertThrows
geom_243_1,commons-geometry,BoundaryIOManagerTest,testRead_handlerNotFound_1_oe,commons-geometry-io-core/src/test/java/org/apache/commons/geometry/io/core/BoundaryIOManagerTest.java,,,,assert,unknown,standard,assertThrows
geom_243_2,commons-geometry,BoundaryIOManagerTest,testRead_handlerNotFound_2_oe,commons-geometry-io-core/src/test/java/org/apache/commons/geometry/io/core/BoundaryIOManagerTest.java,,,,assert,unknown,standard,assertThrows
geom_243_3,commons-geometry,BoundaryIOManagerTest,testRead_handlerNotFound_3_oe,commons-geometry-io-core/src/test/java/org/apache/commons/geometry/io/core/BoundaryIOManagerTest.java,,,,assert,unknown,standard,assertThrows
geom_246_1,commons-geometry,BoundaryIOManagerTest,testBoundaries_handlerNotFound_1_oe,commons-geometry-io-core/src/test/java/org/apache/commons/geometry/io/core/BoundaryIOManagerTest.java,,,,assert,unknown,standard,assertThrows
geom_246_2,commons-geometry,BoundaryIOManagerTest,testBoundaries_handlerNotFound_2_oe,commons-geometry-io-core/src/test/java/org/apache/commons/geometry/io/core/BoundaryIOManagerTest.java,,,,assert,unknown,standard,assertThrows
