id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
geom_left_1_2,commons-geometry,EuclideanIOTestUtils,assertCube_2_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/EuclideanIOTestUtils.java,,,,assert,unknown,standard,assertEquals
geom_left_1_3,commons-geometry,EuclideanIOTestUtils,assertCube_3_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/EuclideanIOTestUtils.java,,,,assert,unknown,standard,assertEquals
geom_left_1_4,commons-geometry,EuclideanIOTestUtils,assertCube_4_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/EuclideanIOTestUtils.java,,,,assert,unknown,custom,assertCoordinatesEqual
geom_left_1_5,commons-geometry,EuclideanIOTestUtils,assertCube_5_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/EuclideanIOTestUtils.java,,,,assert,unknown,custom,assertRegionLocation
geom_left_1_6,commons-geometry,EuclideanIOTestUtils,assertCube_6_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/EuclideanIOTestUtils.java,,,,assert,unknown,custom,assertRegionLocation
geom_left_1_7,commons-geometry,EuclideanIOTestUtils,assertCube_7_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/EuclideanIOTestUtils.java,,,,assert,unknown,custom,assertRegionLocation
geom_left_2_2,commons-geometry,EuclideanIOTestUtils,assertCubeMinusSphere_2_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/EuclideanIOTestUtils.java,,,,assert,unknown,standard,assertEquals
geom_left_2_3,commons-geometry,EuclideanIOTestUtils,assertCubeMinusSphere_3_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/EuclideanIOTestUtils.java,,,,assert,unknown,standard,assertEquals
geom_left_2_4,commons-geometry,EuclideanIOTestUtils,assertCubeMinusSphere_4_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/EuclideanIOTestUtils.java,,,,assert,unknown,custom,assertCoordinatesEqual
geom_left_2_5,commons-geometry,EuclideanIOTestUtils,assertCubeMinusSphere_5_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/EuclideanIOTestUtils.java,,,,assert,unknown,custom,assertRegionLocation
geom_left_2_6,commons-geometry,EuclideanIOTestUtils,assertCubeMinusSphere_6_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/EuclideanIOTestUtils.java,,,,assert,unknown,custom,assertRegionLocation
geom_left_2_7,commons-geometry,EuclideanIOTestUtils,assertCubeMinusSphere_7_oe,commons-geometry-io-euclidean/src/test/java/org/apache/commons/geometry/io/euclidean/EuclideanIOTestUtils.java,,,,assert,unknown,custom,assertRegionLocation
