focal_file_path,focal_package,focal_class,classname,method,docstring,method_definition
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-geometry/commons-geometry-io-euclidean/src/main/java/org/apache/commons/geometry/io/euclidean/threed/BoundaryIOManager3D.java,org.apache.commons.geometry.io.euclidean.threed,org.apache.commons.geometry.io.euclidean.threed.BoundaryIOManager3D,org.apache.commons.geometry.io.euclidean.threed.BoundaryIOManager3D,"facetDefinitionReader(final GeometryInput in, final GeometryFormat fmt)","/** Get a {@link FacetDefinitionReader} for reading facet information from the given input.
     * @param in input to read facets from
     * @param fmt format of the input; if null, the format is determined implicitly from the
     *      file extension of the input {@link GeometryInput#getFileName() file name}
     * @return facet definition reader
     * @throws IllegalArgumentException if no read handler can be found for the input format
     * @throws IllegalStateException if a data format error occurs
     * @throws java.io.UncheckedIOException if an I/O error occurs
     */","public FacetDefinitionReader facetDefinitionReader(final GeometryInput in, final GeometryFormat fmt) {
        return requireReadHandler(in, fmt).facetDefinitionReader(in);
    }"
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-geometry/commons-geometry-io-euclidean/src/main/java/org/apache/commons/geometry/io/euclidean/threed/BoundaryIOManager3D.java,org.apache.commons.geometry.io.euclidean.threed,org.apache.commons.geometry.io.euclidean.threed.BoundaryIOManager3D,org.apache.commons.geometry.io.euclidean.threed.BoundaryIOManager3D,"facets(final GeometryInput in, final GeometryFormat fmt)","/** Return a {@link Stream} providing access to all facets from the given input. The underlying input
     * stream is closed when the returned stream is closed. Callers should therefore use the returned stream
     * in a try-with-resources statement to ensure that all resources are properly released.
     * <pre>
     *  try (Stream&lt;FacetDefinition&gt; stream = manager.facets(in, fmt)) {
     *      // access stream content
     *  }
     * </pre>
     * <p>The following exceptions may be thrown during stream iteration:</p>
     * <ul>
     *  <li>{@link IllegalStateException} if a data format error occurs</li>
     *  <li>{@link java.io.UncheckedIOException UncheckedIOException} if an I/O error occurs</li>
     * </ul>
     * @param in input to read from
     * @param fmt format of the input; if null, the format is determined implicitly from the
     *      file extension of the input {@link GeometryInput#getFileName() file name}
     * @return stream providing access to the facets in the input
     * @throws IllegalArgumentException if no read handler can be found for the input format
     * @throws IllegalStateException if a data format error occurs during stream creation
     * @throws java.io.UncheckedIOException if an I/O error occurs during stream creation
     */","public Stream<FacetDefinition> facets(final GeometryInput in, final GeometryFormat fmt) {
        return requireReadHandler(in, fmt).facets(in);
    }"
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-geometry/commons-geometry-io-euclidean/src/main/java/org/apache/commons/geometry/io/euclidean/threed/BoundaryIOManager3D.java,org.apache.commons.geometry.io.euclidean.threed,org.apache.commons.geometry.io.euclidean.threed.BoundaryIOManager3D,org.apache.commons.geometry.io.euclidean.threed.BoundaryIOManager3D,"triangles(final GeometryInput in, final GeometryFormat fmt,
            final Precision.DoubleEquivalence precision)","/** Return a {@link Stream} providing access to all triangles from the given input. The underlying input
     * stream is closed when the returned stream is closed. Callers should therefore use the returned stream
     * in a try-with-resources statement to ensure that all resources are properly released.
     * <pre>
     *  try (Stream&lt;Triangle3D&gt; stream = manager.triangles(in, fmt, precision)) {
     *      // access stream content
     *  }
     * </pre>
     * <p>The following exceptions may be thrown during stream iteration:</p>
     * <ul>
     *  <li>{@link IllegalArgumentException} if mathematically invalid data is encountered</li>
     *  <li>{@link IllegalStateException} if a data format error occurs</li>
     *  <li>{@link java.io.UncheckedIOException UncheckedIOException} if an I/O error occurs</li>
     * </ul>
     * @param in input to read from
     * @param fmt format of the input; if null, the format is determined implicitly from the
     *      file extension of the input {@link GeometryInput#getFileName() file name}
     * @param precision precision context used for floating point comparisons
     * @return stream providing access to the triangles in the input
     * @throws IllegalArgumentException if no read handler can be found for the input format
     * @throws IllegalStateException if a data format error occurs during stream creation
     * @throws java.io.UncheckedIOException if an I/O error occurs during stream creation
     */","public Stream<Triangle3D> triangles(final GeometryInput in, final GeometryFormat fmt,
            final Precision.DoubleEquivalence precision) {
        return boundaries(in, fmt, precision)
                .flatMap(p -> p.toTriangles().stream());
    }"
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-geometry/commons-geometry-io-euclidean/src/main/java/org/apache/commons/geometry/io/euclidean/threed/BoundaryIOManager3D.java,org.apache.commons.geometry.io.euclidean.threed,org.apache.commons.geometry.io.euclidean.threed.BoundaryIOManager3D,org.apache.commons.geometry.io.euclidean.threed.BoundaryIOManager3D,"readTriangleMesh(final GeometryInput in, final GeometryFormat fmt,
            final Precision.DoubleEquivalence precision)","/** Return a {@link TriangleMesh} containing all triangles from the given input.
     * @param in input to read from
     * @param fmt format of the input; if null, the format is determined implicitly from the
     *      file extension of the input {@link GeometryInput#getFileName() file name}
     * @param precision precision context used for floating point comparisons
     * @return mesh containing all triangles from the input
     * @throws IllegalArgumentException if mathematically invalid data is encountered or no read
     *      handler can be found for the input format
     * @throws IllegalStateException if a data format error occurs
     * @throws java.io.UncheckedIOException if an I/O error occurs
     */","public TriangleMesh readTriangleMesh(final GeometryInput in, final GeometryFormat fmt,
            final Precision.DoubleEquivalence precision) {
        return requireReadHandler(in, fmt).readTriangleMesh(in, precision);
    }"
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-geometry/commons-geometry-io-euclidean/src/main/java/org/apache/commons/geometry/io/euclidean/threed/BoundaryIOManager3D.java,org.apache.commons.geometry.io.euclidean.threed,org.apache.commons.geometry.io.euclidean.threed.BoundaryIOManager3D,org.apache.commons.geometry.io.euclidean.threed.BoundaryIOManager3D,"void write(final Stream<? extends PlaneConvexSubset> boundaries, final GeometryOutput out,
            final GeometryFormat fmt)","/** Write all boundaries in the stream to the output.
     *
     * <p>This method does not explicitly close the {@code boundaries} stream. If callers need to ensure that
     * the stream is closed (for example, if the stream is reading from a file), they should use it in a
     * try-with-resources statement outside of this method.</p>
     * @param boundaries stream containing boundaries to write
     * @param out output to write to
     * @param fmt format of the output; if null, the format is determined implicitly from the
     *      file extension of the output {@link GeometryOutput#getFileName() file name}
     * @throws IllegalArgumentException if no write handler can be found for the output format
     * @throws java.io.UncheckedIOException if an I/O error occurs
     */","public void write(final Stream<? extends PlaneConvexSubset> boundaries, final GeometryOutput out,
            final GeometryFormat fmt) {
        requireWriteHandler(out, fmt).write(boundaries, out);
    }"
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-geometry/commons-geometry-io-euclidean/src/main/java/org/apache/commons/geometry/io/euclidean/threed/BoundaryIOManager3D.java,org.apache.commons.geometry.io.euclidean.threed,org.apache.commons.geometry.io.euclidean.threed.BoundaryIOManager3D,org.apache.commons.geometry.io.euclidean.threed.BoundaryIOManager3D,"void writeFacets(final Stream<? extends FacetDefinition> facets, final GeometryOutput out,
            final GeometryFormat fmt)","/** Write all facet in the stream to the output.
     *
     * <p>This method does not explicitly close the {@code boundaries} stream. If callers need to ensure that
     * the stream is closed (for example, if the stream is reading from a file), they should use it in a
     * try-with-resources statement outside of this method.</p>
     * @param facets stream containing facets to write
     * @param out output to write to
     * @param fmt format of the output; if null, the format is determined implicitly from the
     *      file extension of the output {@link GeometryOutput#getFileName() file name}
     * @throws IllegalArgumentException if no write handler can be found for the output format
     * @throws java.io.UncheckedIOException if an I/O error occurs
     */","public void writeFacets(final Stream<? extends FacetDefinition> facets, final GeometryOutput out,
            final GeometryFormat fmt) {
        requireWriteHandler(out, fmt).writeFacets(facets, out);
    }"
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-geometry/commons-geometry-io-euclidean/src/main/java/org/apache/commons/geometry/io/euclidean/threed/BoundaryIOManager3D.java,org.apache.commons.geometry.io.euclidean.threed,org.apache.commons.geometry.io.euclidean.threed.BoundaryIOManager3D,org.apache.commons.geometry.io.euclidean.threed.BoundaryIOManager3D,"void writeFacets(final Collection<? extends FacetDefinition> facets, final GeometryOutput out,
            final GeometryFormat fmt)","/** Write the given facets to the output.
     * @param facets facets to write
     * @param out output to write to
     * @param fmt format of the output; if null, the format is determined implicitly from the
     *      file extension of the output {@link GeometryOutput#getFileName() file name}
     * @throws IllegalArgumentException if no write handler can be found for the output format
     * @throws java.io.UncheckedIOException if an I/O error occurs
     */","public void writeFacets(final Collection<? extends FacetDefinition> facets, final GeometryOutput out,
            final GeometryFormat fmt) {
        requireWriteHandler(out, fmt).writeFacets(facets, out);
    }"
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-geometry/commons-geometry-io-euclidean/src/main/java/org/apache/commons/geometry/io/euclidean/threed/BoundaryIOManager3D.java,org.apache.commons.geometry.io.euclidean.threed,org.apache.commons.geometry.io.euclidean.threed.BoundaryIOManager3D,org.apache.commons.geometry.io.euclidean.threed.BoundaryIOManager3D,void registerDefaultHandlers(),"/** Register default read/write handlers. This method registers a read and write handler
     * for each value in {@link GeometryFormat3D}.
     */","public void registerDefaultHandlers() {
        // obj
        registerReadHandler(new ObjBoundaryReadHandler3D());
        registerWriteHandler(new ObjBoundaryWriteHandler3D());

        // stl
        registerReadHandler(new StlBoundaryReadHandler3D());
        registerWriteHandler(new StlBoundaryWriteHandler3D());

        // txt
        registerReadHandler(new TextBoundaryReadHandler3D());
        registerWriteHandler(new TextBoundaryWriteHandler3D());

        // csv
        registerReadHandler(new CsvBoundaryReadHandler3D());
        registerWriteHandler(new CsvBoundaryWriteHandler3D());
    }"
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-geometry/commons-geometry-io-euclidean/src/main/java/org/apache/commons/geometry/io/euclidean/threed/GeometryFormat3D.java,org.apache.commons.geometry.io.euclidean.threed,org.apache.commons.geometry.io.euclidean.threed.GeometryFormat3D,org.apache.commons.geometry.io.euclidean.threed.GeometryFormat3D,getFormatName(),/** {@inheritDoc} */,"@Override
    public String getFormatName() {
        return name();
    }"
/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-geometry/commons-geometry-io-euclidean/src/main/java/org/apache/commons/geometry/io/euclidean/threed/GeometryFormat3D.java,org.apache.commons.geometry.io.euclidean.threed,org.apache.commons.geometry.io.euclidean.threed.GeometryFormat3D,org.apache.commons.geometry.io.euclidean.threed.GeometryFormat3D,getDefaultFileExtension(),/** {@inheritDoc} */,"@Override
    public String getDefaultFileExtension() {
        return fileExtensions.get(0);
    }"
