id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version
imag_1_1,commons-imaging-1.0-alpha3-src,TestImageReadException,testCreateExceptionWithMessage_1_oe,src/test/java/org/apache/commons/imaging/TestImageReadException.java,,,,assert,unknown
imag_1_2,commons-imaging-1.0-alpha3-src,TestImageReadException,testCreateExceptionWithMessage_2_oe,src/test/java/org/apache/commons/imaging/TestImageReadException.java,,,,assert,unknown
imag_2_1,commons-imaging-1.0-alpha3-src,TestImageReadException,testCreateExceptionWithMessageAndCause_1_oe,src/test/java/org/apache/commons/imaging/TestImageReadException.java,,,,assert,unknown
imag_2_2,commons-imaging-1.0-alpha3-src,TestImageReadException,testCreateExceptionWithMessageAndCause_2_oe,src/test/java/org/apache/commons/imaging/TestImageReadException.java,,,,assert,unknown
imag_3_1,commons-imaging-1.0-alpha3-src,ImageDumpTest,testDumpColorSpace_1_oe,src/test/java/org/apache/commons/imaging/ImageDumpTest.java,,,,assert,unknown
imag_4_1,commons-imaging-1.0-alpha3-src,ImageDumpTest,testDump_1_oe,src/test/java/org/apache/commons/imaging/ImageDumpTest.java,,,,assert,unknown
imag_5_1,commons-imaging-1.0-alpha3-src,ImagingGuessFormatTest,testGuessFormat_1_oe,src/test/java/org/apache/commons/imaging/ImagingGuessFormatTest.java,,,,assert,unknown
imag_6_1,commons-imaging-1.0-alpha3-src,TestImageInfo,testColorType_1_oe,src/test/java/org/apache/commons/imaging/TestImageInfo.java,,,,assert,unknown
imag_6_2,commons-imaging-1.0-alpha3-src,TestImageInfo,testColorType_2_oe,src/test/java/org/apache/commons/imaging/TestImageInfo.java,,,,assert,unknown
imag_7_1,commons-imaging-1.0-alpha3-src,TestImageInfo,testCompressionAlgorithm_1_oe,src/test/java/org/apache/commons/imaging/TestImageInfo.java,,,,assert,unknown
imag_7_2,commons-imaging-1.0-alpha3-src,TestImageInfo,testCompressionAlgorithm_2_oe,src/test/java/org/apache/commons/imaging/TestImageInfo.java,,,,assert,unknown
imag_8_1,commons-imaging-1.0-alpha3-src,TestImageInfo,testImageInfo_1_oe,src/test/java/org/apache/commons/imaging/TestImageInfo.java,,,,assert,unknown
imag_8_2,commons-imaging-1.0-alpha3-src,TestImageInfo,testImageInfo_2_oe,src/test/java/org/apache/commons/imaging/TestImageInfo.java,,,,assert,unknown
imag_8_3,commons-imaging-1.0-alpha3-src,TestImageInfo,testImageInfo_3_oe,src/test/java/org/apache/commons/imaging/TestImageInfo.java,,,,assert,unknown
imag_8_4,commons-imaging-1.0-alpha3-src,TestImageInfo,testImageInfo_4_oe,src/test/java/org/apache/commons/imaging/TestImageInfo.java,,,,assert,unknown
imag_8_5,commons-imaging-1.0-alpha3-src,TestImageInfo,testImageInfo_5_oe,src/test/java/org/apache/commons/imaging/TestImageInfo.java,,,,assert,unknown
imag_8_6,commons-imaging-1.0-alpha3-src,TestImageInfo,testImageInfo_6_oe,src/test/java/org/apache/commons/imaging/TestImageInfo.java,,,,assert,unknown
