id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version
imag_75_1,commons-imaging-1.0-alpha3-src,RgbBufferedImageFactoryTest,testGetColorBufferedImageThrowsIllegalArgumentException_1_oe,src/test/java/org/apache/commons/imaging/common/RgbBufferedImageFactoryTest.java,,,,assert,unknown
imag_86_1,commons-imaging-1.0-alpha3-src,RleReaderTest,testReadWithNonNull_1_oe,src/test/java/org/apache/commons/imaging/formats/pcx/RleReaderTest.java,,,,assert,unknown
imag_87_2,commons-imaging-1.0-alpha3-src,JpegReadTest,test_2_oe,src/test/java/org/apache/commons/imaging/formats/jpeg/JpegReadTest.java,,,,assert,unknown
imag_92_1,commons-imaging-1.0-alpha3-src,NegSizeSegmentTest,testCreatesNegSizeSegment_1_oe,src/test/java/org/apache/commons/imaging/formats/jpeg/segments/NegSizeSegmentTest.java,,,,assert,unknown
imag_98_1,commons-imaging-1.0-alpha3-src,JfifSegmentTest,testCreatesJfifSegment_1_oe,src/test/java/org/apache/commons/imaging/formats/jpeg/segments/JfifSegmentTest.java,,,,assert,unknown
imag_107_1,commons-imaging-1.0-alpha3-src,WriteExifMetadataExampleTest,testOddOffsets_1_oe,src/test/java/org/apache/commons/imaging/formats/jpeg/exif/WriteExifMetadataExampleTest.java,,,,assert,unknown
imag_122_1,commons-imaging-1.0-alpha3-src,JpegXmpParserTest,testCreatesJpegXmpParserAndCallsParseXmpJpegSegment_1_oe,src/test/java/org/apache/commons/imaging/formats/jpeg/xmp/JpegXmpParserTest.java,,,,assert,unknown
imag_125_1,commons-imaging-1.0-alpha3-src,PbmFileInfoTest,testGetRGBThrowsIOException_1_oe,src/test/java/org/apache/commons/imaging/formats/pnm/PbmFileInfoTest.java,,,,assert,unknown
imag_145_1,commons-imaging-1.0-alpha3-src,TiffFloatingPointReadTest,test_1_oe,src/test/java/org/apache/commons/imaging/formats/tiff/TiffFloatingPointReadTest.java,,,,assert,unknown
imag_145_2,commons-imaging-1.0-alpha3-src,TiffFloatingPointReadTest,test_2_oe,src/test/java/org/apache/commons/imaging/formats/tiff/TiffFloatingPointReadTest.java,,,,assert,unknown
imag_145_3,commons-imaging-1.0-alpha3-src,TiffFloatingPointReadTest,test_3_oe,src/test/java/org/apache/commons/imaging/formats/tiff/TiffFloatingPointReadTest.java,,,,assert,unknown
imag_145_4,commons-imaging-1.0-alpha3-src,TiffFloatingPointReadTest,test_4_oe,src/test/java/org/apache/commons/imaging/formats/tiff/TiffFloatingPointReadTest.java,,,,assert,unknown
imag_145_5,commons-imaging-1.0-alpha3-src,TiffFloatingPointReadTest,test_5_oe,src/test/java/org/apache/commons/imaging/formats/tiff/TiffFloatingPointReadTest.java,,,,assert,unknown
