id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
commons-imaging_75_101,commons-imaging,RgbBufferedImageFactoryTest,testGetColorBufferedImageThrowsIllegalArgumentException_oe_101_oe,src/test/java/org/apache/commons/imaging/common/RgbBufferedImageFactoryTest.java,,,,multiple,unknown,standard,
commons-imaging_90_101,commons-imaging,RleReaderTest,testReadWithNonNull_oe_101_oe,src/test/java/org/apache/commons/imaging/formats/pcx/RleReaderTest.java,,,,multiple,unknown,standard,
commons-imaging_96_101,commons-imaging,PbmFileInfoTest,testGetRGBThrowsIOException_oe_101_oe,src/test/java/org/apache/commons/imaging/formats/pnm/PbmFileInfoTest.java,,,,multiple,unknown,standard,
commons-imaging_215_101,commons-imaging,NegSizeSegmentTest,testCreatesNegSizeSegment_oe_101_oe,src/test/java/org/apache/commons/imaging/formats/jpeg/segments/NegSizeSegmentTest.java,,,,multiple,unknown,standard,
commons-imaging_221_101,commons-imaging,JfifSegmentTest,testCreatesJfifSegment_oe_101_oe,src/test/java/org/apache/commons/imaging/formats/jpeg/segments/JfifSegmentTest.java,,,,multiple,unknown,standard,
commons-imaging_245_101,commons-imaging,JpegXmpParserTest,testCreatesJpegXmpParserAndCallsParseXmpJpegSegment_oe_101_oe,src/test/java/org/apache/commons/imaging/formats/jpeg/xmp/JpegXmpParserTest.java,,,,multiple,unknown,standard,
commons-imaging_260_101,commons-imaging,FieldTypeLongTest,testWriteDataWithNonNull_oe_101_oe,src/test/java/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeLongTest.java,,,,multiple,unknown,standard,
commons-imaging_263_101,commons-imaging,FieldTypeShortTest,testCreatesFieldTypeShortAndCallsWriteData_oe_101_oe,src/test/java/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeShortTest.java,,,,multiple,unknown,standard,
commons-imaging_283_101,commons-imaging,PhotometricInterpreterFloatTest,testConstructors_oe_101_oe,src/test/java/org/apache/commons/imaging/formats/tiff/photometricinterpreters/floatingpoint/PhotometricInterpreterFloatTest.java,,,,multiple,unknown,standard,
commons-imaging_283_102,commons-imaging,PhotometricInterpreterFloatTest,testConstructors_oe_102_oe,src/test/java/org/apache/commons/imaging/formats/tiff/photometricinterpreters/floatingpoint/PhotometricInterpreterFloatTest.java,,,,multiple,unknown,standard,
commons-imaging_291_101,commons-imaging,PaletteEntryForRangeTest,testFaultyConstructors_oe_101_oe,src/test/java/org/apache/commons/imaging/formats/tiff/photometricinterpreters/floatingpoint/PaletteEntryForRangeTest.java,,,,multiple,unknown,standard,
commons-imaging_291_102,commons-imaging,PaletteEntryForRangeTest,testFaultyConstructors_oe_102_oe,src/test/java/org/apache/commons/imaging/formats/tiff/photometricinterpreters/floatingpoint/PaletteEntryForRangeTest.java,,,,multiple,unknown,standard,
commons-imaging_291_103,commons-imaging,PaletteEntryForRangeTest,testFaultyConstructors_oe_103_oe,src/test/java/org/apache/commons/imaging/formats/tiff/photometricinterpreters/floatingpoint/PaletteEntryForRangeTest.java,,,,multiple,unknown,standard,
commons-imaging_291_104,commons-imaging,PaletteEntryForRangeTest,testFaultyConstructors_oe_104_oe,src/test/java/org/apache/commons/imaging/formats/tiff/photometricinterpreters/floatingpoint/PaletteEntryForRangeTest.java,,,,multiple,unknown,standard,
commons-imaging_291_105,commons-imaging,PaletteEntryForRangeTest,testFaultyConstructors_oe_105_oe,src/test/java/org/apache/commons/imaging/formats/tiff/photometricinterpreters/floatingpoint/PaletteEntryForRangeTest.java,,,,multiple,unknown,standard,
commons-imaging_295_101,commons-imaging,PaletteEntryForValueTest,testFaultyConstructors_oe_101_oe,src/test/java/org/apache/commons/imaging/formats/tiff/photometricinterpreters/floatingpoint/PaletteEntryForValueTest.java,,,,multiple,unknown,standard,
commons-imaging_305_101,commons-imaging,PngChunkTextTest,testCreatesPngChunkText_oe_101_oe,src/test/java/org/apache/commons/imaging/formats/png/chunks/PngChunkTextTest.java,,,,multiple,unknown,standard,
commons-imaging_306_101,commons-imaging,TransparencyFilterIndexedColorTest,testFilterWithNegativeAndNegative_oe_101_oe,src/test/java/org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterIndexedColorTest.java,,,,multiple,unknown,standard,
commons-imaging_313_101,commons-imaging,DataParserIndexedTest,testFailsToCreateDataParserIndexedThrowsArrayIndexOutOfBoundsException_oe_101_oe,src/test/java/org/apache/commons/imaging/formats/psd/dataparsers/DataParserIndexedTest.java,,,,multiple,unknown,standard,
