id,test_prefix,test_name
jcs3_1_1,"    @Test
    public void entity_1_oe()
    {
        final EntityManagerFactory emf = Persistence.createEntityManagerFactory(""test-jcache"", props);
        final OpenJPAConfiguration conf = OpenJPAEntityManagerFactorySPI.class.cast(emf).getConfiguration();

        final EntityManager em = emf.createEntityManager();

        final MyEntity entity = new MyEntity();
        entity.setName(""cacheMe1"");
        em.getTransaction().begin();
        em.persist(entity);
        em.getTransaction().commit();
        assertNotNull(conf.getDataCacheManagerInstance().getDataCache(""default""));
    }
",OpenJPAJCacheDataCacheTest::entity_1_oe
jcs3_1_2,"    @Test
    public void entity_2_oe()
    {
        final EntityManagerFactory emf = Persistence.createEntityManagerFactory(""test-jcache"", props);
        final OpenJPAConfiguration conf = OpenJPAEntityManagerFactorySPI.class.cast(emf).getConfiguration();

        final EntityManager em = emf.createEntityManager();

        final MyEntity entity = new MyEntity();
        entity.setName(""cacheMe1"");
        em.getTransaction().begin();
        em.persist(entity);
        em.getTransaction().commit();
        // removed other assertion

        assertThat(conf.getDataCacheManagerInstance(), instanceOf(OpenJPAJCacheDataCacheManager.class));
    }
",OpenJPAJCacheDataCacheTest::entity_2_oe
jcs3_1_3,"    @Test
    public void entity_3_oe()
    {
        final EntityManagerFactory emf = Persistence.createEntityManagerFactory(""test-jcache"", props);
        final OpenJPAConfiguration conf = OpenJPAEntityManagerFactorySPI.class.cast(emf).getConfiguration();

        final EntityManager em = emf.createEntityManager();

        final MyEntity entity = new MyEntity();
        entity.setName(""cacheMe1"");
        em.getTransaction().begin();
        em.persist(entity);
        em.getTransaction().commit();
        // removed other assertion

        // removed other assertion
        assertThat(conf.getDataCacheManagerInstance().getDataCache(""default""), instanceOf(OpenJPAJCacheDataCache.class));
    }
",OpenJPAJCacheDataCacheTest::entity_3_oe
jcs3_1_4,"    @Test
    public void entity_4_oe()
    {
        final EntityManagerFactory emf = Persistence.createEntityManagerFactory(""test-jcache"", props);
        final OpenJPAConfiguration conf = OpenJPAEntityManagerFactorySPI.class.cast(emf).getConfiguration();

        final EntityManager em = emf.createEntityManager();

        final MyEntity entity = new MyEntity();
        entity.setName(""cacheMe1"");
        em.getTransaction().begin();
        em.persist(entity);
        em.getTransaction().commit();
        // removed other assertion

        // removed other assertion
        // removed other assertion
        assertTrue(conf.getDataCacheManagerInstance().getDataCache(""default"").contains(JPAFacadeHelper.toOpenJPAObjectId(conf.getMetaDataRepositoryInstance().getCachedMetaData(MyEntity.class), entity.getId())));
    }
",OpenJPAJCacheDataCacheTest::entity_4_oe
jcs3_2_1,"    @Test
    public void query_1_oe()
    {
        final EntityManagerFactory emf = Persistence.createEntityManagerFactory(""test-jcache"", props);
        final OpenJPAConfiguration conf = OpenJPAEntityManagerFactorySPI.class.cast(emf).getConfiguration();

        final EntityManager em = emf.createEntityManager();

        final MyEntity entity = new MyEntity();
        entity.setName(""cacheMe1"");
        em.getTransaction().begin();
        em.persist(entity);
        em.getTransaction().commit();
        final Query query = em.createQuery(""select e from OpenJPAJCacheDataCacheTest$MyEntity e where e.id = :id"");
        assertEquals(1, query.setParameter(""id"", entity.getId()).getResultList().size());
    }
",OpenJPAJCacheDataCacheTest::query_1_oe
jcs3_2_2,"    @Test
    public void query_2_oe()
    {
        final EntityManagerFactory emf = Persistence.createEntityManagerFactory(""test-jcache"", props);
        final OpenJPAConfiguration conf = OpenJPAEntityManagerFactorySPI.class.cast(emf).getConfiguration();

        final EntityManager em = emf.createEntityManager();

        final MyEntity entity = new MyEntity();
        entity.setName(""cacheMe1"");
        em.getTransaction().begin();
        em.persist(entity);
        em.getTransaction().commit();
        final Query query = em.createQuery(""select e from OpenJPAJCacheDataCacheTest$MyEntity e where e.id = :id"");
        // removed other assertion
        assertNotNull(conf.getDataCacheManagerInstance().getDataCache(""default""));
    }
",OpenJPAJCacheDataCacheTest::query_2_oe
jcs3_2_3,"    @Test
    public void query_3_oe()
    {
        final EntityManagerFactory emf = Persistence.createEntityManagerFactory(""test-jcache"", props);
        final OpenJPAConfiguration conf = OpenJPAEntityManagerFactorySPI.class.cast(emf).getConfiguration();

        final EntityManager em = emf.createEntityManager();

        final MyEntity entity = new MyEntity();
        entity.setName(""cacheMe1"");
        em.getTransaction().begin();
        em.persist(entity);
        em.getTransaction().commit();
        final Query query = em.createQuery(""select e from OpenJPAJCacheDataCacheTest$MyEntity e where e.id = :id"");
        // removed other assertion
        // removed other assertion

        assertThat(conf.getDataCacheManagerInstance(), instanceOf(OpenJPAJCacheDataCacheManager.class));
    }
",OpenJPAJCacheDataCacheTest::query_3_oe
jcs3_2_4,"    @Test
    public void query_4_oe()
    {
        final EntityManagerFactory emf = Persistence.createEntityManagerFactory(""test-jcache"", props);
        final OpenJPAConfiguration conf = OpenJPAEntityManagerFactorySPI.class.cast(emf).getConfiguration();

        final EntityManager em = emf.createEntityManager();

        final MyEntity entity = new MyEntity();
        entity.setName(""cacheMe1"");
        em.getTransaction().begin();
        em.persist(entity);
        em.getTransaction().commit();
        final Query query = em.createQuery(""select e from OpenJPAJCacheDataCacheTest$MyEntity e where e.id = :id"");
        // removed other assertion
        // removed other assertion

        // removed other assertion
        assertThat(conf.getDataCacheManagerInstance().getDataCache(""default""), instanceOf(OpenJPAJCacheDataCache.class));
    }
",OpenJPAJCacheDataCacheTest::query_4_oe
jcs3_2_5,"    @Test
    public void query_5_oe()
    {
        final EntityManagerFactory emf = Persistence.createEntityManagerFactory(""test-jcache"", props);
        final OpenJPAConfiguration conf = OpenJPAEntityManagerFactorySPI.class.cast(emf).getConfiguration();

        final EntityManager em = emf.createEntityManager();

        final MyEntity entity = new MyEntity();
        entity.setName(""cacheMe1"");
        em.getTransaction().begin();
        em.persist(entity);
        em.getTransaction().commit();
        final Query query = em.createQuery(""select e from OpenJPAJCacheDataCacheTest$MyEntity e where e.id = :id"");
        // removed other assertion
        // removed other assertion

        // removed other assertion
        // removed other assertion
        assertTrue(conf.getDataCacheManagerInstance().getDataCache(""default"").contains(JPAFacadeHelper.toOpenJPAObjectId(conf.getMetaDataRepositoryInstance().getCachedMetaData(MyEntity.class), entity.getId())));
    }
",OpenJPAJCacheDataCacheTest::query_5_oe
jcs3_2_6,"    @Test
    public void query_6_oe()
    {
        final EntityManagerFactory emf = Persistence.createEntityManagerFactory(""test-jcache"", props);
        final OpenJPAConfiguration conf = OpenJPAEntityManagerFactorySPI.class.cast(emf).getConfiguration();

        final EntityManager em = emf.createEntityManager();

        final MyEntity entity = new MyEntity();
        entity.setName(""cacheMe1"");
        em.getTransaction().begin();
        em.persist(entity);
        em.getTransaction().commit();
        final Query query = em.createQuery(""select e from OpenJPAJCacheDataCacheTest$MyEntity e where e.id = :id"");
        // removed other assertion
        // removed other assertion

        // removed other assertion
        // removed other assertion
        // removed other assertion

        final Map<Object, Object> args = new HashMap<Object, Object>()
        {{
                put(""id"", entity.getId());
        }};
        final QueryKey qk = QueryKey.newInstance(query.unwrap(org.apache.openjpa.kernel.Query.class), args);
        assertNotNull(conf.getDataCacheManagerInstance().getSystemQueryCache().get(qk));
    }
",OpenJPAJCacheDataCacheTest::query_6_oe
jcs3_3_1,"    @Test
    public void checkLoadAll_1_oe()
    {
        assertFalse(cache.iterator().hasNext());
    }
",CacheLoaderAdapterTest::checkLoadAll_1_oe
jcs3_3_2,"    @Test
    public void checkLoadAll_2_oe()
    {
        // removed other assertion
        assertEquals(""foo"", cache.get(""foo""));
    }
",CacheLoaderAdapterTest::checkLoadAll_2_oe
jcs3_3_3,"    @Test
    public void checkLoadAll_3_oe()
    {
        // removed other assertion
        // removed other assertion

        count.decrementAndGet();
        cache.loadAll(new HashSet<String>(asList(""a"", ""b"")), true, null);
        int retries = 100;
        while (retries-- > 0 && count.get() != 2)
        {
            try
            {
                Thread.sleep(20);
            }
            catch (final InterruptedException e)
            {
                Thread.interrupted();
            }
        }
        assertEquals(2, count.get());
    }
",CacheLoaderAdapterTest::checkLoadAll_3_oe
jcs3_3_4,"    @Test
    public void checkLoadAll_4_oe()
    {
        // removed other assertion
        // removed other assertion

        count.decrementAndGet();
        cache.loadAll(new HashSet<String>(asList(""a"", ""b"")), true, null);
        int retries = 100;
        while (retries-- > 0 && count.get() != 2)
        {
            try
            {
                Thread.sleep(20);
            }
            catch (final InterruptedException e)
            {
                Thread.interrupted();
            }
        }
        // removed other assertion
        assertEquals(""a"", cache.get(""a""));
    }
",CacheLoaderAdapterTest::checkLoadAll_4_oe
jcs3_3_5,"    @Test
    public void checkLoadAll_5_oe()
    {
        // removed other assertion
        // removed other assertion

        count.decrementAndGet();
        cache.loadAll(new HashSet<String>(asList(""a"", ""b"")), true, null);
        int retries = 100;
        while (retries-- > 0 && count.get() != 2)
        {
            try
            {
                Thread.sleep(20);
            }
            catch (final InterruptedException e)
            {
                Thread.interrupted();
            }
        }
        // removed other assertion
        // removed other assertion
        assertEquals(""b"", cache.get(""b""));
    }
",CacheLoaderAdapterTest::checkLoadAll_5_oe
jcs3_3_6,"    @Test
    public void checkLoadAll_6_oe()
    {
        // removed other assertion
        // removed other assertion

        count.decrementAndGet();
        cache.loadAll(new HashSet<String>(asList(""a"", ""b"")), true, null);
        int retries = 100;
        while (retries-- > 0 && count.get() != 2)
        {
            try
            {
                Thread.sleep(20);
            }
            catch (final InterruptedException e)
            {
                Thread.interrupted();
            }
        }
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEquals(2, count.get());
    }
",CacheLoaderAdapterTest::checkLoadAll_6_oe
jcs3_4_1,"    @Test
    public void checkComposite_1_oe()
    {
        cache.get(""foo"");
        assertEquals(2, count.get());
    }
",CompositeCacheLoaderTest::checkComposite_1_oe
jcs3_5_1,"    @Test
    public void checkWriteAllAndDeleteAll_1_oe()
    {
        assertTrue(copy.isEmpty());
    }
",CacheWriterAdapterTest::checkWriteAllAndDeleteAll_1_oe
jcs3_5_2,"    @Test
    public void checkWriteAllAndDeleteAll_2_oe()
    {
        // removed other assertion
        assertFalse(cache.iterator().hasNext());
    }
",CacheWriterAdapterTest::checkWriteAllAndDeleteAll_2_oe
jcs3_5_3,"    @Test
    public void checkWriteAllAndDeleteAll_3_oe()
    {
        // removed other assertion
        // removed other assertion
        cache.put(""foo"", ""bar"");
        assertEquals(1, copy.size());
    }
",CacheWriterAdapterTest::checkWriteAllAndDeleteAll_3_oe
jcs3_5_4,"    @Test
    public void checkWriteAllAndDeleteAll_4_oe()
    {
        // removed other assertion
        // removed other assertion
        cache.put(""foo"", ""bar"");
        // removed other assertion
        cache.remove(""foo"");
        assertTrue(copy.isEmpty());
    }
",CacheWriterAdapterTest::checkWriteAllAndDeleteAll_4_oe
jcs3_5_5,"    @Test
    public void checkWriteAllAndDeleteAll_5_oe()
    {
        // removed other assertion
        // removed other assertion
        cache.put(""foo"", ""bar"");
        // removed other assertion
        cache.remove(""foo"");
        // removed other assertion

        cache.putAll(new HashMap<String, String>() {{
            put(""a"", ""b"");
            put(""b"", ""c"");
        }});
        assertEquals(2, copy.size());
    }
",CacheWriterAdapterTest::checkWriteAllAndDeleteAll_5_oe
jcs3_5_6,"    @Test
    public void checkWriteAllAndDeleteAll_6_oe()
    {
        // removed other assertion
        // removed other assertion
        cache.put(""foo"", ""bar"");
        // removed other assertion
        cache.remove(""foo"");
        // removed other assertion

        cache.putAll(new HashMap<String, String>() {{
            put(""a"", ""b"");
            put(""b"", ""c"");
        }});
        // removed other assertion
        cache.removeAll(new HashSet<String>(asList(""a"", ""b"")));
        assertTrue(copy.isEmpty());
    }
",CacheWriterAdapterTest::checkWriteAllAndDeleteAll_6_oe
jcs3_6_1,"    @Test
    public void checkComposite_1_oe()
    {
        cache.put(""a"", ""b"");
        assertEquals(""b"", copy1.get(""a""));
    }
",CompositeCacheWriterTest::checkComposite_1_oe
jcs3_6_2,"    @Test
    public void checkComposite_2_oe()
    {
        cache.put(""a"", ""b"");
        // removed other assertion
        assertEquals(""b"", copy2.get(""a""));
    }
",CompositeCacheWriterTest::checkComposite_2_oe
