id,test_prefix,test_name
jcs3_7_1,"    @Test
    public void testFilterNoOutput_1_oe() throws Exception
    {
        Empty.COUNTER.set(0);
        final Tomcat tomcat = new Tomcat();
        tomcat.setHostname(""localhost"");
        tomcat.setPort(0);
        try {
            tomcat.getEngine();
            tomcat.start();
            final Context ctx = tomcat.addWebapp(""/sample"", docBase.getAbsolutePath());
            Tomcat.addServlet(ctx, ""empty"", Empty.class.getName());
            ctx.addServletMapping(""/"", ""empty"");
            addJcsFilter(ctx);
            StandardContext.class.cast(ctx).filterStart();

            final URL url = new URL(""http://localhost:"" + tomcat.getConnector().getLocalPort() + ""/sample/"");

            assertEquals("""", IOUtils.toString(url.openStream()));
    }
    }
",JCacheFilterTest::testFilterNoOutput_1_oe
jcs3_7_2,"    @Test
    public void testFilterNoOutput_2_oe() throws Exception
    {
        Empty.COUNTER.set(0);
        final Tomcat tomcat = new Tomcat();
        tomcat.setHostname(""localhost"");
        tomcat.setPort(0);
        try {
            tomcat.getEngine();
            tomcat.start();
            final Context ctx = tomcat.addWebapp(""/sample"", docBase.getAbsolutePath());
            Tomcat.addServlet(ctx, ""empty"", Empty.class.getName());
            ctx.addServletMapping(""/"", ""empty"");
            addJcsFilter(ctx);
            StandardContext.class.cast(ctx).filterStart();

            final URL url = new URL(""http://localhost:"" + tomcat.getConnector().getLocalPort() + ""/sample/"");

            // removed other assertion
            assertEquals(1, Empty.COUNTER.get());
    }
    }
",JCacheFilterTest::testFilterNoOutput_2_oe
jcs3_7_3,"    @Test
    public void testFilterNoOutput_3_oe() throws Exception
    {
        Empty.COUNTER.set(0);
        final Tomcat tomcat = new Tomcat();
        tomcat.setHostname(""localhost"");
        tomcat.setPort(0);
        try {
            tomcat.getEngine();
            tomcat.start();
            final Context ctx = tomcat.addWebapp(""/sample"", docBase.getAbsolutePath());
            Tomcat.addServlet(ctx, ""empty"", Empty.class.getName());
            ctx.addServletMapping(""/"", ""empty"");
            addJcsFilter(ctx);
            StandardContext.class.cast(ctx).filterStart();

            final URL url = new URL(""http://localhost:"" + tomcat.getConnector().getLocalPort() + ""/sample/"");

            // removed other assertion
            // removed other assertion

            assertEquals("""", IOUtils.toString(url.openStream()));
    }
    }
",JCacheFilterTest::testFilterNoOutput_3_oe
jcs3_7_4,"    @Test
    public void testFilterNoOutput_4_oe() throws Exception
    {
        Empty.COUNTER.set(0);
        final Tomcat tomcat = new Tomcat();
        tomcat.setHostname(""localhost"");
        tomcat.setPort(0);
        try {
            tomcat.getEngine();
            tomcat.start();
            final Context ctx = tomcat.addWebapp(""/sample"", docBase.getAbsolutePath());
            Tomcat.addServlet(ctx, ""empty"", Empty.class.getName());
            ctx.addServletMapping(""/"", ""empty"");
            addJcsFilter(ctx);
            StandardContext.class.cast(ctx).filterStart();

            final URL url = new URL(""http://localhost:"" + tomcat.getConnector().getLocalPort() + ""/sample/"");

            // removed other assertion
            // removed other assertion

            // removed other assertion
            assertEquals(1, Empty.COUNTER.get());
    }
    }
",JCacheFilterTest::testFilterNoOutput_4_oe
jcs3_8_1,"    @Test
    public void testFilter_1_oe() throws Exception
    {
        Hello.COUNTER.set(0);
        final Tomcat tomcat = new Tomcat();
        tomcat.setPort(0);
        try {
            tomcat.getEngine();
            tomcat.start();
            final Context ctx = tomcat.addContext(""/sample"", docBase.getAbsolutePath());
            Tomcat.addServlet(ctx, ""hello"", Hello.class.getName());
            ctx.addServletMapping(""/"", ""hello"");
            addJcsFilter(ctx);
            StandardContext.class.cast(ctx).filterStart();

            final URL url = new URL(""http://localhost:"" + tomcat.getConnector().getLocalPort() + ""/sample/"");
            assertEquals(""hello"", IOUtils.toString(url.openStream()));
    }
    }
",JCacheFilterTest::testFilter_1_oe
jcs3_8_2,"    @Test
    public void testFilter_2_oe() throws Exception
    {
        Hello.COUNTER.set(0);
        final Tomcat tomcat = new Tomcat();
        tomcat.setPort(0);
        try {
            tomcat.getEngine();
            tomcat.start();
            final Context ctx = tomcat.addContext(""/sample"", docBase.getAbsolutePath());
            Tomcat.addServlet(ctx, ""hello"", Hello.class.getName());
            ctx.addServletMapping(""/"", ""hello"");
            addJcsFilter(ctx);
            StandardContext.class.cast(ctx).filterStart();

            final URL url = new URL(""http://localhost:"" + tomcat.getConnector().getLocalPort() + ""/sample/"");
            // removed other assertion
            assertEquals(1, Hello.COUNTER.get());
    }
    }
",JCacheFilterTest::testFilter_2_oe
jcs3_8_3,"    @Test
    public void testFilter_3_oe() throws Exception
    {
        Hello.COUNTER.set(0);
        final Tomcat tomcat = new Tomcat();
        tomcat.setPort(0);
        try {
            tomcat.getEngine();
            tomcat.start();
            final Context ctx = tomcat.addContext(""/sample"", docBase.getAbsolutePath());
            Tomcat.addServlet(ctx, ""hello"", Hello.class.getName());
            ctx.addServletMapping(""/"", ""hello"");
            addJcsFilter(ctx);
            StandardContext.class.cast(ctx).filterStart();

            final URL url = new URL(""http://localhost:"" + tomcat.getConnector().getLocalPort() + ""/sample/"");
            // removed other assertion
            // removed other assertion

            assertEquals(""hello"", IOUtils.toString(url.openStream()));
    }
    }
",JCacheFilterTest::testFilter_3_oe
jcs3_8_4,"    @Test
    public void testFilter_4_oe() throws Exception
    {
        Hello.COUNTER.set(0);
        final Tomcat tomcat = new Tomcat();
        tomcat.setPort(0);
        try {
            tomcat.getEngine();
            tomcat.start();
            final Context ctx = tomcat.addContext(""/sample"", docBase.getAbsolutePath());
            Tomcat.addServlet(ctx, ""hello"", Hello.class.getName());
            ctx.addServletMapping(""/"", ""hello"");
            addJcsFilter(ctx);
            StandardContext.class.cast(ctx).filterStart();

            final URL url = new URL(""http://localhost:"" + tomcat.getConnector().getLocalPort() + ""/sample/"");
            // removed other assertion
            // removed other assertion

            // removed other assertion
            assertEquals(1, Hello.COUNTER.get());
    }
    }
",JCacheFilterTest::testFilter_4_oe
jcs3_11_1,"    @Test
    public void checkOWBProvider_1_oe()
    {
        try {
            final Iterator<BeanProvider> iterator = ServiceLoader.load(BeanProvider.class).iterator();
            assertTrue(iterator.hasNext());
    }
    }
",EnsureCDIIsTestedWhenTCKsRunTest::checkOWBProvider_1_oe
jcs3_11_2,"    @Test
    public void checkOWBProvider_2_oe()
    {
        try {
            final Iterator<BeanProvider> iterator = ServiceLoader.load(BeanProvider.class).iterator();
            // removed other assertion
            assertThat(iterator.next(), instanceOf(OWBBeanProvider.class));
    }
    }
",EnsureCDIIsTestedWhenTCKsRunTest::checkOWBProvider_2_oe
