id,test_prefix,test_name
commons-jcs3_1,"public void testJCS_oe()
        throws Exception
    {
        final CacheAccess<String, LinkedList<HashMap<String, String>>> jcs = JCS.getInstance( ""testCache1"" );

        final LinkedList<HashMap<String, String>> list = buildList();

        jcs.put( ""some:key"", list );

        assertEquals( list, jcs.get( ""some:key"" ) );
    }",JCSUnitTest::testJCS_oe
commons-jcs3_2,"public void testConcurrentAccess_oe()
        throws Exception
    {
    	final Worker[] worker = new Worker[THREADS];

        for (int i = 0; i < THREADS; i++)
        {
        	worker[i] = new Worker();
        	worker[i].start();
        }

        for (int i = 0; i < THREADS; i++)
        {
        	worker[i].join();
        }

        assertEquals(""Error count should be 0"",  0, errcount.intValue());
        for (final String msg : valueMismatchList)
        {
            System.out.println(msg);
        }
        assertEquals(""Value mismatch count should be 0"",  0, valueMismatchList.size());
    }",JCSConcurrentCacheAccessUnitTest::testConcurrentAccess_oe
commons-jcs3_3,"public void testTwoDeepRemoval_oe()
        throws Exception
    {
        final int count = 500;

        for ( int i = 0; i <= count; i++ )
        {
            jcs.put( ""key:"" + i + "":anotherpart"", ""data"" + i );
        }

        for ( int i = count; i >= 0; i-- )
        {
            final String res = jcs.get( ""key:"" + i + "":anotherpart"" );
            assertNotNull( ""[key:"" + i + "":anotherpart] should not be null, "" + jcs.getStats(), res );
        }

        for ( int i = 0; i <= count; i++ )
        {
            jcs.remove( ""key:"" + i + "":"" );
            assertNull( jcs.getStats(), jcs.get( ""key:"" + i + "":anotherpart"" ) );
        }

    }",JCSRemovalSimpleConcurrentTest::testTwoDeepRemoval_oe
commons-jcs3_4,"public void testSingleDepthRemoval_oe()
        throws Exception
    {

        final int count = 500;

        for ( int i = 0; i <= count; i++ )
        {
            jcs.put( i + "":key"", ""data"" + i );
        }

        for ( int i = count; i >= 0; i-- )
        {
            final String res = jcs.get( i + "":key"" );
            assertNotNull( ""["" + i + "":key] should not be null"", res );
        }

        for ( int i = 0; i <= count; i++ )
        {
            jcs.remove( i + "":"" );
            assertNull( jcs.get( i + "":key"" ) );
        }
    }",JCSRemovalSimpleConcurrentTest::testSingleDepthRemoval_oe
commons-jcs3_5,"public void testClear_oe()
        throws Exception
    {

        final int count = 500;

        for ( int i = 0; i <= count; i++ )
        {
            jcs.put( i + "":key"", ""data"" + i );
        }

        for ( int i = count; i >= 0; i-- )
        {
            final String res = jcs.get( i + "":key"" );
            assertNotNull( ""["" + i + "":key] should not be null"", res );
        }
        jcs.clear();

        for ( int i = count; i >= 0; i-- )
        {
            final String res = jcs.get( i + "":key"" );
            if ( res != null )
            {
                assertNull( ""["" + i + "":key] should be null after remvoeall"" + jcs.getStats(), res );
            }
        }
    }",JCSRemovalSimpleConcurrentTest::testClear_oe
commons-jcs3_6,"public void testClearRepeatedlyWithoutError_oe()
        throws Exception
    {
        final int count = 500;

        jcs.clear();

        for ( int i = 0; i <= count; i++ )
        {
            jcs.put( i + "":key"", ""data"" + i );
        }

        for ( int i = count; i >= 0; i-- )
        {
            final String res = jcs.get( i + "":key"" );
            assertNotNull( ""["" + i + "":key] should not be null"", res );
        }

        for ( int i = count; i >= 0; i-- )
        {
            jcs.put( i + "":key"", ""data"" + i );
            jcs.clear();
            final String res = jcs.get( i + "":key"" );
            if ( res != null )
            {
                assertNull( ""["" + i + "":key] should be null after remvoeall"" + jcs.getStats(), res );
            }
        }
    }",JCSRemovalSimpleConcurrentTest::testClearRepeatedlyWithoutError_oe
commons-jcs3_7,"public void testPutGetRemove_oe()
        throws Exception
    {
        final CacheAccess<String, String> jcs = JCS.getInstance( ""testCache1"" );

        for ( int i = 0; i <= items; i++ )
        {
            jcs.put( i + "":key"", ""data"" + i );
        }

        // all the gets should be null
        for ( int i = items; i >= 0; i-- )
        {
            final String res = jcs.get( i + "":key"" );
            assertNull( ""["" + i + "":key] should be null"", res );
        }

        // test removal, should be no exceptions
        jcs.remove( ""300:key"" );

        // allow the shrinker to run
        Thread.sleep( 500 );

        // do it again.
        for ( int i = 0; i <= items; i++ )
        {
            jcs.put( i + "":key"", ""data"" + i );
        }

        for ( int i = items; i >= 0; i-- )
        {
            final String res = jcs.get( i + "":key"" );
            assertNull( ""["" + i + "":key] should be null"", res );
        }
    }",ZeroSizeCacheUnitTest::testPutGetRemove_oe
commons-jcs3_8,"public void testSimpleLoad_oe()
        throws Exception
    {
        final Log log1 = LogManager.getLog( LRUMemoryCache.class );
        if ( log1.isDebugEnabled() )
        {
            System.out.println( ""The log level must be at info or above for the a performance test."" );
            return;
        }
        final Log log2 = LogManager.getLog( JCS.class );
        if ( log2.isDebugEnabled() )
        {
            System.out.println( ""The log level must be at info or above for the a performance test."" );
            return;
        }
        doWork();
        assertTrue( this.ratioPut < target );
        assertTrue( this.ratioGet < target );
    }",JCSvsHashtablePerformanceTest::testSimpleLoad_oe
commons-jcs3_9,"public void testPut_oe()
        throws Exception
    {
        final String value = ""value"";
        final String key = ""key"";

        // Make sure the element is not found
        assertEquals( 0, getListSize() );

        assertNull( jcs.get( key ) );

        jcs.put( key, value );

        // Get the element
        LOG.info( ""jcs.getStats(): "" + jcs.getStatistics() );
        assertEquals( 1, getListSize() );
        assertNotNull( jcs.get( key ) );
        assertEquals( value, jcs.get( key ) );
    }",JCSThrashTest::testPut_oe
commons-jcs3_10,"public void testRemove_oe()
        throws Exception
    {
        jcs.put( ""key1"", ""value1"" );
        assertEquals( 1, getListSize() );

        jcs.remove( ""key1"" );
        assertEquals( 0, getListSize() );

        jcs.put( ""key2"", ""value2"" );
        jcs.put( ""key3"", ""value3"" );
        assertEquals( 2, getListSize() );

        jcs.remove( ""key2"" );
        assertEquals( 1, getListSize() );

        // Try to remove an object that is not there in the store
        jcs.remove( ""key4"" );
        assertEquals( 1, getListSize() );
    }",JCSThrashTest::testRemove_oe
