id,test_prefix,test_name
jcs3_2_1,"    public void testConcurrentAccess_1_oe()
        throws Exception
    {
    	final Worker[] worker = new Worker[THREADS];

        for (int i = 0; i < THREADS; i++)
        {
        	worker[i] = new Worker();
        	worker[i].start();
        }

        for (int i = 0; i < THREADS; i++)
        {
        	worker[i].join();
        }

        assertEquals(""Error count should be 0"",  0, errcount.intValue());
    }
",JCSConcurrentCacheAccessUnitTest::testConcurrentAccess_1_oe
jcs3_2_2,"    public void testConcurrentAccess_2_oe()
        throws Exception
    {
    	final Worker[] worker = new Worker[THREADS];

        for (int i = 0; i < THREADS; i++)
        {
        	worker[i] = new Worker();
        	worker[i].start();
        }

        for (int i = 0; i < THREADS; i++)
        {
        	worker[i].join();
        }

        // removed other assertion
        for (final String msg : valueMismatchList)
        {
            System.out.println(msg);
        }
        assertEquals(""Value mismatch count should be 0"",  0, valueMismatchList.size());
    }
",JCSConcurrentCacheAccessUnitTest::testConcurrentAccess_2_oe
jcs3_80_1,"    public void testExceededMaxlifeOnrequestEvent_1_oe()
        throws Exception
    {
        final CacheAccess<String, String> jcs = JCS.getInstance( ""Maxlife"" );
        // this should add the event handler to all items as they are created.
        final IElementAttributes attributes = jcs.getDefaultElementAttributes();
        attributes.addElementEventHandler( meh );
        jcs.setDefaultElementAttributes( attributes );

        // put them in
        for ( int i = 0; i < 200; i++ )
        {
            jcs.put( i + "":key"", ""data"" + i);
        }

        // wait a bit for the items to expire
        Thread.sleep(attributes.getMaxLife() * 1000 + 100);

        for ( int i = 0; i < 200; i++ )
        {
            final String value = jcs.get( i + "":key"");
            assertNull(""Item should be null for key "" + i + "":key, but is "" + value, value);
    }
    }
",SimpleEventHandlingUnitTest::testExceededMaxlifeOnrequestEvent_1_oe
jcs3_80_2,"    public void testExceededMaxlifeOnrequestEvent_2_oe()
        throws Exception
    {
        final CacheAccess<String, String> jcs = JCS.getInstance( ""Maxlife"" );
        // this should add the event handler to all items as they are created.
        final IElementAttributes attributes = jcs.getDefaultElementAttributes();
        attributes.addElementEventHandler( meh );
        jcs.setDefaultElementAttributes( attributes );

        // put them in
        for ( int i = 0; i < 200; i++ )
        {
            jcs.put( i + "":key"", ""data"" + i);
        }

        // wait a bit for the items to expire
        Thread.sleep(attributes.getMaxLife() * 1000 + 100);

        for ( int i = 0; i < 200; i++ )
        {
            final String value = jcs.get( i + "":key"");
            // removed other assertion
        }

        // wait a bit for it to finish
        Thread.sleep( 100 );

        // test to see if the count is right
        assertTrue(""The number of ELEMENT_EVENT_EXCEEDED_MAXLIFE_ONREQUEST events ["" + meh.getExceededMaxlifeCount()+ ""] does not equal the number expected."",meh.getExceededMaxlifeCount()>= 200);
    }
",SimpleEventHandlingUnitTest::testExceededMaxlifeOnrequestEvent_2_oe
jcs3_81_2,"    public void testExceededIdletimeOnrequestEvent_2_oe()
        throws Exception
    {
        final CacheAccess<String, String> jcs = JCS.getInstance( ""Idletime"" );
        // this should add the event handler to all items as they are created.
        final IElementAttributes attributes = jcs.getDefaultElementAttributes();
        attributes.addElementEventHandler( meh );
        jcs.setDefaultElementAttributes( attributes );

        // put them in
        for ( int i = 0; i < 200; i++ )
        {
            jcs.put( i + "":key"", ""data"" + i);
        }

        // update access time
        for ( int i = 0; i < 200; i++ )
        {
            final String value = jcs.get( i + "":key"");
            // removed other assertion
        }

        // wait a bit for the items to expire
        Thread.sleep(attributes.getIdleTime() * 1000 + 100);

        for ( int i = 0; i < 200; i++ )
        {
            final String value = jcs.get( i + "":key"");
            assertNull(""Item should be null for key "" + i + "":key, but is "" + value, value);
    }
    }
",SimpleEventHandlingUnitTest::testExceededIdletimeOnrequestEvent_2_oe
jcs3_81_3,"    public void testExceededIdletimeOnrequestEvent_3_oe()
        throws Exception
    {
        final CacheAccess<String, String> jcs = JCS.getInstance( ""Idletime"" );
        // this should add the event handler to all items as they are created.
        final IElementAttributes attributes = jcs.getDefaultElementAttributes();
        attributes.addElementEventHandler( meh );
        jcs.setDefaultElementAttributes( attributes );

        // put them in
        for ( int i = 0; i < 200; i++ )
        {
            jcs.put( i + "":key"", ""data"" + i);
        }

        // update access time
        for ( int i = 0; i < 200; i++ )
        {
            final String value = jcs.get( i + "":key"");
            // removed other assertion
        }

        // wait a bit for the items to expire
        Thread.sleep(attributes.getIdleTime() * 1000 + 100);

        for ( int i = 0; i < 200; i++ )
        {
            final String value = jcs.get( i + "":key"");
            // removed other assertion
        }

        // wait a bit for it to finish
        Thread.sleep( 100 );

        // test to see if the count is right
        assertTrue(""The number of ELEMENT_EVENT_EXCEEDED_IDLETIME_ONREQUEST events ["" + meh.getExceededIdletimeCount()+ ""] does not equal the number expected."",meh.getExceededIdletimeCount()>= 200);
    }
",SimpleEventHandlingUnitTest::testExceededIdletimeOnrequestEvent_3_oe
jcs3_107_1,"    public void testSimpleLoad_1_oe()
        throws Exception
    {
        final LRUMap<String, String> map = new LRUMap<>( items );

        for ( int i = 0; i < items; i++ )
        {
            map.put( i + "":key"", ""data"" + i );
        }

        for ( int i = items - 1; i >= 0; i-- )
        {
            final String res = map.get( i + "":key"" );
            assertNotNull( ""["" + i + "":key] should not be null"", res );
    }
    }
",LRUMapConcurrentUnitTest::testSimpleLoad_1_oe
jcs3_107_2,"    public void testSimpleLoad_2_oe()
        throws Exception
    {
        final LRUMap<String, String> map = new LRUMap<>( items );

        for ( int i = 0; i < items; i++ )
        {
            map.put( i + "":key"", ""data"" + i );
        }

        for ( int i = items - 1; i >= 0; i-- )
        {
            final String res = map.get( i + "":key"" );
            // removed other assertion
        }

        // test removal
        map.remove( ""300:key"" );
        assertNull( map.get( ""300:key"" ) );
    }
",LRUMapConcurrentUnitTest::testSimpleLoad_2_oe
jcs3_108_1,"    public void testLRURemoval_1_oe()
        throws Exception
    {
        final int total = 10;
        final LRUMap<String, String> map = new LRUMap<>( total );

        // put the max in
        for ( int i = 0; i < total; i++ )
        {
            map.put( i + "":key"", ""data"" + i );
        }

        final Iterator<?> it = map.entrySet().iterator();
        while ( it.hasNext() )
        {
            assertNotNull( it.next() );
    }
    }
",LRUMapConcurrentUnitTest::testLRURemoval_1_oe
jcs3_108_2,"    public void testLRURemoval_2_oe()
        throws Exception
    {
        final int total = 10;
        final LRUMap<String, String> map = new LRUMap<>( total );

        // put the max in
        for ( int i = 0; i < total; i++ )
        {
            map.put( i + "":key"", ""data"" + i );
        }

        final Iterator<?> it = map.entrySet().iterator();
        while ( it.hasNext() )
        {
            // removed other assertion
        }
//        System.out.println( map.getStatistics() );

        // get the max out backwards
        for ( int i = total - 1; i >= 0; i-- )
        {
            final String res = map.get( i + "":key"" );
            assertNotNull( ""["" + i + "":key] should not be null"", res );
    }
    }
",LRUMapConcurrentUnitTest::testLRURemoval_2_oe
