id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
jcs3_1_1,commons-jcs3,JCSUnitTest,testJCS_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/JCSUnitTest.java,,,,assert,unknown,standard,assertEquals
jcs3_3_1,commons-jcs3,JCSRemovalSimpleConcurrentTest,testTwoDeepRemoval_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/JCSRemovalSimpleConcurrentTest.java,,,,assert,unknown,standard,assertNotNull
jcs3_3_2,commons-jcs3,JCSRemovalSimpleConcurrentTest,testTwoDeepRemoval_2_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/JCSRemovalSimpleConcurrentTest.java,,,,assert,unknown,standard,assertNull
jcs3_4_1,commons-jcs3,JCSRemovalSimpleConcurrentTest,testSingleDepthRemoval_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/JCSRemovalSimpleConcurrentTest.java,,,,assert,unknown,standard,assertNotNull
jcs3_4_2,commons-jcs3,JCSRemovalSimpleConcurrentTest,testSingleDepthRemoval_2_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/JCSRemovalSimpleConcurrentTest.java,,,,assert,unknown,standard,assertNull
jcs3_5_1,commons-jcs3,JCSRemovalSimpleConcurrentTest,testClear_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/JCSRemovalSimpleConcurrentTest.java,,,,assert,unknown,standard,assertNotNull
jcs3_5_2,commons-jcs3,JCSRemovalSimpleConcurrentTest,testClear_2_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/JCSRemovalSimpleConcurrentTest.java,,,,assert,unknown,standard,assertNull
jcs3_6_1,commons-jcs3,JCSRemovalSimpleConcurrentTest,testClearRepeatedlyWithoutError_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/JCSRemovalSimpleConcurrentTest.java,,,,assert,unknown,standard,assertNotNull
jcs3_6_2,commons-jcs3,JCSRemovalSimpleConcurrentTest,testClearRepeatedlyWithoutError_2_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/JCSRemovalSimpleConcurrentTest.java,,,,assert,unknown,standard,assertNull
jcs3_8_1,commons-jcs3,JCSvsHashtablePerformanceTest,testSimpleLoad_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/JCSvsHashtablePerformanceTest.java,,,,assert,unknown,standard,assertTrue
jcs3_8_2,commons-jcs3,JCSvsHashtablePerformanceTest,testSimpleLoad_2_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/JCSvsHashtablePerformanceTest.java,,,,assert,unknown,standard,assertTrue
jcs3_9_1,commons-jcs3,JCSThrashTest,testPut_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/JCSThrashTest.java,,,,assert,unknown,standard,assertEquals
jcs3_9_2,commons-jcs3,JCSThrashTest,testPut_2_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/JCSThrashTest.java,,,,assert,unknown,standard,assertNull
jcs3_9_4,commons-jcs3,JCSThrashTest,testPut_4_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/JCSThrashTest.java,,,,assert,unknown,standard,assertNotNull
jcs3_9_5,commons-jcs3,JCSThrashTest,testPut_5_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/JCSThrashTest.java,,,,assert,unknown,standard,assertEquals
jcs3_10_2,commons-jcs3,JCSThrashTest,testRemove_2_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/JCSThrashTest.java,,,,assert,unknown,standard,assertEquals
jcs3_13_2,commons-jcs3,JCSLightLoadUnitTest,testSimpleLoad_2_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/JCSLightLoadUnitTest.java,,,,assert,unknown,standard,assertNull
jcs3_14_1,commons-jcs3,CacheEventQueueFactoryUnitTest,testCreateCacheEventQueue_Single_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/CacheEventQueueFactoryUnitTest.java,,,,assert,unknown,standard,assertNotNull
jcs3_14_2,commons-jcs3,CacheEventQueueFactoryUnitTest,testCreateCacheEventQueue_Single_2_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/CacheEventQueueFactoryUnitTest.java,,,,assert,unknown,standard,assertTrue
jcs3_15_1,commons-jcs3,CacheEventQueueFactoryUnitTest,testCreateCacheEventQueue_Pooled_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/CacheEventQueueFactoryUnitTest.java,,,,assert,unknown,standard,assertNotNull
jcs3_15_2,commons-jcs3,CacheEventQueueFactoryUnitTest,testCreateCacheEventQueue_Pooled_2_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/CacheEventQueueFactoryUnitTest.java,,,,assert,unknown,standard,assertTrue
jcs3_16_1,commons-jcs3,SystemPropertyUsageUnitTest,testSystemPropertyUsage_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/SystemPropertyUsageUnitTest.java,,,,assert,unknown,standard,assertEquals
jcs3_17_1,commons-jcs3,SystemPropertyUsageUnitTest,testSystemPropertyUsage_inactive_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/SystemPropertyUsageUnitTest.java,,,,assert,unknown,standard,assertEquals
jcs3_18_1,commons-jcs3,ZombieCacheServiceNonLocalUnitTest,testUpdateThenWalk_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/ZombieCacheServiceNonLocalUnitTest.java,,,,assert,unknown,standard,assertEquals
jcs3_19_1,commons-jcs3,ZombieCacheServiceNonLocalUnitTest,testUpdateThenWalk_zeroSize_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/ZombieCacheServiceNonLocalUnitTest.java,,,,assert,unknown,standard,assertNull
jcs3_20_1,commons-jcs3,ZombieCacheServiceNonLocalUnitTest,testRemoveThenWalk_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/ZombieCacheServiceNonLocalUnitTest.java,,,,assert,unknown,standard,assertEquals
jcs3_21_1,commons-jcs3,ZombieCacheServiceNonLocalUnitTest,testRemoveAllThenWalk_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/ZombieCacheServiceNonLocalUnitTest.java,,,,assert,unknown,standard,assertEquals
jcs3_22_1,commons-jcs3,CacheEventLoggerDebugLoggerUnitTest,testLogICacheEvent_normal_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/logging/CacheEventLoggerDebugLoggerUnitTest.java,,,,assert,unknown,standard,assertTrue
jcs3_22_2,commons-jcs3,CacheEventLoggerDebugLoggerUnitTest,testLogICacheEvent_normal_2_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/logging/CacheEventLoggerDebugLoggerUnitTest.java,,,,assert,unknown,standard,assertTrue
jcs3_22_3,commons-jcs3,CacheEventLoggerDebugLoggerUnitTest,testLogICacheEvent_normal_3_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/logging/CacheEventLoggerDebugLoggerUnitTest.java,,,,assert,unknown,standard,assertTrue
jcs3_22_4,commons-jcs3,CacheEventLoggerDebugLoggerUnitTest,testLogICacheEvent_normal_4_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/logging/CacheEventLoggerDebugLoggerUnitTest.java,,,,assert,unknown,standard,assertTrue
jcs3_22_5,commons-jcs3,CacheEventLoggerDebugLoggerUnitTest,testLogICacheEvent_normal_5_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/logging/CacheEventLoggerDebugLoggerUnitTest.java,,,,assert,unknown,standard,assertTrue
jcs3_23_1,commons-jcs3,CacheEventLoggerDebugLoggerUnitTest,testLogApplicationEvent_normal_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/logging/CacheEventLoggerDebugLoggerUnitTest.java,,,,assert,unknown,standard,assertTrue
jcs3_23_2,commons-jcs3,CacheEventLoggerDebugLoggerUnitTest,testLogApplicationEvent_normal_2_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/logging/CacheEventLoggerDebugLoggerUnitTest.java,,,,assert,unknown,standard,assertTrue
jcs3_23_3,commons-jcs3,CacheEventLoggerDebugLoggerUnitTest,testLogApplicationEvent_normal_3_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/logging/CacheEventLoggerDebugLoggerUnitTest.java,,,,assert,unknown,standard,assertTrue
jcs3_24_1,commons-jcs3,CacheEventLoggerDebugLoggerUnitTest,testLogError_normal_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/logging/CacheEventLoggerDebugLoggerUnitTest.java,,,,assert,unknown,standard,assertTrue
