id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
jcs3_left_1_1,commons-jcs3,TestTCPLateralCache,runTestForRegion_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/TestTCPLateralCache.java,,,,assert,unknown,standard,assertEquals
jcs3_left_1_2,commons-jcs3,TestTCPLateralCache,runTestForRegion_2_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/TestTCPLateralCache.java,,,,assert,unknown,standard,assertNull
jcs3_left_9_1,commons-jcs3,RemovalTestUtil,runTestPutThenRemoveCategorical_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/RemovalTestUtil.java,,,,assert,unknown,standard,assertNotNull
jcs3_left_9_2,commons-jcs3,RemovalTestUtil,runTestPutThenRemoveCategorical_2_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/RemovalTestUtil.java,,,,assert,unknown,standard,assertNull
jcs3_left_10_1,commons-jcs3,RemovalTestUtil,runPutInRange_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/RemovalTestUtil.java,,,,assert,unknown,standard,assertNotNull
jcs3_left_11_1,commons-jcs3,RemovalTestUtil,runGetInRange_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/RemovalTestUtil.java,,,,assert,unknown,standard,assertNotNull
jcs3_left_26_1,commons-jcs3,EventQueueConcurrentLoadTest,runPutTest_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/EventQueueConcurrentLoadTest.java,,,,assert,unknown,standard,assertTrue
jcs3_left_27_1,commons-jcs3,EventQueueConcurrentLoadTest,runPutDelayTest_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/EventQueueConcurrentLoadTest.java,,,,assert,unknown,standard,assertTrue
jcs3_left_104_1,commons-jcs3,LRUMemoryCacheConcurrentUnitTest,runTestForRegion_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/memory/lru/LRUMemoryCacheConcurrentUnitTest.java,,,,assert,unknown,standard,assertNull
jcs3_left_104_2,commons-jcs3,LRUMemoryCacheConcurrentUnitTest,runTestForRegion_2_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/memory/lru/LRUMemoryCacheConcurrentUnitTest.java,,,,assert,unknown,standard,assertEquals
jcs3_left_104_3,commons-jcs3,LRUMemoryCacheConcurrentUnitTest,runTestForRegion_3_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/memory/lru/LRUMemoryCacheConcurrentUnitTest.java,,,,assert,unknown,standard,assertNull
jcs3_left_104_4,commons-jcs3,LRUMemoryCacheConcurrentUnitTest,runTestForRegion_4_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/memory/lru/LRUMemoryCacheConcurrentUnitTest.java,,,,assert,unknown,standard,assertNotNull
jcs3_left_104_5,commons-jcs3,LRUMemoryCacheConcurrentUnitTest,runTestForRegion_5_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/memory/lru/LRUMemoryCacheConcurrentUnitTest.java,,,,assert,unknown,standard,assertEquals
jcs3_left_104_6,commons-jcs3,LRUMemoryCacheConcurrentUnitTest,runTestForRegion_6_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/memory/lru/LRUMemoryCacheConcurrentUnitTest.java,,,,assert,unknown,standard,assertNull
jcs3_left_113_1,commons-jcs3,LHMLRUMemoryCacheConcurrentUnitTest,runTestForRegion_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/memory/lru/LHMLRUMemoryCacheConcurrentUnitTest.java,,,,assert,unknown,standard,assertNull
jcs3_left_113_2,commons-jcs3,LHMLRUMemoryCacheConcurrentUnitTest,runTestForRegion_2_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/memory/lru/LHMLRUMemoryCacheConcurrentUnitTest.java,,,,assert,unknown,standard,assertEquals
jcs3_left_113_3,commons-jcs3,LHMLRUMemoryCacheConcurrentUnitTest,runTestForRegion_3_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/memory/lru/LHMLRUMemoryCacheConcurrentUnitTest.java,,,,assert,unknown,standard,assertNull
jcs3_left_113_4,commons-jcs3,LHMLRUMemoryCacheConcurrentUnitTest,runTestForRegion_4_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/memory/lru/LHMLRUMemoryCacheConcurrentUnitTest.java,,,,assert,unknown,standard,assertNotNull
jcs3_left_113_5,commons-jcs3,LHMLRUMemoryCacheConcurrentUnitTest,runTestForRegion_5_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/memory/lru/LHMLRUMemoryCacheConcurrentUnitTest.java,,,,assert,unknown,standard,assertEquals
jcs3_left_113_6,commons-jcs3,LHMLRUMemoryCacheConcurrentUnitTest,runTestForRegion_6_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/engine/memory/lru/LHMLRUMemoryCacheConcurrentUnitTest.java,,,,assert,unknown,standard,assertNull
jcs3_left_148_1,commons-jcs3,LRUMapConcurrentUnitTest,runConcurrentPutGetTests_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/utils/struct/LRUMapConcurrentUnitTest.java,,,,assert,unknown,standard,assertNotNull
jcs3_left_149_1,commons-jcs3,LRUMapConcurrentUnitTest,runConcurrentRangeTests_1_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/utils/struct/LRUMapConcurrentUnitTest.java,,,,assert,unknown,standard,assertNotNull
jcs3_left_149_2,commons-jcs3,LRUMapConcurrentUnitTest,runConcurrentRangeTests_2_oe,commons-jcs-core/src/test/java/org/apache/commons/jcs3/utils/struct/LRUMapConcurrentUnitTest.java,,,,assert,unknown,standard,assertNull
