id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
jexl_5_7,commons-jexl3,PropertyAccessTest,testErroneousIdentifier_7_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,assertEquals
jexl_5_8,commons-jexl3,PropertyAccessTest,testErroneousIdentifier_8_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,assertEquals
jexl_6_2,commons-jexl3,PropertyAccessTest,test250_2_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,assertNull
jexl_6_4,commons-jexl3,PropertyAccessTest,test250_4_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,fail
jexl_6_5,commons-jexl3,PropertyAccessTest,test250_5_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,assertNull
jexl_6_7,commons-jexl3,PropertyAccessTest,test250_7_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,assertNull
jexl_6_9,commons-jexl3,PropertyAccessTest,test250_9_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,assertNull
jexl_6_11,commons-jexl3,PropertyAccessTest,test250_11_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,assertNull
jexl_6_13,commons-jexl3,PropertyAccessTest,test250_13_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,assertNull
jexl_7_1,commons-jexl3,PropertyAccessTest,test275a_1_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,fail
jexl_7_7,commons-jexl3,PropertyAccessTest,test275a_7_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,standard,fail
jexl_13_1,commons-jexl3,Issues200Test,test210_1_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,assert,unknown,standard,fail
jexl_14_3,commons-jexl3,Issues200Test,test217_3_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,assert,unknown,standard,fail
jexl_19_1,commons-jexl3,Issues200Test,test243a_1_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,assert,unknown,standard,fail
jexl_20_2,commons-jexl3,Issues200Test,test245_2_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,assert,unknown,standard,fail
jexl_20_4,commons-jexl3,Issues200Test,test245_4_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,assert,unknown,standard,fail
jexl_21_1,commons-jexl3,Issues200Test,test256_1_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,assert,unknown,standard,fail
jexl_26_2,commons-jexl3,Issues200Test,test274_2_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,assert,unknown,standard,fail
jexl_26_4,commons-jexl3,Issues200Test,test274_4_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,assert,unknown,standard,fail
jexl_27_1,commons-jexl3,Issues200Test,test275a_1_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,assert,unknown,standard,fail
jexl_28_1,commons-jexl3,Issues200Test,test275b_1_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,assert,unknown,standard,assertNull
jexl_29_1,commons-jexl3,Issues200Test,test275c_1_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,assert,unknown,standard,assertEquals
jexl_30_1,commons-jexl3,Issues200Test,test275d_1_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,assert,unknown,standard,assertNull
jexl_31_1,commons-jexl3,Issues200Test,test278_1_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,assert,unknown,standard,fail
jexl_32_1,commons-jexl3,Issues200Test,test279_1_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,assert,unknown,standard,fail
jexl_32_2,commons-jexl3,Issues200Test,test279_2_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,assert,unknown,standard,assertNull
jexl_38_6,commons-jexl3,Issues200Test,test287_6_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,assert,unknown,standard,fail
jexl_40_1,commons-jexl3,Issues200Test,test290a_1_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,assert,unknown,standard,fail
jexl_40_2,commons-jexl3,Issues200Test,test290a_2_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,assert,unknown,standard,assertNull
jexl_48_1,commons-jexl3,Issues100Test,test106_1_oe,src/test/java/org/apache/commons/jexl3/Issues100Test.java,,,,assert,unknown,standard,assertNotNull
jexl_48_3,commons-jexl3,Issues100Test,test106_3_oe,src/test/java/org/apache/commons/jexl3/Issues100Test.java,,,,assert,unknown,standard,fail
jexl_64_1,commons-jexl3,Issues100Test,test144_1_oe,src/test/java/org/apache/commons/jexl3/Issues100Test.java,,,,assert,unknown,standard,fail
jexl_65_9,commons-jexl3,Issues100Test,test144a_9_oe,src/test/java/org/apache/commons/jexl3/Issues100Test.java,,,,assert,unknown,standard,fail
jexl_89_1,commons-jexl3,JXLTTest,testMalformed_1_oe,src/test/java/org/apache/commons/jexl3/JXLTTest.java,,,,assert,unknown,standard,fail
jexl_90_1,commons-jexl3,JXLTTest,testMalformedNested_1_oe,src/test/java/org/apache/commons/jexl3/JXLTTest.java,,,,assert,unknown,standard,fail
jexl_91_1,commons-jexl3,JXLTTest,testMalformedNested2_1_oe,src/test/java/org/apache/commons/jexl3/JXLTTest.java,,,,assert,unknown,standard,fail
jexl_92_1,commons-jexl3,JXLTTest,testBadContextNested_1_oe,src/test/java/org/apache/commons/jexl3/JXLTTest.java,,,,assert,unknown,standard,fail
