id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
commons-jexl3_6_101,commons-jexl3,PropertyAccessTest,test250_oe_101_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,multiple,unknown,standard,
commons-jexl3_6_102,commons-jexl3,PropertyAccessTest,test250_oe_102_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,multiple,unknown,standard,
commons-jexl3_6_103,commons-jexl3,PropertyAccessTest,test250_oe_103_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,multiple,unknown,standard,
commons-jexl3_6_104,commons-jexl3,PropertyAccessTest,test250_oe_104_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,multiple,unknown,standard,
commons-jexl3_6_105,commons-jexl3,PropertyAccessTest,test250_oe_105_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,multiple,unknown,standard,
commons-jexl3_6_106,commons-jexl3,PropertyAccessTest,test250_oe_106_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,multiple,unknown,standard,
commons-jexl3_7_101,commons-jexl3,PropertyAccessTest,test275a_oe_101_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,multiple,unknown,standard,
commons-jexl3_7_102,commons-jexl3,PropertyAccessTest,test275a_oe_102_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,multiple,unknown,standard,
commons-jexl3_13_101,commons-jexl3,Issues200Test,test210_oe_101_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,multiple,unknown,standard,
commons-jexl3_14_101,commons-jexl3,Issues200Test,test217_oe_101_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,multiple,unknown,standard,
commons-jexl3_19_101,commons-jexl3,Issues200Test,test243a_oe_101_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,multiple,unknown,standard,
commons-jexl3_20_101,commons-jexl3,Issues200Test,test245_oe_101_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,multiple,unknown,standard,
commons-jexl3_20_102,commons-jexl3,Issues200Test,test245_oe_102_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,multiple,unknown,standard,
commons-jexl3_21_101,commons-jexl3,Issues200Test,test256_oe_101_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,multiple,unknown,standard,
commons-jexl3_26_101,commons-jexl3,Issues200Test,test274_oe_101_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,multiple,unknown,standard,
commons-jexl3_26_102,commons-jexl3,Issues200Test,test274_oe_102_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,multiple,unknown,standard,
commons-jexl3_27_101,commons-jexl3,Issues200Test,test275a_oe_101_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,multiple,unknown,standard,
commons-jexl3_31_101,commons-jexl3,Issues200Test,test278_oe_101_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,multiple,unknown,standard,
commons-jexl3_38_101,commons-jexl3,Issues200Test,test287_oe_101_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,multiple,unknown,standard,
commons-jexl3_38_102,commons-jexl3,Issues200Test,test287_oe_102_oe,src/test/java/org/apache/commons/jexl3/Issues200Test.java,,,,multiple,unknown,standard,
commons-jexl3_48_101,commons-jexl3,Issues100Test,test106_oe_101_oe,src/test/java/org/apache/commons/jexl3/Issues100Test.java,,,,multiple,unknown,standard,
commons-jexl3_48_102,commons-jexl3,Issues100Test,test106_oe_102_oe,src/test/java/org/apache/commons/jexl3/Issues100Test.java,,,,multiple,unknown,standard,
commons-jexl3_64_101,commons-jexl3,Issues100Test,test144_oe_101_oe,src/test/java/org/apache/commons/jexl3/Issues100Test.java,,,,multiple,unknown,standard,
commons-jexl3_65_101,commons-jexl3,Issues100Test,test144a_oe_101_oe,src/test/java/org/apache/commons/jexl3/Issues100Test.java,,,,multiple,unknown,standard,
commons-jexl3_125_101,commons-jexl3,JXLTTest,testTemplatePragmaPro50_oe_101_oe,src/test/java/org/apache/commons/jexl3/JXLTTest.java,,,,multiple,unknown,standard,
commons-jexl3_126_101,commons-jexl3,JXLTTest,testTemplateOutOfScope_oe_101_oe,src/test/java/org/apache/commons/jexl3/JXLTTest.java,,,,multiple,unknown,standard,
commons-jexl3_126_102,commons-jexl3,JXLTTest,testTemplateOutOfScope_oe_102_oe,src/test/java/org/apache/commons/jexl3/JXLTTest.java,,,,multiple,unknown,standard,
commons-jexl3_142_101,commons-jexl3,AntishCallTest,testAntishArithmetic_oe_101_oe,src/test/java/org/apache/commons/jexl3/AntishCallTest.java,,,,multiple,unknown,standard,
commons-jexl3_143_101,commons-jexl3,AntishCallTest,testSafeAnt_oe_101_oe,src/test/java/org/apache/commons/jexl3/AntishCallTest.java,,,,multiple,unknown,standard,
commons-jexl3_143_102,commons-jexl3,AntishCallTest,testSafeAnt_oe_102_oe,src/test/java/org/apache/commons/jexl3/AntishCallTest.java,,,,multiple,unknown,standard,
commons-jexl3_143_103,commons-jexl3,AntishCallTest,testSafeAnt_oe_103_oe,src/test/java/org/apache/commons/jexl3/AntishCallTest.java,,,,multiple,unknown,standard,
commons-jexl3_143_104,commons-jexl3,AntishCallTest,testSafeAnt_oe_104_oe,src/test/java/org/apache/commons/jexl3/AntishCallTest.java,,,,multiple,unknown,standard,
commons-jexl3_143_105,commons-jexl3,AntishCallTest,testSafeAnt_oe_105_oe,src/test/java/org/apache/commons/jexl3/AntishCallTest.java,,,,multiple,unknown,standard,
commons-jexl3_145_101,commons-jexl3,IssuesTest,test48_oe_101_oe,src/test/java/org/apache/commons/jexl3/IssuesTest.java,,,,multiple,unknown,standard,
commons-jexl3_150_101,commons-jexl3,IssuesTest,test11_oe_101_oe,src/test/java/org/apache/commons/jexl3/IssuesTest.java,,,,multiple,unknown,standard,
commons-jexl3_153_101,commons-jexl3,IssuesTest,test90_oe_101_oe,src/test/java/org/apache/commons/jexl3/IssuesTest.java,,,,multiple,unknown,standard,
commons-jexl3_165_101,commons-jexl3,AssignTest,testRejectLocal_oe_101_oe,src/test/java/org/apache/commons/jexl3/AssignTest.java,,,,multiple,unknown,standard,
commons-jexl3_221_101,commons-jexl3,JexlTest,testBadParse_oe_101_oe,src/test/java/org/apache/commons/jexl3/JexlTest.java,,,,multiple,unknown,standard,
commons-jexl3_259_101,commons-jexl3,ContextNamespaceTest,testObjectContext_oe_101_oe,src/test/java/org/apache/commons/jexl3/ContextNamespaceTest.java,,,,multiple,unknown,standard,
commons-jexl3_259_102,commons-jexl3,ContextNamespaceTest,testObjectContext_oe_102_oe,src/test/java/org/apache/commons/jexl3/ContextNamespaceTest.java,,,,multiple,unknown,standard,
commons-jexl3_265_101,commons-jexl3,PragmaTest,SuppressWarnings_oe_101_oe,src/test/java/org/apache/commons/jexl3/PragmaTest.java,,,,multiple,unknown,standard,
commons-jexl3_271_101,commons-jexl3,AnnotationTest,testVarStmt_oe_101_oe,src/test/java/org/apache/commons/jexl3/AnnotationTest.java,,,,multiple,unknown,standard,
commons-jexl3_271_102,commons-jexl3,AnnotationTest,testVarStmt_oe_102_oe,src/test/java/org/apache/commons/jexl3/AnnotationTest.java,,,,multiple,unknown,standard,
commons-jexl3_271_103,commons-jexl3,AnnotationTest,testVarStmt_oe_103_oe,src/test/java/org/apache/commons/jexl3/AnnotationTest.java,,,,multiple,unknown,standard,
commons-jexl3_271_104,commons-jexl3,AnnotationTest,testVarStmt_oe_104_oe,src/test/java/org/apache/commons/jexl3/AnnotationTest.java,,,,multiple,unknown,standard,
commons-jexl3_280_101,commons-jexl3,ExceptionTest,testWrappedEx_oe_101_oe,src/test/java/org/apache/commons/jexl3/ExceptionTest.java,,,,multiple,unknown,standard,
commons-jexl3_281_101,commons-jexl3,ExceptionTest,testWrappedExmore_oe_101_oe,src/test/java/org/apache/commons/jexl3/ExceptionTest.java,,,,multiple,unknown,standard,
commons-jexl3_281_102,commons-jexl3,ExceptionTest,testWrappedExmore_oe_102_oe,src/test/java/org/apache/commons/jexl3/ExceptionTest.java,,,,multiple,unknown,standard,
commons-jexl3_281_103,commons-jexl3,ExceptionTest,testWrappedExmore_oe_103_oe,src/test/java/org/apache/commons/jexl3/ExceptionTest.java,,,,multiple,unknown,standard,
commons-jexl3_281_104,commons-jexl3,ExceptionTest,testWrappedExmore_oe_104_oe,src/test/java/org/apache/commons/jexl3/ExceptionTest.java,,,,multiple,unknown,standard,
commons-jexl3_281_105,commons-jexl3,ExceptionTest,testWrappedExmore_oe_105_oe,src/test/java/org/apache/commons/jexl3/ExceptionTest.java,,,,multiple,unknown,standard,
commons-jexl3_281_106,commons-jexl3,ExceptionTest,testWrappedExmore_oe_106_oe,src/test/java/org/apache/commons/jexl3/ExceptionTest.java,,,,multiple,unknown,standard,
commons-jexl3_282_101,commons-jexl3,ExceptionTest,testEx_oe_101_oe,src/test/java/org/apache/commons/jexl3/ExceptionTest.java,,,,multiple,unknown,standard,
commons-jexl3_282_102,commons-jexl3,ExceptionTest,testEx_oe_102_oe,src/test/java/org/apache/commons/jexl3/ExceptionTest.java,,,,multiple,unknown,standard,
commons-jexl3_282_103,commons-jexl3,ExceptionTest,testEx_oe_103_oe,src/test/java/org/apache/commons/jexl3/ExceptionTest.java,,,,multiple,unknown,standard,
commons-jexl3_282_104,commons-jexl3,ExceptionTest,testEx_oe_104_oe,src/test/java/org/apache/commons/jexl3/ExceptionTest.java,,,,multiple,unknown,standard,
commons-jexl3_283_101,commons-jexl3,ExceptionTest,testExVar_oe_101_oe,src/test/java/org/apache/commons/jexl3/ExceptionTest.java,,,,multiple,unknown,standard,
commons-jexl3_283_102,commons-jexl3,ExceptionTest,testExVar_oe_102_oe,src/test/java/org/apache/commons/jexl3/ExceptionTest.java,,,,multiple,unknown,standard,
commons-jexl3_284_101,commons-jexl3,ExceptionTest,testExMethod_oe_101_oe,src/test/java/org/apache/commons/jexl3/ExceptionTest.java,,,,multiple,unknown,standard,
commons-jexl3_284_102,commons-jexl3,ExceptionTest,testExMethod_oe_102_oe,src/test/java/org/apache/commons/jexl3/ExceptionTest.java,,,,multiple,unknown,standard,
commons-jexl3_285_101,commons-jexl3,ScriptCallableTest,testFuture_oe_101_oe,src/test/java/org/apache/commons/jexl3/ScriptCallableTest.java,,,,multiple,unknown,standard,
commons-jexl3_286_101,commons-jexl3,ScriptCallableTest,testCallableCancel_oe_101_oe,src/test/java/org/apache/commons/jexl3/ScriptCallableTest.java,,,,multiple,unknown,standard,
commons-jexl3_287_101,commons-jexl3,ScriptCallableTest,testCallableCancellation_oe_101_oe,src/test/java/org/apache/commons/jexl3/ScriptCallableTest.java,,,,multiple,unknown,standard,
commons-jexl3_288_101,commons-jexl3,ScriptCallableTest,testCallableTimeout_oe_101_oe,src/test/java/org/apache/commons/jexl3/ScriptCallableTest.java,,,,multiple,unknown,standard,
commons-jexl3_289_101,commons-jexl3,ScriptCallableTest,testCallableClosure_oe_101_oe,src/test/java/org/apache/commons/jexl3/ScriptCallableTest.java,,,,multiple,unknown,standard,
commons-jexl3_292_101,commons-jexl3,ScriptCallableTest,testCancelWait_oe_101_oe,src/test/java/org/apache/commons/jexl3/ScriptCallableTest.java,,,,multiple,unknown,standard,
commons-jexl3_293_101,commons-jexl3,ScriptCallableTest,testCancelWaitInterrupt_oe_101_oe,src/test/java/org/apache/commons/jexl3/ScriptCallableTest.java,,,,multiple,unknown,standard,
commons-jexl3_294_101,commons-jexl3,ScriptCallableTest,testCancelForever_oe_101_oe,src/test/java/org/apache/commons/jexl3/ScriptCallableTest.java,,,,multiple,unknown,standard,
