id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version
lang_288_1,commons-lang3-3.12.0-src,StreamsTest,simpleStreamForEachFailing_1_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown
lang_288_2,commons-lang3-3.12.0-src,StreamsTest,simpleStreamForEachFailing_2_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown
lang_288_3,commons-lang3-3.12.0-src,StreamsTest,simpleStreamForEachFailing_3_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown
lang_288_4,commons-lang3-3.12.0-src,StreamsTest,simpleStreamForEachFailing_4_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown
lang_288_5,commons-lang3-3.12.0-src,StreamsTest,simpleStreamForEachFailing_5_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown
lang_288_6,commons-lang3-3.12.0-src,StreamsTest,simpleStreamForEachFailing_6_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown
lang_289_1,commons-lang3-3.12.0-src,StreamsTest,simpleStreamFilterFailing_1_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown
lang_289_2,commons-lang3-3.12.0-src,StreamsTest,simpleStreamFilterFailing_2_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown
lang_289_3,commons-lang3-3.12.0-src,StreamsTest,simpleStreamFilterFailing_3_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown
lang_289_4,commons-lang3-3.12.0-src,StreamsTest,simpleStreamFilterFailing_4_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown
lang_289_5,commons-lang3-3.12.0-src,StreamsTest,simpleStreamFilterFailing_5_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown
lang_289_6,commons-lang3-3.12.0-src,StreamsTest,simpleStreamFilterFailing_6_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown
lang_309_25,commons-lang3-3.12.0-src,ClassUtilsTest,test_getCanonicalName_Class_25_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown
lang_310_25,commons-lang3-3.12.0-src,ClassUtilsTest,test_getCanonicalName_Class_String_25_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown
lang_311_25,commons-lang3-3.12.0-src,ClassUtilsTest,test_getName_Class_25_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown
lang_312_5,commons-lang3-3.12.0-src,ClassUtilsTest,test_getName_Object_5_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown
lang_313_6,commons-lang3-3.12.0-src,ClassUtilsTest,test_getPackageCanonicalName_Class_6_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown
lang_314_7,commons-lang3-3.12.0-src,ClassUtilsTest,test_getPackageCanonicalName_Object_7_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown
lang_316_16,commons-lang3-3.12.0-src,ClassUtilsTest,test_getPackageName_Class_16_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown
lang_319_6,commons-lang3-3.12.0-src,ClassUtilsTest,test_getShortCanonicalName_Class_6_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown
lang_320_7,commons-lang3-3.12.0-src,ClassUtilsTest,test_getShortCanonicalName_Object_7_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown
lang_322_25,commons-lang3-3.12.0-src,ClassUtilsTest,test_getShortClassName_Class_25_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown
lang_323_5,commons-lang3-3.12.0-src,ClassUtilsTest,test_getShortClassName_Object_5_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown
lang_325_25,commons-lang3-3.12.0-src,ClassUtilsTest,test_getSimpleName_Class_25_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown
lang_337_3,commons-lang3-3.12.0-src,ClassUtilsTest,test_isInnerClass_Class_3_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown
lang_385_22,commons-lang3-3.12.0-src,StringUtilsEqualsIndexOfTest,testLastIndexOf_charInt_22_oe,src/test/java/org/apache/commons/lang3/StringUtilsEqualsIndexOfTest.java,,,,assert,unknown
lang_679_7,commons-lang3-3.12.0-src,StringUtilsTest,testToRootLowerCase_7_oe,src/test/java/org/apache/commons/lang3/StringUtilsTest.java,,,,assert,unknown
lang_680_7,commons-lang3-3.12.0-src,StringUtilsTest,testToRootUpperCase_7_oe,src/test/java/org/apache/commons/lang3/StringUtilsTest.java,,,,assert,unknown
lang_725_17,commons-lang3-3.12.0-src,ArrayUtilsTest,testGetLength_17_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown
lang_725_18,commons-lang3-3.12.0-src,ArrayUtilsTest,testGetLength_18_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown
lang_725_19,commons-lang3-3.12.0-src,ArrayUtilsTest,testGetLength_19_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown
lang_725_20,commons-lang3-3.12.0-src,ArrayUtilsTest,testGetLength_20_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown
lang_725_21,commons-lang3-3.12.0-src,ArrayUtilsTest,testGetLength_21_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown
lang_725_22,commons-lang3-3.12.0-src,ArrayUtilsTest,testGetLength_22_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown
lang_725_23,commons-lang3-3.12.0-src,ArrayUtilsTest,testGetLength_23_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown
lang_725_24,commons-lang3-3.12.0-src,ArrayUtilsTest,testGetLength_24_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown
lang_725_25,commons-lang3-3.12.0-src,ArrayUtilsTest,testGetLength_25_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown
lang_725_26,commons-lang3-3.12.0-src,ArrayUtilsTest,testGetLength_26_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown
