id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version
lang_80_1,commons-lang3-3.12.0-src,CharsetsTestCase,testToCharset_Charset_1_oe,src/test/java/org/apache/commons/lang3/CharsetsTestCase.java,,,,assert,unknown
lang_80_2,commons-lang3-3.12.0-src,CharsetsTestCase,testToCharset_Charset_2_oe,src/test/java/org/apache/commons/lang3/CharsetsTestCase.java,,,,assert,unknown
lang_80_3,commons-lang3-3.12.0-src,CharsetsTestCase,testToCharset_Charset_3_oe,src/test/java/org/apache/commons/lang3/CharsetsTestCase.java,,,,assert,unknown
lang_81_1,commons-lang3-3.12.0-src,CharsetsTestCase,testToCharset_String_1_oe,src/test/java/org/apache/commons/lang3/CharsetsTestCase.java,,,,assert,unknown
lang_81_2,commons-lang3-3.12.0-src,CharsetsTestCase,testToCharset_String_2_oe,src/test/java/org/apache/commons/lang3/CharsetsTestCase.java,,,,assert,unknown
lang_81_3,commons-lang3-3.12.0-src,CharsetsTestCase,testToCharset_String_3_oe,src/test/java/org/apache/commons/lang3/CharsetsTestCase.java,,,,assert,unknown
lang_82_1,commons-lang3-3.12.0-src,CharsetsTestCase,testToCharsetName_1_oe,src/test/java/org/apache/commons/lang3/CharsetsTestCase.java,,,,assert,unknown
lang_82_2,commons-lang3-3.12.0-src,CharsetsTestCase,testToCharsetName_2_oe,src/test/java/org/apache/commons/lang3/CharsetsTestCase.java,,,,assert,unknown
lang_83_1,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnumMap_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_83_2,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnumMap_2_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_83_3,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnumMap_3_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_83_4,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnumMap_4_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_83_5,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnumMap_5_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_83_6,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnumMap_6_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_83_7,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnumMap_7_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_83_8,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnumMap_8_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_83_9,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnumMap_9_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_84_1,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnumList_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_84_2,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnumList_2_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_84_3,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnumList_3_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_84_4,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnumList_4_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_85_1,commons-lang3-3.12.0-src,EnumUtilsTest,test_isValidEnum_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_85_2,commons-lang3-3.12.0-src,EnumUtilsTest,test_isValidEnum_2_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_85_3,commons-lang3-3.12.0-src,EnumUtilsTest,test_isValidEnum_3_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_85_4,commons-lang3-3.12.0-src,EnumUtilsTest,test_isValidEnum_4_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_85_5,commons-lang3-3.12.0-src,EnumUtilsTest,test_isValidEnum_5_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_86_1,commons-lang3-3.12.0-src,EnumUtilsTest,test_isValidEnum_nullClass_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_87_1,commons-lang3-3.12.0-src,EnumUtilsTest,test_isValidEnumIgnoreCase_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_87_2,commons-lang3-3.12.0-src,EnumUtilsTest,test_isValidEnumIgnoreCase_2_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_87_3,commons-lang3-3.12.0-src,EnumUtilsTest,test_isValidEnumIgnoreCase_3_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_87_4,commons-lang3-3.12.0-src,EnumUtilsTest,test_isValidEnumIgnoreCase_4_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_87_5,commons-lang3-3.12.0-src,EnumUtilsTest,test_isValidEnumIgnoreCase_5_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_88_1,commons-lang3-3.12.0-src,EnumUtilsTest,test_isValidEnumIgnoreCase_nullClass_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_89_1,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnum_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_89_2,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnum_2_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_89_3,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnum_3_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_89_4,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnum_4_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_89_5,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnum_5_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_90_1,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnum_nonEnumClass_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_91_1,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnum_nullClass_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_92_1,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnum_defaultEnum_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
lang_92_2,commons-lang3-3.12.0-src,EnumUtilsTest,test_getEnum_defaultEnum_2_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown
