id,test_prefix,test_name
lang_58_2,"    @Test
    public void testContainsNullArg_2_oe() {
        final CharRange range = CharRange.is('a');
        // removed other assertion
        assertEquals(""range"", e.getMessage());
    }
",CharRangeTest::testContainsNullArg_2_oe
lang_59_4,"    @Test
    public void testIterator_4_oe() {
        final CharRange a = CharRange.is('a');
        final CharRange ad = CharRange.isIn('a', 'd');
        final CharRange nota = CharRange.isNot('a');
        final CharRange emptySet = CharRange.isNotIn((char) 0, Character.MAX_VALUE);
        final CharRange notFirst = CharRange.isNotIn((char) 1, Character.MAX_VALUE);
        final CharRange notLast = CharRange.isNotIn((char) 0, (char) (Character.MAX_VALUE - 1));

        final Iterator<Character> aIt = a.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertFalse(aIt.hasNext());
    }
",CharRangeTest::testIterator_4_oe
lang_59_8,"    @Test
    public void testIterator_8_oe() {
        final CharRange a = CharRange.is('a');
        final CharRange ad = CharRange.isIn('a', 'd');
        final CharRange nota = CharRange.isNot('a');
        final CharRange emptySet = CharRange.isNotIn((char) 0, Character.MAX_VALUE);
        final CharRange notFirst = CharRange.isNotIn((char) 1, Character.MAX_VALUE);
        final CharRange notLast = CharRange.isNotIn((char) 0, (char) (Character.MAX_VALUE - 1));

        final Iterator<Character> aIt = a.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final Iterator<Character> adIt = ad.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEquals(Character.valueOf('b'), adIt.next());
    }
",CharRangeTest::testIterator_8_oe
lang_59_9,"    @Test
    public void testIterator_9_oe() {
        final CharRange a = CharRange.is('a');
        final CharRange ad = CharRange.isIn('a', 'd');
        final CharRange nota = CharRange.isNot('a');
        final CharRange emptySet = CharRange.isNotIn((char) 0, Character.MAX_VALUE);
        final CharRange notFirst = CharRange.isNotIn((char) 1, Character.MAX_VALUE);
        final CharRange notLast = CharRange.isNotIn((char) 0, (char) (Character.MAX_VALUE - 1));

        final Iterator<Character> aIt = a.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final Iterator<Character> adIt = ad.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEquals(Character.valueOf('c'), adIt.next());
    }
",CharRangeTest::testIterator_9_oe
lang_59_10,"    @Test
    public void testIterator_10_oe() {
        final CharRange a = CharRange.is('a');
        final CharRange ad = CharRange.isIn('a', 'd');
        final CharRange nota = CharRange.isNot('a');
        final CharRange emptySet = CharRange.isNotIn((char) 0, Character.MAX_VALUE);
        final CharRange notFirst = CharRange.isNotIn((char) 1, Character.MAX_VALUE);
        final CharRange notLast = CharRange.isNotIn((char) 0, (char) (Character.MAX_VALUE - 1));

        final Iterator<Character> aIt = a.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final Iterator<Character> adIt = ad.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEquals(Character.valueOf('d'), adIt.next());
    }
",CharRangeTest::testIterator_10_oe
lang_59_11,"    @Test
    public void testIterator_11_oe() {
        final CharRange a = CharRange.is('a');
        final CharRange ad = CharRange.isIn('a', 'd');
        final CharRange nota = CharRange.isNot('a');
        final CharRange emptySet = CharRange.isNotIn((char) 0, Character.MAX_VALUE);
        final CharRange notFirst = CharRange.isNotIn((char) 1, Character.MAX_VALUE);
        final CharRange notLast = CharRange.isNotIn((char) 0, (char) (Character.MAX_VALUE - 1));

        final Iterator<Character> aIt = a.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final Iterator<Character> adIt = ad.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertFalse(adIt.hasNext());
    }
",CharRangeTest::testIterator_11_oe
lang_59_21,"    @Test
    public void testIterator_21_oe() {
        final CharRange a = CharRange.is('a');
        final CharRange ad = CharRange.isIn('a', 'd');
        final CharRange nota = CharRange.isNot('a');
        final CharRange emptySet = CharRange.isNotIn((char) 0, Character.MAX_VALUE);
        final CharRange notFirst = CharRange.isNotIn((char) 1, Character.MAX_VALUE);
        final CharRange notLast = CharRange.isNotIn((char) 0, (char) (Character.MAX_VALUE - 1));

        final Iterator<Character> aIt = a.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final Iterator<Character> adIt = ad.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final Iterator<Character> notaIt = nota.iterator();
        // removed other assertion
        // removed other assertion
        while (notaIt.hasNext()) {
            final Character c = notaIt.next();
            // removed other assertion
        }

        final Iterator<Character> emptySetIt = emptySet.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final Iterator<Character> notFirstIt = notFirst.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertFalse(notFirstIt.hasNext());
    }
",CharRangeTest::testIterator_21_oe
lang_59_22,"    @Test
    public void testIterator_22_oe() throws Exception {
        final CharRange a = CharRange.is('a');
        final CharRange ad = CharRange.isIn('a', 'd');
        final CharRange nota = CharRange.isNot('a');
        final CharRange emptySet = CharRange.isNotIn((char) 0, Character.MAX_VALUE);
        final CharRange notFirst = CharRange.isNotIn((char) 1, Character.MAX_VALUE);
        final CharRange notLast = CharRange.isNotIn((char) 0, (char) (Character.MAX_VALUE - 1));

        final Iterator<Character> aIt = a.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final Iterator<Character> adIt = ad.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final Iterator<Character> notaIt = nota.iterator();
        // removed other assertion
        // removed other assertion
        while (notaIt.hasNext()) {
            final Character c = notaIt.next();
            // removed other assertion
        }

        final Iterator<Character> emptySetIt = emptySet.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final Iterator<Character> notFirstIt = notFirst.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        try {
    notFirstIt.next();
    fail(""NoSuchElementException"");
} catch (NoSuchElementException e) {
}
    }
",CharRangeTest::testIterator_22_oe
lang_59_26,"    @Test
    public void testIterator_26_oe() {
        final CharRange a = CharRange.is('a');
        final CharRange ad = CharRange.isIn('a', 'd');
        final CharRange nota = CharRange.isNot('a');
        final CharRange emptySet = CharRange.isNotIn((char) 0, Character.MAX_VALUE);
        final CharRange notFirst = CharRange.isNotIn((char) 1, Character.MAX_VALUE);
        final CharRange notLast = CharRange.isNotIn((char) 0, (char) (Character.MAX_VALUE - 1));

        final Iterator<Character> aIt = a.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final Iterator<Character> adIt = ad.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final Iterator<Character> notaIt = nota.iterator();
        // removed other assertion
        // removed other assertion
        while (notaIt.hasNext()) {
            final Character c = notaIt.next();
            // removed other assertion
        }

        final Iterator<Character> emptySetIt = emptySet.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final Iterator<Character> notFirstIt = notFirst.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final Iterator<Character> notLastIt = notLast.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertFalse(notLastIt.hasNext());
    }
",CharRangeTest::testIterator_26_oe
lang_59_27,"    @Test
    public void testIterator_27_oe() throws Exception {
        final CharRange a = CharRange.is('a');
        final CharRange ad = CharRange.isIn('a', 'd');
        final CharRange nota = CharRange.isNot('a');
        final CharRange emptySet = CharRange.isNotIn((char) 0, Character.MAX_VALUE);
        final CharRange notFirst = CharRange.isNotIn((char) 1, Character.MAX_VALUE);
        final CharRange notLast = CharRange.isNotIn((char) 0, (char) (Character.MAX_VALUE - 1));

        final Iterator<Character> aIt = a.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final Iterator<Character> adIt = ad.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final Iterator<Character> notaIt = nota.iterator();
        // removed other assertion
        // removed other assertion
        while (notaIt.hasNext()) {
            final Character c = notaIt.next();
            // removed other assertion
        }

        final Iterator<Character> emptySetIt = emptySet.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final Iterator<Character> notFirstIt = notFirst.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        final Iterator<Character> notLastIt = notLast.iterator();
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        try {
    notLastIt.next();
    fail(""NoSuchElementException"");
} catch (NoSuchElementException e) {
}
    }
",CharRangeTest::testIterator_27_oe
