id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type
lang_3_1,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/EnumUtils.java,org.apache.commons.lang3.EnumUtils,org.apache.commons.lang3,ASSERTION_ONLY
lang_3_2,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/text/StrTokenizer.java,org.apache.commons.lang3.text.StrTokenizer,org.apache.commons.lang3.text,ASSERTION_ONLY
lang_3_3,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/EnumUtils.java,org.apache.commons.lang3.EnumUtils,org.apache.commons.lang3,ASSERTION_ONLY
lang_3_4,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/JavaVersion.java,org.apache.commons.lang3.JavaVersion,org.apache.commons.lang3,ASSERTION_ONLY
lang_3_5,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/EnumUtils.java,org.apache.commons.lang3.EnumUtils,org.apache.commons.lang3,ASSERTION_ONLY
lang_3_6,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/JavaVersion.java,org.apache.commons.lang3.JavaVersion,org.apache.commons.lang3,ASSERTION_ONLY
lang_3_7,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/EnumUtils.java,org.apache.commons.lang3.EnumUtils,org.apache.commons.lang3,ASSERTION_ONLY
lang_3_8,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/JavaVersion.java,org.apache.commons.lang3.JavaVersion,org.apache.commons.lang3,ASSERTION_ONLY
lang_3_9,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/EnumUtils.java,org.apache.commons.lang3.EnumUtils,org.apache.commons.lang3,ASSERTION_ONLY
lang_4_1,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/text/StrTokenizer.java,org.apache.commons.lang3.text.StrTokenizer,org.apache.commons.lang3.text,ASSERTION_ONLY
lang_4_2,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/JavaVersion.java,org.apache.commons.lang3.JavaVersion,org.apache.commons.lang3,ASSERTION_ONLY
lang_4_3,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/JavaVersion.java,org.apache.commons.lang3.JavaVersion,org.apache.commons.lang3,ASSERTION_ONLY
lang_4_4,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/JavaVersion.java,org.apache.commons.lang3.JavaVersion,org.apache.commons.lang3,ASSERTION_ONLY
lang_5_1,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/EnumUtils.java,org.apache.commons.lang3.EnumUtils,org.apache.commons.lang3,ASSERTION_ONLY
lang_5_2,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/EnumUtils.java,org.apache.commons.lang3.EnumUtils,org.apache.commons.lang3,ASSERTION_ONLY
lang_5_3,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/EnumUtils.java,org.apache.commons.lang3.EnumUtils,org.apache.commons.lang3,ASSERTION_ONLY
lang_5_4,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/EnumUtils.java,org.apache.commons.lang3.EnumUtils,org.apache.commons.lang3,ASSERTION_ONLY
lang_5_5,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/EnumUtils.java,org.apache.commons.lang3.EnumUtils,org.apache.commons.lang3,ASSERTION_ONLY
lang_6_1,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/EnumUtils.java,org.apache.commons.lang3.EnumUtils,org.apache.commons.lang3,MUST_THROW
lang_7_1,commons-lang3,EnumUtilsTest,,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/tasfia/Desktop/OE25-DEV/projects_decomposed/commons-lang3/src/main/java/org/apache/commons/lang3/EnumUtils.java,org.apache.commons.lang3.EnumUtils,org.apache.commons.lang3,ASSERTION_ONLY
