id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
lang_6_1,commons-lang3,EnumUtilsTest,test_isValidEnum_nullClass_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_8_1,commons-lang3,EnumUtilsTest,test_isValidEnumIgnoreCase_nullClass_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_11_1,commons-lang3,EnumUtilsTest,test_getEnum_nullClass_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_15_1,commons-lang3,EnumUtilsTest,test_getEnumIgnoreCase_nullClass_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_17_1,commons-lang3,EnumUtilsTest,test_generateBitVector_nullClass_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_18_1,commons-lang3,EnumUtilsTest,test_generateBitVectors_nullClass_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_19_1,commons-lang3,EnumUtilsTest,test_generateBitVector_nullIterable_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_20_1,commons-lang3,EnumUtilsTest,test_generateBitVectors_nullIterable_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_21_1,commons-lang3,EnumUtilsTest,test_generateBitVector_nullElement_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_22_1,commons-lang3,EnumUtilsTest,test_generateBitVectors_nullElement_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_23_1,commons-lang3,EnumUtilsTest,test_generateBitVector_nullClassWithArray_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_24_1,commons-lang3,EnumUtilsTest,test_generateBitVectors_nullClassWithArray_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_25_1,commons-lang3,EnumUtilsTest,test_generateBitVector_nullArray_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_26_1,commons-lang3,EnumUtilsTest,test_generateBitVectors_nullArray_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_27_1,commons-lang3,EnumUtilsTest,test_generateBitVector_nullArrayElement_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_28_1,commons-lang3,EnumUtilsTest,test_generateBitVectors_nullArrayElement_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_29_1,commons-lang3,EnumUtilsTest,test_generateBitVector_longClass_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_30_1,commons-lang3,EnumUtilsTest,test_generateBitVector_longClassWithArray_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_31_1,commons-lang3,EnumUtilsTest,test_generateBitVector_nonEnumClass_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_32_1,commons-lang3,EnumUtilsTest,test_generateBitVectors_nonEnumClass_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_33_1,commons-lang3,EnumUtilsTest,test_generateBitVector_nonEnumClassWithArray_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_34_1,commons-lang3,EnumUtilsTest,test_generateBitVectors_nonEnumClassWithArray_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_39_1,commons-lang3,EnumUtilsTest,test_processBitVector_nullClass_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_40_1,commons-lang3,EnumUtilsTest,test_processBitVectors_nullClass_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_43_1,commons-lang3,EnumUtilsTest,test_processBitVector_longClass_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_58_1,commons-lang3,CharRangeTest,testContainsNullArg_1_oe,src/test/java/org/apache/commons/lang3/CharRangeTest.java,,,,assert,unknown,standard,assertThrows
lang_59_17,commons-lang3,CharRangeTest,testIterator_17_oe,src/test/java/org/apache/commons/lang3/CharRangeTest.java,,,,assert,unknown,standard,assertThrows
lang_61_1,commons-lang3,CharRangeTest,testIteratorRemove_1_oe,src/test/java/org/apache/commons/lang3/CharRangeTest.java,,,,assert,unknown,standard,assertThrows
lang_72_3,commons-lang3,CharUtilsTest,testToChar_Character_3_oe,src/test/java/org/apache/commons/lang3/CharUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_74_3,commons-lang3,CharUtilsTest,testToChar_String_3_oe,src/test/java/org/apache/commons/lang3/CharUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_74_4,commons-lang3,CharUtilsTest,testToChar_String_4_oe,src/test/java/org/apache/commons/lang3/CharUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_78_11,commons-lang3,CharUtilsTest,testToIntValue_char_11_oe,src/test/java/org/apache/commons/lang3/CharUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_80_3,commons-lang3,CharUtilsTest,testToIntValue_Character_3_oe,src/test/java/org/apache/commons/lang3/CharUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_80_4,commons-lang3,CharUtilsTest,testToIntValue_Character_4_oe,src/test/java/org/apache/commons/lang3/CharUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_127_1,commons-lang3,ArrayUtilsRemoveMultipleTest,testRemoveAllBooleanArrayNegativeIndex_1_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveMultipleTest.java,,,,assert,unknown,standard,assertThrows
lang_128_1,commons-lang3,ArrayUtilsRemoveMultipleTest,testRemoveAllBooleanArrayOutOfBoundsIndex_1_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveMultipleTest.java,,,,assert,unknown,standard,assertThrows
lang_131_1,commons-lang3,ArrayUtilsRemoveMultipleTest,testRemoveAllByteArrayNegativeIndex_1_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveMultipleTest.java,,,,assert,unknown,standard,assertThrows
lang_132_1,commons-lang3,ArrayUtilsRemoveMultipleTest,testRemoveAllByteArrayOutOfBoundsIndex_1_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveMultipleTest.java,,,,assert,unknown,standard,assertThrows
lang_135_1,commons-lang3,ArrayUtilsRemoveMultipleTest,testRemoveAllCharArrayNegativeIndex_1_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveMultipleTest.java,,,,assert,unknown,standard,assertThrows
lang_136_1,commons-lang3,ArrayUtilsRemoveMultipleTest,testRemoveAllCharArrayOutOfBoundsIndex_1_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveMultipleTest.java,,,,assert,unknown,standard,assertThrows
lang_139_1,commons-lang3,ArrayUtilsRemoveMultipleTest,testRemoveAllDoubleArrayNegativeIndex_1_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveMultipleTest.java,,,,assert,unknown,standard,assertThrows
lang_140_1,commons-lang3,ArrayUtilsRemoveMultipleTest,testRemoveAllDoubleArrayOutOfBoundsIndex_1_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveMultipleTest.java,,,,assert,unknown,standard,assertThrows
lang_143_1,commons-lang3,ArrayUtilsRemoveMultipleTest,testRemoveAllFloatArrayNegativeIndex_1_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveMultipleTest.java,,,,assert,unknown,standard,assertThrows
lang_144_1,commons-lang3,ArrayUtilsRemoveMultipleTest,testRemoveAllFloatArrayOutOfBoundsIndex_1_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveMultipleTest.java,,,,assert,unknown,standard,assertThrows
lang_147_1,commons-lang3,ArrayUtilsRemoveMultipleTest,testRemoveAllIntArrayNegativeIndex_1_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveMultipleTest.java,,,,assert,unknown,standard,assertThrows
lang_148_1,commons-lang3,ArrayUtilsRemoveMultipleTest,testRemoveAllIntArrayOutOfBoundsIndex_1_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveMultipleTest.java,,,,assert,unknown,standard,assertThrows
