id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
lang_1_1,commons-lang3,ClassLoaderUtilsTest,testToString_ClassLoader_1_oe,src/test/java/org/apache/commons/lang3/ClassLoaderUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_2_1,commons-lang3,ClassLoaderUtilsTest,testToString_URLClassLoader_1_oe,src/test/java/org/apache/commons/lang3/ClassLoaderUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_289_1,commons-lang3,StreamsTest,simpleStreamForEachFailing_1_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown,standard,assertThrows
lang_289_2,commons-lang3,StreamsTest,simpleStreamForEachFailing_2_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown,standard,assertThat
lang_289_3,commons-lang3,StreamsTest,simpleStreamForEachFailing_3_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown,standard,assertThrows
lang_289_4,commons-lang3,StreamsTest,simpleStreamForEachFailing_4_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown,standard,assertThat
lang_289_5,commons-lang3,StreamsTest,simpleStreamForEachFailing_5_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown,standard,assertThrows
lang_289_6,commons-lang3,StreamsTest,simpleStreamForEachFailing_6_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown,standard,assertAll
lang_291_2,commons-lang3,StreamsTest,simpleStreamFilterFailing_2_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown,standard,assertThrows
lang_291_3,commons-lang3,StreamsTest,simpleStreamFilterFailing_3_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown,standard,assertThat
lang_291_4,commons-lang3,StreamsTest,simpleStreamFilterFailing_4_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown,standard,assertThrows
lang_291_5,commons-lang3,StreamsTest,simpleStreamFilterFailing_5_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown,standard,assertThat
lang_291_6,commons-lang3,StreamsTest,simpleStreamFilterFailing_6_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown,standard,assertThrows
lang_291_7,commons-lang3,StreamsTest,simpleStreamFilterFailing_7_oe,src/test/java/org/apache/commons/lang3/StreamsTest.java,,,,assert,unknown,standard,assertAll
lang_311_25,commons-lang3,ClassUtilsTest,test_getCanonicalName_Class_25_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_312_25,commons-lang3,ClassUtilsTest,test_getCanonicalName_Class_String_25_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_313_25,commons-lang3,ClassUtilsTest,test_getName_Class_25_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_314_5,commons-lang3,ClassUtilsTest,test_getName_Object_5_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_315_6,commons-lang3,ClassUtilsTest,test_getPackageCanonicalName_Class_6_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_316_7,commons-lang3,ClassUtilsTest,test_getPackageCanonicalName_Object_7_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_318_16,commons-lang3,ClassUtilsTest,test_getPackageName_Class_16_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_321_6,commons-lang3,ClassUtilsTest,test_getShortCanonicalName_Class_6_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_322_7,commons-lang3,ClassUtilsTest,test_getShortCanonicalName_Object_7_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_324_25,commons-lang3,ClassUtilsTest,test_getShortClassName_Class_25_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_325_5,commons-lang3,ClassUtilsTest,test_getShortClassName_Object_5_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_327_25,commons-lang3,ClassUtilsTest,test_getSimpleName_Class_25_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_339_3,commons-lang3,ClassUtilsTest,test_isInnerClass_Class_3_oe,src/test/java/org/apache/commons/lang3/ClassUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_391_22,commons-lang3,StringUtilsEqualsIndexOfTest,testLastIndexOf_charInt_22_oe,src/test/java/org/apache/commons/lang3/StringUtilsEqualsIndexOfTest.java,,,,assert,unknown,standard,assertEquals
lang_686_7,commons-lang3,StringUtilsTest,testToRootLowerCase_7_oe,src/test/java/org/apache/commons/lang3/StringUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_687_7,commons-lang3,StringUtilsTest,testToRootUpperCase_7_oe,src/test/java/org/apache/commons/lang3/StringUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_1046_2,commons-lang3,SerializationUtilsTest,testDeserializeClassCastException_2_oe,src/test/java/org/apache/commons/lang3/SerializationUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_1065_1,commons-lang3,ThreadUtilsTest,testComplexThreadGroups_1_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_1065_2,commons-lang3,ThreadUtilsTest,testComplexThreadGroups_2_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_1065_3,commons-lang3,ThreadUtilsTest,testComplexThreadGroups_3_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_1065_4,commons-lang3,ThreadUtilsTest,testComplexThreadGroups_4_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_1065_5,commons-lang3,ThreadUtilsTest,testComplexThreadGroups_5_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_1065_6,commons-lang3,ThreadUtilsTest,testComplexThreadGroups_6_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_1079_1,commons-lang3,ThreadUtilsTest,testThreadGroups_1_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_1079_2,commons-lang3,ThreadUtilsTest,testThreadGroups_2_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_1079_3,commons-lang3,ThreadUtilsTest,testThreadGroups_3_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_1079_4,commons-lang3,ThreadUtilsTest,testThreadGroups_4_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_1079_5,commons-lang3,ThreadUtilsTest,testThreadGroups_5_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_1079_6,commons-lang3,ThreadUtilsTest,testThreadGroups_6_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_1079_7,commons-lang3,ThreadUtilsTest,testThreadGroups_7_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_1079_8,commons-lang3,ThreadUtilsTest,testThreadGroups_8_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertNotNull
lang_1080_1,commons-lang3,ThreadUtilsTest,testThreadGroupsById_1_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertSame
lang_1080_2,commons-lang3,ThreadUtilsTest,testThreadGroupsById_2_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertSame
lang_1080_3,commons-lang3,ThreadUtilsTest,testThreadGroupsById_3_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertNull
lang_1080_4,commons-lang3,ThreadUtilsTest,testThreadGroupsById_4_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertNull
lang_1084_1,commons-lang3,ThreadUtilsTest,testThreadGroupsRef_1_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_1084_2,commons-lang3,ThreadUtilsTest,testThreadGroupsRef_2_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_1084_3,commons-lang3,ThreadUtilsTest,testThreadGroupsRef_3_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_1084_4,commons-lang3,ThreadUtilsTest,testThreadGroupsRef_4_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_1085_1,commons-lang3,ThreadUtilsTest,testThreads_1_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_1086_1,commons-lang3,ThreadUtilsTest,testThreadsById_1_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertSame
lang_1086_2,commons-lang3,ThreadUtilsTest,testThreadsById_2_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertSame
lang_1087_1,commons-lang3,ThreadUtilsTest,testThreadsByIdWrongGroup_1_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertNull
lang_1089_1,commons-lang3,ThreadUtilsTest,testThreadsSameName_1_oe,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_1512_1,commons-lang3,BackgroundInitializerTest,testGetActiveExecutorExternal_1_oe,src/test/java/org/apache/commons/lang3/concurrent/BackgroundInitializerTest.java,,,,assert,unknown,standard,assertSame
lang_1515_1,commons-lang3,BackgroundInitializerTest,testSetExternalExecutor_1_oe,src/test/java/org/apache/commons/lang3/concurrent/BackgroundInitializerTest.java,,,,assert,unknown,standard,assertEquals
lang_1515_2,commons-lang3,BackgroundInitializerTest,testSetExternalExecutor_2_oe,src/test/java/org/apache/commons/lang3/concurrent/BackgroundInitializerTest.java,,,,assert,unknown,standard,assertTrue
lang_1515_3,commons-lang3,BackgroundInitializerTest,testSetExternalExecutor_3_oe,src/test/java/org/apache/commons/lang3/concurrent/BackgroundInitializerTest.java,,,,assert,unknown,standard,assertSame
lang_1515_4,commons-lang3,BackgroundInitializerTest,testSetExternalExecutor_4_oe,src/test/java/org/apache/commons/lang3/concurrent/BackgroundInitializerTest.java,,,,assert,unknown,standard,assertFalse
lang_1516_1,commons-lang3,BackgroundInitializerTest,testSetExternalExecutorAfterStart_1_oe,src/test/java/org/apache/commons/lang3/concurrent/BackgroundInitializerTest.java,,,,assert,unknown,standard,assertThrows
lang_1588_1,commons-lang3,MultiBackgroundInitializerTest,testInitializeExternalExec_1_oe,src/test/java/org/apache/commons/lang3/concurrent/MultiBackgroundInitializerTest.java,,,,assert,unknown,standard,assertEquals
lang_1588_2,commons-lang3,MultiBackgroundInitializerTest,testInitializeExternalExec_2_oe,src/test/java/org/apache/commons/lang3/concurrent/MultiBackgroundInitializerTest.java,,,,assert,unknown,standard,assertFalse
lang_1648_1,commons-lang3,CallableBackgroundInitializerTest,testInitExecutorNullCallable_1_oe,src/test/java/org/apache/commons/lang3/concurrent/CallableBackgroundInitializerTest.java,,,,assert,unknown,standard,assertThrows
lang_1654_1,commons-lang3,EventUtilsTest,testAddEventListenerThrowsException_1_oe,src/test/java/org/apache/commons/lang3/event/EventUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_1670_1,commons-lang3,StrLookupTest,testSystemPropertiesLookupReplacedProperties_1_oe,src/test/java/org/apache/commons/lang3/text/StrLookupTest.java,,,,assert,unknown,standard,assertEquals
lang_1671_1,commons-lang3,StrLookupTest,testSystemPropertiesLookupUpdatedProperty_1_oe,src/test/java/org/apache/commons/lang3/text/StrLookupTest.java,,,,assert,unknown,standard,assertEquals
