id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
lang_203_1_1,commons-lang3,CharEncodingTest,testMustBeSupportedJava1_3_1_and_above_1_oe_1_oe,src/test/java/org/apache/commons/lang3/CharEncodingTest.java,,,,assert,unknown,standard,assertTrue
lang_203_2_1,commons-lang3,CharEncodingTest,testMustBeSupportedJava1_3_1_and_above_2_oe_1_oe,src/test/java/org/apache/commons/lang3/CharEncodingTest.java,,,,assert,unknown,standard,assertTrue
lang_203_3_1,commons-lang3,CharEncodingTest,testMustBeSupportedJava1_3_1_and_above_3_oe_1_oe,src/test/java/org/apache/commons/lang3/CharEncodingTest.java,,,,assert,unknown,standard,assertTrue
lang_203_4_1,commons-lang3,CharEncodingTest,testMustBeSupportedJava1_3_1_and_above_4_oe_1_oe,src/test/java/org/apache/commons/lang3/CharEncodingTest.java,,,,assert,unknown,standard,assertTrue
lang_203_5_1,commons-lang3,CharEncodingTest,testMustBeSupportedJava1_3_1_and_above_5_oe_1_oe,src/test/java/org/apache/commons/lang3/CharEncodingTest.java,,,,assert,unknown,standard,assertTrue
lang_203_6_1,commons-lang3,CharEncodingTest,testMustBeSupportedJava1_3_1_and_above_6_oe_1_oe,src/test/java/org/apache/commons/lang3/CharEncodingTest.java,,,,assert,unknown,standard,assertTrue
lang_538_13_1,commons-lang3,StringUtilsTest,testAbbreviate_StringStringIntInt_13_oe_1_oe,src/test/java/org/apache/commons/lang3/StringUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_538_13_2,commons-lang3,StringUtilsTest,testAbbreviate_StringStringIntInt_13_oe_2_oe,src/test/java/org/apache/commons/lang3/StringUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_538_13_3,commons-lang3,StringUtilsTest,testAbbreviate_StringStringIntInt_13_oe_3_oe,src/test/java/org/apache/commons/lang3/StringUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_780_1_1,commons-lang3,ArrayUtilsTest,testIsEquals_1_oe_1_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_780_1_2,commons-lang3,ArrayUtilsTest,testIsEquals_1_oe_2_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_780_1_3,commons-lang3,ArrayUtilsTest,testIsEquals_1_oe_3_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_780_1_4,commons-lang3,ArrayUtilsTest,testIsEquals_1_oe_4_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertFalse
lang_780_1_5,commons-lang3,ArrayUtilsTest,testIsEquals_1_oe_5_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertFalse
lang_780_1_6,commons-lang3,ArrayUtilsTest,testIsEquals_1_oe_6_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertFalse
lang_780_1_7,commons-lang3,ArrayUtilsTest,testIsEquals_1_oe_7_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertFalse
lang_780_1_8,commons-lang3,ArrayUtilsTest,testIsEquals_1_oe_8_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertFalse
lang_780_1_9,commons-lang3,ArrayUtilsTest,testIsEquals_1_oe_9_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertFalse
lang_780_2_1,commons-lang3,ArrayUtilsTest,testIsEquals_2_oe_1_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_780_2_2,commons-lang3,ArrayUtilsTest,testIsEquals_2_oe_2_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_780_2_3,commons-lang3,ArrayUtilsTest,testIsEquals_2_oe_3_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_780_2_4,commons-lang3,ArrayUtilsTest,testIsEquals_2_oe_4_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertFalse
lang_780_2_5,commons-lang3,ArrayUtilsTest,testIsEquals_2_oe_5_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertFalse
lang_780_2_6,commons-lang3,ArrayUtilsTest,testIsEquals_2_oe_6_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertFalse
lang_780_2_7,commons-lang3,ArrayUtilsTest,testIsEquals_2_oe_7_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertFalse
lang_780_2_8,commons-lang3,ArrayUtilsTest,testIsEquals_2_oe_8_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertFalse
lang_780_2_9,commons-lang3,ArrayUtilsTest,testIsEquals_2_oe_9_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertFalse
lang_780_3_1,commons-lang3,ArrayUtilsTest,testIsEquals_3_oe_1_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_780_3_2,commons-lang3,ArrayUtilsTest,testIsEquals_3_oe_2_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,,,,assert,unknown,standard,assertTrue
