id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
lang_101_1,commons-lang3,ArrayUtilsAddTest,testAddFirstBoolean_1_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,,,,assert,unknown,standard,assertArrayEquals
lang_101_2,commons-lang3,ArrayUtilsAddTest,testAddFirstBoolean_2_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,,,,assert,unknown,standard,assertEquals
lang_101_3,commons-lang3,ArrayUtilsAddTest,testAddFirstBoolean_3_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,,,,assert,unknown,standard,assertArrayEquals
lang_101_4,commons-lang3,ArrayUtilsAddTest,testAddFirstBoolean_4_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,,,,assert,unknown,standard,assertEquals
lang_101_5,commons-lang3,ArrayUtilsAddTest,testAddFirstBoolean_5_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,,,,assert,unknown,standard,assertArrayEquals
lang_101_6,commons-lang3,ArrayUtilsAddTest,testAddFirstBoolean_6_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,,,,assert,unknown,standard,assertEquals
lang_102_1,commons-lang3,ArrayUtilsAddTest,testAddFirstByte_1_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,,,,assert,unknown,standard,assertArrayEquals
lang_102_2,commons-lang3,ArrayUtilsAddTest,testAddFirstByte_2_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,,,,assert,unknown,standard,assertEquals
lang_102_3,commons-lang3,ArrayUtilsAddTest,testAddFirstByte_3_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,,,,assert,unknown,standard,assertArrayEquals
lang_102_4,commons-lang3,ArrayUtilsAddTest,testAddFirstByte_4_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,,,,assert,unknown,standard,assertEquals
lang_102_5,commons-lang3,ArrayUtilsAddTest,testAddFirstByte_5_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,,,,assert,unknown,standard,assertArrayEquals
lang_102_6,commons-lang3,ArrayUtilsAddTest,testAddFirstByte_6_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,,,,assert,unknown,standard,assertEquals
lang_102_7,commons-lang3,ArrayUtilsAddTest,testAddFirstByte_7_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,,,,assert,unknown,standard,assertArrayEquals
lang_102_8,commons-lang3,ArrayUtilsAddTest,testAddFirstByte_8_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,,,,assert,unknown,standard,assertEquals
lang_103_1,commons-lang3,ArrayUtilsAddTest,testAddFirstChar_1_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,,,,assert,unknown,standard,assertArrayEquals
lang_103_2,commons-lang3,ArrayUtilsAddTest,testAddFirstChar_2_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,,,,assert,unknown,standard,assertEquals
lang_103_3,commons-lang3,ArrayUtilsAddTest,testAddFirstChar_3_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,,,,assert,unknown,standard,assertArrayEquals
lang_103_4,commons-lang3,ArrayUtilsAddTest,testAddFirstChar_4_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,,,,assert,unknown,standard,assertEquals
lang_103_5,commons-lang3,ArrayUtilsAddTest,testAddFirstChar_5_oe,src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,,,,assert,unknown,standard,assertArrayEquals
