id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
lang_left_1_1,commons-lang3,ClassLoaderUtilsTest,testToString_ClassLoader_1_oe,src/test/java/org/apache/commons/lang3/ClassLoaderUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_left_2_1,commons-lang3,ClassLoaderUtilsTest,testToString_URLClassLoader_1_oe,src/test/java/org/apache/commons/lang3/ClassLoaderUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_left_3_1,commons-lang3,EnumUtilsTest,test_getEnumMap_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_left_3_2,commons-lang3,EnumUtilsTest,test_getEnumMap_2_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_left_3_3,commons-lang3,EnumUtilsTest,test_getEnumMap_3_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_left_3_4,commons-lang3,EnumUtilsTest,test_getEnumMap_4_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_left_3_5,commons-lang3,EnumUtilsTest,test_getEnumMap_5_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_left_3_6,commons-lang3,EnumUtilsTest,test_getEnumMap_6_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_left_3_7,commons-lang3,EnumUtilsTest,test_getEnumMap_7_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_left_3_8,commons-lang3,EnumUtilsTest,test_getEnumMap_8_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_left_3_9,commons-lang3,EnumUtilsTest,test_getEnumMap_9_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertFalse
lang_left_4_1,commons-lang3,EnumUtilsTest,test_getEnumList_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_left_4_2,commons-lang3,EnumUtilsTest,test_getEnumList_2_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_left_4_3,commons-lang3,EnumUtilsTest,test_getEnumList_3_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_left_4_4,commons-lang3,EnumUtilsTest,test_getEnumList_4_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_left_5_1,commons-lang3,EnumUtilsTest,test_isValidEnum_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_left_5_2,commons-lang3,EnumUtilsTest,test_isValidEnum_2_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_left_5_3,commons-lang3,EnumUtilsTest,test_isValidEnum_3_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_left_5_4,commons-lang3,EnumUtilsTest,test_isValidEnum_4_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertFalse
lang_left_5_5,commons-lang3,EnumUtilsTest,test_isValidEnum_5_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertFalse
lang_left_6_1,commons-lang3,EnumUtilsTest,test_isValidEnum_nullClass_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_left_7_1,commons-lang3,EnumUtilsTest,test_isValidEnumIgnoreCase_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_left_7_2,commons-lang3,EnumUtilsTest,test_isValidEnumIgnoreCase_2_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_left_7_3,commons-lang3,EnumUtilsTest,test_isValidEnumIgnoreCase_3_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertTrue
lang_left_7_4,commons-lang3,EnumUtilsTest,test_isValidEnumIgnoreCase_4_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertFalse
lang_left_7_5,commons-lang3,EnumUtilsTest,test_isValidEnumIgnoreCase_5_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertFalse
lang_left_8_1,commons-lang3,EnumUtilsTest,test_isValidEnumIgnoreCase_nullClass_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertThrows
lang_left_9_1,commons-lang3,EnumUtilsTest,test_getEnum_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_left_9_2,commons-lang3,EnumUtilsTest,test_getEnum_2_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_left_9_3,commons-lang3,EnumUtilsTest,test_getEnum_3_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertEquals
lang_left_9_4,commons-lang3,EnumUtilsTest,test_getEnum_4_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertNull
lang_left_9_5,commons-lang3,EnumUtilsTest,test_getEnum_5_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertNull
lang_left_10_1,commons-lang3,EnumUtilsTest,test_getEnum_nonEnumClass_1_oe,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,,,,assert,unknown,standard,assertNull
